DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,2.6031,2.7595,2.5812,2.7507,Apple Inc.,AAPL,Information Technology
2009-01-05,2.824,2.9153,2.8101,2.8668,Apple Inc.,AAPL,Information Technology
2009-01-06,2.9083,2.9453,2.8004,2.8195,Apple Inc.,AAPL,Information Technology
2009-01-07,2.7828,2.8037,2.7358,2.7585,Apple Inc.,AAPL,Information Technology
2009-01-08,2.741,2.8234,2.7291,2.8098,Apple Inc.,AAPL,Information Technology
2009-01-09,2.8252,2.8304,2.7322,2.7455,Apple Inc.,AAPL,Information Technology
2009-01-12,2.7419,2.7579,2.6537,2.6873,Apple Inc.,AAPL,Information Technology
2009-01-13,2.6746,2.7201,2.6173,2.6585,Apple Inc.,AAPL,Information Technology
2009-01-14,2.614,2.6446,2.5679,2.5864,Apple Inc.,AAPL,Information Technology
2009-01-15,2.4418,2.5497,2.4263,2.5273,Apple Inc.,AAPL,Information Technology
2009-01-16,2.5552,2.5576,2.437,2.4955,Apple Inc.,AAPL,Information Technology
2009-01-20,2.4833,2.4855,2.3703,2.3703,Apple Inc.,AAPL,Information Technology
2009-01-21,2.4082,2.5121,2.4039,2.5106,Apple Inc.,AAPL,Information Technology
2009-01-22,2.6673,2.7279,2.6012,2.6782,Apple Inc.,AAPL,Information Technology
2009-01-23,2.6312,2.724,2.6218,2.6782,Apple Inc.,AAPL,Information Technology
2009-01-26,2.694,2.7573,2.6764,2.717,Apple Inc.,AAPL,Information Technology
2009-01-27,2.7337,2.7749,2.7201,2.7501,Apple Inc.,AAPL,Information Technology
2009-01-28,2.7931,2.8795,2.7734,2.8552,Apple Inc.,AAPL,Information Technology
2009-01-29,2.8216,2.8595,2.8067,2.8189,Apple Inc.,AAPL,Information Technology
2009-01-30,2.8073,2.8377,2.7282,2.7319,Apple Inc.,AAPL,Information Technology
2009-02-02,2.7007,2.7886,2.6946,2.7737,Apple Inc.,AAPL,Information Technology
2009-02-03,2.7861,2.8304,2.7364,2.8183,Apple Inc.,AAPL,Information Technology
2009-02-04,2.8261,2.9174,2.8219,2.8355,Apple Inc.,AAPL,Information Technology
2009-02-05,2.8119,2.9477,2.8073,2.9237,Apple Inc.,AAPL,Information Technology
2009-02-06,2.9401,3.031,2.9401,3.0226,Apple Inc.,AAPL,Information Technology
2009-02-09,3.0664,3.122,3.0159,3.1071,Apple Inc.,AAPL,Information Technology
2009-02-10,3.0665,3.1071,2.9419,2.9653,Apple Inc.,AAPL,Information Technology
2009-02-11,2.9204,2.9798,2.9028,2.9347,Apple Inc.,AAPL,Information Technology
