DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,21.1109,23.1,21.07,23.02,Adobe Inc.,ADBE,Information Technology
2009-01-05,22.52,23.31,22.5,23.13,Adobe Inc.,ADBE,Information Technology
2009-01-06,23.07,24.45,23.07,24.22,Adobe Inc.,ADBE,Information Technology
2009-01-07,23.57,24.8098,23.51,24.23,Adobe Inc.,ADBE,Information Technology
2009-01-08,24.01,24.38,23.63,24.29,Adobe Inc.,ADBE,Information Technology
2009-01-09,23.99,24.5,23.42,24.01,Adobe Inc.,ADBE,Information Technology
2009-01-12,24.07,24.35,23.6,23.76,Adobe Inc.,ADBE,Information Technology
2009-01-13,22.97,23.22,21.75,22.1,Adobe Inc.,ADBE,Information Technology
2009-01-14,22.09,22.16,20.95,21.11,Adobe Inc.,ADBE,Information Technology
2009-01-15,21.04,21.3,20.45,20.83,Adobe Inc.,ADBE,Information Technology
2009-01-16,21.11,21.53,20.47,21.06,Adobe Inc.,ADBE,Information Technology
2009-01-20,21.1,21.1,19.34,19.39,Adobe Inc.,ADBE,Information Technology
2009-01-21,19.8899,20.97,19.74,20.96,Adobe Inc.,ADBE,Information Technology
2009-01-22,19.84,20.25,19.06,19.32,Adobe Inc.,ADBE,Information Technology
2009-01-23,19.0,20.1,18.7,19.7,Adobe Inc.,ADBE,Information Technology
2009-01-26,19.95,20.44,19.67,19.93,Adobe Inc.,ADBE,Information Technology
2009-01-27,19.73,20.38,19.53,20.11,Adobe Inc.,ADBE,Information Technology
2009-01-28,20.71,21.2,20.3398,20.89,Adobe Inc.,ADBE,Information Technology
2009-01-29,20.6,20.9061,19.61,20.05,Adobe Inc.,ADBE,Information Technology
2009-01-30,20.26,20.33,19.21,19.31,Adobe Inc.,ADBE,Information Technology
2009-02-02,19.41,19.7,18.96,19.58,Adobe Inc.,ADBE,Information Technology
2009-02-03,19.69,19.76,19.13,19.7,Adobe Inc.,ADBE,Information Technology
2009-02-04,19.625,20.35,19.53,19.88,Adobe Inc.,ADBE,Information Technology
2009-02-05,19.64,21.04,19.44,20.91,Adobe Inc.,ADBE,Information Technology
2009-02-06,20.93,21.8,20.81,21.7,Adobe Inc.,ADBE,Information Technology
2009-02-09,22.0,22.01,21.1,21.42,Adobe Inc.,ADBE,Information Technology
2009-02-10,21.32,21.42,20.28,20.48,Adobe Inc.,ADBE,Information Technology
2009-02-11,20.43,20.8599,19.9,20.31,Adobe Inc.,ADBE,Information Technology
2009-02-12,19.95,21.26,19.78,21.22,Adobe Inc.,ADBE,Information Technology
2009-02-13,20.96,21.37,20.85,21.1,Adobe Inc.,ADBE,Information Technology
2009-02-17,20.08,20.69,19.8,20.4,Adobe Inc.,ADBE,Information Technology
2009-02-18,20.33,20.69,20.07,20.39,Adobe Inc.,ADBE,Information Technology
2009-02-19,20.46,20.5,19.48,19.54,Adobe Inc.,ADBE,Information Technology
2009-02-20,18.96,19.15,17.7,18.04,Adobe Inc.,ADBE,Information Technology
2009-02-23,18.04,18.09,16.9,17.09,Adobe Inc.,ADBE,Information Technology
2009-02-24,17.23,18.33,17.22,18.17,Adobe Inc.,ADBE,Information Technology
2009-02-25,17.62,17.92,17.15,17.64,Adobe Inc.,ADBE,Information Technology
2009-02-26,17.47,17.67,16.65,16.7,Adobe Inc.,ADBE,Information Technology
2009-02-27,15.73,17.18,15.7,16.7,Adobe Inc.,ADBE,Information Technology
2009-03-02,16.48,16.66,15.97,16.04,Adobe Inc.,ADBE,Information Technology
2009-03-03,16.15,16.48,15.87,15.98,Adobe Inc.,ADBE,Information Technology
2009-03-04,16.16,16.61,15.9,16.32,Adobe Inc.,ADBE,Information Technology
2009-03-05,18.19,18.19,16.31,16.92,Adobe Inc.,ADBE,Information Technology
2009-03-06,17.16,17.43,16.75,17.16,Adobe Inc.,ADBE,Information Technology
2009-03-09,17.03,17.59,16.72,16.78,Adobe Inc.,ADBE,Information Technology
2009-03-10,17.16,18.54,17.11,18.52,Adobe Inc.,ADBE,Information Technology
2009-03-11,18.18,18.85,18.03,18.63,Adobe Inc.,ADBE,Information Technology
2009-03-12,18.47,19.51,18.28,19.43,Adobe Inc.,ADBE,Information Technology
2009-03-13,19.24,19.31,18.33,18.68,Adobe Inc.,ADBE,Information Technology
2009-03-16,18.75,19.0,18.34,18.45,Adobe Inc.,ADBE,Information Technology
2009-03-17,18.62,19.15,18.16,19.13,Adobe Inc.,ADBE,Information Technology
2009-03-18,19.41,22.09,19.34,21.35,Adobe Inc.,ADBE,Information Technology
2009-03-19,21.85,22.58,20.89,21.24,Adobe Inc.,ADBE,Information Technology
2009-03-20,21.01,21.79,20.39,20.46,Adobe Inc.,ADBE,Information Technology
2009-03-23,21.2,22.69,21.01,22.69,Adobe Inc.,ADBE,Information Technology
2009-03-24,22.59,22.59,21.72,21.82,Adobe Inc.,ADBE,Information Technology
2009-03-25,22.0,22.44,21.5,22.1,Adobe Inc.,ADBE,Information Technology
2009-03-26,22.18,23.0,22.18,22.94,Adobe Inc.,ADBE,Information Technology
2009-03-27,22.56,22.7,21.81,21.84,Adobe Inc.,ADBE,Information Technology
2009-03-30,21.33,21.48,20.39,20.82,Adobe Inc.,ADBE,Information Technology
2009-03-31,20.93,21.87,20.83,21.39,Adobe Inc.,ADBE,Information Technology
2009-04-01,20.93,22.18,20.79,21.96,Adobe Inc.,ADBE,Information Technology
