DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,13.2312,13.7744,13.0641,13.6978,Analog Devices,ADI,Information Technology
2009-01-05,13.5934,13.9067,13.5168,13.6282,Analog Devices,ADI,Information Technology
2009-01-06,13.6282,14.3455,13.6212,14.2897,Analog Devices,ADI,Information Technology
2009-01-07,13.7884,13.9416,13.5237,13.7535,Analog Devices,ADI,Information Technology
2009-01-08,13.7187,13.8092,13.3496,13.7675,Analog Devices,ADI,Information Technology
2009-01-09,13.7466,13.8162,13.3496,13.4889,Analog Devices,ADI,Information Technology
2009-01-12,13.4541,13.4611,13.1059,13.2661,Analog Devices,ADI,Information Technology
2009-01-13,13.287,13.8232,13.1755,13.475,Analog Devices,ADI,Information Technology
2009-01-14,13.2312,13.3427,12.8413,12.9527,Analog Devices,ADI,Information Technology
2009-01-15,12.9457,13.4297,12.7925,13.3009,Analog Devices,ADI,Information Technology
2009-01-16,13.5377,13.9416,13.2382,13.8092,Analog Devices,ADI,Information Technology
2009-01-20,13.6769,13.7675,13.0641,13.0711,Analog Devices,ADI,Information Technology
2009-01-21,12.5766,13.28,12.5766,13.1616,Analog Devices,ADI,Information Technology
2009-01-22,12.9875,13.3357,12.8065,13.1825,Analog Devices,ADI,Information Technology
2009-01-23,12.8273,13.9485,12.8273,13.6909,Analog Devices,ADI,Information Technology
2009-01-26,13.7257,14.1853,13.5028,13.7117,Analog Devices,ADI,Information Technology
2009-01-27,13.8092,14.3942,13.6212,14.3037,Analog Devices,ADI,Information Technology
2009-01-28,14.5753,15.1115,14.4778,14.826,Analog Devices,ADI,Information Technology
2009-01-29,14.9304,14.9304,14.0948,14.234,Analog Devices,ADI,Information Technology
2009-01-30,14.4569,14.4917,13.8162,13.9137,Analog Devices,ADI,Information Technology
2009-02-02,13.9137,14.2897,13.5168,14.1505,Analog Devices,ADI,Information Technology
2009-02-03,14.1505,14.5962,13.8232,14.4987,Analog Devices,ADI,Information Technology
2009-02-04,14.4987,15.2229,14.3385,14.6519,Analog Devices,ADI,Information Technology
2009-02-05,14.4917,15.592,14.4221,15.3065,Analog Devices,ADI,Information Technology
2009-02-06,15.2159,15.6895,15.1672,15.585,Analog Devices,ADI,Information Technology
2009-02-09,15.5572,15.6547,15.3204,15.5363,Analog Devices,ADI,Information Technology
2009-02-10,15.4179,15.6547,14.5265,14.6379,Analog Devices,ADI,Information Technology
2009-02-11,14.6728,14.8051,14.234,14.5544,Analog Devices,ADI,Information Technology
2009-02-12,14.3246,14.8677,14.2549,14.7145,Analog Devices,ADI,Information Technology
2009-02-13,14.6449,15.2299,14.631,14.8886,Analog Devices,ADI,Information Technology
2009-02-17,14.6031,14.624,13.8371,13.9276,Analog Devices,ADI,Information Technology
2009-02-18,14.2062,14.2758,13.7814,13.9416,Analog Devices,ADI,Information Technology
2009-02-19,14.0321,14.4429,13.4822,13.5098,Analog Devices,ADI,Information Technology
2009-02-20,13.287,13.7884,13.273,13.4402,Analog Devices,ADI,Information Technology
2009-02-23,13.5446,13.656,12.6811,12.7716,Analog Devices,ADI,Information Technology
2009-02-24,12.8482,13.1198,12.7229,13.078,Analog Devices,ADI,Information Technology
2009-02-25,12.9945,13.7257,12.9248,13.4123,Analog Devices,ADI,Information Technology
2009-02-26,13.5794,13.8998,13.0641,13.0711,Analog Devices,ADI,Information Technology
2009-02-27,12.8761,13.2661,12.8343,12.9805,Analog Devices,ADI,Information Technology
2009-03-02,12.7368,12.9736,12.4095,12.4861,Analog Devices,ADI,Information Technology
2009-03-03,12.6672,12.9457,12.4722,12.702,Analog Devices,ADI,Information Technology
2009-03-04,12.8644,13.5259,12.8574,13.3148,Analog Devices,ADI,Information Technology
2009-03-05,13.0615,13.4978,13.0544,13.2163,Analog Devices,ADI,Information Technology
2009-03-06,13.3218,13.6385,12.7448,13.0052,Analog Devices,ADI,Information Technology
2009-03-09,13.0544,13.3007,12.6744,12.7026,Analog Devices,ADI,Information Technology
2009-03-10,12.9489,13.5189,12.8081,13.4907,Analog Devices,ADI,Information Technology
2009-03-11,13.6033,13.8919,13.4204,13.6737,Analog Devices,ADI,Information Technology
2009-03-12,13.6737,14.096,13.5822,14.0397,Analog Devices,ADI,Information Technology
2009-03-13,14.0537,14.2262,13.8074,14.1875,Analog Devices,ADI,Information Technology
2009-03-16,14.2649,14.3212,13.7652,13.7863,Analog Devices,ADI,Information Technology
2009-03-17,13.8708,14.2438,13.7371,14.2438,Analog Devices,ADI,Information Technology
2009-03-18,14.1875,14.6027,14.0537,14.5041,Analog Devices,ADI,Information Technology
2009-03-19,14.6941,14.7153,14.1171,14.2719,Analog Devices,ADI,Information Technology
2009-03-20,14.2789,14.4056,13.7089,13.7863,Analog Devices,ADI,Information Technology
2009-03-23,14.0749,14.5745,13.8919,14.3001,Analog Devices,ADI,Information Technology
2009-03-24,14.1241,14.286,13.9552,14.103,Analog Devices,ADI,Information Technology
2009-03-25,14.3212,14.5182,13.6667,13.9552,Analog Devices,ADI,Information Technology
2009-03-26,14.1452,14.3634,13.9834,14.2156,Analog Devices,ADI,Information Technology
2009-03-27,14.0115,14.1734,13.9341,14.0608,Analog Devices,ADI,Information Technology
2009-03-30,13.9623,14.0326,13.4978,13.5963,Analog Devices,ADI,Information Technology
2009-03-31,13.8497,13.8497,13.4978,13.5611,Analog Devices,ADI,Information Technology
2009-04-01,13.3007,13.5048,13.0826,13.3711,Analog Devices,ADI,Information Technology
2009-04-02,13.6808,14.103,13.5541,13.7863,Analog Devices,ADI,Information Technology
2009-04-03,13.6596,14.5675,13.6245,14.5182,Analog Devices,ADI,Information Technology
2009-04-06,14.4197,14.4197,13.92,14.3141,Analog Devices,ADI,Information Technology
2009-04-07,14.0819,14.3775,13.913,13.9834,Analog Devices,ADI,Information Technology
