DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,19.55,20.76,19.55,20.68,Autodesk,ADSK,Information Technology
2009-01-05,20.6,20.92,20.05,20.88,Autodesk,ADSK,Information Technology
2009-01-06,21.11,21.705,20.71,20.85,Autodesk,ADSK,Information Technology
2009-01-07,20.55,20.58,19.89,20.07,Autodesk,ADSK,Information Technology
2009-01-08,19.59,19.61,18.96,19.2,Autodesk,ADSK,Information Technology
2009-01-09,19.41,19.55,18.4,18.47,Autodesk,ADSK,Information Technology
2009-01-12,18.42,19.109,18.42,18.78,Autodesk,ADSK,Information Technology
2009-01-13,18.78,19.05,18.18,18.46,Autodesk,ADSK,Information Technology
2009-01-14,18.19,18.2,17.35,17.73,Autodesk,ADSK,Information Technology
2009-01-15,15.85,16.18,14.98,15.48,Autodesk,ADSK,Information Technology
2009-01-16,15.79,16.64,15.48,16.14,Autodesk,ADSK,Information Technology
2009-01-20,16.135,16.31,15.71,15.72,Autodesk,ADSK,Information Technology
2009-01-21,15.82,16.78,15.52,16.77,Autodesk,ADSK,Information Technology
2009-01-22,16.31,16.44,15.7301,16.13,Autodesk,ADSK,Information Technology
2009-01-23,15.61,16.5,15.51,16.26,Autodesk,ADSK,Information Technology
2009-01-26,16.47,16.77,16.09,16.43,Autodesk,ADSK,Information Technology
2009-01-27,16.45,17.28,16.25,16.91,Autodesk,ADSK,Information Technology
2009-01-28,17.29,17.35,16.97,17.25,Autodesk,ADSK,Information Technology
2009-01-29,17.22,17.32,16.74,16.93,Autodesk,ADSK,Information Technology
2009-01-30,17.13,17.21,16.43,16.56,Autodesk,ADSK,Information Technology
2009-02-02,16.4,16.75,16.22,16.53,Autodesk,ADSK,Information Technology
2009-02-03,16.57,17.26,16.45,17.19,Autodesk,ADSK,Information Technology
2009-02-04,17.21,17.81,17.2,17.41,Autodesk,ADSK,Information Technology
2009-02-05,17.36,18.05,17.04,17.81,Autodesk,ADSK,Information Technology
2009-02-06,17.81,18.72,17.61,18.54,Autodesk,ADSK,Information Technology
2009-02-09,18.55,18.638,18.0,18.2,Autodesk,ADSK,Information Technology
2009-02-10,18.0,18.31,17.1,17.2,Autodesk,ADSK,Information Technology
2009-02-11,17.22,17.76,17.05,17.45,Autodesk,ADSK,Information Technology
2009-02-12,17.0,17.71,16.86,17.55,Autodesk,ADSK,Information Technology
2009-02-13,17.62,18.09,17.43,17.56,Autodesk,ADSK,Information Technology
2009-02-17,16.94,16.96,16.46,16.57,Autodesk,ADSK,Information Technology
2009-02-18,16.64,16.71,16.14,16.31,Autodesk,ADSK,Information Technology
2009-02-19,16.55,17.05,15.85,15.85,Autodesk,ADSK,Information Technology
2009-02-20,15.75,15.87,15.09,15.26,Autodesk,ADSK,Information Technology
2009-02-23,15.4,15.62,14.35,14.39,Autodesk,ADSK,Information Technology
2009-02-24,14.534,14.82,14.35,14.6,Autodesk,ADSK,Information Technology
2009-02-25,14.5,14.64,14.1,14.3,Autodesk,ADSK,Information Technology
2009-02-26,14.43,14.46,13.86,14.06,Autodesk,ADSK,Information Technology
2009-02-27,12.75,13.2,12.53,12.69,Autodesk,ADSK,Information Technology
2009-03-02,12.52,12.76,11.7,11.86,Autodesk,ADSK,Information Technology
2009-03-03,11.84,12.19,11.74,11.79,Autodesk,ADSK,Information Technology
2009-03-04,12.04,12.73,12.01,12.51,Autodesk,ADSK,Information Technology
2009-03-05,12.34,12.38,11.81,12.05,Autodesk,ADSK,Information Technology
2009-03-06,12.28,12.52,11.76,12.02,Autodesk,ADSK,Information Technology
2009-03-09,11.93,12.26,11.75,11.78,Autodesk,ADSK,Information Technology
2009-03-10,12.01,12.56,11.79,12.54,Autodesk,ADSK,Information Technology
2009-03-11,12.03,12.61,12.0,12.31,Autodesk,ADSK,Information Technology
2009-03-12,12.35,12.78,12.18,12.74,Autodesk,ADSK,Information Technology
2009-03-13,12.76,12.83,12.45,12.83,Autodesk,ADSK,Information Technology
2009-03-16,12.83,13.21,12.7,12.88,Autodesk,ADSK,Information Technology
2009-03-17,12.67,13.21,12.62,13.21,Autodesk,ADSK,Information Technology
2009-03-18,12.8,14.255,12.8,14.0,Autodesk,ADSK,Information Technology
2009-03-19,13.7,14.53,13.7,13.87,Autodesk,ADSK,Information Technology
2009-03-20,14.21,14.21,13.37,13.39,Autodesk,ADSK,Information Technology
2009-03-23,13.68,14.6,13.43,14.59,Autodesk,ADSK,Information Technology
2009-03-24,14.42,14.9325,14.15,14.85,Autodesk,ADSK,Information Technology
2009-03-25,14.63,15.47,14.63,15.3,Autodesk,ADSK,Information Technology
2009-03-26,15.64,16.18,15.47,16.16,Autodesk,ADSK,Information Technology
2009-03-27,15.9,16.24,15.72,16.07,Autodesk,ADSK,Information Technology
2009-03-30,15.97,15.97,14.91,15.23,Autodesk,ADSK,Information Technology
2009-03-31,16.15,17.32,16.0322,16.81,Autodesk,ADSK,Information Technology
2009-04-01,16.33,17.25,16.1,17.11,Autodesk,ADSK,Information Technology
2009-04-02,17.5,18.7,17.32,17.98,Autodesk,ADSK,Information Technology
2009-04-03,17.7,18.1,17.4,17.99,Autodesk,ADSK,Information Technology
2009-04-06,17.95,18.39,17.58,18.27,Autodesk,ADSK,Information Technology
2009-04-07,17.93,17.99,17.41,17.7,Autodesk,ADSK,Information Technology
2009-04-08,17.7,18.5,17.67,18.44,Autodesk,ADSK,Information Technology
2009-04-09,18.79,19.34,18.79,19.3,Autodesk,ADSK,Information Technology
2009-04-13,19.18,19.18,18.61,18.76,Autodesk,ADSK,Information Technology
2009-04-14,18.6,18.83,18.31,18.5,Autodesk,ADSK,Information Technology
2009-04-15,18.38,18.49,18.01,18.39,Autodesk,ADSK,Information Technology
2009-04-16,18.52,18.52,17.77,18.38,Autodesk,ADSK,Information Technology
2009-04-17,18.39,18.61,18.01,18.51,Autodesk,ADSK,Information Technology
2009-04-20,17.96,18.25,17.49,17.54,Autodesk,ADSK,Information Technology
2009-04-21,17.36,18.26,17.25,18.15,Autodesk,ADSK,Information Technology
2009-04-22,17.9,19.56,17.78,18.81,Autodesk,ADSK,Information Technology
2009-04-23,18.81,19.08,18.04,18.52,Autodesk,ADSK,Information Technology
2009-04-24,18.3,19.85,18.3,19.68,Autodesk,ADSK,Information Technology
2009-04-27,19.14,19.55,18.93,19.01,Autodesk,ADSK,Information Technology
2009-04-28,18.77,19.08,18.54,18.7,Autodesk,ADSK,Information Technology
2009-04-29,18.84,19.66,18.62,19.45,Autodesk,ADSK,Information Technology
2009-04-30,19.47,20.3,19.32,19.94,Autodesk,ADSK,Information Technology
2009-05-01,19.95,19.98,19.47,19.63,Autodesk,ADSK,Information Technology
2009-05-04,19.86,20.52,19.75,20.47,Autodesk,ADSK,Information Technology
2009-05-05,20.3,20.65,20.08,20.44,Autodesk,ADSK,Information Technology
2009-05-06,20.65,20.66,19.87,20.47,Autodesk,ADSK,Information Technology
2009-05-07,20.33,20.57,19.25,19.47,Autodesk,ADSK,Information Technology
2009-05-08,19.72,20.05,19.3286,19.7,Autodesk,ADSK,Information Technology
2009-05-11,19.42,19.99,19.0,19.8,Autodesk,ADSK,Information Technology
2009-05-12,19.88,19.95,19.1,19.4,Autodesk,ADSK,Information Technology
2009-05-13,19.0102,19.2,18.5,18.5,Autodesk,ADSK,Information Technology
2009-05-14,18.63,19.12,18.5758,18.84,Autodesk,ADSK,Information Technology
2009-05-15,18.79,19.29,18.43,19.0,Autodesk,ADSK,Information Technology
2009-05-18,19.05,19.48,18.5301,19.48,Autodesk,ADSK,Information Technology
2009-05-19,19.54,19.86,19.25,19.42,Autodesk,ADSK,Information Technology
2009-05-20,19.48,19.88,19.0,19.14,Autodesk,ADSK,Information Technology
2009-05-21,18.78,19.0,18.54,18.83,Autodesk,ADSK,Information Technology
2009-05-22,21.34,21.52,20.55,20.7,Autodesk,ADSK,Information Technology
2009-05-26,20.1,21.22,20.1,21.12,Autodesk,ADSK,Information Technology
2009-05-27,21.18,21.86,20.94,21.16,Autodesk,ADSK,Information Technology
2009-05-28,21.31,21.68,20.75,21.19,Autodesk,ADSK,Information Technology
2009-05-29,21.1,21.5,20.82,21.46,Autodesk,ADSK,Information Technology
2009-06-01,21.46,22.75,21.46,22.66,Autodesk,ADSK,Information Technology
2009-06-02,22.724,22.85,22.17,22.22,Autodesk,ADSK,Information Technology
2009-06-03,22.06,22.35,21.63,22.08,Autodesk,ADSK,Information Technology
2009-06-04,22.19,22.37,21.76,22.19,Autodesk,ADSK,Information Technology
2009-06-05,22.38,22.6,21.83,22.17,Autodesk,ADSK,Information Technology
2009-06-08,22.19,22.24,21.6327,22.03,Autodesk,ADSK,Information Technology
2009-06-09,22.18,22.595,21.95,22.46,Autodesk,ADSK,Information Technology
