DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,18.6247,18.9917,18.4244,18.9083,American Electric Power,AEP,Utilities
2009-01-05,18.9973,19.0974,18.5134,18.7359,American Electric Power,AEP,Utilities
2009-01-06,18.8304,19.0195,18.2576,18.4133,American Electric Power,AEP,Utilities
2009-01-07,18.2131,18.4467,18.1075,18.2131,American Electric Power,AEP,Utilities
2009-01-08,18.1909,18.5301,18.1631,18.5079,American Electric Power,AEP,Utilities
2009-01-09,18.5079,18.5963,18.1019,18.1353,American Electric Power,AEP,Utilities
2009-01-12,18.1909,18.3577,18.0463,18.2354,American Electric Power,AEP,Utilities
2009-01-13,18.1853,18.3077,17.6626,17.8683,American Electric Power,AEP,Utilities
2009-01-14,17.5903,17.6236,17.1732,17.5569,American Electric Power,AEP,Utilities
2009-01-15,17.6904,17.6959,17.3178,17.6626,American Electric Power,AEP,Utilities
2009-01-16,17.8572,18.1575,17.7627,18.0741,American Electric Power,AEP,Utilities
2009-01-20,18.0352,18.2687,17.6626,17.7015,American Electric Power,AEP,Utilities
2009-01-21,17.9573,18.0407,17.5513,17.9851,American Electric Power,AEP,Utilities
2009-01-22,17.7571,18.1353,17.5736,17.7126,American Electric Power,AEP,Utilities
2009-01-23,17.4568,17.835,17.3511,17.7627,American Electric Power,AEP,Utilities
2009-01-26,17.7571,18.291,17.7571,18.0796,American Electric Power,AEP,Utilities
2009-01-27,18.202,18.2187,17.7793,17.9072,American Electric Power,AEP,Utilities
2009-01-28,17.7348,17.8405,17.3956,17.6626,American Electric Power,AEP,Utilities
2009-01-29,17.518,18.5134,17.518,18.1853,American Electric Power,AEP,Utilities
2009-01-30,18.2687,18.3132,17.3567,17.4345,American Electric Power,AEP,Utilities
2009-02-02,17.2621,18.0936,17.1898,18.0074,American Electric Power,AEP,Utilities
2009-02-03,18.0685,18.1964,17.6959,18.0908,American Electric Power,AEP,Utilities
2009-02-04,18.1909,18.43,18.113,18.2799,American Electric Power,AEP,Utilities
2009-02-05,18.2632,18.8471,18.1186,18.7025,American Electric Power,AEP,Utilities
2009-02-06,18.7813,18.9727,18.5787,18.7025,American Electric Power,AEP,Utilities
2009-02-09,18.6124,18.6912,18.224,18.5449,American Electric Power,AEP,Utilities
2009-02-10,18.4266,18.6293,17.8411,17.9368,American Electric Power,AEP,Utilities
2009-02-11,17.9931,18.1114,17.6553,17.8299,American Electric Power,AEP,Utilities
2009-02-12,17.5653,17.7285,17.2838,17.7004,American Electric Power,AEP,Utilities
2009-02-13,17.7173,18.1395,17.6948,17.9087,American Electric Power,AEP,Utilities
2009-02-17,17.4696,17.5484,16.8953,16.9178,American Electric Power,AEP,Utilities
2009-02-18,16.9967,16.9967,16.6589,16.7771,American Electric Power,AEP,Utilities
2009-02-19,16.7827,17.1487,16.7433,16.9516,American Electric Power,AEP,Utilities
2009-02-20,16.6983,17.0755,16.3323,16.5857,American Electric Power,AEP,Utilities
2009-02-23,16.642,16.7152,15.9326,15.9889,American Electric Power,AEP,Utilities
2009-02-24,16.0902,16.7377,16.0047,16.6532,American Electric Power,AEP,Utilities
2009-02-25,16.58,16.7152,16.3886,16.5181,American Electric Power,AEP,Utilities
2009-02-26,16.7152,16.8615,16.1634,16.1972,American Electric Power,AEP,Utilities
