DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,7.8026,8.2652,7.7178,8.2266,Applied Materials,AMAT,Information Technology
2009-01-05,8.0493,8.3268,7.9953,8.2266,Applied Materials,AMAT,Information Technology
2009-01-06,8.3577,9.0285,8.2806,8.9282,Applied Materials,AMAT,Information Technology
2009-01-07,8.6121,8.7201,8.0724,8.1726,Applied Materials,AMAT,Information Technology
2009-01-08,8.0724,8.296,7.9182,8.2806,Applied Materials,AMAT,Information Technology
2009-01-09,8.3076,8.3346,7.9645,7.9953,Applied Materials,AMAT,Information Technology
2009-01-12,8.0184,8.0493,7.6407,7.71,Applied Materials,AMAT,Information Technology
2009-01-13,7.5713,8.1958,7.5173,7.8565,Applied Materials,AMAT,Information Technology
2009-01-14,7.6484,7.7409,7.3862,7.5019,Applied Materials,AMAT,Information Technology
2009-01-15,7.5404,7.5867,7.1626,7.4787,Applied Materials,AMAT,Information Technology
2009-01-16,7.8488,7.9491,7.4094,7.8488,Applied Materials,AMAT,Information Technology
2009-01-20,7.7332,7.8234,7.2474,7.2474,Applied Materials,AMAT,Information Technology
2009-01-21,7.4094,7.4094,6.939,7.2629,Applied Materials,AMAT,Information Technology
2009-01-22,6.9622,7.2552,6.8234,7.0547,Applied Materials,AMAT,Information Technology
2009-01-23,6.9005,7.6252,6.8928,7.4865,Applied Materials,AMAT,Information Technology
2009-01-26,7.4171,7.7794,7.3323,7.579,Applied Materials,AMAT,Information Technology
2009-01-27,7.6175,7.9259,7.6021,7.7717,Applied Materials,AMAT,Information Technology
2009-01-28,7.8874,8.0724,7.8334,8.003,Applied Materials,AMAT,Information Technology
2009-01-29,7.8026,7.8642,7.3014,7.4016,Applied Materials,AMAT,Information Technology
2009-01-30,7.471,7.6098,7.1781,7.2243,Applied Materials,AMAT,Information Technology
2009-02-02,7.1318,7.34,6.993,7.2552,Applied Materials,AMAT,Information Technology
2009-02-03,7.2474,7.3939,7.0393,7.3862,Applied Materials,AMAT,Information Technology
2009-02-04,7.3708,7.8874,7.2937,7.579,Applied Materials,AMAT,Information Technology
2009-02-05,7.4479,7.9413,7.4479,7.8874,Applied Materials,AMAT,Information Technology
2009-02-06,7.8874,8.1033,7.818,8.057,Applied Materials,AMAT,Information Technology
2009-02-09,8.0647,8.1418,7.8026,7.8642,Applied Materials,AMAT,Information Technology
2009-02-10,7.7966,8.0836,7.5095,7.5173,Applied Materials,AMAT,Information Technology
2009-02-11,7.3466,7.7966,7.3389,7.5794,Applied Materials,AMAT,Information Technology
2009-02-12,7.4397,7.5173,7.0363,7.3078,Applied Materials,AMAT,Information Technology
2009-02-13,7.2923,7.4397,7.1837,7.3777,Applied Materials,AMAT,Information Technology
2009-02-17,7.0596,7.0984,6.6562,6.6795,Applied Materials,AMAT,Information Technology
2009-02-18,6.7027,6.9355,6.5243,6.6639,Applied Materials,AMAT,Information Technology
2009-02-19,6.7958,6.8036,6.4002,6.47,Applied Materials,AMAT,Information Technology
2009-02-20,6.439,6.9277,6.3536,6.7958,Applied Materials,AMAT,Information Technology
2009-02-23,6.8269,6.9199,6.4622,6.4933,Applied Materials,AMAT,Information Technology
2009-02-24,6.5941,6.8113,6.5243,6.7803,Applied Materials,AMAT,Information Technology
