DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,2.19,2.43,2.17,2.38,Advanced Micro Devices Inc.,AMD,Information Technology
2009-01-05,2.37,2.68,2.35,2.67,Advanced Micro Devices Inc.,AMD,Information Technology
2009-01-06,2.75,2.85,2.55,2.78,Advanced Micro Devices Inc.,AMD,Information Technology
2009-01-07,2.72,2.72,2.55,2.66,Advanced Micro Devices Inc.,AMD,Information Technology
2009-01-08,2.64,2.74,2.51,2.74,Advanced Micro Devices Inc.,AMD,Information Technology
2009-01-09,2.79,2.83,2.63,2.69,Advanced Micro Devices Inc.,AMD,Information Technology
2009-01-12,2.69,2.69,2.45,2.52,Advanced Micro Devices Inc.,AMD,Information Technology
2009-01-13,2.42,2.47,2.3,2.38,Advanced Micro Devices Inc.,AMD,Information Technology
2009-01-14,2.29,2.3,2.11,2.15,Advanced Micro Devices Inc.,AMD,Information Technology
2009-01-15,2.15,2.3,2.05,2.26,Advanced Micro Devices Inc.,AMD,Information Technology
2009-01-16,2.32,2.4018,2.2,2.29,Advanced Micro Devices Inc.,AMD,Information Technology
2009-01-20,2.23,2.29,2.0,2.0,Advanced Micro Devices Inc.,AMD,Information Technology
2009-01-21,2.05,2.25,2.03,2.25,Advanced Micro Devices Inc.,AMD,Information Technology
2009-01-22,2.15,2.18,1.97,2.02,Advanced Micro Devices Inc.,AMD,Information Technology
2009-01-23,1.86,2.23,1.86,2.07,Advanced Micro Devices Inc.,AMD,Information Technology
2009-01-26,2.08,2.14,2.0,2.01,Advanced Micro Devices Inc.,AMD,Information Technology
2009-01-27,2.06,2.19,2.037,2.14,Advanced Micro Devices Inc.,AMD,Information Technology
2009-01-28,2.23,2.45,2.17,2.35,Advanced Micro Devices Inc.,AMD,Information Technology
2009-01-29,2.28,2.29,2.18,2.2,Advanced Micro Devices Inc.,AMD,Information Technology
2009-01-30,2.22,2.29,2.16,2.19,Advanced Micro Devices Inc.,AMD,Information Technology
2009-02-02,2.15,2.22,2.07,2.15,Advanced Micro Devices Inc.,AMD,Information Technology
2009-02-03,2.16,2.23,2.11,2.21,Advanced Micro Devices Inc.,AMD,Information Technology
2009-02-04,2.22,2.51,2.1499,2.27,Advanced Micro Devices Inc.,AMD,Information Technology
2009-02-05,2.26,2.44,2.21,2.36,Advanced Micro Devices Inc.,AMD,Information Technology
2009-02-06,2.42,2.47,2.33,2.41,Advanced Micro Devices Inc.,AMD,Information Technology
2009-02-09,2.36,2.41,2.33,2.36,Advanced Micro Devices Inc.,AMD,Information Technology
2009-02-10,2.36,2.4,2.0,2.11,Advanced Micro Devices Inc.,AMD,Information Technology
2009-02-11,2.16,2.21,2.09,2.15,Advanced Micro Devices Inc.,AMD,Information Technology
2009-02-12,2.18,2.3,2.11,2.28,Advanced Micro Devices Inc.,AMD,Information Technology
2009-02-13,2.3,2.46,2.25,2.42,Advanced Micro Devices Inc.,AMD,Information Technology
2009-02-17,2.3,2.4,2.28,2.37,Advanced Micro Devices Inc.,AMD,Information Technology
2009-02-18,2.35,2.5,2.12,2.2,Advanced Micro Devices Inc.,AMD,Information Technology
2009-02-19,2.3,2.3,2.11,2.12,Advanced Micro Devices Inc.,AMD,Information Technology
2009-02-20,2.08,2.13,2.0,2.03,Advanced Micro Devices Inc.,AMD,Information Technology
2009-02-23,2.09,2.09,2.01,2.02,Advanced Micro Devices Inc.,AMD,Information Technology
2009-02-24,2.05,2.18,2.02,2.12,Advanced Micro Devices Inc.,AMD,Information Technology
2009-02-25,2.13,2.28,2.07,2.22,Advanced Micro Devices Inc.,AMD,Information Technology
2009-02-26,2.26,2.28,2.09,2.09,Advanced Micro Devices Inc.,AMD,Information Technology
2009-02-27,2.08,2.2,2.05,2.18,Advanced Micro Devices Inc.,AMD,Information Technology
2009-03-02,2.13,2.21,2.01,2.01,Advanced Micro Devices Inc.,AMD,Information Technology
2009-03-03,2.14,2.19,2.07,2.07,Advanced Micro Devices Inc.,AMD,Information Technology
2009-03-04,2.15,2.33,2.14,2.3,Advanced Micro Devices Inc.,AMD,Information Technology
2009-03-05,2.21,2.3,2.14,2.16,Advanced Micro Devices Inc.,AMD,Information Technology
2009-03-06,2.18,2.22,2.09,2.14,Advanced Micro Devices Inc.,AMD,Information Technology
2009-03-09,2.11,2.26,2.1,2.14,Advanced Micro Devices Inc.,AMD,Information Technology
2009-03-10,2.21,2.35,2.19,2.32,Advanced Micro Devices Inc.,AMD,Information Technology
2009-03-11,2.34,2.35,2.25,2.31,Advanced Micro Devices Inc.,AMD,Information Technology
2009-03-12,2.3,2.44,2.27,2.4,Advanced Micro Devices Inc.,AMD,Information Technology
2009-03-13,2.39,2.6,2.35,2.52,Advanced Micro Devices Inc.,AMD,Information Technology
2009-03-16,2.51,2.72,2.44,2.48,Advanced Micro Devices Inc.,AMD,Information Technology
2009-03-17,2.48,2.88,2.43,2.76,Advanced Micro Devices Inc.,AMD,Information Technology
2009-03-18,2.76,2.97,2.73,2.97,Advanced Micro Devices Inc.,AMD,Information Technology
2009-03-19,3.04,3.19,2.84,2.96,Advanced Micro Devices Inc.,AMD,Information Technology
2009-03-20,2.97,3.1,2.67,2.67,Advanced Micro Devices Inc.,AMD,Information Technology
2009-03-23,2.87,3.03,2.83,3.02,Advanced Micro Devices Inc.,AMD,Information Technology
2009-03-24,2.96,3.2,2.88,3.14,Advanced Micro Devices Inc.,AMD,Information Technology
2009-03-25,3.21,3.78,2.93,3.17,Advanced Micro Devices Inc.,AMD,Information Technology
2009-03-26,3.3,3.59,3.21,3.56,Advanced Micro Devices Inc.,AMD,Information Technology
2009-03-27,3.43,3.55,3.35,3.37,Advanced Micro Devices Inc.,AMD,Information Technology
2009-03-30,3.2,3.29,3.1,3.19,Advanced Micro Devices Inc.,AMD,Information Technology
2009-03-31,3.31,3.36,3.04,3.05,Advanced Micro Devices Inc.,AMD,Information Technology
2009-04-01,2.98,3.21,2.92,3.02,Advanced Micro Devices Inc.,AMD,Information Technology
2009-04-02,3.19,3.25,3.04,3.16,Advanced Micro Devices Inc.,AMD,Information Technology
2009-04-03,3.13,3.43,3.07,3.43,Advanced Micro Devices Inc.,AMD,Information Technology
2009-04-06,3.3,3.56,3.25,3.53,Advanced Micro Devices Inc.,AMD,Information Technology
2009-04-07,3.41,3.49,3.39,3.44,Advanced Micro Devices Inc.,AMD,Information Technology
2009-04-08,3.5,3.73,3.43,3.68,Advanced Micro Devices Inc.,AMD,Information Technology
2009-04-09,3.78,3.92,3.68,3.75,Advanced Micro Devices Inc.,AMD,Information Technology
2009-04-13,3.75,3.78,3.54,3.61,Advanced Micro Devices Inc.,AMD,Information Technology
2009-04-14,3.59,3.85,3.53,3.63,Advanced Micro Devices Inc.,AMD,Information Technology
2009-04-15,3.53,3.59,3.32,3.44,Advanced Micro Devices Inc.,AMD,Information Technology
2009-04-16,3.52,3.6,3.47,3.57,Advanced Micro Devices Inc.,AMD,Information Technology
2009-04-17,3.58,3.6,3.49,3.56,Advanced Micro Devices Inc.,AMD,Information Technology
2009-04-20,3.43,3.45,3.26,3.31,Advanced Micro Devices Inc.,AMD,Information Technology
2009-04-21,3.23,3.36,3.2,3.36,Advanced Micro Devices Inc.,AMD,Information Technology
2009-04-22,3.2,3.45,3.17,3.33,Advanced Micro Devices Inc.,AMD,Information Technology
2009-04-23,3.37,3.55,3.26,3.53,Advanced Micro Devices Inc.,AMD,Information Technology
2009-04-24,3.55,3.75,3.48,3.51,Advanced Micro Devices Inc.,AMD,Information Technology
2009-04-27,3.43,3.61,3.42,3.47,Advanced Micro Devices Inc.,AMD,Information Technology
2009-04-28,3.41,3.55,3.35,3.41,Advanced Micro Devices Inc.,AMD,Information Technology
2009-04-29,3.4,3.56,3.38,3.51,Advanced Micro Devices Inc.,AMD,Information Technology
2009-04-30,3.55,3.73,3.53,3.61,Advanced Micro Devices Inc.,AMD,Information Technology
2009-05-01,3.55,3.9,3.55,3.82,Advanced Micro Devices Inc.,AMD,Information Technology
2009-05-04,3.9,4.3,3.83,4.26,Advanced Micro Devices Inc.,AMD,Information Technology
2009-05-05,4.36,4.39,4.11,4.32,Advanced Micro Devices Inc.,AMD,Information Technology
2009-05-06,4.45,4.45,4.12,4.31,Advanced Micro Devices Inc.,AMD,Information Technology
2009-05-07,4.22,4.35,3.91,4.01,Advanced Micro Devices Inc.,AMD,Information Technology
2009-05-08,4.12,4.15,3.84,3.93,Advanced Micro Devices Inc.,AMD,Information Technology
2009-05-11,3.9,4.37,3.87,4.22,Advanced Micro Devices Inc.,AMD,Information Technology
2009-05-12,4.41,4.5,4.13,4.35,Advanced Micro Devices Inc.,AMD,Information Technology
2009-05-13,4.36,4.67,4.33,4.38,Advanced Micro Devices Inc.,AMD,Information Technology
2009-05-14,4.35,4.57,4.07,4.24,Advanced Micro Devices Inc.,AMD,Information Technology
2009-05-15,4.26,4.37,3.93,4.01,Advanced Micro Devices Inc.,AMD,Information Technology
2009-05-18,4.19,4.25,4.06,4.14,Advanced Micro Devices Inc.,AMD,Information Technology
2009-05-19,4.3,4.5,4.24,4.39,Advanced Micro Devices Inc.,AMD,Information Technology
2009-05-20,4.57,4.76,4.44,4.5,Advanced Micro Devices Inc.,AMD,Information Technology
2009-05-21,4.45,4.46,4.25,4.34,Advanced Micro Devices Inc.,AMD,Information Technology
2009-05-22,4.43,4.43,4.25,4.26,Advanced Micro Devices Inc.,AMD,Information Technology
2009-05-26,4.26,4.57,4.23,4.53,Advanced Micro Devices Inc.,AMD,Information Technology
2009-05-27,4.57,4.8,4.55,4.71,Advanced Micro Devices Inc.,AMD,Information Technology
2009-05-28,4.75,4.84,4.54,4.7,Advanced Micro Devices Inc.,AMD,Information Technology
2009-05-29,4.71,4.78,4.38,4.54,Advanced Micro Devices Inc.,AMD,Information Technology
2009-06-01,4.69,4.9,4.64,4.73,Advanced Micro Devices Inc.,AMD,Information Technology
2009-06-02,4.68,4.7,4.55,4.56,Advanced Micro Devices Inc.,AMD,Information Technology
2009-06-03,4.55,4.6,4.34,4.48,Advanced Micro Devices Inc.,AMD,Information Technology
2009-06-04,4.57,4.74,4.54,4.65,Advanced Micro Devices Inc.,AMD,Information Technology
2009-06-05,4.84,4.87,4.61,4.63,Advanced Micro Devices Inc.,AMD,Information Technology
2009-06-08,4.58,4.67,4.5,4.61,Advanced Micro Devices Inc.,AMD,Information Technology
2009-06-09,4.7,4.8,4.68,4.75,Advanced Micro Devices Inc.,AMD,Information Technology
2009-06-10,4.81,4.86,4.7,4.82,Advanced Micro Devices Inc.,AMD,Information Technology
2009-06-11,4.83,4.87,4.68,4.7,Advanced Micro Devices Inc.,AMD,Information Technology
2009-06-12,4.75,4.79,4.33,4.47,Advanced Micro Devices Inc.,AMD,Information Technology
2009-06-15,4.39,4.45,4.21,4.26,Advanced Micro Devices Inc.,AMD,Information Technology
2009-06-16,4.3,4.35,4.1,4.13,Advanced Micro Devices Inc.,AMD,Information Technology
2009-06-17,4.13,4.17,3.86,4.08,Advanced Micro Devices Inc.,AMD,Information Technology
2009-06-18,4.03,4.07,3.81,3.85,Advanced Micro Devices Inc.,AMD,Information Technology
2009-06-19,3.92,3.98,3.86,3.87,Advanced Micro Devices Inc.,AMD,Information Technology
2009-06-22,3.84,3.86,3.61,3.62,Advanced Micro Devices Inc.,AMD,Information Technology
2009-06-23,3.67,3.69,3.425,3.55,Advanced Micro Devices Inc.,AMD,Information Technology
2009-06-24,3.63,3.78,3.6,3.66,Advanced Micro Devices Inc.,AMD,Information Technology
2009-06-25,3.62,3.68,3.53,3.64,Advanced Micro Devices Inc.,AMD,Information Technology
2009-06-26,3.69,3.71,3.62,3.62,Advanced Micro Devices Inc.,AMD,Information Technology
2009-06-29,3.72,3.78,3.65,3.72,Advanced Micro Devices Inc.,AMD,Information Technology
2009-06-30,3.77,3.98,3.74,3.87,Advanced Micro Devices Inc.,AMD,Information Technology
2009-07-01,3.93,4.05,3.88,3.91,Advanced Micro Devices Inc.,AMD,Information Technology
2009-07-02,3.84,3.89,3.76,3.82,Advanced Micro Devices Inc.,AMD,Information Technology
2009-07-06,3.74,3.77,3.5,3.55,Advanced Micro Devices Inc.,AMD,Information Technology
2009-07-07,3.63,3.63,3.35,3.43,Advanced Micro Devices Inc.,AMD,Information Technology
2009-07-08,3.43,3.49,3.22,3.36,Advanced Micro Devices Inc.,AMD,Information Technology
2009-07-09,3.43,3.56,3.38,3.48,Advanced Micro Devices Inc.,AMD,Information Technology
2009-07-10,3.43,3.56,3.42,3.49,Advanced Micro Devices Inc.,AMD,Information Technology
2009-07-13,3.53,3.6,3.36,3.56,Advanced Micro Devices Inc.,AMD,Information Technology
2009-07-14,3.59,3.61,3.49,3.55,Advanced Micro Devices Inc.,AMD,Information Technology
2009-07-15,3.8,3.97,3.8,3.86,Advanced Micro Devices Inc.,AMD,Information Technology
2009-07-16,3.9,3.95,3.76,3.92,Advanced Micro Devices Inc.,AMD,Information Technology
2009-07-17,3.95,4.0,3.89,4.0,Advanced Micro Devices Inc.,AMD,Information Technology
2009-07-20,4.03,4.18,4.0,4.17,Advanced Micro Devices Inc.,AMD,Information Technology
2009-07-21,4.25,4.25,3.95,4.08,Advanced Micro Devices Inc.,AMD,Information Technology
2009-07-22,3.54,3.64,3.41,3.55,Advanced Micro Devices Inc.,AMD,Information Technology
2009-07-23,3.54,3.6,3.49,3.59,Advanced Micro Devices Inc.,AMD,Information Technology
2009-07-24,3.56,3.81,3.54,3.77,Advanced Micro Devices Inc.,AMD,Information Technology
2009-07-27,3.82,3.84,3.71,3.8,Advanced Micro Devices Inc.,AMD,Information Technology
2009-07-28,3.77,3.81,3.7,3.77,Advanced Micro Devices Inc.,AMD,Information Technology
2009-07-29,3.77,3.79,3.65,3.71,Advanced Micro Devices Inc.,AMD,Information Technology
2009-07-30,3.78,3.81,3.65,3.66,Advanced Micro Devices Inc.,AMD,Information Technology
2009-07-31,3.69,3.73,3.65,3.66,Advanced Micro Devices Inc.,AMD,Information Technology
2009-08-03,3.75,3.78,3.7,3.74,Advanced Micro Devices Inc.,AMD,Information Technology
2009-08-04,3.75,3.85,3.68,3.76,Advanced Micro Devices Inc.,AMD,Information Technology
2009-08-05,3.77,3.79,3.7,3.75,Advanced Micro Devices Inc.,AMD,Information Technology
2009-08-06,3.75,3.79,3.66,3.71,Advanced Micro Devices Inc.,AMD,Information Technology
2009-08-07,3.77,3.77,3.66,3.7,Advanced Micro Devices Inc.,AMD,Information Technology
2009-08-10,3.71,3.71,3.65,3.68,Advanced Micro Devices Inc.,AMD,Information Technology
2009-08-11,3.68,3.69,3.55,3.59,Advanced Micro Devices Inc.,AMD,Information Technology
2009-08-12,3.6,3.63,3.56,3.59,Advanced Micro Devices Inc.,AMD,Information Technology
2009-08-13,3.61,3.71,3.52,3.68,Advanced Micro Devices Inc.,AMD,Information Technology
2009-08-14,3.66,3.76,3.59,3.69,Advanced Micro Devices Inc.,AMD,Information Technology
2009-08-17,3.565,3.61,3.52,3.55,Advanced Micro Devices Inc.,AMD,Information Technology
2009-08-18,3.55,3.58,3.49,3.56,Advanced Micro Devices Inc.,AMD,Information Technology
2009-08-19,3.4975,3.525,3.47,3.52,Advanced Micro Devices Inc.,AMD,Information Technology
2009-08-20,3.53,3.55,3.49,3.52,Advanced Micro Devices Inc.,AMD,Information Technology
2009-08-21,3.53,3.71,3.51,3.7,Advanced Micro Devices Inc.,AMD,Information Technology
2009-08-24,3.93,4.1,3.88,4.0,Advanced Micro Devices Inc.,AMD,Information Technology
2009-08-25,4.13,4.14,4.02,4.02,Advanced Micro Devices Inc.,AMD,Information Technology
2009-08-26,4.03,4.08,4.0,4.06,Advanced Micro Devices Inc.,AMD,Information Technology
2009-08-27,4.04,4.26,4.0,4.23,Advanced Micro Devices Inc.,AMD,Information Technology
2009-08-28,4.45,4.55,4.3,4.47,Advanced Micro Devices Inc.,AMD,Information Technology
2009-08-31,4.32,4.38,4.23,4.36,Advanced Micro Devices Inc.,AMD,Information Technology
2009-09-01,4.36,4.57,4.18,4.22,Advanced Micro Devices Inc.,AMD,Information Technology
2009-09-02,4.19,4.33,4.13,4.28,Advanced Micro Devices Inc.,AMD,Information Technology
2009-09-03,4.39,4.56,4.35,4.53,Advanced Micro Devices Inc.,AMD,Information Technology
2009-09-04,4.55,4.56,4.38,4.53,Advanced Micro Devices Inc.,AMD,Information Technology
2009-09-08,4.6,5.24,4.57,5.19,Advanced Micro Devices Inc.,AMD,Information Technology
2009-09-09,5.15,5.3,5.0,5.2,Advanced Micro Devices Inc.,AMD,Information Technology
2009-09-10,5.29,5.45,5.2,5.38,Advanced Micro Devices Inc.,AMD,Information Technology
2009-09-11,5.49,5.75,5.45,5.68,Advanced Micro Devices Inc.,AMD,Information Technology
2009-09-14,5.62,5.78,5.51,5.72,Advanced Micro Devices Inc.,AMD,Information Technology
2009-09-15,5.77,5.94,5.72,5.88,Advanced Micro Devices Inc.,AMD,Information Technology
2009-09-16,5.85,5.87,5.57,5.69,Advanced Micro Devices Inc.,AMD,Information Technology
2009-09-17,5.69,5.78,5.55,5.67,Advanced Micro Devices Inc.,AMD,Information Technology
2009-09-18,5.74,5.75,5.43,5.7,Advanced Micro Devices Inc.,AMD,Information Technology
2009-09-21,5.57,5.89,5.56,5.81,Advanced Micro Devices Inc.,AMD,Information Technology
2009-09-22,5.91,6.3,5.84,6.08,Advanced Micro Devices Inc.,AMD,Information Technology
2009-09-23,6.18,6.28,6.0,6.02,Advanced Micro Devices Inc.,AMD,Information Technology
2009-09-24,6.06,6.09,5.57,5.66,Advanced Micro Devices Inc.,AMD,Information Technology
2009-09-25,5.52,5.83,5.51,5.83,Advanced Micro Devices Inc.,AMD,Information Technology
2009-09-28,5.87,6.06,5.79,5.94,Advanced Micro Devices Inc.,AMD,Information Technology
2009-09-29,5.85,6.1,5.72,5.78,Advanced Micro Devices Inc.,AMD,Information Technology
2009-09-30,5.8,5.85,5.59,5.66,Advanced Micro Devices Inc.,AMD,Information Technology
2009-10-01,5.62,5.65,5.27,5.39,Advanced Micro Devices Inc.,AMD,Information Technology
2009-10-02,5.22,5.45,5.05,5.31,Advanced Micro Devices Inc.,AMD,Information Technology
2009-10-05,5.15,5.63,5.12,5.54,Advanced Micro Devices Inc.,AMD,Information Technology
2009-10-06,5.67,5.78,5.53,5.64,Advanced Micro Devices Inc.,AMD,Information Technology
2009-10-07,5.66,5.69,5.52,5.54,Advanced Micro Devices Inc.,AMD,Information Technology
2009-10-08,5.58,5.67,5.46,5.51,Advanced Micro Devices Inc.,AMD,Information Technology
2009-10-09,5.51,5.9,5.51,5.88,Advanced Micro Devices Inc.,AMD,Information Technology
2009-10-12,6.13,6.29,6.08,6.14,Advanced Micro Devices Inc.,AMD,Information Technology
