DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,43.118,43.4815,42.5027,43.4153,Amgen,AMGN,Health Care
2009-01-05,43.5846,43.9011,42.6867,43.9011,Amgen,AMGN,Health Care
2009-01-06,44.1881,44.269,42.5027,42.9369,Amgen,AMGN,Health Care
2009-01-07,42.5616,43.2387,42.4953,42.8339,Amgen,AMGN,Health Care
2009-01-08,42.7308,43.6287,42.6995,43.614,Amgen,AMGN,Health Care
2009-01-09,43.4963,44.0041,42.407,42.5248,Amgen,AMGN,Health Care
2009-01-12,42.3776,42.4806,41.465,41.9949,Amgen,AMGN,Health Care
2009-01-13,42.0685,42.7088,41.9875,42.4733,Amgen,AMGN,Health Care
2009-01-14,41.7667,42.1421,41.0307,41.2736,Amgen,AMGN,Health Care
2009-01-15,41.0381,42.1641,40.6424,42.0685,Amgen,AMGN,Health Care
2009-01-16,42.3555,42.5101,41.7446,42.3334,Amgen,AMGN,Health Care
2009-01-20,41.8698,42.5321,40.4199,40.4788,Amgen,AMGN,Health Care
2009-01-21,40.8394,40.9939,39.7796,40.8688,Amgen,AMGN,Health Care
2009-01-22,39.8973,40.8983,39.89,40.648,Amgen,AMGN,Health Care
2009-01-23,40.096,40.464,39.0068,39.1466,Amgen,AMGN,Health Care
2009-01-26,39.2276,40.2727,38.6756,40.0445,Amgen,AMGN,Health Care
2009-01-27,39.2202,39.5735,38.602,39.073,Amgen,AMGN,Health Care
2009-01-28,39.3895,40.648,39.1834,40.2948,Amgen,AMGN,Health Care
2009-01-29,39.8532,40.676,39.8532,40.3463,Amgen,AMGN,Health Care
2009-01-30,40.1844,41.0749,40.1181,40.3684,Amgen,AMGN,Health Care
2009-02-02,40.0519,41.0013,39.9636,40.7437,Amgen,AMGN,Health Care
2009-02-03,41.0455,41.8845,40.8099,41.7005,Amgen,AMGN,Health Care
2009-02-04,41.7962,42.5763,41.3398,41.7814,Amgen,AMGN,Health Care
2009-02-05,41.2736,42.0979,40.8394,42.0317,Amgen,AMGN,Health Care
2009-02-06,42.0243,42.7824,41.8182,42.7088,Amgen,AMGN,Health Care
2009-02-09,42.7014,43.3417,42.5763,43.2313,Amgen,AMGN,Health Care
2009-02-10,42.8633,43.3049,42.1347,42.2525,Amgen,AMGN,Health Care
2009-02-11,42.2745,42.8339,42.0611,42.694,Amgen,AMGN,Health Care
2009-02-12,42.3261,43.0252,42.0243,42.9884,Amgen,AMGN,Health Care
2009-02-13,42.878,43.2534,42.5395,42.6131,Amgen,AMGN,Health Care
2009-02-17,41.8109,42.2157,41.3987,41.5165,Amgen,AMGN,Health Care
2009-02-18,41.5312,42.5027,41.4355,42.2377,Amgen,AMGN,Health Care
2009-02-19,42.5616,42.6646,41.936,42.0096,Amgen,AMGN,Health Care
2009-02-20,41.8109,42.3555,41.2074,41.7226,Amgen,AMGN,Health Care
2009-02-23,41.7373,42.039,41.2147,41.3104,Amgen,AMGN,Health Care
2009-02-24,41.8182,41.9434,41.3766,41.8035,Amgen,AMGN,Health Care
2009-02-25,41.3251,42.4659,41.2074,41.6269,Amgen,AMGN,Health Care
2009-02-26,41.6269,41.6563,37.682,37.7041,Amgen,AMGN,Health Care
2009-02-27,36.8945,37.5422,35.901,36.0114,Amgen,AMGN,Health Care
2009-03-02,35.5477,35.8715,35.0693,35.2386,Amgen,AMGN,Health Care
2009-03-03,35.3269,35.9819,34.9221,35.1135,Amgen,AMGN,Health Care
2009-03-04,35.3637,36.3941,35.1282,35.7611,Amgen,AMGN,Health Care
2009-03-05,35.1135,35.2901,34.6645,34.7381,Amgen,AMGN,Health Care
2009-03-06,34.6204,35.062,33.6562,34.1346,Amgen,AMGN,Health Care
2009-03-09,33.7119,34.2818,33.7105,34.0537,Amgen,AMGN,Health Care
2009-03-10,34.5836,35.5919,34.1494,35.5771,Amgen,AMGN,Health Care
2009-03-11,35.7538,36.372,34.6921,34.7897,Amgen,AMGN,Health Care
2009-03-12,34.9,37.2699,34.7161,36.9976,Amgen,AMGN,Health Care
2009-03-13,37.2993,37.844,36.7253,37.7188,Amgen,AMGN,Health Care
2009-03-16,38.0868,38.3444,37.3435,37.3729,Amgen,AMGN,Health Care
2009-03-17,37.7115,38.2708,37.1669,38.0868,Amgen,AMGN,Health Care
2009-03-18,37.7851,37.9176,36.8577,37.1742,Amgen,AMGN,Health Care
2009-03-19,37.6011,37.6084,35.6434,35.9525,Amgen,AMGN,Health Care
2009-03-20,36.4088,36.7032,35.7096,35.7832,Amgen,AMGN,Health Care
2009-03-23,36.4603,37.4907,35.9451,37.4686,Amgen,AMGN,Health Care
2009-03-24,37.2257,37.5128,35.901,36.1144,Amgen,AMGN,Health Care
2009-03-25,36.4162,37.1153,35.8789,36.6664,Amgen,AMGN,Health Care
2009-03-26,36.843,38.0059,36.7694,37.8808,Amgen,AMGN,Health Care
2009-03-27,38.8522,38.8743,37.9028,38.0132,Amgen,AMGN,Health Care
2009-03-30,37.9028,38.2561,36.5854,37.1816,Amgen,AMGN,Health Care
2009-03-31,37.3435,37.3877,36.2542,36.4456,Amgen,AMGN,Health Care
2009-04-01,35.901,36.0114,34.6645,35.5698,Amgen,AMGN,Health Care
2009-04-02,36.1659,36.2542,34.2965,34.8044,Amgen,AMGN,Health Care
2009-04-03,35.2312,35.3048,33.9138,34.2745,Amgen,AMGN,Health Care
2009-04-06,34.1935,35.3711,34.1273,35.2092,Amgen,AMGN,Health Care
2009-04-07,34.9442,35.2828,34.51,34.8706,Amgen,AMGN,Health Care
2009-04-08,35.1061,35.3196,34.2745,35.3048,Amgen,AMGN,Health Care
2009-04-09,35.4152,35.8715,34.7823,35.2099,Amgen,AMGN,Health Care
2009-04-13,34.9368,35.2828,34.8044,34.9957,Amgen,AMGN,Health Care
2009-04-14,34.7234,35.636,34.4437,35.3858,Amgen,AMGN,Health Care
2009-04-15,34.9663,35.3269,34.6866,35.0472,Amgen,AMGN,Health Care
2009-04-16,35.0546,35.2312,34.0022,34.7234,Amgen,AMGN,Health Care
2009-04-17,34.9221,35.2754,34.3701,34.6425,Amgen,AMGN,Health Care
2009-04-20,34.3113,34.5321,33.2515,33.6636,Amgen,AMGN,Health Care
2009-04-21,34.0022,34.2671,33.1558,33.9212,Amgen,AMGN,Health Care
2009-04-22,34.061,34.0905,33.0895,33.1999,Amgen,AMGN,Health Care
2009-04-23,33.1926,34.6645,33.119,34.4585,Amgen,AMGN,Health Care
2009-04-24,35.3784,36.8136,35.0988,36.6738,Amgen,AMGN,Health Care
2009-04-27,36.3646,37.2037,36.3058,36.9313,Amgen,AMGN,Health Care
2009-04-28,36.7474,37.5864,36.6885,37.1227,Amgen,AMGN,Health Care
2009-04-29,37.2993,38.0942,37.0344,37.5569,Amgen,AMGN,Health Care
2009-04-30,37.7777,37.7777,35.5109,35.6728,Amgen,AMGN,Health Care
2009-05-01,35.6802,36.1328,35.3784,35.7759,Amgen,AMGN,Health Care
2009-05-04,36.1512,36.2027,35.3858,35.7023,Amgen,AMGN,Health Care
2009-05-05,35.717,35.9746,34.9736,35.3196,Amgen,AMGN,Health Care
2009-05-06,35.636,35.6875,34.5541,35.0546,Amgen,AMGN,Health Care
2009-05-07,35.2092,35.6176,34.2597,34.6498,Amgen,AMGN,Health Care
2009-05-08,34.7676,35.1871,34.1935,34.7381,Amgen,AMGN,Health Care
2009-05-11,34.4437,35.4594,34.2229,35.268,Amgen,AMGN,Health Care
2009-05-12,35.2239,36.0629,34.9589,35.4888,Amgen,AMGN,Health Care
2009-05-13,35.5256,36.1071,35.3269,35.3637,Amgen,AMGN,Health Care
2009-05-14,35.5992,36.0703,35.3269,35.4594,Amgen,AMGN,Health Care
2009-05-15,35.5919,35.7391,34.9589,35.4447,Amgen,AMGN,Health Care
2009-05-18,35.8127,36.4014,35.2092,36.3131,Amgen,AMGN,Health Care
2009-05-19,36.2763,36.8611,36.1144,36.7547,Amgen,AMGN,Health Care
2009-05-20,36.8504,37.5348,36.7326,37.2331,Amgen,AMGN,Health Care
2009-05-21,36.7989,37.1889,35.9157,36.4235,Amgen,AMGN,Health Care
2009-05-22,36.5781,36.7179,36.0703,36.2837,Amgen,AMGN,Health Care
2009-05-26,35.5919,37.1153,35.4741,37.0417,Amgen,AMGN,Health Care
2009-05-27,36.924,37.395,36.3794,36.6149,Amgen,AMGN,Health Care
2009-05-28,36.6149,37.1374,36.3867,36.8577,Amgen,AMGN,Health Care
2009-05-29,36.7989,37.0417,36.1365,36.7547,Amgen,AMGN,Health Care
2009-06-01,37.1301,37.2625,36.7032,36.8725,Amgen,AMGN,Health Care
2009-06-02,37.2405,37.8145,37.0506,37.3361,Amgen,AMGN,Health Care
2009-06-03,37.3582,38.3591,36.7915,38.2119,Amgen,AMGN,Health Care
2009-06-04,38.2267,38.5284,37.1963,37.5422,Amgen,AMGN,Health Care
2009-06-05,37.9028,38.0648,36.9093,37.4539,Amgen,AMGN,Health Care
