DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,10.7536,10.8739,10.7483,10.8498,AstraZeneca,AZN,Health Care
2009-01-05,10.521,10.6119,10.4409,10.5745,AstraZeneca,AZN,Health Care
2009-01-06,10.7589,11.1626,10.7135,11.1011,AstraZeneca,AZN,Health Care
2009-01-07,11.077,11.2267,10.9167,11.0022,AstraZeneca,AZN,Health Care
2009-01-08,11.053,11.1786,10.938,11.1198,AstraZeneca,AZN,Health Care
2009-01-09,11.2027,11.2374,11.0369,11.0904,AstraZeneca,AZN,Health Care
2009-01-12,10.8819,10.9755,10.8204,10.9247,AstraZeneca,AZN,Health Care
2009-01-13,10.6119,10.7589,10.5905,10.7456,AstraZeneca,AZN,Health Care
2009-01-14,10.5344,10.6758,10.3927,10.636,AstraZeneca,AZN,Health Care
2009-01-15,10.652,10.8365,10.489,10.799,AstraZeneca,AZN,Health Care
2009-01-16,10.8472,10.8632,10.505,10.7055,AstraZeneca,AZN,Health Care
2009-01-20,10.5291,10.5852,10.3232,10.3313,AstraZeneca,AZN,Health Care
2009-01-21,10.211,10.4141,9.9677,10.4141,AstraZeneca,AZN,Health Care
2009-01-22,10.2083,10.4034,10.1522,10.342,AstraZeneca,AZN,Health Care
2009-01-23,10.4328,10.644,10.3206,10.6093,AstraZeneca,AZN,Health Care
2009-01-26,10.8659,11.0396,10.8151,10.9113,AstraZeneca,AZN,Health Care
2009-01-27,10.7777,10.8445,10.5317,10.6894,AstraZeneca,AZN,Health Care
2009-01-28,11.0476,11.0797,10.8792,11.0236,AstraZeneca,AZN,Health Care
2009-01-29,10.342,10.4355,10.1575,10.2537,AstraZeneca,AZN,Health Care
2009-01-30,10.2831,10.3687,10.1655,10.2992,AstraZeneca,AZN,Health Care
2009-02-02,10.0533,10.3473,10.0372,10.3019,AstraZeneca,AZN,Health Care
2009-02-03,10.5291,10.7857,10.4195,10.7349,AstraZeneca,AZN,Health Care
2009-02-04,10.6646,10.7535,10.4311,10.4756,AstraZeneca,AZN,Health Care
2009-02-05,10.5534,10.7563,10.4951,10.6841,AstraZeneca,AZN,Health Care
2009-02-06,10.3644,10.7146,10.3533,10.6285,AstraZeneca,AZN,Health Care
2009-02-09,10.7535,10.7813,10.6479,10.7563,AstraZeneca,AZN,Health Care
2009-02-10,10.7313,10.8508,10.4812,10.5173,AstraZeneca,AZN,Health Care
2009-02-11,10.4145,10.5562,10.3839,10.5062,AstraZeneca,AZN,Health Care
2009-02-12,10.2838,10.4784,10.2255,10.4784,AstraZeneca,AZN,Health Care
2009-02-13,10.4228,10.47,10.231,10.281,AstraZeneca,AZN,Health Care
2009-02-17,9.9837,10.0059,9.8558,9.8808,AstraZeneca,AZN,Health Care
2009-02-18,9.8558,9.9225,9.7085,9.8697,AstraZeneca,AZN,Health Care
2009-02-19,9.9642,10.0337,9.8419,9.8753,AstraZeneca,AZN,Health Care
2009-02-20,9.6918,9.8836,9.6751,9.8308,AstraZeneca,AZN,Health Care
2009-02-23,9.8669,9.878,9.5056,9.5417,AstraZeneca,AZN,Health Care
2009-02-24,9.7724,9.853,9.6209,9.8197,AstraZeneca,AZN,Health Care
2009-02-25,9.6668,9.7029,9.4083,9.4361,AstraZeneca,AZN,Health Care
