DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,17.132,18.5109,17.0362,18.2767,Baker Hughes,BKR,Energy
2009-01-05,18.2234,19.3707,17.9413,19.0433,Baker Hughes,BKR,Energy
2009-01-06,19.3521,20.7363,19.3521,20.2731,Baker Hughes,BKR,Energy
2009-01-07,19.8046,19.8312,18.857,19.1232,Baker Hughes,BKR,Energy
2009-01-08,18.8889,19.7993,18.5908,19.762,Baker Hughes,BKR,Energy
2009-01-09,19.8152,19.8525,18.101,18.3086,Baker Hughes,BKR,Energy
2009-01-12,18.0797,18.2394,17.0788,17.329,Baker Hughes,BKR,Energy
2009-01-13,17.3184,18.1436,17.0415,18.0424,Baker Hughes,BKR,Energy
2009-01-14,17.329,17.7815,16.605,16.8765,Baker Hughes,BKR,Energy
2009-01-15,16.8339,17.4142,16.3015,17.2811,Baker Hughes,BKR,Energy
2009-01-16,17.5952,17.7283,16.5517,16.9723,Baker Hughes,BKR,Energy
2009-01-20,16.2376,16.9723,15.4125,15.5349,Baker Hughes,BKR,Energy
2009-01-21,15.7585,16.9989,15.6733,16.8978,Baker Hughes,BKR,Energy
2009-01-22,16.5997,16.9244,15.9502,16.2909,Baker Hughes,BKR,Energy
2009-01-23,15.8011,17.3769,15.5722,17.1374,Baker Hughes,BKR,Energy
2009-01-26,17.4781,18.4949,17.0202,17.3077,Baker Hughes,BKR,Energy
2009-01-27,17.329,17.8295,16.7168,17.4461,Baker Hughes,BKR,Energy
2009-01-28,18.2873,19.2988,17.8348,18.9049,Baker Hughes,BKR,Energy
2009-01-29,18.5594,18.9844,18.2225,18.4364,Baker Hughes,BKR,Energy
2009-01-30,18.9657,19.0032,17.6771,17.8161,Baker Hughes,BKR,Energy
2009-02-02,17.4846,17.9338,17.2173,17.5114,Baker Hughes,BKR,Energy
2009-02-03,17.6236,18.03,17.2868,17.7947,Baker Hughes,BKR,Energy
2009-02-04,17.9605,18.8588,17.9605,18.3829,Baker Hughes,BKR,Energy
2009-02-05,18.2278,19.1529,17.7466,19.0406,Baker Hughes,BKR,Energy
2009-02-06,18.6716,19.7303,18.661,19.4844,Baker Hughes,BKR,Energy
2009-02-09,19.5325,20.0779,18.9176,19.2117,Baker Hughes,BKR,Energy
2009-02-10,19.2545,19.6555,18.2225,18.4631,Baker Hughes,BKR,Energy
2009-02-11,18.7091,18.9764,17.7038,18.3241,Baker Hughes,BKR,Energy
2009-02-12,18.03,18.1797,17.2547,17.768,Baker Hughes,BKR,Energy
2009-02-13,17.768,18.2332,17.4686,17.784,Baker Hughes,BKR,Energy
2009-02-17,17.2387,17.3135,16.2815,16.3831,Baker Hughes,BKR,Energy
2009-02-18,16.7735,16.9018,16.0784,16.6826,Baker Hughes,BKR,Energy
2009-02-19,17.0943,17.3937,16.7735,16.8644,Baker Hughes,BKR,Energy
2009-02-20,16.4473,16.843,15.5757,16.1211,Baker Hughes,BKR,Energy
2009-02-23,15.9714,16.4954,15.0785,15.1373,Baker Hughes,BKR,Energy
2009-02-24,15.287,16.3297,15.1854,16.2334,Baker Hughes,BKR,Energy
2009-02-25,16.1479,16.319,15.3619,15.5757,Baker Hughes,BKR,Energy
2009-02-26,15.7789,16.3618,15.7789,15.811,Baker Hughes,BKR,Energy
2009-02-27,15.3405,16.2308,15.1587,15.672,Baker Hughes,BKR,Energy
2009-03-02,15.2977,15.5597,14.239,14.3299,Baker Hughes,BKR,Energy
2009-03-03,14.64,15.0624,14.2978,14.4689,Baker Hughes,BKR,Energy
2009-03-04,15.164,15.7148,14.9715,15.2817,Baker Hughes,BKR,Energy
2009-03-05,14.8432,15.148,14.3032,14.4529,Baker Hughes,BKR,Energy
2009-03-06,14.6347,14.7684,13.7364,14.2123,Baker Hughes,BKR,Energy
2009-03-09,13.9717,15.1694,13.8861,14.5277,Baker Hughes,BKR,Energy
2009-03-10,14.8111,15.8591,14.7684,15.6453,Baker Hughes,BKR,Energy
2009-03-11,15.5704,15.8271,15.025,15.3512,Baker Hughes,BKR,Energy
2009-03-12,15.3405,16.0356,15.0143,15.9447,Baker Hughes,BKR,Energy
2009-03-13,15.7415,15.9875,15.3565,15.6827,Baker Hughes,BKR,Energy
2009-03-16,15.7522,16.6933,15.2549,16.0997,Baker Hughes,BKR,Energy
2009-03-17,16.1693,16.6077,15.6987,16.4633,Baker Hughes,BKR,Energy
2009-03-18,16.2976,17.2814,15.8271,16.9927,Baker Hughes,BKR,Energy
2009-03-19,17.645,18.3455,17.3242,17.784,Baker Hughes,BKR,Energy
2009-03-20,17.784,17.9605,16.5382,16.5917,Baker Hughes,BKR,Energy
2009-03-23,17.1103,18.3401,16.9018,18.3401,Baker Hughes,BKR,Energy
2009-03-24,17.9872,18.292,17.5541,17.8963,Baker Hughes,BKR,Energy
2009-03-25,17.8215,18.169,16.8216,17.5007,Baker Hughes,BKR,Energy
2009-03-26,17.6931,18.2385,17.3616,17.5274,Baker Hughes,BKR,Energy
2009-03-27,17.1478,17.244,16.5061,16.7414,Baker Hughes,BKR,Energy
2009-03-30,16.2334,16.458,15.6239,15.8217,Baker Hughes,BKR,Energy
2009-03-31,16.1586,16.1586,15.1908,15.2656,Baker Hughes,BKR,Energy
2009-04-01,14.9983,15.4848,14.624,15.3619,Baker Hughes,BKR,Energy
2009-04-02,16.18,16.6291,15.9019,16.0035,Baker Hughes,BKR,Energy
2009-04-03,15.9607,17.0408,15.9393,16.843,Baker Hughes,BKR,Energy
2009-04-06,16.4794,16.6024,15.9313,16.2388,Baker Hughes,BKR,Energy
2009-04-07,15.9019,16.0302,15.5223,15.6239,Baker Hughes,BKR,Energy
2009-04-08,15.6453,15.9875,15.0517,15.9073,Baker Hughes,BKR,Energy
2009-04-09,16.442,16.5596,16.0356,16.5596,Baker Hughes,BKR,Energy
2009-04-13,16.18,16.6024,15.7255,16.442,Baker Hughes,BKR,Energy
2009-04-14,16.2762,16.9767,15.9875,16.458,Baker Hughes,BKR,Energy
2009-04-15,16.3671,16.9018,16.3618,16.7414,Baker Hughes,BKR,Energy
2009-04-16,16.8804,17.8322,16.6665,17.629,Baker Hughes,BKR,Energy
2009-04-17,17.7038,17.9177,17.3189,17.7734,Baker Hughes,BKR,Energy
2009-04-20,17.228,17.4258,16.5542,16.6238,Baker Hughes,BKR,Energy
2009-04-21,16.4206,17.5007,16.2869,17.4953,Baker Hughes,BKR,Energy
2009-04-22,17.2975,18.5487,17.0729,17.9231,Baker Hughes,BKR,Energy
2009-04-23,17.9979,18.3455,17.4365,17.9552,Baker Hughes,BKR,Energy
2009-04-24,18.3776,19.078,18.3134,18.9604,Baker Hughes,BKR,Energy
2009-04-27,18.4898,18.8481,18.1263,18.4417,Baker Hughes,BKR,Energy
2009-04-28,18.2332,18.5059,17.8749,18.1476,Baker Hughes,BKR,Energy
2009-04-29,18.7144,20.0832,18.4631,19.7571,Baker Hughes,BKR,Energy
2009-04-30,19.8994,19.9102,18.8148,19.1048,Baker Hughes,BKR,Energy
2009-05-01,19.3088,20.0444,19.0242,19.8189,Baker Hughes,BKR,Energy
