DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,5.0163,5.2211,4.987,5.1668,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-01-05,5.125,5.3883,5.125,5.3758,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-01-06,5.4218,5.6308,5.2336,5.2796,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-01-07,5.2211,5.3089,5.0623,5.1166,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-01-08,5.1124,5.242,5.0163,5.242,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-01-09,5.2044,5.3005,5.0414,5.0999,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-01-12,5.1333,5.1333,4.8762,4.9201,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-01-13,4.9285,5.0288,4.895,4.9745,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-01-14,4.8825,4.8825,4.6317,4.7195,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-01-15,4.7153,4.7947,4.5773,4.778,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-01-16,4.8449,4.9285,4.7738,4.8741,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-01-20,4.8783,4.8992,4.6108,4.6275,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-01-21,4.6359,4.8198,4.5982,4.8073,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-01-22,4.7237,4.9076,4.6693,4.87,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-01-23,4.7905,4.8825,4.6902,4.8407,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-01-26,4.87,5.125,4.8282,5.0246,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-01-27,5.0455,5.2587,5.033,5.0999,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-01-28,5.1709,5.2587,5.0455,5.1542,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-01-29,5.1584,5.1626,5.0163,5.0414,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-01-30,5.0999,5.1041,4.6568,4.6944,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-02-02,4.6944,4.7655,4.5564,4.7362,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-02-03,4.7446,4.9327,4.6902,4.895,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-02-04,4.9536,5.0623,4.8867,4.9577,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-02-05,4.9327,5.079,4.8741,5.0372,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-02-06,5.0915,5.2922,5.0706,5.2754,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-02-09,5.2629,5.2963,5.1124,5.1877,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-02-10,5.1835,5.2462,4.9536,4.9954,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-02-11,5.196,5.5806,5.1709,5.4761,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-02-12,5.4845,5.6349,5.2629,5.4259,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-02-13,5.4636,5.6726,5.4176,5.6015,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-02-17,5.4803,5.5263,5.3298,5.3716,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-02-18,5.334,5.38,5.0999,5.2086,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-02-19,5.3214,5.3883,5.2044,5.2295,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-02-20,5.1668,5.2545,5.0163,5.1417,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-02-23,5.1793,5.2169,4.9849,5.0079,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-02-24,5.0455,5.1584,4.9661,5.1291,Coca-Cola Europacific Partners,CCEP,Consumer Staples
2009-02-25,5.0664,5.1584,4.9954,5.079,Coca-Cola Europacific Partners,CCEP,Consumer Staples
