DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,3.63,3.9,3.53,3.84,Cadence Design Systems,CDNS,Information Technology
2009-01-05,3.88,4.0,3.68,3.98,Cadence Design Systems,CDNS,Information Technology
2009-01-06,4.0,4.19,3.93,4.17,Cadence Design Systems,CDNS,Information Technology
2009-01-07,4.06,4.098,3.92,4.03,Cadence Design Systems,CDNS,Information Technology
2009-01-08,4.0,4.17,3.87,4.12,Cadence Design Systems,CDNS,Information Technology
2009-01-09,4.11,4.48,3.9,4.29,Cadence Design Systems,CDNS,Information Technology
2009-01-12,4.43,4.45,4.02,4.12,Cadence Design Systems,CDNS,Information Technology
2009-01-13,4.105,4.18,4.03,4.11,Cadence Design Systems,CDNS,Information Technology
2009-01-14,4.05,4.16,3.93,4.07,Cadence Design Systems,CDNS,Information Technology
2009-01-15,4.05,4.2,3.76,3.94,Cadence Design Systems,CDNS,Information Technology
2009-01-16,4.04,4.1196,3.75,3.99,Cadence Design Systems,CDNS,Information Technology
2009-01-20,3.88,3.99,3.59,3.63,Cadence Design Systems,CDNS,Information Technology
2009-01-21,3.68,3.82,3.5,3.79,Cadence Design Systems,CDNS,Information Technology
2009-01-22,3.68,3.69,3.51,3.53,Cadence Design Systems,CDNS,Information Technology
2009-01-23,3.64,3.9,3.5,3.86,Cadence Design Systems,CDNS,Information Technology
2009-01-26,3.95,4.11,3.775,3.9,Cadence Design Systems,CDNS,Information Technology
2009-01-27,3.9,4.1,3.81,4.06,Cadence Design Systems,CDNS,Information Technology
2009-01-28,4.12,4.2,3.96,4.18,Cadence Design Systems,CDNS,Information Technology
2009-01-29,4.13,4.17,3.93,4.01,Cadence Design Systems,CDNS,Information Technology
2009-01-30,4.04,4.12,3.7,3.78,Cadence Design Systems,CDNS,Information Technology
2009-02-02,3.1,3.75,3.03,3.64,Cadence Design Systems,CDNS,Information Technology
2009-02-03,3.53,3.72,3.5,3.68,Cadence Design Systems,CDNS,Information Technology
2009-02-04,3.66,3.77,3.52,3.65,Cadence Design Systems,CDNS,Information Technology
2009-02-05,3.58,4.36,3.53,4.2,Cadence Design Systems,CDNS,Information Technology
2009-02-06,4.12,4.55,4.12,4.5,Cadence Design Systems,CDNS,Information Technology
2009-02-09,4.35,4.6,4.3225,4.55,Cadence Design Systems,CDNS,Information Technology
2009-02-10,4.49,4.64,4.2,4.26,Cadence Design Systems,CDNS,Information Technology
2009-02-11,4.27,4.39,4.21,4.3,Cadence Design Systems,CDNS,Information Technology
2009-02-12,4.25,4.35,4.13,4.35,Cadence Design Systems,CDNS,Information Technology
2009-02-13,4.34,4.39,4.17,4.23,Cadence Design Systems,CDNS,Information Technology
2009-02-17,4.16,4.19,4.0,4.01,Cadence Design Systems,CDNS,Information Technology
2009-02-18,4.0,4.01,3.8,3.86,Cadence Design Systems,CDNS,Information Technology
2009-02-19,3.91,4.07,3.86,3.94,Cadence Design Systems,CDNS,Information Technology
2009-02-20,3.85,4.09,3.74,3.85,Cadence Design Systems,CDNS,Information Technology
2009-02-23,3.85,3.94,3.75,3.79,Cadence Design Systems,CDNS,Information Technology
2009-02-24,3.85,3.99,3.77,3.98,Cadence Design Systems,CDNS,Information Technology
2009-02-25,3.93,4.21,3.83,4.11,Cadence Design Systems,CDNS,Information Technology
2009-02-26,4.14,4.4,4.12,4.25,Cadence Design Systems,CDNS,Information Technology
2009-02-27,4.19,4.35,4.16,4.2,Cadence Design Systems,CDNS,Information Technology
2009-03-02,4.13,4.2,3.93,3.97,Cadence Design Systems,CDNS,Information Technology
2009-03-03,4.0,4.0,3.8,3.83,Cadence Design Systems,CDNS,Information Technology
2009-03-04,3.89,4.01,3.75,3.83,Cadence Design Systems,CDNS,Information Technology
2009-03-05,3.78,3.88,3.62,3.73,Cadence Design Systems,CDNS,Information Technology
2009-03-06,3.73,3.85,3.59,3.7,Cadence Design Systems,CDNS,Information Technology
2009-03-09,3.66,3.8201,3.5675,3.6,Cadence Design Systems,CDNS,Information Technology
2009-03-10,3.7,3.92,3.67,3.83,Cadence Design Systems,CDNS,Information Technology
2009-03-11,3.88,3.99,3.79,3.82,Cadence Design Systems,CDNS,Information Technology
2009-03-12,3.85,4.2,3.8,4.12,Cadence Design Systems,CDNS,Information Technology
2009-03-13,4.14,4.15,4.03,4.11,Cadence Design Systems,CDNS,Information Technology
2009-03-16,4.13,4.21,4.03,4.04,Cadence Design Systems,CDNS,Information Technology
2009-03-17,4.05,4.23,4.01,4.23,Cadence Design Systems,CDNS,Information Technology
2009-03-18,4.2,4.39,4.16,4.39,Cadence Design Systems,CDNS,Information Technology
2009-03-19,4.4,4.4,4.16,4.2,Cadence Design Systems,CDNS,Information Technology
2009-03-20,4.16,4.18,3.9,3.93,Cadence Design Systems,CDNS,Information Technology
2009-03-23,4.02,4.26,3.92,4.26,Cadence Design Systems,CDNS,Information Technology
2009-03-24,4.22,4.23,4.11,4.14,Cadence Design Systems,CDNS,Information Technology
2009-03-25,4.01,4.26,4.0,4.16,Cadence Design Systems,CDNS,Information Technology
2009-03-26,4.21,4.5,4.21,4.5,Cadence Design Systems,CDNS,Information Technology
2009-03-27,4.41,4.44,4.22,4.23,Cadence Design Systems,CDNS,Information Technology
2009-03-30,4.06,4.121,4.0,4.08,Cadence Design Systems,CDNS,Information Technology
2009-03-31,4.12,4.31,4.08,4.2,Cadence Design Systems,CDNS,Information Technology
2009-04-01,4.11,4.27,4.05,4.25,Cadence Design Systems,CDNS,Information Technology
2009-04-02,4.36,4.51,4.36,4.43,Cadence Design Systems,CDNS,Information Technology
2009-04-03,4.47,4.56,4.45,4.54,Cadence Design Systems,CDNS,Information Technology
2009-04-06,4.47,4.5,4.4,4.48,Cadence Design Systems,CDNS,Information Technology
2009-04-07,4.41,4.41,4.26,4.28,Cadence Design Systems,CDNS,Information Technology
2009-04-08,4.32,4.65,4.29,4.62,Cadence Design Systems,CDNS,Information Technology
2009-04-09,4.67,4.88,4.66,4.87,Cadence Design Systems,CDNS,Information Technology
2009-04-13,4.83,4.95,4.74,4.89,Cadence Design Systems,CDNS,Information Technology
2009-04-14,4.82,4.96,4.76,4.84,Cadence Design Systems,CDNS,Information Technology
2009-04-15,4.82,4.86,4.67,4.85,Cadence Design Systems,CDNS,Information Technology
2009-04-16,4.92,4.92,4.69,4.81,Cadence Design Systems,CDNS,Information Technology
2009-04-17,4.83,4.915,4.7,4.87,Cadence Design Systems,CDNS,Information Technology
2009-04-20,4.74,4.78,4.585,4.59,Cadence Design Systems,CDNS,Information Technology
2009-04-21,4.57,4.88,4.46,4.75,Cadence Design Systems,CDNS,Information Technology
2009-04-22,4.7,4.88,4.68,4.74,Cadence Design Systems,CDNS,Information Technology
2009-04-23,4.76,4.84,4.54,4.65,Cadence Design Systems,CDNS,Information Technology
2009-04-24,4.67,4.81,4.61,4.68,Cadence Design Systems,CDNS,Information Technology
2009-04-27,4.6,4.73,4.55,4.59,Cadence Design Systems,CDNS,Information Technology
2009-04-28,4.54,4.65,4.48,4.61,Cadence Design Systems,CDNS,Information Technology
2009-04-29,4.68,4.83,4.61,4.81,Cadence Design Systems,CDNS,Information Technology
2009-04-30,5.05,5.7,5.01,5.58,Cadence Design Systems,CDNS,Information Technology
2009-05-01,5.56,5.7,5.2831,5.33,Cadence Design Systems,CDNS,Information Technology
2009-05-04,5.4,5.68,5.34,5.67,Cadence Design Systems,CDNS,Information Technology
2009-05-05,5.68,5.79,5.47,5.53,Cadence Design Systems,CDNS,Information Technology
2009-05-06,5.63,5.66,5.4,5.598,Cadence Design Systems,CDNS,Information Technology
2009-05-07,6.25,6.25,5.68,5.88,Cadence Design Systems,CDNS,Information Technology
2009-05-08,6.0,6.04,5.8,5.87,Cadence Design Systems,CDNS,Information Technology
2009-05-11,6.01,6.02,5.7,5.73,Cadence Design Systems,CDNS,Information Technology
2009-05-12,5.84,5.84,5.34,5.4,Cadence Design Systems,CDNS,Information Technology
2009-05-13,5.35,5.38,5.11,5.18,Cadence Design Systems,CDNS,Information Technology
2009-05-14,5.17,5.41,5.08,5.36,Cadence Design Systems,CDNS,Information Technology
2009-05-15,5.32,5.4801,5.3,5.39,Cadence Design Systems,CDNS,Information Technology
2009-05-18,5.39,5.68,5.35,5.67,Cadence Design Systems,CDNS,Information Technology
2009-05-19,5.6401,5.85,5.6,5.75,Cadence Design Systems,CDNS,Information Technology
2009-05-20,5.8,5.96,5.73,5.75,Cadence Design Systems,CDNS,Information Technology
2009-05-21,5.6,5.76,5.47,5.55,Cadence Design Systems,CDNS,Information Technology
2009-05-22,5.56,5.71,5.46,5.62,Cadence Design Systems,CDNS,Information Technology
2009-05-26,5.56,5.8201,5.46,5.78,Cadence Design Systems,CDNS,Information Technology
2009-05-27,5.74,5.99,5.72,5.78,Cadence Design Systems,CDNS,Information Technology
2009-05-28,5.8,6.0025,5.75,5.99,Cadence Design Systems,CDNS,Information Technology
2009-05-29,5.96,6.0,5.55,5.65,Cadence Design Systems,CDNS,Information Technology
2009-06-01,5.74,5.83,5.621,5.7,Cadence Design Systems,CDNS,Information Technology
2009-06-02,5.81,5.85,5.63,5.81,Cadence Design Systems,CDNS,Information Technology
2009-06-03,5.8,5.82,5.67,5.79,Cadence Design Systems,CDNS,Information Technology
2009-06-04,5.9,6.05,5.85,6.02,Cadence Design Systems,CDNS,Information Technology
2009-06-05,6.1,6.13,5.91,5.97,Cadence Design Systems,CDNS,Information Technology
2009-06-08,5.92,5.96,5.66,5.81,Cadence Design Systems,CDNS,Information Technology
2009-06-09,5.86,5.95,5.81,5.92,Cadence Design Systems,CDNS,Information Technology
2009-06-10,5.97,6.0,5.8,5.93,Cadence Design Systems,CDNS,Information Technology
2009-06-11,5.94,6.4,5.93,6.35,Cadence Design Systems,CDNS,Information Technology
2009-06-12,6.38,6.38,6.13,6.31,Cadence Design Systems,CDNS,Information Technology
2009-06-15,6.18,6.27,5.9,6.04,Cadence Design Systems,CDNS,Information Technology
2009-06-16,6.07,6.24,5.95,5.96,Cadence Design Systems,CDNS,Information Technology
2009-06-17,5.98,6.1,5.92,6.05,Cadence Design Systems,CDNS,Information Technology
2009-06-18,6.03,6.09,5.95,6.06,Cadence Design Systems,CDNS,Information Technology
2009-06-19,6.03,6.16,6.0,6.01,Cadence Design Systems,CDNS,Information Technology
2009-06-22,5.96,6.01,5.65,5.66,Cadence Design Systems,CDNS,Information Technology
2009-06-23,5.69,5.8,5.61,5.67,Cadence Design Systems,CDNS,Information Technology
2009-06-24,5.68,5.9,5.68,5.77,Cadence Design Systems,CDNS,Information Technology
2009-06-25,5.74,5.96,5.71,5.95,Cadence Design Systems,CDNS,Information Technology
2009-06-26,5.91,6.05,5.82,6.01,Cadence Design Systems,CDNS,Information Technology
2009-06-29,6.0,6.13,5.86,6.09,Cadence Design Systems,CDNS,Information Technology
2009-06-30,6.1,6.15,5.8075,5.9,Cadence Design Systems,CDNS,Information Technology
2009-07-01,5.95,6.04,5.81,5.93,Cadence Design Systems,CDNS,Information Technology
2009-07-02,5.85,5.88,5.68,5.78,Cadence Design Systems,CDNS,Information Technology
2009-07-06,5.68,5.69,5.53,5.62,Cadence Design Systems,CDNS,Information Technology
2009-07-07,5.6,5.6,5.33,5.36,Cadence Design Systems,CDNS,Information Technology
2009-07-08,5.3,5.42,5.12,5.28,Cadence Design Systems,CDNS,Information Technology
2009-07-09,5.3,5.5,5.28,5.37,Cadence Design Systems,CDNS,Information Technology
2009-07-10,5.34,5.47,5.3,5.43,Cadence Design Systems,CDNS,Information Technology
2009-07-13,5.46,5.56,5.26,5.55,Cadence Design Systems,CDNS,Information Technology
2009-07-14,5.53,5.61,5.44,5.53,Cadence Design Systems,CDNS,Information Technology
2009-07-15,5.68,5.79,5.51,5.77,Cadence Design Systems,CDNS,Information Technology
2009-07-16,5.75,5.96,5.75,5.93,Cadence Design Systems,CDNS,Information Technology
2009-07-17,5.94,5.95,5.82,5.92,Cadence Design Systems,CDNS,Information Technology
2009-07-20,5.91,6.02,5.83,5.87,Cadence Design Systems,CDNS,Information Technology
2009-07-21,5.86,6.0,5.8301,6.0,Cadence Design Systems,CDNS,Information Technology
2009-07-22,5.98,6.0,5.84,5.93,Cadence Design Systems,CDNS,Information Technology
2009-07-23,5.9,6.2,5.86,6.14,Cadence Design Systems,CDNS,Information Technology
2009-07-24,6.18,6.1805,6.029,6.17,Cadence Design Systems,CDNS,Information Technology
2009-07-27,6.15,6.22,6.08,6.14,Cadence Design Systems,CDNS,Information Technology
2009-07-28,6.12,6.25,6.05,6.23,Cadence Design Systems,CDNS,Information Technology
2009-07-29,6.18,6.24,6.08,6.23,Cadence Design Systems,CDNS,Information Technology
2009-07-30,6.28,6.6,6.14,6.22,Cadence Design Systems,CDNS,Information Technology
2009-07-31,6.22,6.3,5.9,5.9,Cadence Design Systems,CDNS,Information Technology
2009-08-03,5.86,6.0,5.77,5.97,Cadence Design Systems,CDNS,Information Technology
2009-08-04,5.9,6.03,5.9,5.95,Cadence Design Systems,CDNS,Information Technology
2009-08-05,5.92,5.94,5.65,5.7,Cadence Design Systems,CDNS,Information Technology
2009-08-06,5.7,5.89,5.69,5.81,Cadence Design Systems,CDNS,Information Technology
2009-08-07,5.89,5.95,5.84,5.9,Cadence Design Systems,CDNS,Information Technology
2009-08-10,5.89,5.9,5.66,5.73,Cadence Design Systems,CDNS,Information Technology
2009-08-11,5.71,5.72,5.53,5.55,Cadence Design Systems,CDNS,Information Technology
2009-08-12,5.54,5.9,5.532,5.78,Cadence Design Systems,CDNS,Information Technology
2009-08-13,5.83,5.93,5.73,5.92,Cadence Design Systems,CDNS,Information Technology
2009-08-14,5.89,5.9,5.7,5.852,Cadence Design Systems,CDNS,Information Technology
2009-08-17,5.71,5.77,5.6,5.69,Cadence Design Systems,CDNS,Information Technology
2009-08-18,5.74,5.83,5.68,5.79,Cadence Design Systems,CDNS,Information Technology
2009-08-19,5.7,5.88,5.67,5.81,Cadence Design Systems,CDNS,Information Technology
2009-08-20,5.85,5.95,5.75,5.87,Cadence Design Systems,CDNS,Information Technology
