,DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
0,2013-06-27,15.891,16.8909,15.6567,16.5486,CDW Corporation,CDW,Information Technology
1,2013-06-28,16.5756,17.2693,16.5576,16.7738,CDW Corporation,CDW,Information Technology
2,2013-07-01,16.8008,17.026,16.5216,16.5216,CDW Corporation,CDW,Information Technology
3,2013-07-02,16.5216,17.6954,16.4525,17.3143,CDW Corporation,CDW,Information Technology
4,2013-07-03,17.1071,17.3008,16.8188,17.1882,CDW Corporation,CDW,Information Technology
5,2013-07-05,16.9359,17.4404,16.7107,17.3143,CDW Corporation,CDW,Information Technology
6,2013-07-08,17.1612,17.5485,16.99,17.3233,CDW Corporation,CDW,Information Technology
7,2013-07-09,17.2332,17.9449,17.1702,17.5665,CDW Corporation,CDW,Information Technology
8,2013-07-10,17.5395,17.9719,17.1612,17.2062,CDW Corporation,CDW,Information Technology
9,2013-07-11,17.1612,17.7017,17.1612,17.6386,CDW Corporation,CDW,Information Technology
10,2013-07-12,17.3233,17.6026,17.3053,17.5755,CDW Corporation,CDW,Information Technology
11,2013-07-15,17.4404,17.7917,17.3143,17.6206,CDW Corporation,CDW,Information Technology
12,2013-07-16,17.1521,18.6025,17.1521,18.107,CDW Corporation,CDW,Information Technology
13,2013-07-17,18.026,18.4404,17.7647,18.3503,CDW Corporation,CDW,Information Technology
14,2013-07-18,18.4674,18.9133,18.0746,18.7647,CDW Corporation,CDW,Information Technology
15,2013-07-19,18.9178,19.2706,18.7106,18.7737,CDW Corporation,CDW,Information Technology
16,2013-07-22,18.5575,18.6476,18.2151,18.3232,CDW Corporation,CDW,Information Technology
17,2013-07-23,18.2782,18.6385,18.017,18.2151,CDW Corporation,CDW,Information Technology
18,2013-07-24,18.2242,18.6385,18.062,18.5304,CDW Corporation,CDW,Information Technology
19,2013-07-25,18.3232,19.8006,18.017,19.8006,CDW Corporation,CDW,Information Technology
20,2013-07-26,19.9268,19.9448,18.9628,19.4493,CDW Corporation,CDW,Information Technology
21,2013-07-29,19.3682,19.8187,18.9719,19.5484,CDW Corporation,CDW,Information Technology
22,2013-07-30,19.5574,19.6385,18.7376,19.4583,CDW Corporation,CDW,Information Technology
23,2013-07-31,19.6295,19.6295,19.089,19.3682,CDW Corporation,CDW,Information Technology
24,2013-08-01,19.3232,19.6376,19.0664,19.5124,CDW Corporation,CDW,Information Technology
25,2013-08-02,19.5214,20.2691,19.0709,20.206,CDW Corporation,CDW,Information Technology
26,2013-08-05,20.206,20.7195,20.0529,20.5303,CDW Corporation,CDW,Information Technology
27,2013-08-06,20.5664,20.8096,20.3502,20.5483,CDW Corporation,CDW,Information Technology
28,2013-08-07,20.5393,20.7105,20.3952,20.6745,CDW Corporation,CDW,Information Technology
29,2013-08-08,20.7195,20.8096,20.5393,20.7826,CDW Corporation,CDW,Information Technology
30,2013-08-09,20.5844,20.8276,20.5844,20.7645,CDW Corporation,CDW,Information Technology
31,2013-08-12,20.5844,20.8997,20.5844,20.8636,CDW Corporation,CDW,Information Technology
32,2013-08-13,20.8456,21.215,20.5844,21.0798,CDW Corporation,CDW,Information Technology
33,2013-08-14,20.9898,21.0798,20.8546,21.0438,CDW Corporation,CDW,Information Technology
34,2013-08-15,21.0798,21.0798,20.5393,20.7195,CDW Corporation,CDW,Information Technology
35,2013-08-16,20.7015,20.8006,20.5393,20.7645,CDW Corporation,CDW,Information Technology
36,2013-08-19,20.7195,20.8456,20.4456,20.8006,CDW Corporation,CDW,Information Technology
37,2013-08-20,20.7826,21.3951,20.6024,20.8186,CDW Corporation,CDW,Information Technology
38,2013-08-21,20.7826,20.9898,20.5393,20.7465,CDW Corporation,CDW,Information Technology
39,2013-08-22,20.7645,20.9853,20.5844,20.7285,CDW Corporation,CDW,Information Technology
40,2013-08-23,20.6835,20.9988,20.6024,20.9627,CDW Corporation,CDW,Information Technology
41,2013-08-26,20.9627,20.9627,20.679,20.7015,CDW Corporation,CDW,Information Technology
42,2013-08-27,20.6024,20.6384,19.8187,20.0168,CDW Corporation,CDW,Information Technology
43,2013-08-28,20.0078,20.215,19.7286,19.8006,CDW Corporation,CDW,Information Technology
44,2013-08-29,19.6925,19.9448,19.161,19.8907,CDW Corporation,CDW,Information Technology
45,2013-08-30,19.8277,19.9628,19.6835,19.7556,CDW Corporation,CDW,Information Technology
46,2013-09-03,19.9628,20.8726,19.6205,20.2961,CDW Corporation,CDW,Information Technology
47,2013-09-04,20.233,20.7285,19.8367,20.7285,CDW Corporation,CDW,Information Technology
48,2013-09-05,20.6384,21.3951,20.5393,21.0078,CDW Corporation,CDW,Information Technology
49,2013-09-06,20.9988,21.3951,20.7087,20.9357,CDW Corporation,CDW,Information Technology
50,2013-09-09,20.9627,21.1879,20.4087,20.6835,CDW Corporation,CDW,Information Technology
51,2013-09-10,20.7195,20.9357,20.3511,20.7465,CDW Corporation,CDW,Information Technology
52,2013-09-11,20.6294,21.1879,20.2781,21.0979,CDW Corporation,CDW,Information Technology
53,2013-09-12,21.0798,21.206,20.7375,20.8006,CDW Corporation,CDW,Information Technology
54,2013-09-13,20.7375,21.1879,20.6294,21.1699,CDW Corporation,CDW,Information Technology
55,2013-09-16,21.3051,21.5933,20.9447,21.5032,CDW Corporation,CDW,Information Technology
56,2013-09-17,21.4582,21.6023,20.8006,20.9267,CDW Corporation,CDW,Information Technology
57,2013-09-18,20.7916,21.6113,20.6835,21.4294,CDW Corporation,CDW,Information Technology
58,2013-09-19,21.26,21.5303,20.8636,21.1339,CDW Corporation,CDW,Information Technology
59,2013-09-20,21.0438,21.197,20.4312,20.6204,CDW Corporation,CDW,Information Technology
60,2013-09-23,20.6294,21.5753,20.4853,21.4924,CDW Corporation,CDW,Information Technology
61,2013-09-24,21.5032,21.9717,21.4852,21.8906,CDW Corporation,CDW,Information Technology
62,2013-09-25,21.8906,22.0077,21.6203,21.7375,CDW Corporation,CDW,Information Technology
63,2013-09-26,21.8546,22.0798,21.4672,21.6113,CDW Corporation,CDW,Information Technology
64,2013-09-27,21.5843,21.9807,21.4312,21.6023,CDW Corporation,CDW,Information Technology
65,2013-09-30,21.4582,21.7032,20.5213,20.5664,CDW Corporation,CDW,Information Technology
66,2013-10-01,20.4492,20.8997,20.3862,20.8997,CDW Corporation,CDW,Information Technology
67,2013-10-02,20.8366,20.8546,20.0619,20.5213,CDW Corporation,CDW,Information Technology
68,2013-10-03,20.4673,21.0078,20.3956,21.0078,CDW Corporation,CDW,Information Technology
69,2013-10-04,21.0258,21.0483,20.8636,21.0348,CDW Corporation,CDW,Information Technology
70,2013-10-07,20.8907,21.0078,20.6925,20.7645,CDW Corporation,CDW,Information Technology
71,2013-10-08,20.7195,20.9807,20.5483,20.8276,CDW Corporation,CDW,Information Technology
72,2013-10-09,20.8817,21.0161,20.2781,20.4312,CDW Corporation,CDW,Information Technology
73,2013-10-10,20.5483,21.0033,20.4853,20.7645,CDW Corporation,CDW,Information Technology
74,2013-10-11,20.7736,20.9627,20.6024,20.7105,CDW Corporation,CDW,Information Technology
75,2013-10-14,20.6655,20.6745,20.2871,20.5213,CDW Corporation,CDW,Information Technology
76,2013-10-15,20.5303,20.6384,20.2781,20.4042,CDW Corporation,CDW,Information Technology
77,2013-10-16,20.4492,20.6384,20.1439,20.4222,CDW Corporation,CDW,Information Technology
78,2013-10-17,20.3231,20.7826,19.9448,20.5213,CDW Corporation,CDW,Information Technology
79,2013-10-18,20.5393,20.8546,20.3321,20.7105,CDW Corporation,CDW,Information Technology
80,2013-10-21,20.7105,20.8366,20.2691,20.3231,CDW Corporation,CDW,Information Technology
81,2013-10-22,20.3411,20.6384,19.8367,20.5393,CDW Corporation,CDW,Information Technology
82,2013-10-23,20.4673,20.8096,19.5574,20.4673,CDW Corporation,CDW,Information Technology
83,2013-10-24,20.4492,20.4492,19.098,19.8277,CDW Corporation,CDW,Information Technology
84,2013-10-25,19.8187,20.4042,19.3592,19.9538,CDW Corporation,CDW,Information Technology
85,2013-10-28,20.0529,20.2421,19.6745,19.8637,CDW Corporation,CDW,Information Technology
86,2013-10-29,19.9718,20.143,19.6025,19.7736,CDW Corporation,CDW,Information Technology
87,2013-10-30,19.7466,19.9808,18.9899,19.9087,CDW Corporation,CDW,Information Technology
88,2013-10-31,19.8187,20.0349,19.1971,19.8096,CDW Corporation,CDW,Information Technology
89,2013-11-01,20.7195,21.224,19.7286,19.8637,CDW Corporation,CDW,Information Technology
90,2013-11-04,19.6385,20.7555,19.5485,20.6655,CDW Corporation,CDW,Information Technology
91,2013-11-05,20.5033,21.0348,20.3862,20.7195,CDW Corporation,CDW,Information Technology
92,2013-11-06,20.7195,20.9447,20.5393,20.7105,CDW Corporation,CDW,Information Technology
93,2013-11-07,20.6835,20.9357,20.3772,20.7015,CDW Corporation,CDW,Information Technology
94,2013-11-08,20.6835,20.7736,20.3051,20.6745,CDW Corporation,CDW,Information Technology
95,2013-11-11,20.17,20.17,19.4673,19.5664,CDW Corporation,CDW,Information Technology
96,2013-11-12,19.4493,19.5034,18.6476,18.9989,CDW Corporation,CDW,Information Technology
97,2013-11-13,18.7037,19.1641,18.5503,18.7651,CDW Corporation,CDW,Information Technology
98,2013-11-14,18.9745,19.3717,18.5999,18.6496,CDW Corporation,CDW,Information Technology
99,2013-11-15,18.6405,19.5884,18.5051,19.48,CDW Corporation,CDW,Information Technology
100,2013-11-18,19.4259,19.7689,18.9565,19.2453,CDW Corporation,CDW,Information Technology
101,2013-11-19,19.1731,19.3988,19.0468,19.1912,CDW Corporation,CDW,Information Technology
102,2013-11-20,19.1551,19.814,19.0558,19.6154,CDW Corporation,CDW,Information Technology
103,2013-11-21,19.5703,20.1932,19.3275,19.8501,CDW Corporation,CDW,Information Technology
104,2013-11-22,19.8682,20.2473,19.7238,20.0126,CDW Corporation,CDW,Information Technology
105,2013-11-25,20.3466,20.7438,20.0939,20.13,CDW Corporation,CDW,Information Technology
106,2013-11-26,20.148,20.2907,19.8953,20.0487,CDW Corporation,CDW,Information Technology
107,2013-11-27,20.0307,20.2834,19.6606,20.0397,CDW Corporation,CDW,Information Technology
108,2013-11-29,20.0848,20.166,19.8682,20.13,CDW Corporation,CDW,Information Technology
109,2013-12-02,20.0578,20.3918,19.9133,20.2744,CDW Corporation,CDW,Information Technology
110,2013-12-03,20.13,20.3647,20.0623,20.2744,CDW Corporation,CDW,Information Technology
111,2013-12-04,20.1751,20.7619,19.9946,20.6716,CDW Corporation,CDW,Information Technology
112,2013-12-05,20.5633,20.6896,20.0487,20.3195,CDW Corporation,CDW,Information Technology
113,2013-12-06,20.4279,20.5362,20.1841,20.3918,CDW Corporation,CDW,Information Technology
114,2013-12-09,20.3647,20.4459,20.2834,20.4188,CDW Corporation,CDW,Information Technology
115,2013-12-10,20.2925,20.3827,20.0848,20.3015,CDW Corporation,CDW,Information Technology
116,2013-12-11,20.3286,20.3557,19.9043,20.1751,CDW Corporation,CDW,Information Technology
117,2013-12-12,20.0848,20.5452,20.0442,20.3557,CDW Corporation,CDW,Information Technology
118,2013-12-13,20.2925,20.6084,19.8772,20.0848,CDW Corporation,CDW,Information Technology
119,2013-12-16,20.0939,20.4008,19.787,20.2654,CDW Corporation,CDW,Information Technology
120,2013-12-17,20.1751,20.2564,19.8953,19.9946,CDW Corporation,CDW,Information Technology
121,2013-12-18,19.9765,20.2654,19.8231,20.2112,CDW Corporation,CDW,Information Technology
122,2013-12-19,20.1571,20.2473,19.8953,19.9133,CDW Corporation,CDW,Information Technology
123,2013-12-20,19.8682,20.2564,19.8456,20.1887,CDW Corporation,CDW,Information Technology
124,2013-12-23,20.2564,20.3466,19.8953,20.121,CDW Corporation,CDW,Information Technology
125,2013-12-24,20.2022,20.5452,20.13,20.4188,CDW Corporation,CDW,Information Technology
126,2013-12-26,20.4369,20.8431,20.4098,20.6716,CDW Corporation,CDW,Information Technology
127,2013-12-27,20.7438,20.942,20.4549,20.7619,CDW Corporation,CDW,Information Technology
128,2013-12-30,20.6806,21.0688,20.6265,20.9605,CDW Corporation,CDW,Information Technology
129,2013-12-31,21.0778,21.2674,20.7077,21.0868,CDW Corporation,CDW,Information Technology
130,2014-01-02,21.0868,21.3937,20.8882,21.1049,CDW Corporation,CDW,Information Technology
131,2014-01-03,21.1952,21.3215,20.9424,21.0959,CDW Corporation,CDW,Information Technology
132,2014-01-06,21.2042,21.6284,20.5904,21.4389,CDW Corporation,CDW,Information Technology
133,2014-01-07,21.4479,21.8451,21.3215,21.6465,CDW Corporation,CDW,Information Technology
134,2014-01-08,21.5743,21.8631,21.5382,21.6465,CDW Corporation,CDW,Information Technology
135,2014-01-09,21.7548,22.1159,21.6826,22.1159,CDW Corporation,CDW,Information Technology
136,2014-01-10,22.0256,22.5763,22.0256,22.4589,CDW Corporation,CDW,Information Technology
137,2014-01-13,22.3596,23.0931,22.2332,22.2874,CDW Corporation,CDW,Information Technology
138,2014-01-14,22.3416,22.5402,22.0347,22.0978,CDW Corporation,CDW,Information Technology
139,2014-01-15,22.0527,22.143,21.9083,22.0798,CDW Corporation,CDW,Information Technology
140,2014-01-16,22.0617,22.161,21.8902,22.0888,CDW Corporation,CDW,Information Technology
