DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,6.2384,6.7533,6.2198,6.7123,Comcast,CMCSA,Communication Services
2009-01-05,6.6658,6.6882,6.3325,6.3774,Comcast,CMCSA,Communication Services
2009-01-06,6.4186,6.5946,6.3587,6.4523,Comcast,CMCSA,Communication Services
2009-01-07,6.3493,6.3624,6.1115,6.2314,Comcast,CMCSA,Communication Services
2009-01-08,6.1902,6.3849,6.1677,6.3325,Comcast,CMCSA,Communication Services
2009-01-09,6.3737,6.3812,6.0928,6.1153,Comcast,CMCSA,Communication Services
2009-01-12,6.0966,6.1378,5.8045,5.8794,Comcast,CMCSA,Communication Services
2009-01-13,5.8756,5.9168,5.6884,5.7408,Comcast,CMCSA,Communication Services
2009-01-14,5.6659,5.7221,5.4824,5.5461,Comcast,CMCSA,Communication Services
2009-01-15,5.5049,5.7202,5.3364,5.621,Comcast,CMCSA,Communication Services
2009-01-16,5.6771,5.8194,5.5273,5.7408,Comcast,CMCSA,Communication Services
2009-01-20,5.7258,5.7595,5.2465,5.2502,Comcast,CMCSA,Communication Services
2009-01-21,5.3027,5.6434,5.2615,5.6434,Comcast,CMCSA,Communication Services
2009-01-22,5.5011,5.6472,5.3289,5.5386,Comcast,CMCSA,Communication Services
2009-01-23,5.3888,5.6734,5.2427,5.6135,Comcast,CMCSA,Communication Services
2009-01-26,5.606,5.8045,5.5236,5.6359,Comcast,CMCSA,Communication Services
2009-01-27,5.6434,5.7502,5.5423,5.5873,Comcast,CMCSA,Communication Services
2009-01-28,5.6734,5.9842,5.6715,5.9767,Comcast,CMCSA,Communication Services
2009-01-29,5.9206,6.0329,5.7183,5.7408,Comcast,CMCSA,Communication Services
2009-01-30,5.7483,5.8531,5.4562,5.4862,Comcast,CMCSA,Communication Services
2009-02-02,5.4487,5.5611,5.3963,5.5049,Comcast,CMCSA,Communication Services
2009-02-03,5.5049,5.5498,5.3588,5.4974,Comcast,CMCSA,Communication Services
2009-02-04,5.181,5.576,5.0892,5.3027,Comcast,CMCSA,Communication Services
2009-02-05,5.2427,5.3027,5.0817,5.1791,Comcast,CMCSA,Communication Services
2009-02-06,5.1566,5.43,5.1454,5.3064,Comcast,CMCSA,Communication Services
2009-02-09,5.3701,5.43,5.1978,5.3963,Comcast,CMCSA,Communication Services
