DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,1.6963,1.7594,1.6875,1.7519,Copart,CPRT,Industrials
2009-01-05,1.7513,1.7606,1.7225,1.7438,Copart,CPRT,Industrials
2009-01-06,1.7588,1.7738,1.7281,1.7613,Copart,CPRT,Industrials
2009-01-07,1.7513,1.76,1.6806,1.7044,Copart,CPRT,Industrials
2009-01-08,1.7056,1.735,1.6988,1.7275,Copart,CPRT,Industrials
2009-01-09,1.7319,1.7456,1.6925,1.7006,Copart,CPRT,Industrials
2009-01-12,1.7031,1.72,1.6344,1.6544,Copart,CPRT,Industrials
2009-01-13,1.6475,1.6906,1.6294,1.65,Copart,CPRT,Industrials
2009-01-14,1.6375,1.6675,1.6056,1.6275,Copart,CPRT,Industrials
2009-01-15,1.6156,1.6594,1.5463,1.6444,Copart,CPRT,Industrials
2009-01-16,1.6556,1.6556,1.6031,1.6419,Copart,CPRT,Industrials
2009-01-20,1.6256,1.6425,1.5431,1.5513,Copart,CPRT,Industrials
2009-01-21,1.5644,1.6144,1.5175,1.6144,Copart,CPRT,Industrials
2009-01-22,1.5913,1.6169,1.57,1.5856,Copart,CPRT,Industrials
2009-01-23,1.5581,1.5713,1.5256,1.5388,Copart,CPRT,Industrials
2009-01-26,1.5419,1.5631,1.5281,1.5469,Copart,CPRT,Industrials
2009-01-27,1.5588,1.58,1.5472,1.5613,Copart,CPRT,Industrials
2009-01-28,1.5825,1.635,1.5713,1.605,Copart,CPRT,Industrials
2009-01-29,1.5963,1.6125,1.5725,1.5781,Copart,CPRT,Industrials
2009-01-30,1.5675,1.5831,1.4963,1.5056,Copart,CPRT,Industrials
2009-02-02,1.4856,1.5475,1.4675,1.5375,Copart,CPRT,Industrials
2009-02-03,1.55,1.5588,1.5181,1.5313,Copart,CPRT,Industrials
2009-02-04,1.5363,1.5644,1.5056,1.5444,Copart,CPRT,Industrials
2009-02-05,1.5394,1.6094,1.5206,1.6019,Copart,CPRT,Industrials
2009-02-06,1.6019,1.67,1.5863,1.665,Copart,CPRT,Industrials
2009-02-09,1.6656,1.6869,1.6431,1.6806,Copart,CPRT,Industrials
2009-02-10,1.6744,1.6806,1.6306,1.6375,Copart,CPRT,Industrials
2009-02-11,1.6375,1.6669,1.6244,1.6331,Copart,CPRT,Industrials
2009-02-12,1.6194,1.6394,1.5825,1.6331,Copart,CPRT,Industrials
2009-02-13,1.6294,1.6588,1.6294,1.6469,Copart,CPRT,Industrials
2009-02-17,1.6119,1.6313,1.5763,1.585,Copart,CPRT,Industrials
2009-02-18,1.6875,1.6913,1.62,1.6275,Copart,CPRT,Industrials
2009-02-19,1.6338,1.7544,1.6269,1.7313,Copart,CPRT,Industrials
2009-02-20,1.7163,1.7369,1.69,1.6981,Copart,CPRT,Industrials
2009-02-23,1.7119,1.7294,1.6544,1.6575,Copart,CPRT,Industrials
2009-02-24,1.6725,1.7069,1.6412,1.7006,Copart,CPRT,Industrials
2009-02-25,1.7031,1.7363,1.6406,1.6831,Copart,CPRT,Industrials
2009-02-26,1.6994,1.7156,1.6669,1.6719,Copart,CPRT,Industrials
2009-02-27,1.6456,1.7163,1.6406,1.6888,Copart,CPRT,Industrials
2009-03-02,1.6444,1.7081,1.6181,1.6194,Copart,CPRT,Industrials
2009-03-03,1.6519,1.6706,1.6069,1.6113,Copart,CPRT,Industrials
2009-03-04,1.625,1.6394,1.5619,1.5781,Copart,CPRT,Industrials
2009-03-05,1.575,1.7213,1.5469,1.65,Copart,CPRT,Industrials
2009-03-06,1.6475,1.6988,1.63,1.6863,Copart,CPRT,Industrials
2009-03-09,1.6738,1.7069,1.6381,1.645,Copart,CPRT,Industrials
2009-03-10,1.6544,1.7319,1.635,1.7319,Copart,CPRT,Industrials
2009-03-11,1.7488,1.7844,1.735,1.7619,Copart,CPRT,Industrials
