DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,11.313,11.7198,11.2027,11.6922,Cisco,CSCO,Information Technology
2009-01-05,11.6164,11.9266,11.5474,11.7956,Cisco,CSCO,Information Technology
2009-01-06,11.9473,12.3954,11.899,12.2644,Cisco,CSCO,Information Technology
2009-01-07,11.9749,12.1196,11.7956,11.9404,Cisco,CSCO,Information Technology
2009-01-08,11.8783,12.1127,11.7198,12.0921,Cisco,CSCO,Information Technology
2009-01-09,11.8852,11.899,11.4509,11.513,Cisco,CSCO,Information Technology
2009-01-12,11.4992,11.5681,11.0511,11.3061,Cisco,CSCO,Information Technology
2009-01-13,11.2303,11.4027,11.1079,11.3406,Cisco,CSCO,Information Technology
2009-01-14,11.0993,11.182,10.7546,10.8511,Cisco,CSCO,Information Technology
2009-01-15,10.7684,10.9959,10.472,10.8994,Cisco,CSCO,Information Technology
2009-01-16,11.182,11.2579,10.6857,10.9063,Cisco,CSCO,Information Technology
2009-01-20,10.8649,10.9821,10.3479,10.3479,Cisco,CSCO,Information Technology
2009-01-21,10.5616,10.8649,10.3755,10.8236,Cisco,CSCO,Information Technology
2009-01-22,10.603,10.7477,10.341,10.5961,Cisco,CSCO,Information Technology
2009-01-23,10.3686,11.0442,10.341,10.9545,Cisco,CSCO,Information Technology
2009-01-26,10.927,11.3751,10.8787,11.2372,Cisco,CSCO,Information Technology
2009-01-27,11.2786,11.7198,11.2303,11.5336,Cisco,CSCO,Information Technology
2009-01-28,11.7611,11.8508,11.5061,11.6371,Cisco,CSCO,Information Technology
2009-01-29,11.513,11.513,10.8925,10.9821,Cisco,CSCO,Information Technology
2009-01-30,10.9683,11.0924,10.2789,10.3203,Cisco,CSCO,Information Technology
2009-02-02,10.2445,10.6581,10.2238,10.5547,Cisco,CSCO,Information Technology
2009-02-03,10.6374,10.858,10.3479,10.7684,Cisco,CSCO,Information Technology
2009-02-04,10.8373,11.1407,10.603,10.9201,Cisco,CSCO,Information Technology
2009-02-05,10.7202,11.4785,10.6512,11.2717,Cisco,CSCO,Information Technology
2009-02-06,11.3199,11.7818,11.1752,11.7474,Cisco,CSCO,Information Technology
2009-02-09,11.706,11.7542,11.4578,11.6164,Cisco,CSCO,Information Technology
2009-02-10,11.4371,11.6715,10.9752,11.0649,Cisco,CSCO,Information Technology
2009-02-11,11.1545,11.2165,10.927,11.1476,Cisco,CSCO,Information Technology
2009-02-12,10.9614,11.182,10.7753,11.1683,Cisco,CSCO,Information Technology
2009-02-13,11.1614,11.3475,10.9959,11.0993,Cisco,CSCO,Information Technology
2009-02-17,10.8098,10.8649,10.534,10.5409,Cisco,CSCO,Information Technology
2009-02-18,10.6512,10.8442,10.4444,10.5961,Cisco,CSCO,Information Technology
2009-02-19,10.6719,10.6995,10.3479,10.3686,Cisco,CSCO,Information Technology
2009-02-20,10.3134,10.5754,10.2583,10.3961,Cisco,CSCO,Information Technology
2009-02-23,10.4789,10.5823,9.8653,9.8998,Cisco,CSCO,Information Technology
2009-02-24,9.9204,10.3755,9.9136,10.3341,Cisco,CSCO,Information Technology
2009-02-25,10.2858,10.4306,9.9067,10.1824,Cisco,CSCO,Information Technology
2009-02-26,10.3755,10.4858,9.9894,9.9894,Cisco,CSCO,Information Technology
2009-02-27,9.8584,10.2169,9.8584,10.0445,Cisco,CSCO,Information Technology
2009-03-02,9.8791,10.1893,9.8377,9.8722,Cisco,CSCO,Information Technology
2009-03-03,10.0032,10.1548,9.8998,9.9204,Cisco,CSCO,Information Technology
2009-03-04,10.0997,10.6995,10.0859,10.5133,Cisco,CSCO,Information Technology
2009-03-05,10.2996,10.403,10.0032,10.0308,Cisco,CSCO,Information Technology
2009-03-06,10.0445,10.2927,9.6378,9.7757,Cisco,CSCO,Information Technology
2009-03-09,9.6516,9.948,9.3827,9.3896,Cisco,CSCO,Information Technology
2009-03-10,9.6792,10.1962,9.5964,10.0894,Cisco,CSCO,Information Technology
2009-03-11,10.1962,10.4789,10.0101,10.3548,Cisco,CSCO,Information Technology
2009-03-12,10.341,10.6926,10.1824,10.6926,Cisco,CSCO,Information Technology
2009-03-13,10.6581,10.8167,10.5133,10.6926,Cisco,CSCO,Information Technology
2009-03-16,10.8925,10.9477,10.5823,10.6512,Cisco,CSCO,Information Technology
2009-03-17,10.8393,11.1338,10.7339,11.1269,Cisco,CSCO,Information Technology
2009-03-18,11.0442,11.6784,11.0442,11.3751,Cisco,CSCO,Information Technology
2009-03-19,11.4992,11.4992,11.0717,11.1889,Cisco,CSCO,Information Technology
2009-03-20,11.2855,11.4233,10.858,10.9683,Cisco,CSCO,Information Technology
2009-03-23,11.2441,11.7198,10.9614,11.706,Cisco,CSCO,Information Technology
2009-03-24,11.513,11.7491,11.4302,11.4302,Cisco,CSCO,Information Technology
2009-03-25,11.3751,11.7542,11.2234,11.4233,Cisco,CSCO,Information Technology
2009-03-26,11.5819,11.9886,11.5543,11.9335,Cisco,CSCO,Information Technology
2009-03-27,11.7198,11.837,11.6164,11.6853,Cisco,CSCO,Information Technology
2009-03-30,11.4233,11.4233,11.0855,11.2441,Cisco,CSCO,Information Technology
2009-03-31,11.3958,11.7267,11.2855,11.5612,Cisco,CSCO,Information Technology
2009-04-01,11.382,12.0921,11.2372,12.0369,Cisco,CSCO,Information Technology
2009-04-02,12.292,12.8297,12.2644,12.5057,Cisco,CSCO,Information Technology
2009-04-03,12.616,12.7815,12.3747,12.5195,Cisco,CSCO,Information Technology
2009-04-06,12.1058,12.161,11.768,12.0852,Cisco,CSCO,Information Technology
2009-04-07,11.8577,11.8921,11.4302,11.6164,Cisco,CSCO,Information Technology
2009-04-08,11.9197,11.9473,11.6784,11.8094,Cisco,CSCO,Information Technology
2009-04-09,12.1817,12.4643,12.1196,12.2851,Cisco,CSCO,Information Technology
2009-04-13,12.3471,12.4436,12.2437,12.3333,Cisco,CSCO,Information Technology
2009-04-14,12.2713,12.5333,12.1403,12.3609,Cisco,CSCO,Information Technology
2009-04-15,12.2368,12.4092,11.9542,12.1058,Cisco,CSCO,Information Technology
2009-04-16,12.2851,12.5333,12.1679,12.4643,Cisco,CSCO,Information Technology
2009-04-17,12.4781,12.5264,12.292,12.4023,Cisco,CSCO,Information Technology
2009-04-20,12.2093,12.2644,11.8577,11.9335,Cisco,CSCO,Information Technology
2009-04-21,11.8577,12.2644,11.8128,12.1955,Cisco,CSCO,Information Technology
2009-04-22,12.03,12.423,12.0162,12.0231,Cisco,CSCO,Information Technology
2009-04-23,12.0783,12.161,11.8094,12.1472,Cisco,CSCO,Information Technology
2009-04-24,12.4919,12.7539,12.3885,12.6987,Cisco,CSCO,Information Technology
2009-04-27,12.4781,12.8159,12.4161,12.6643,Cisco,CSCO,Information Technology
2009-04-28,12.616,13.071,12.5126,12.8711,Cisco,CSCO,Information Technology
2009-04-29,12.9814,13.464,12.9124,13.2709,Cisco,CSCO,Information Technology
2009-04-30,13.5743,13.7397,13.1675,13.3192,Cisco,CSCO,Information Technology
2009-05-01,13.264,13.6363,13.1399,13.4984,Cisco,CSCO,Information Technology
2009-05-04,13.6639,13.6984,13.2778,13.4433,Cisco,CSCO,Information Technology
2009-05-05,13.4433,13.5329,13.2916,13.5329,Cisco,CSCO,Information Technology
2009-05-06,13.6225,13.6846,13.1193,13.5191,Cisco,CSCO,Information Technology
2009-05-07,13.788,13.788,12.8228,13.0641,Cisco,CSCO,Information Technology
2009-05-08,13.0986,13.2502,12.7883,12.9124,Cisco,CSCO,Information Technology
2009-05-11,12.7194,12.9814,12.5953,12.8297,Cisco,CSCO,Information Technology
2009-05-12,12.8711,12.9745,12.7883,12.9055,Cisco,CSCO,Information Technology
2009-05-13,12.747,12.8228,12.4299,12.4436,Cisco,CSCO,Information Technology
2009-05-14,12.4574,12.6091,12.4436,12.4712,Cisco,CSCO,Information Technology
2009-05-15,12.5057,12.554,12.2506,12.354,Cisco,CSCO,Information Technology
2009-05-18,12.5057,12.9676,12.4505,12.9055,Cisco,CSCO,Information Technology
2009-05-19,12.8987,13.3399,12.8504,13.0158,Cisco,CSCO,Information Technology
2009-05-20,13.1124,13.1365,12.7263,12.8228,Cisco,CSCO,Information Technology
2009-05-21,12.7056,12.7539,12.3058,12.4781,Cisco,CSCO,Information Technology
2009-05-22,12.4712,12.5126,12.1748,12.3402,Cisco,CSCO,Information Technology
2009-05-26,12.1748,12.8711,12.1403,12.747,Cisco,CSCO,Information Technology
2009-05-27,12.6918,12.8987,12.485,12.5608,Cisco,CSCO,Information Technology
2009-05-28,12.6505,12.8659,12.4505,12.7608,Cisco,CSCO,Information Technology
2009-05-29,12.7815,12.8228,12.4712,12.7539,Cisco,CSCO,Information Technology
2009-06-01,13.202,13.6294,13.1038,13.4433,Cisco,CSCO,Information Technology
2009-06-02,13.4915,13.6915,13.3812,13.5191,Cisco,CSCO,Information Technology
2009-06-03,13.4777,13.5191,13.1675,13.3468,Cisco,CSCO,Information Technology
2009-06-04,13.4157,13.657,13.3054,13.5605,Cisco,CSCO,Information Technology
2009-06-05,13.7466,13.8018,13.4571,13.6984,Cisco,CSCO,Information Technology
2009-06-08,13.6087,13.8293,13.464,13.6984,Cisco,CSCO,Information Technology
2009-06-09,13.7535,13.9259,13.5674,13.8431,Cisco,CSCO,Information Technology
2009-06-10,13.919,13.9534,13.5122,13.7535,Cisco,CSCO,Information Technology
2009-06-11,13.7397,14.0293,13.719,13.8569,Cisco,CSCO,Information Technology
2009-06-12,13.7397,13.788,13.5329,13.7259,Cisco,CSCO,Information Technology
2009-06-15,13.5674,13.5812,13.1675,13.3468,Cisco,CSCO,Information Technology
2009-06-16,13.3881,13.4295,13.1193,13.1537,Cisco,CSCO,Information Technology
2009-06-17,13.1262,13.4364,13.0779,13.2365,Cisco,CSCO,Information Technology
2009-06-18,13.2571,13.2985,13.0434,13.0917,Cisco,CSCO,Information Technology
2009-06-19,13.2227,13.2365,12.9607,13.0434,Cisco,CSCO,Information Technology
2009-06-22,12.9262,12.9607,12.6505,12.6918,Cisco,CSCO,Information Technology
2009-06-23,12.7056,12.8987,12.5815,12.8021,Cisco,CSCO,Information Technology
2009-06-24,12.9193,13.0986,12.7677,12.8297,Cisco,CSCO,Information Technology
