DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,3.3,3.366,3.236,3.351,CoStar Group,CSGP,Real Estate
2009-01-05,3.362,3.373,3.27,3.323,CoStar Group,CSGP,Real Estate
2009-01-06,3.36,3.502,3.34,3.448,CoStar Group,CSGP,Real Estate
2009-01-07,3.399,3.527,3.353,3.462,CoStar Group,CSGP,Real Estate
2009-01-08,3.44,3.642,3.439,3.593,CoStar Group,CSGP,Real Estate
2009-01-09,3.604,3.604,3.333,3.339,CoStar Group,CSGP,Real Estate
2009-01-12,3.324,3.347,3.181,3.262,CoStar Group,CSGP,Real Estate
2009-01-13,3.253,3.331,3.199,3.231,CoStar Group,CSGP,Real Estate
2009-01-14,3.181,3.275,3.028,3.038,CoStar Group,CSGP,Real Estate
2009-01-15,3.035,3.157,2.969,3.142,CoStar Group,CSGP,Real Estate
2009-01-16,3.18,3.233,2.992,3.101,CoStar Group,CSGP,Real Estate
2009-01-20,3.052,3.139,2.986,2.994,CoStar Group,CSGP,Real Estate
2009-01-21,2.995,3.155,2.985,3.128,CoStar Group,CSGP,Real Estate
2009-01-22,3.082,3.13,3.021,3.047,CoStar Group,CSGP,Real Estate
2009-01-23,2.982,3.047,2.956,2.998,CoStar Group,CSGP,Real Estate
2009-01-26,3.011,3.074,2.926,2.979,CoStar Group,CSGP,Real Estate
2009-01-27,2.998,3.045,2.958,3.031,CoStar Group,CSGP,Real Estate
2009-01-28,3.068,3.216,3.068,3.207,CoStar Group,CSGP,Real Estate
2009-01-29,3.18,3.18,3.028,3.028,CoStar Group,CSGP,Real Estate
2009-01-30,3.066,3.087,2.947,2.962,CoStar Group,CSGP,Real Estate
2009-02-02,2.939,3.039,2.939,3.018,CoStar Group,CSGP,Real Estate
2009-02-03,3.032,3.046,2.926,2.976,CoStar Group,CSGP,Real Estate
2009-02-04,2.986,3.004,2.921,2.971,CoStar Group,CSGP,Real Estate
2009-02-05,2.942,3.023,2.896,2.956,CoStar Group,CSGP,Real Estate
2009-02-06,2.946,3.141,2.925,3.09,CoStar Group,CSGP,Real Estate
2009-02-09,3.076,3.146,3.013,3.052,CoStar Group,CSGP,Real Estate
2009-02-10,3.026,3.077,2.946,2.948,CoStar Group,CSGP,Real Estate
2009-02-11,2.953,3.004,2.923,2.98,CoStar Group,CSGP,Real Estate
2009-02-12,2.943,2.997,2.8979,2.954,CoStar Group,CSGP,Real Estate
2009-02-13,2.965,3.048,2.8985,2.955,CoStar Group,CSGP,Real Estate
2009-02-17,2.876,2.933,2.771,2.865,CoStar Group,CSGP,Real Estate
2009-02-18,2.878,2.916,2.76,2.875,CoStar Group,CSGP,Real Estate
2009-02-19,2.795,2.864,2.6115,2.798,CoStar Group,CSGP,Real Estate
2009-02-20,2.695,2.745,2.5015,2.595,CoStar Group,CSGP,Real Estate
2009-02-23,2.608,2.6225,2.536,2.544,CoStar Group,CSGP,Real Estate
2009-02-24,2.57,2.676,2.501,2.638,CoStar Group,CSGP,Real Estate
2009-02-25,2.624,2.677,2.547,2.616,CoStar Group,CSGP,Real Estate
2009-02-26,2.63,2.681,2.542,2.553,CoStar Group,CSGP,Real Estate
2009-02-27,2.529,2.637,2.525,2.55,CoStar Group,CSGP,Real Estate
2009-03-02,2.518,2.558,2.483,2.5,CoStar Group,CSGP,Real Estate
2009-03-03,2.54,2.669,2.471,2.495,CoStar Group,CSGP,Real Estate
2009-03-04,2.53,2.63,2.51,2.589,CoStar Group,CSGP,Real Estate
2009-03-05,2.546,2.576,2.492,2.499,CoStar Group,CSGP,Real Estate
