DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,2.7672,2.9736,2.7621,2.9414,CSX Corporation,CSX,Industrials
2009-01-05,2.9312,3.028,2.8759,3.0025,CSX Corporation,CSX,Industrials
2009-01-06,3.0229,3.1283,3.0178,3.1172,CSX Corporation,CSX,Industrials
2009-01-07,3.0467,3.1121,2.9337,2.9524,CSX Corporation,CSX,Industrials
2009-01-08,2.9448,3.0144,2.9371,2.9932,CSX Corporation,CSX,Industrials
2009-01-09,3.0646,3.0646,2.8887,2.9329,CSX Corporation,CSX,Industrials
2009-01-12,2.932,2.932,2.7026,2.7375,CSX Corporation,CSX,Industrials
2009-01-13,2.6635,2.7986,2.6075,2.6882,CSX Corporation,CSX,Industrials
2009-01-14,2.6474,2.6474,2.5132,2.5573,CSX Corporation,CSX,Industrials
2009-01-15,2.5684,2.6194,2.4019,2.5641,CSX Corporation,CSX,Industrials
2009-01-16,2.6083,2.6491,2.4749,2.5344,CSX Corporation,CSX,Industrials
2009-01-20,2.4656,2.5352,2.3594,2.3687,CSX Corporation,CSX,Industrials
2009-01-21,2.3789,2.5268,2.3594,2.4715,CSX Corporation,CSX,Industrials
2009-01-22,2.4911,2.5217,2.3883,2.4647,CSX Corporation,CSX,Industrials
2009-01-23,2.4146,2.4987,2.3789,2.4503,CSX Corporation,CSX,Industrials
2009-01-26,2.4511,2.5225,2.3458,2.4121,CSX Corporation,CSX,Industrials
2009-01-27,2.4341,2.542,2.3917,2.52,CSX Corporation,CSX,Industrials
2009-01-28,2.5667,2.6508,2.5497,2.6347,CSX Corporation,CSX,Industrials
2009-01-29,2.6126,2.6126,2.5089,2.5242,CSX Corporation,CSX,Industrials
2009-01-30,2.5106,2.5361,2.4375,2.4605,CSX Corporation,CSX,Industrials
2009-02-02,2.4002,2.469,2.3789,2.4494,CSX Corporation,CSX,Industrials
2009-02-03,2.4698,2.5752,2.4435,2.559,CSX Corporation,CSX,Industrials
2009-02-04,2.5386,2.6491,2.5378,2.5777,CSX Corporation,CSX,Industrials
2009-02-05,2.5539,2.6423,2.4868,2.6287,CSX Corporation,CSX,Industrials
2009-02-06,2.6508,2.8411,2.6211,2.785,CSX Corporation,CSX,Industrials
2009-02-09,2.7782,2.8454,2.7205,2.785,CSX Corporation,CSX,Industrials
2009-02-10,2.7536,2.785,2.5743,2.6092,CSX Corporation,CSX,Industrials
2009-02-11,2.6287,2.6763,2.5174,2.5667,CSX Corporation,CSX,Industrials
2009-02-12,2.5259,2.5259,2.3874,2.4911,CSX Corporation,CSX,Industrials
2009-02-13,2.4868,2.5327,2.4477,2.4826,CSX Corporation,CSX,Industrials
2009-02-17,2.4333,2.4333,2.3042,2.3347,CSX Corporation,CSX,Industrials
2009-02-18,2.3492,2.4036,2.3067,2.3662,CSX Corporation,CSX,Industrials
2009-02-19,2.3033,2.3577,2.2124,2.2345,CSX Corporation,CSX,Industrials
2009-02-20,2.1818,2.3076,2.1674,2.2608,CSX Corporation,CSX,Industrials
2009-02-23,2.2906,2.3084,2.1062,2.1215,CSX Corporation,CSX,Industrials
2009-02-24,2.1189,2.3025,2.113,2.271,CSX Corporation,CSX,Industrials
2009-02-25,2.229,2.265,2.145,2.175,CSX Corporation,CSX,Industrials
2009-02-26,2.1973,2.2359,2.1364,2.1407,CSX Corporation,CSX,Industrials
2009-02-27,2.091,2.1853,2.061,2.115,CSX Corporation,CSX,Industrials
2009-03-02,2.0705,2.0756,1.9376,1.9591,CSX Corporation,CSX,Industrials
2009-03-03,1.9839,2.031,1.9308,1.9565,CSX Corporation,CSX,Industrials
2009-03-04,1.9856,2.0499,1.9633,2.0156,CSX Corporation,CSX,Industrials
2009-03-05,1.9728,1.9728,1.8279,1.9231,CSX Corporation,CSX,Industrials
2009-03-06,1.9393,1.9753,1.8099,1.8502,CSX Corporation,CSX,Industrials
2009-03-09,1.8254,1.8639,1.7739,1.7911,CSX Corporation,CSX,Industrials
2009-03-10,1.8605,1.9136,1.8219,1.9085,CSX Corporation,CSX,Industrials
2009-03-11,1.9273,1.9625,1.8888,1.9282,CSX Corporation,CSX,Industrials
2009-03-12,1.9282,2.0079,1.8699,1.9993,CSX Corporation,CSX,Industrials
2009-03-13,2.0276,2.055,1.9599,1.989,CSX Corporation,CSX,Industrials
2009-03-16,2.031,2.2179,2.0156,2.1116,CSX Corporation,CSX,Industrials
2009-03-17,2.1099,2.1493,2.0388,2.1493,CSX Corporation,CSX,Industrials
2009-03-18,2.1304,2.1819,2.0619,2.1527,CSX Corporation,CSX,Industrials
2009-03-19,2.175,2.241,2.1287,2.1544,CSX Corporation,CSX,Industrials
2009-03-20,2.1579,2.181,2.0585,2.0773,CSX Corporation,CSX,Industrials
2009-03-23,2.1304,2.3327,2.1253,2.3293,CSX Corporation,CSX,Industrials
2009-03-24,2.3036,2.3747,2.2367,2.3078,CSX Corporation,CSX,Industrials
2009-03-25,2.3404,2.3507,2.1287,2.211,CSX Corporation,CSX,Industrials
2009-03-26,2.229,2.4013,2.229,2.3953,CSX Corporation,CSX,Industrials
2009-03-27,2.4167,2.4167,2.3216,2.349,CSX Corporation,CSX,Industrials
2009-03-30,2.3001,2.3001,2.1639,2.1964,CSX Corporation,CSX,Industrials
2009-03-31,2.223,2.2624,2.1724,2.2153,CSX Corporation,CSX,Industrials
2009-04-01,2.1784,2.3087,2.1502,2.2753,CSX Corporation,CSX,Industrials
2009-04-02,2.3318,2.5272,2.3164,2.4981,CSX Corporation,CSX,Industrials
2009-04-03,2.4938,2.5367,2.4552,2.5238,CSX Corporation,CSX,Industrials
2009-04-06,2.4964,2.4964,2.3927,2.4595,CSX Corporation,CSX,Industrials
2009-04-07,2.4218,2.4724,2.3567,2.3833,CSX Corporation,CSX,Industrials
2009-04-08,2.3901,2.4638,2.3824,2.4501,CSX Corporation,CSX,Industrials
2009-04-09,2.5161,2.5992,2.5058,2.5495,CSX Corporation,CSX,Industrials
2009-04-13,2.5298,2.5298,2.4441,2.4758,CSX Corporation,CSX,Industrials
2009-04-14,2.4698,2.4955,2.3995,2.433,CSX Corporation,CSX,Industrials
2009-04-15,2.5752,2.7149,2.5332,2.6215,CSX Corporation,CSX,Industrials
2009-04-16,2.6566,2.7021,2.5966,2.6523,CSX Corporation,CSX,Industrials
2009-04-17,2.6575,2.7526,2.6086,2.6892,CSX Corporation,CSX,Industrials
2009-04-20,2.6472,2.6523,2.4552,2.481,CSX Corporation,CSX,Industrials
2009-04-21,2.4612,2.5555,2.4252,2.5041,CSX Corporation,CSX,Industrials
2009-04-22,2.4501,2.5555,2.3824,2.4724,CSX Corporation,CSX,Industrials
2009-04-23,2.5238,2.6412,2.5067,2.6309,CSX Corporation,CSX,Industrials
2009-04-24,2.6669,2.7038,2.6181,2.6541,CSX Corporation,CSX,Industrials
2009-04-27,2.6146,2.6292,2.5067,2.5281,CSX Corporation,CSX,Industrials
2009-04-28,2.5015,2.5384,2.4372,2.4467,CSX Corporation,CSX,Industrials
2009-04-29,2.4732,2.5966,2.463,2.5521,CSX Corporation,CSX,Industrials
2009-04-30,2.6121,2.6549,2.5238,2.5358,CSX Corporation,CSX,Industrials
2009-05-01,2.5324,2.6952,2.4621,2.6198,CSX Corporation,CSX,Industrials
2009-05-04,2.6772,2.7938,2.6575,2.7509,CSX Corporation,CSX,Industrials
2009-05-05,2.7663,2.7886,2.6498,2.6806,CSX Corporation,CSX,Industrials
2009-05-06,2.7372,2.7852,2.6266,2.6858,CSX Corporation,CSX,Industrials
2009-05-07,2.7055,2.75,2.5709,2.5941,CSX Corporation,CSX,Industrials
2009-05-08,2.6566,2.7063,2.5846,2.6583,CSX Corporation,CSX,Industrials
2009-05-11,2.5915,2.6232,2.445,2.4535,CSX Corporation,CSX,Industrials
2009-05-12,2.4801,2.5092,2.3404,2.3995,CSX Corporation,CSX,Industrials
2009-05-13,2.3704,2.3781,2.2916,2.3173,CSX Corporation,CSX,Industrials
2009-05-14,2.3018,2.3875,2.2898,2.3104,CSX Corporation,CSX,Industrials
2009-05-15,2.3164,2.4064,2.3147,2.3713,CSX Corporation,CSX,Industrials
2009-05-18,2.4013,2.4561,2.343,2.4561,CSX Corporation,CSX,Industrials
2009-05-19,2.475,2.5101,2.4475,2.4561,CSX Corporation,CSX,Industrials
2009-05-20,2.4835,2.6172,2.4835,2.5161,CSX Corporation,CSX,Industrials
2009-05-21,2.4767,2.4767,2.373,2.409,CSX Corporation,CSX,Industrials
2009-05-22,2.4252,2.4535,2.3755,2.4133,CSX Corporation,CSX,Industrials
2009-05-26,2.397,2.5769,2.3953,2.5581,CSX Corporation,CSX,Industrials
2009-05-27,2.6018,2.6018,2.4706,2.4844,CSX Corporation,CSX,Industrials
2009-05-28,2.4973,2.5552,2.4291,2.5396,CSX Corporation,CSX,Industrials
2009-05-29,2.5552,2.7503,2.5552,2.7426,CSX Corporation,CSX,Industrials
2009-06-01,2.7961,2.9792,2.7642,2.911,CSX Corporation,CSX,Industrials
2009-06-02,2.9041,3.025,2.9041,2.9611,CSX Corporation,CSX,Industrials
2009-06-03,2.9101,2.9507,2.7719,2.8298,CSX Corporation,CSX,Industrials
2009-06-04,2.8462,2.9567,2.8099,2.9403,CSX Corporation,CSX,Industrials
2009-06-05,3.006,3.0215,2.8911,2.9308,CSX Corporation,CSX,Industrials
2009-06-08,2.9015,3.0155,2.8652,2.9818,CSX Corporation,CSX,Industrials
2009-06-09,3.0828,3.1027,3.0034,3.0457,CSX Corporation,CSX,Industrials
2009-06-10,3.0768,3.1001,2.9636,3.0155,CSX Corporation,CSX,Industrials
2009-06-11,3.0129,3.075,2.9662,3.0103,CSX Corporation,CSX,Industrials
2009-06-12,3.0336,3.1579,3.0025,3.1536,CSX Corporation,CSX,Industrials
2009-06-15,3.1079,3.1372,2.8954,2.9507,CSX Corporation,CSX,Industrials
2009-06-16,2.9818,3.0638,2.9472,2.9705,CSX Corporation,CSX,Industrials
2009-06-17,2.9714,2.9895,2.8609,2.9205,CSX Corporation,CSX,Industrials
2009-06-18,2.93,2.9446,2.8522,2.9256,CSX Corporation,CSX,Industrials
2009-06-19,2.949,3.0336,2.9274,2.9844,CSX Corporation,CSX,Industrials
2009-06-22,2.9429,2.9705,2.7711,2.7728,CSX Corporation,CSX,Industrials
2009-06-23,2.7771,2.8332,2.7288,2.8177,CSX Corporation,CSX,Industrials
2009-06-24,2.8807,2.9541,2.854,2.8738,CSX Corporation,CSX,Industrials
2009-06-25,2.8574,3.0664,2.8514,3.0448,CSX Corporation,CSX,Industrials
2009-06-26,3.031,3.1553,3.0077,3.126,CSX Corporation,CSX,Industrials
2009-06-29,3.1493,3.1493,2.9766,3.0016,CSX Corporation,CSX,Industrials
2009-06-30,3.006,3.0647,2.9429,2.9904,CSX Corporation,CSX,Industrials
2009-07-01,3.0025,3.1009,2.9749,2.9904,CSX Corporation,CSX,Industrials
2009-07-02,2.9317,2.9351,2.8583,2.8687,CSX Corporation,CSX,Industrials
2009-07-06,2.7961,2.8246,2.759,2.8099,CSX Corporation,CSX,Industrials
2009-07-07,2.7901,2.8151,2.6916,2.6985,CSX Corporation,CSX,Industrials
2009-07-08,2.7054,2.746,2.6122,2.7149,CSX Corporation,CSX,Industrials
2009-07-09,2.7607,2.8073,2.7374,2.7495,CSX Corporation,CSX,Industrials
2009-07-10,2.7409,2.7797,2.7089,2.7659,CSX Corporation,CSX,Industrials
2009-07-13,2.803,2.8117,2.6709,2.8099,CSX Corporation,CSX,Industrials
2009-07-14,2.9369,3.0198,2.9161,3.0051,CSX Corporation,CSX,Industrials
2009-07-15,3.0932,3.2072,3.069,3.1908,CSX Corporation,CSX,Industrials
2009-07-16,3.1683,3.221,3.1338,3.202,CSX Corporation,CSX,Industrials
2009-07-17,3.2167,3.284,3.1778,3.2702,CSX Corporation,CSX,Industrials
2009-07-20,3.2857,3.4066,3.2823,3.3626,CSX Corporation,CSX,Industrials
2009-07-21,3.4222,3.4541,3.3073,3.366,CSX Corporation,CSX,Industrials
2009-07-22,3.3203,3.4671,3.2823,3.4101,CSX Corporation,CSX,Industrials
2009-07-23,3.385,3.5638,3.3678,3.5267,CSX Corporation,CSX,Industrials
2009-07-24,3.5025,3.5379,3.4343,3.5163,CSX Corporation,CSX,Industrials
2009-07-27,3.5172,3.5552,3.4498,3.5336,CSX Corporation,CSX,Industrials
2009-07-28,3.4818,3.5275,3.3807,3.4274,CSX Corporation,CSX,Industrials
2009-07-29,3.3626,3.4377,3.2996,3.4343,CSX Corporation,CSX,Industrials
2009-07-30,3.5008,3.5837,3.4818,3.4947,CSX Corporation,CSX,Industrials
2009-07-31,3.4818,3.5025,3.4377,3.4645,CSX Corporation,CSX,Industrials
2009-08-03,3.5284,3.6596,3.5163,3.6251,CSX Corporation,CSX,Industrials
2009-08-04,3.5992,3.6467,3.5647,3.6225,CSX Corporation,CSX,Industrials
2009-08-05,3.6432,3.6631,3.5198,3.5647,CSX Corporation,CSX,Industrials
2009-08-06,3.5742,3.5888,3.5301,3.5474,CSX Corporation,CSX,Industrials
2009-08-07,3.6398,3.8781,3.6096,3.828,CSX Corporation,CSX,Industrials
2009-08-10,3.8263,3.8419,3.7296,3.7443,CSX Corporation,CSX,Industrials
2009-08-11,3.708,3.8617,3.6709,3.8142,CSX Corporation,CSX,Industrials
2009-08-12,3.8125,3.8686,3.7745,3.8194,CSX Corporation,CSX,Industrials
2009-08-13,3.8401,3.8755,3.7745,3.8721,CSX Corporation,CSX,Industrials
2009-08-14,3.8557,3.8807,3.7633,3.8496,CSX Corporation,CSX,Industrials
2009-08-17,3.727,3.752,3.632,3.702,CSX Corporation,CSX,Industrials
2009-08-18,3.7123,3.771,3.6821,3.7503,CSX Corporation,CSX,Industrials
2009-08-19,3.7054,3.79,3.67,3.7279,CSX Corporation,CSX,Industrials
2009-08-20,3.746,3.8375,3.727,3.8185,CSX Corporation,CSX,Industrials
2009-08-21,3.8505,3.9153,3.8108,3.8911,CSX Corporation,CSX,Industrials
2009-08-24,3.9066,3.955,3.8151,3.8427,CSX Corporation,CSX,Industrials
2009-08-25,3.8893,3.9524,3.8341,3.8375,CSX Corporation,CSX,Industrials
2009-08-26,3.8375,3.8401,3.7002,3.7175,CSX Corporation,CSX,Industrials
2009-08-27,3.7285,3.7953,3.6209,3.7719,CSX Corporation,CSX,Industrials
2009-08-28,3.811,3.8361,3.7268,3.7953,CSX Corporation,CSX,Industrials
2009-08-31,3.7563,3.7572,3.6582,3.6886,CSX Corporation,CSX,Industrials
2009-09-01,3.673,3.7632,3.6244,3.64,CSX Corporation,CSX,Industrials
2009-09-02,3.6244,3.6669,3.5671,3.6218,CSX Corporation,CSX,Industrials
2009-09-03,3.686,3.8587,3.6435,3.8552,CSX Corporation,CSX,Industrials
2009-09-04,3.8544,3.9663,3.7997,3.9307,CSX Corporation,CSX,Industrials
2009-09-08,3.9915,4.0097,3.9394,3.9585,CSX Corporation,CSX,Industrials
2009-09-09,3.9863,4.1295,3.9533,4.0731,CSX Corporation,CSX,Industrials
2009-09-10,4.0783,4.1954,4.0748,4.1807,CSX Corporation,CSX,Industrials
2009-09-11,4.2232,4.2397,4.0106,4.0731,CSX Corporation,CSX,Industrials
2009-09-14,4.0331,4.1069,4.0088,4.0861,CSX Corporation,CSX,Industrials
2009-09-15,4.0227,4.0887,3.9429,4.0618,CSX Corporation,CSX,Industrials
2009-09-16,4.1095,4.1095,3.8899,3.9759,CSX Corporation,CSX,Industrials
2009-09-17,3.9542,3.9759,3.8769,3.916,CSX Corporation,CSX,Industrials
2009-09-18,3.9368,3.9741,3.8795,3.9281,CSX Corporation,CSX,Industrials
2009-09-21,3.8925,4.0227,3.8656,3.9455,CSX Corporation,CSX,Industrials
2009-09-22,4.0149,4.0323,3.9585,3.9793,CSX Corporation,CSX,Industrials
2009-09-23,3.9967,4.0141,3.8726,3.8769,CSX Corporation,CSX,Industrials
2009-09-24,3.896,3.9359,3.7676,3.837,CSX Corporation,CSX,Industrials
2009-09-25,3.8084,3.8344,3.6886,3.7164,CSX Corporation,CSX,Industrials
2009-09-28,3.7545,3.8361,3.7276,3.7979,CSX Corporation,CSX,Industrials
2009-09-29,3.8144,3.8188,3.7216,3.7381,CSX Corporation,CSX,Industrials
2009-09-30,3.7467,3.7728,3.607,3.633,CSX Corporation,CSX,Industrials
