DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,8.1704,8.8459,8.1704,8.7862,Cognizant,CTSH,Information Technology
2009-01-05,8.7126,8.7816,8.5794,8.7448,Cognizant,CTSH,Information Technology
2009-01-06,8.7678,9.0527,8.7356,8.9332,Cognizant,CTSH,Information Technology
2009-01-07,8.4507,9.3789,8.3312,9.0986,Cognizant,CTSH,Information Technology
2009-01-08,9.1124,9.5076,9.0343,9.4846,Cognizant,CTSH,Information Technology
2009-01-09,9.5398,9.6087,9.094,9.2273,Cognizant,CTSH,Information Technology
2009-01-12,9.3863,9.3863,8.947,9.0573,Cognizant,CTSH,Information Technology
2009-01-13,9.1997,9.9488,9.0803,9.6868,Cognizant,CTSH,Information Technology
2009-01-14,9.3468,9.4892,8.9194,9.0481,Cognizant,CTSH,Information Technology
2009-01-15,9.14,9.4065,8.7264,9.2411,Cognizant,CTSH,Information Technology
2009-01-16,9.3789,9.5719,9.0389,9.356,Cognizant,CTSH,Information Technology
2009-01-20,9.4295,9.4617,8.7724,8.777,Cognizant,CTSH,Information Technology
2009-01-21,9.0021,9.0481,8.5932,8.8964,Cognizant,CTSH,Information Technology
2009-01-22,8.6345,8.6988,8.4323,8.4829,Cognizant,CTSH,Information Technology
2009-01-23,8.4829,8.9102,8.3864,8.7034,Cognizant,CTSH,Information Technology
2009-01-26,8.7034,9.1768,8.6851,8.924,Cognizant,CTSH,Information Technology
2009-01-27,9.094,9.094,8.6667,8.7586,Cognizant,CTSH,Information Technology
2009-01-28,9.0389,9.4754,8.9332,9.3238,Cognizant,CTSH,Information Technology
2009-01-29,9.1538,9.2411,8.9102,8.9838,Cognizant,CTSH,Information Technology
2009-01-30,8.9883,9.1262,8.561,8.6069,Cognizant,CTSH,Information Technology
2009-02-02,8.6115,8.777,8.4553,8.5932,Cognizant,CTSH,Information Technology
2009-02-03,8.6023,9.0067,8.4507,8.9838,Cognizant,CTSH,Information Technology
2009-02-04,8.9654,9.1905,8.8045,8.8505,Cognizant,CTSH,Information Technology
2009-02-05,8.731,9.117,8.5702,9.0343,Cognizant,CTSH,Information Technology
2009-02-06,9.0481,9.3054,8.9424,9.2687,Cognizant,CTSH,Information Technology
2009-02-09,9.2365,9.4663,9.1814,9.3514,Cognizant,CTSH,Information Technology
2009-02-10,9.2779,9.3698,8.8735,8.8735,Cognizant,CTSH,Information Technology
2009-02-11,9.1859,9.1859,8.8964,9.1124,Cognizant,CTSH,Information Technology
2009-02-12,8.9746,9.6593,8.7678,9.5398,Cognizant,CTSH,Information Technology
2009-02-13,9.8798,10.0866,9.6133,9.7282,Cognizant,CTSH,Information Technology
2009-02-17,9.1354,9.3376,8.1888,9.0757,Cognizant,CTSH,Information Technology
2009-02-18,9.1584,9.2687,8.9378,9.1584,Cognizant,CTSH,Information Technology
2009-02-19,9.1722,9.3881,9.0067,9.0527,Cognizant,CTSH,Information Technology
2009-02-20,9.0389,9.1492,8.8274,8.9148,Cognizant,CTSH,Information Technology
2009-02-23,9.1859,9.1859,8.5196,8.5472,Cognizant,CTSH,Information Technology
2009-02-24,8.731,8.7678,8.4553,8.7356,Cognizant,CTSH,Information Technology
2009-02-25,8.6345,8.9148,8.4875,8.731,Cognizant,CTSH,Information Technology
2009-02-26,8.8321,8.8609,8.4553,8.5196,Cognizant,CTSH,Information Technology
2009-02-27,8.4093,8.6897,8.3772,8.4553,Cognizant,CTSH,Information Technology
2009-03-02,8.0831,8.4185,7.9314,7.9866,Cognizant,CTSH,Information Technology
2009-03-03,8.0417,8.3266,7.9314,8.2623,Cognizant,CTSH,Information Technology
2009-03-04,8.4002,8.8229,8.2761,8.6667,Cognizant,CTSH,Information Technology
2009-03-05,8.4553,8.6253,8.4438,8.4691,Cognizant,CTSH,Information Technology
2009-03-06,8.4571,8.6299,8.1888,8.4047,Cognizant,CTSH,Information Technology
2009-03-09,8.3726,8.5541,8.0417,8.2991,Cognizant,CTSH,Information Technology
2009-03-10,8.4599,8.8275,8.2991,8.7816,Cognizant,CTSH,Information Technology
2009-03-11,8.924,9.1859,8.8091,9.0297,Cognizant,CTSH,Information Technology
2009-03-12,9.0343,9.6225,8.9746,9.5582,Cognizant,CTSH,Information Technology
2009-03-13,9.4709,9.742,9.4295,9.6363,Cognizant,CTSH,Information Technology
2009-03-16,9.7604,9.8569,9.5444,9.5536,Cognizant,CTSH,Information Technology
2009-03-17,9.5811,10.0085,9.5306,10.0039,Cognizant,CTSH,Information Technology
2009-03-18,9.9717,10.1923,9.742,10.0269,Cognizant,CTSH,Information Technology
2009-03-19,10.1739,10.1739,9.8798,9.9212,Cognizant,CTSH,Information Technology
2009-03-20,9.9717,10.0636,9.3789,9.4341,Cognizant,CTSH,Information Technology
2009-03-23,9.6547,9.8982,9.5398,9.8798,Cognizant,CTSH,Information Technology
2009-03-24,9.742,9.8293,9.3238,9.356,Cognizant,CTSH,Information Technology
2009-03-25,9.526,9.6547,9.3054,9.5444,Cognizant,CTSH,Information Technology
2009-03-26,9.6501,10.0269,9.503,10.0131,Cognizant,CTSH,Information Technology
2009-03-27,9.3835,9.4938,9.1768,9.2457,Cognizant,CTSH,Information Technology
2009-03-30,9.0986,9.3077,8.924,9.2273,Cognizant,CTSH,Information Technology
2009-03-31,9.3376,9.7741,9.2733,9.5536,Cognizant,CTSH,Information Technology
2009-04-01,9.5352,9.7925,9.3514,9.7649,Cognizant,CTSH,Information Technology
2009-04-02,9.8798,10.4726,9.8798,10.1877,Cognizant,CTSH,Information Technology
2009-04-03,10.1234,10.514,10.0774,10.4588,Cognizant,CTSH,Information Technology
2009-04-06,10.4726,10.6518,10.2061,10.6151,Cognizant,CTSH,Information Technology
2009-04-07,10.3394,10.537,10.1188,10.2429,Cognizant,CTSH,Information Technology
2009-04-08,10.3233,10.4405,10.128,10.4083,Cognizant,CTSH,Information Technology
2009-04-09,10.4037,10.9459,10.3715,10.854,Cognizant,CTSH,Information Technology
2009-04-13,10.8173,10.9138,10.6105,10.8081,Cognizant,CTSH,Information Technology
2009-04-14,10.7437,10.7989,10.4496,10.6151,Cognizant,CTSH,Information Technology
2009-04-15,10.3899,10.3945,10.105,10.3302,Cognizant,CTSH,Information Technology
2009-04-16,10.5599,10.8448,10.4496,10.7391,Cognizant,CTSH,Information Technology
