DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,13.9667,14.16,13.8747,14.0167,Dollar Tree,DLTR,Consumer Staples
2009-01-05,14.08,14.1533,13.75,13.94,Dollar Tree,DLTR,Consumer Staples
2009-01-06,13.96,14.0633,13.1667,13.2233,Dollar Tree,DLTR,Consumer Staples
2009-01-07,13.6667,14.0733,13.5033,13.8467,Dollar Tree,DLTR,Consumer Staples
2009-01-08,13.7667,13.94,13.37,13.8767,Dollar Tree,DLTR,Consumer Staples
2009-01-09,13.89,13.9767,13.4833,13.6667,Dollar Tree,DLTR,Consumer Staples
2009-01-12,13.6033,13.83,13.4267,13.6633,Dollar Tree,DLTR,Consumer Staples
2009-01-13,13.5833,13.98,13.471,13.7333,Dollar Tree,DLTR,Consumer Staples
2009-01-14,13.51,13.7233,13.4787,13.6167,Dollar Tree,DLTR,Consumer Staples
2009-01-15,13.9567,14.63,13.6867,14.5167,Dollar Tree,DLTR,Consumer Staples
2009-01-16,14.6267,14.6367,14.24,14.4433,Dollar Tree,DLTR,Consumer Staples
2009-01-20,14.3367,14.4967,14.1067,14.23,Dollar Tree,DLTR,Consumer Staples
2009-01-21,14.3333,14.58,13.9833,14.3567,Dollar Tree,DLTR,Consumer Staples
2009-01-22,14.23,14.523,14.0033,14.3467,Dollar Tree,DLTR,Consumer Staples
2009-01-23,14.2033,14.39,14.02,14.1633,Dollar Tree,DLTR,Consumer Staples
2009-01-26,14.2433,14.4133,14.0567,14.19,Dollar Tree,DLTR,Consumer Staples
2009-01-27,14.3033,14.36,14.1167,14.2767,Dollar Tree,DLTR,Consumer Staples
2009-01-28,14.4467,14.66,14.3267,14.57,Dollar Tree,DLTR,Consumer Staples
2009-01-29,14.5467,14.6767,14.3233,14.4233,Dollar Tree,DLTR,Consumer Staples
2009-01-30,14.4467,14.58,14.1667,14.2367,Dollar Tree,DLTR,Consumer Staples
2009-02-02,14.29,14.41,14.0367,14.2667,Dollar Tree,DLTR,Consumer Staples
2009-02-03,14.3133,14.7733,14.1367,14.6467,Dollar Tree,DLTR,Consumer Staples
2009-02-04,14.3067,14.3667,13.7373,13.9167,Dollar Tree,DLTR,Consumer Staples
2009-02-05,12.75,12.75,11.3867,11.6767,Dollar Tree,DLTR,Consumer Staples
2009-02-06,12.01,12.21,11.6333,11.7967,Dollar Tree,DLTR,Consumer Staples
2009-02-09,11.79,11.96,11.68,11.8,Dollar Tree,DLTR,Consumer Staples
2009-02-10,11.8167,12.1133,11.5867,11.68,Dollar Tree,DLTR,Consumer Staples
2009-02-11,11.69,11.75,11.2433,11.4267,Dollar Tree,DLTR,Consumer Staples
2009-02-12,11.2,11.5633,11.05,11.5633,Dollar Tree,DLTR,Consumer Staples
2009-02-13,11.4467,11.5467,11.18,11.2267,Dollar Tree,DLTR,Consumer Staples
2009-02-17,11.01,11.56,10.98,11.3933,Dollar Tree,DLTR,Consumer Staples
2009-02-18,11.55,11.66,11.1767,11.3133,Dollar Tree,DLTR,Consumer Staples
2009-02-19,11.35,11.4967,11.2567,11.4567,Dollar Tree,DLTR,Consumer Staples
2009-02-20,11.4833,11.88,11.48,11.7267,Dollar Tree,DLTR,Consumer Staples
2009-02-23,11.7667,11.8667,11.57,11.5967,Dollar Tree,DLTR,Consumer Staples
2009-02-24,11.6167,12.04,11.614,12.02,Dollar Tree,DLTR,Consumer Staples
2009-02-25,12.1117,12.4,11.8433,12.0933,Dollar Tree,DLTR,Consumer Staples
2009-02-26,12.5733,12.7333,12.33,12.3533,Dollar Tree,DLTR,Consumer Staples
2009-02-27,12.2667,13.1833,12.2,12.94,Dollar Tree,DLTR,Consumer Staples
2009-03-02,12.9167,13.2033,12.8733,13.0767,Dollar Tree,DLTR,Consumer Staples
2009-03-03,13.1667,13.3133,12.6267,12.72,Dollar Tree,DLTR,Consumer Staples
2009-03-04,12.8767,13.2933,12.69,13.0067,Dollar Tree,DLTR,Consumer Staples
2009-03-05,13.0333,13.64,13.0333,13.3667,Dollar Tree,DLTR,Consumer Staples
2009-03-06,13.4,13.4567,12.85,13.1933,Dollar Tree,DLTR,Consumer Staples
2009-03-09,13.0433,13.4367,12.91,13.3333,Dollar Tree,DLTR,Consumer Staples
2009-03-10,13.4667,14.1,13.3833,13.7533,Dollar Tree,DLTR,Consumer Staples
2009-03-11,13.75,13.95,13.49,13.63,Dollar Tree,DLTR,Consumer Staples
2009-03-12,13.6033,13.85,13.3767,13.76,Dollar Tree,DLTR,Consumer Staples
2009-03-13,13.6867,13.8467,13.59,13.7367,Dollar Tree,DLTR,Consumer Staples
2009-03-16,13.85,13.85,13.32,13.3667,Dollar Tree,DLTR,Consumer Staples
2009-03-17,13.32,13.8833,13.2633,13.8567,Dollar Tree,DLTR,Consumer Staples
2009-03-18,13.79,14.1533,13.6233,13.8867,Dollar Tree,DLTR,Consumer Staples
2009-03-19,13.9167,14.04,13.66,13.8733,Dollar Tree,DLTR,Consumer Staples
2009-03-20,13.77,13.8733,13.5,13.6367,Dollar Tree,DLTR,Consumer Staples
2009-03-23,13.67,13.8933,13.4233,13.7933,Dollar Tree,DLTR,Consumer Staples
2009-03-24,13.37,13.8667,13.37,13.48,Dollar Tree,DLTR,Consumer Staples
2009-03-25,13.6,14.11,13.5267,14.08,Dollar Tree,DLTR,Consumer Staples
2009-03-26,14.09,14.6467,14.0683,14.5733,Dollar Tree,DLTR,Consumer Staples
2009-03-27,14.4267,14.6999,14.1967,14.61,Dollar Tree,DLTR,Consumer Staples
2009-03-30,14.4567,15.0,14.31,14.9733,Dollar Tree,DLTR,Consumer Staples
2009-03-31,15.0067,15.11,14.67,14.85,Dollar Tree,DLTR,Consumer Staples
2009-04-01,14.7267,14.7667,14.3767,14.52,Dollar Tree,DLTR,Consumer Staples
2009-04-02,14.6867,15.0067,14.3233,14.4167,Dollar Tree,DLTR,Consumer Staples
2009-04-03,13.8833,14.21,13.8333,14.0833,Dollar Tree,DLTR,Consumer Staples
2009-04-06,13.9767,14.35,13.97,14.14,Dollar Tree,DLTR,Consumer Staples
