DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,15.7829,17.2285,15.7141,17.1498,Electronic Arts,EA,Communication Services
2009-01-05,17.1596,17.3858,16.3041,16.4221,Electronic Arts,EA,Communication Services
2009-01-06,16.8351,18.32,16.3336,18.2512,Electronic Arts,EA,Communication Services
2009-01-07,17.7005,17.9267,17.1105,17.4645,Electronic Arts,EA,Communication Services
2009-01-08,17.6218,20.2572,17.2088,18.5363,Electronic Arts,EA,Communication Services
2009-01-09,18.5363,18.6347,17.3858,17.494,Electronic Arts,EA,Communication Services
2009-01-12,17.4448,17.73,16.9335,17.2186,Electronic Arts,EA,Communication Services
2009-01-13,17.1178,17.3956,16.6581,16.9236,Electronic Arts,EA,Communication Services
2009-01-14,16.6778,16.7565,15.9993,16.3926,Electronic Arts,EA,Communication Services
2009-01-15,16.2254,17.081,16.1566,16.963,Electronic Arts,EA,Communication Services
2009-01-16,17.14,17.5628,16.4418,17.2383,Electronic Arts,EA,Communication Services
2009-01-20,16.9826,17.199,16.2943,16.3533,Electronic Arts,EA,Communication Services
2009-01-21,16.6286,17.2973,16.3631,17.2678,Electronic Arts,EA,Communication Services
2009-01-22,17.1793,17.1891,15.9896,16.2254,Electronic Arts,EA,Communication Services
2009-01-23,15.9993,16.9335,15.7436,16.668,Electronic Arts,EA,Communication Services
2009-01-26,16.5106,16.8548,15.7436,16.0484,Electronic Arts,EA,Communication Services
2009-01-27,16.2353,16.5106,15.8518,16.2156,Electronic Arts,EA,Communication Services
2009-01-28,16.5205,16.8351,16.3336,16.5991,Electronic Arts,EA,Communication Services
2009-01-29,16.0189,16.4615,15.6453,15.9206,Electronic Arts,EA,Communication Services
2009-01-30,16.0337,16.0337,15.1413,15.1831,Electronic Arts,EA,Communication Services
2009-02-02,14.9471,15.1143,14.4161,14.6127,Electronic Arts,EA,Communication Services
2009-02-03,14.7652,15.5273,14.0031,15.2421,Electronic Arts,EA,Communication Services
2009-02-04,16.0288,17.3071,15.7633,16.9826,Electronic Arts,EA,Communication Services
2009-02-05,16.8155,18.6248,16.7466,18.3888,Electronic Arts,EA,Communication Services
2009-02-06,18.615,19.1264,18.3888,19.0182,Electronic Arts,EA,Communication Services
2009-02-09,18.7822,18.7822,18.1528,18.2708,Electronic Arts,EA,Communication Services
2009-02-10,18.143,18.2708,16.2943,16.5598,Electronic Arts,EA,Communication Services
2009-02-11,16.7171,17.1301,16.3631,16.7466,Electronic Arts,EA,Communication Services
2009-02-12,16.5106,16.6975,16.1074,16.668,Electronic Arts,EA,Communication Services
2009-02-13,16.7663,16.9138,16.4123,16.6483,Electronic Arts,EA,Communication Services
2009-02-17,16.1861,16.4615,15.8911,16.1763,Electronic Arts,EA,Communication Services
2009-02-18,16.2746,16.6483,15.8419,16.255,Electronic Arts,EA,Communication Services
2009-02-19,16.5106,16.7958,15.9206,15.9206,Electronic Arts,EA,Communication Services
2009-02-20,15.7633,16.255,15.6846,16.1074,Electronic Arts,EA,Communication Services
2009-02-23,15.9304,16.491,15.6649,15.7534,Electronic Arts,EA,Communication Services
2009-02-24,15.7928,17.022,15.7928,16.8351,Electronic Arts,EA,Communication Services
2009-02-25,16.432,16.8941,15.8616,16.4713,Electronic Arts,EA,Communication Services
2009-02-26,16.5008,16.786,15.8419,15.8616,Electronic Arts,EA,Communication Services
2009-02-27,15.3699,16.373,15.2716,16.0386,Electronic Arts,EA,Communication Services
