,DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
0,2009-11-18,1.7,1.75,1.633,1.662,Fortinet,FTNT,Information Technology
1,2009-11-19,1.657,1.712,1.606,1.689,Fortinet,FTNT,Information Technology
2,2009-11-20,1.688,1.696,1.606,1.694,Fortinet,FTNT,Information Technology
3,2009-11-23,1.706,1.717,1.66,1.69,Fortinet,FTNT,Information Technology
4,2009-11-24,1.68,1.705,1.673,1.701,Fortinet,FTNT,Information Technology
5,2009-11-25,1.715,1.728,1.695,1.72,Fortinet,FTNT,Information Technology
6,2009-11-27,1.677,1.768,1.67,1.689,Fortinet,FTNT,Information Technology
7,2009-11-30,1.705,1.732,1.681,1.699,Fortinet,FTNT,Information Technology
8,2009-12-01,1.7,1.724,1.6628,1.682,Fortinet,FTNT,Information Technology
9,2009-12-02,1.69,1.69,1.615,1.662,Fortinet,FTNT,Information Technology
10,2009-12-03,1.662,1.686,1.652,1.668,Fortinet,FTNT,Information Technology
11,2009-12-04,1.685,1.73,1.636,1.728,Fortinet,FTNT,Information Technology
12,2009-12-07,1.712,1.761,1.684,1.692,Fortinet,FTNT,Information Technology
13,2009-12-08,1.695,1.695,1.645,1.655,Fortinet,FTNT,Information Technology
14,2009-12-09,1.65,1.725,1.65,1.699,Fortinet,FTNT,Information Technology
15,2009-12-10,1.718,1.718,1.677,1.692,Fortinet,FTNT,Information Technology
16,2009-12-11,1.683,1.697,1.666,1.694,Fortinet,FTNT,Information Technology
17,2009-12-14,1.69,1.721,1.681,1.7,Fortinet,FTNT,Information Technology
18,2009-12-15,1.71,1.724,1.685,1.7,Fortinet,FTNT,Information Technology
19,2009-12-16,1.7,1.834,1.7,1.825,Fortinet,FTNT,Information Technology
20,2009-12-17,1.83,1.846,1.781,1.795,Fortinet,FTNT,Information Technology
21,2009-12-18,1.818,1.837,1.755,1.758,Fortinet,FTNT,Information Technology
22,2009-12-21,1.765,1.796,1.72,1.763,Fortinet,FTNT,Information Technology
23,2009-12-22,1.771,1.777,1.711,1.723,Fortinet,FTNT,Information Technology
24,2009-12-23,1.73,1.817,1.721,1.796,Fortinet,FTNT,Information Technology
25,2009-12-24,1.799,1.855,1.791,1.836,Fortinet,FTNT,Information Technology
26,2009-12-28,1.867,1.878,1.75,1.773,Fortinet,FTNT,Information Technology
27,2009-12-29,1.773,1.84,1.773,1.835,Fortinet,FTNT,Information Technology
28,2009-12-30,1.83,1.833,1.79,1.802,Fortinet,FTNT,Information Technology
29,2009-12-31,1.806,1.824,1.753,1.757,Fortinet,FTNT,Information Technology
30,2010-01-04,1.788,1.82,1.763,1.8,Fortinet,FTNT,Information Technology
31,2010-01-05,1.803,1.86,1.8,1.839,Fortinet,FTNT,Information Technology
32,2010-01-06,1.888,1.985,1.88,1.941,Fortinet,FTNT,Information Technology
33,2010-01-07,1.953,1.961,1.9,1.945,Fortinet,FTNT,Information Technology
34,2010-01-08,1.955,2.059,1.922,2.011,Fortinet,FTNT,Information Technology
35,2010-01-11,2.025,2.025,1.969,2.005,Fortinet,FTNT,Information Technology
36,2010-01-12,1.989,2.024,1.969,1.979,Fortinet,FTNT,Information Technology
37,2010-01-13,1.976,1.988,1.841,1.944,Fortinet,FTNT,Information Technology
38,2010-01-14,1.946,2.007,1.925,1.99,Fortinet,FTNT,Information Technology
39,2010-01-15,1.996,1.996,1.915,1.963,Fortinet,FTNT,Information Technology
40,2010-01-19,1.965,2.048,1.962,1.98,Fortinet,FTNT,Information Technology
41,2010-01-20,1.972,2.0,1.888,1.906,Fortinet,FTNT,Information Technology
42,2010-01-21,1.915,1.915,1.825,1.839,Fortinet,FTNT,Information Technology
43,2010-01-22,1.84,1.884,1.783,1.788,Fortinet,FTNT,Information Technology
44,2010-01-25,1.813,1.813,1.77,1.801,Fortinet,FTNT,Information Technology
45,2010-01-26,1.8,1.87,1.8,1.831,Fortinet,FTNT,Information Technology
46,2010-01-27,1.839,1.881,1.79,1.865,Fortinet,FTNT,Information Technology
47,2010-01-28,1.9,1.903,1.726,1.78,Fortinet,FTNT,Information Technology
48,2010-01-29,1.788,1.843,1.612,1.723,Fortinet,FTNT,Information Technology
49,2010-02-01,1.729,1.775,1.7,1.745,Fortinet,FTNT,Information Technology
50,2010-02-02,1.75,1.773,1.701,1.713,Fortinet,FTNT,Information Technology
51,2010-02-03,1.715,1.722,1.635,1.644,Fortinet,FTNT,Information Technology
52,2010-02-04,1.638,1.655,1.552,1.57,Fortinet,FTNT,Information Technology
53,2010-02-05,1.57,1.589,1.518,1.569,Fortinet,FTNT,Information Technology
54,2010-02-08,1.575,1.608,1.536,1.59,Fortinet,FTNT,Information Technology
55,2010-02-09,1.672,1.714,1.627,1.659,Fortinet,FTNT,Information Technology
56,2010-02-10,1.655,1.7,1.637,1.686,Fortinet,FTNT,Information Technology
57,2010-02-11,1.686,1.687,1.63,1.667,Fortinet,FTNT,Information Technology
58,2010-02-12,1.645,1.697,1.642,1.652,Fortinet,FTNT,Information Technology
59,2010-02-16,1.666,1.678,1.638,1.651,Fortinet,FTNT,Information Technology
60,2010-02-17,1.655,1.692,1.647,1.692,Fortinet,FTNT,Information Technology
61,2010-02-18,1.695,1.736,1.6858,1.733,Fortinet,FTNT,Information Technology
62,2010-02-19,1.733,1.748,1.725,1.733,Fortinet,FTNT,Information Technology
63,2010-02-22,1.733,1.736,1.69,1.697,Fortinet,FTNT,Information Technology
64,2010-02-23,1.691,1.7,1.652,1.668,Fortinet,FTNT,Information Technology
65,2010-02-24,1.683,1.707,1.651,1.657,Fortinet,FTNT,Information Technology
