DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,18.12,18.38,17.62,18.295,Idexx Laboratories,IDXX,Health Care
2009-01-05,18.25,18.335,17.29,17.395,Idexx Laboratories,IDXX,Health Care
2009-01-06,15.9,16.685,15.54,16.495,Idexx Laboratories,IDXX,Health Care
2009-01-07,16.535,16.655,15.895,16.12,Idexx Laboratories,IDXX,Health Care
2009-01-08,16.25,16.43,15.55,15.75,Idexx Laboratories,IDXX,Health Care
2009-01-09,15.79,15.845,15.27,15.35,Idexx Laboratories,IDXX,Health Care
2009-01-12,15.245,15.46,14.83,15.025,Idexx Laboratories,IDXX,Health Care
2009-01-13,15.045,15.485,14.855,15.35,Idexx Laboratories,IDXX,Health Care
2009-01-14,15.115,15.17,14.805,14.98,Idexx Laboratories,IDXX,Health Care
2009-01-15,15.0,15.58,14.875,15.475,Idexx Laboratories,IDXX,Health Care
2009-01-16,15.5,15.86,15.225,15.745,Idexx Laboratories,IDXX,Health Care
2009-01-20,15.68,16.115,15.6538,15.69,Idexx Laboratories,IDXX,Health Care
2009-01-21,15.835,16.16,15.751,16.09,Idexx Laboratories,IDXX,Health Care
2009-01-22,15.9575,16.045,15.55,15.765,Idexx Laboratories,IDXX,Health Care
2009-01-23,15.585,15.76,15.2951,15.6,Idexx Laboratories,IDXX,Health Care
2009-01-26,15.595,16.265,15.55,15.625,Idexx Laboratories,IDXX,Health Care
2009-01-27,15.75,15.945,15.54,15.76,Idexx Laboratories,IDXX,Health Care
2009-01-28,16.045,16.225,15.935,16.06,Idexx Laboratories,IDXX,Health Care
2009-01-29,15.925,16.075,15.59,15.67,Idexx Laboratories,IDXX,Health Care
2009-01-30,15.945,16.75,15.7,16.4,Idexx Laboratories,IDXX,Health Care
2009-02-02,16.24,16.345,16.075,16.285,Idexx Laboratories,IDXX,Health Care
2009-02-03,16.275,16.36,16.055,16.295,Idexx Laboratories,IDXX,Health Care
2009-02-04,16.275,16.625,16.135,16.405,Idexx Laboratories,IDXX,Health Care
2009-02-05,16.335,16.816,16.265,16.62,Idexx Laboratories,IDXX,Health Care
2009-02-06,16.71,17.48,16.67,17.35,Idexx Laboratories,IDXX,Health Care
2009-02-09,17.235,17.53,17.235,17.295,Idexx Laboratories,IDXX,Health Care
2009-02-10,17.265,17.46,16.74,16.78,Idexx Laboratories,IDXX,Health Care
2009-02-11,16.93,17.115,16.75,17.0,Idexx Laboratories,IDXX,Health Care
2009-02-12,16.83,17.33,16.595,17.295,Idexx Laboratories,IDXX,Health Care
2009-02-13,17.375,17.46,17.13,17.185,Idexx Laboratories,IDXX,Health Care
2009-02-17,16.785,16.875,16.405,16.615,Idexx Laboratories,IDXX,Health Care
2009-02-18,16.785,16.875,16.425,16.5,Idexx Laboratories,IDXX,Health Care
2009-02-19,16.62,16.715,16.26,16.285,Idexx Laboratories,IDXX,Health Care
2009-02-20,16.23,16.39,16.0,16.18,Idexx Laboratories,IDXX,Health Care
2009-02-23,16.245,16.325,15.105,15.205,Idexx Laboratories,IDXX,Health Care
2009-02-24,15.375,16.07,15.36,15.925,Idexx Laboratories,IDXX,Health Care
2009-02-25,15.795,15.93,15.45,15.675,Idexx Laboratories,IDXX,Health Care
2009-02-26,15.865,15.895,15.24,15.31,Idexx Laboratories,IDXX,Health Care
2009-02-27,15.145,15.42,14.845,15.05,Idexx Laboratories,IDXX,Health Care
2009-03-02,14.94,15.115,13.86,13.925,Idexx Laboratories,IDXX,Health Care
