DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,26.05,26.87,25.55,26.85,"Illumina, Inc.",ILMN,Health Care
2009-01-05,26.8,27.86,26.25,27.48,"Illumina, Inc.",ILMN,Health Care
2009-01-06,27.59,28.0,26.33,27.0,"Illumina, Inc.",ILMN,Health Care
2009-01-07,26.54,26.7,25.05,25.61,"Illumina, Inc.",ILMN,Health Care
2009-01-08,25.47,25.63,24.13,24.65,"Illumina, Inc.",ILMN,Health Care
2009-01-09,24.97,25.05,23.29,23.43,"Illumina, Inc.",ILMN,Health Care
2009-01-12,23.34,24.5,23.34,24.33,"Illumina, Inc.",ILMN,Health Care
2009-01-13,24.33,26.12,24.01,25.73,"Illumina, Inc.",ILMN,Health Care
2009-01-14,25.52,25.65,24.83,25.0,"Illumina, Inc.",ILMN,Health Care
2009-01-15,24.93,29.08,24.75,28.17,"Illumina, Inc.",ILMN,Health Care
2009-01-16,28.46,30.34,28.26,30.33,"Illumina, Inc.",ILMN,Health Care
2009-01-20,30.25,30.3,27.21,27.34,"Illumina, Inc.",ILMN,Health Care
2009-01-21,27.78,28.73,27.155,28.7,"Illumina, Inc.",ILMN,Health Care
2009-01-22,28.1,28.1,26.79,27.44,"Illumina, Inc.",ILMN,Health Care
2009-01-23,28.1,28.78,27.21,27.75,"Illumina, Inc.",ILMN,Health Care
2009-01-26,27.81,28.78,27.23,27.57,"Illumina, Inc.",ILMN,Health Care
2009-01-27,28.06,28.38,26.99,27.52,"Illumina, Inc.",ILMN,Health Care
2009-01-28,27.85,29.0,27.81,28.45,"Illumina, Inc.",ILMN,Health Care
2009-01-29,28.21,28.65,27.87,27.97,"Illumina, Inc.",ILMN,Health Care
2009-01-30,28.0,28.21,26.68,27.36,"Illumina, Inc.",ILMN,Health Care
2009-02-02,27.19,27.93,26.83,27.41,"Illumina, Inc.",ILMN,Health Care
2009-02-03,28.92,28.92,27.21,27.99,"Illumina, Inc.",ILMN,Health Care
2009-02-04,31.79,34.56,31.18,33.91,"Illumina, Inc.",ILMN,Health Care
2009-02-05,33.58,35.24,33.29,34.58,"Illumina, Inc.",ILMN,Health Care
2009-02-06,33.62,35.0,33.48,34.24,"Illumina, Inc.",ILMN,Health Care
2009-02-09,34.24,35.5,34.01,35.13,"Illumina, Inc.",ILMN,Health Care
2009-02-10,35.42,35.93,34.25,34.55,"Illumina, Inc.",ILMN,Health Care
2009-02-11,34.62,35.5,34.5,34.85,"Illumina, Inc.",ILMN,Health Care
2009-02-12,34.47,35.5,34.13,35.5,"Illumina, Inc.",ILMN,Health Care
2009-02-13,35.49,36.61,35.102,35.91,"Illumina, Inc.",ILMN,Health Care
2009-02-17,35.3,35.995,34.39,35.54,"Illumina, Inc.",ILMN,Health Care
2009-02-18,35.59,35.64,33.592,33.87,"Illumina, Inc.",ILMN,Health Care
2009-02-19,33.85,34.39,32.49,32.7,"Illumina, Inc.",ILMN,Health Care
2009-02-20,32.28,33.39,31.74,33.08,"Illumina, Inc.",ILMN,Health Care
2009-02-23,33.31,33.5,32.05,32.2,"Illumina, Inc.",ILMN,Health Care
2009-02-24,32.14,33.56,32.05,33.39,"Illumina, Inc.",ILMN,Health Care
2009-02-25,33.44,34.47,32.9,33.97,"Illumina, Inc.",ILMN,Health Care
2009-02-26,33.97,34.34,32.07,32.16,"Illumina, Inc.",ILMN,Health Care
2009-02-27,32.0,32.34,31.08,31.33,"Illumina, Inc.",ILMN,Health Care
2009-03-02,30.92,31.14,29.67,30.19,"Illumina, Inc.",ILMN,Health Care
2009-03-03,30.34,31.25,30.02,30.8,"Illumina, Inc.",ILMN,Health Care
2009-03-04,31.55,32.84,31.19,32.31,"Illumina, Inc.",ILMN,Health Care
2009-03-05,32.55,33.42,31.81,32.0,"Illumina, Inc.",ILMN,Health Care
2009-03-06,32.43,32.99,31.301,31.98,"Illumina, Inc.",ILMN,Health Care
2009-03-09,32.01,33.95,32.01,32.37,"Illumina, Inc.",ILMN,Health Care
2009-03-10,32.75,34.51,32.38,34.0,"Illumina, Inc.",ILMN,Health Care
2009-03-11,34.16,34.84,33.56,33.85,"Illumina, Inc.",ILMN,Health Care
2009-03-12,34.16,36.47,33.82,36.35,"Illumina, Inc.",ILMN,Health Care
2009-03-13,36.22,36.91,34.77,35.72,"Illumina, Inc.",ILMN,Health Care
2009-03-16,36.25,36.95,34.44,34.55,"Illumina, Inc.",ILMN,Health Care
2009-03-17,34.65,36.1,34.21,36.07,"Illumina, Inc.",ILMN,Health Care
2009-03-18,35.69,36.82,35.62,36.35,"Illumina, Inc.",ILMN,Health Care
2009-03-19,36.57,37.19,35.96,36.4,"Illumina, Inc.",ILMN,Health Care
2009-03-20,36.49,36.49,35.4,35.41,"Illumina, Inc.",ILMN,Health Care
2009-03-23,36.45,38.95,36.1725,38.87,"Illumina, Inc.",ILMN,Health Care
2009-03-24,38.54,38.54,37.54,37.54,"Illumina, Inc.",ILMN,Health Care
2009-03-25,37.7,38.86,36.52,38.06,"Illumina, Inc.",ILMN,Health Care
2009-03-26,38.26,38.26,37.05,38.07,"Illumina, Inc.",ILMN,Health Care
2009-03-27,37.3,38.11,37.01,37.22,"Illumina, Inc.",ILMN,Health Care
2009-03-30,36.94,37.0,35.47,36.86,"Illumina, Inc.",ILMN,Health Care
2009-03-31,36.87,37.73,36.01,37.24,"Illumina, Inc.",ILMN,Health Care
2009-04-01,36.69,36.69,35.26,35.68,"Illumina, Inc.",ILMN,Health Care
2009-04-02,36.0,37.17,35.78,36.49,"Illumina, Inc.",ILMN,Health Care
2009-04-03,36.45,36.6,34.54,35.02,"Illumina, Inc.",ILMN,Health Care
2009-04-06,35.09,35.09,34.25,34.83,"Illumina, Inc.",ILMN,Health Care
2009-04-07,34.47,34.875,33.61,34.31,"Illumina, Inc.",ILMN,Health Care
2009-04-08,34.25,34.61,33.32,34.61,"Illumina, Inc.",ILMN,Health Care
2009-04-09,34.94,35.29,34.42,35.0,"Illumina, Inc.",ILMN,Health Care
2009-04-13,34.55,35.06,34.52,34.82,"Illumina, Inc.",ILMN,Health Care
2009-04-14,34.65,35.5,34.12,34.63,"Illumina, Inc.",ILMN,Health Care
2009-04-15,34.52,34.61,33.17,34.27,"Illumina, Inc.",ILMN,Health Care
2009-04-16,34.75,36.75,34.75,36.18,"Illumina, Inc.",ILMN,Health Care
2009-04-17,38.18,38.57,36.52,37.45,"Illumina, Inc.",ILMN,Health Care
2009-04-20,38.5,38.5,36.12,36.364,"Illumina, Inc.",ILMN,Health Care
2009-04-21,36.55,37.17,36.0,37.16,"Illumina, Inc.",ILMN,Health Care
2009-04-22,35.0,36.68,34.6,35.48,"Illumina, Inc.",ILMN,Health Care
2009-04-23,35.35,35.35,33.92,34.28,"Illumina, Inc.",ILMN,Health Care
2009-04-24,34.08,35.74,34.08,35.54,"Illumina, Inc.",ILMN,Health Care
2009-04-27,35.02,36.3,35.0,35.46,"Illumina, Inc.",ILMN,Health Care
2009-04-28,35.03,36.06,34.48,35.77,"Illumina, Inc.",ILMN,Health Care
2009-04-29,35.88,38.25,35.66,37.87,"Illumina, Inc.",ILMN,Health Care
2009-04-30,37.75,38.5,37.125,37.35,"Illumina, Inc.",ILMN,Health Care
2009-05-01,37.06,38.78,37.04,38.14,"Illumina, Inc.",ILMN,Health Care
2009-05-04,38.3,38.47,37.4,38.0401,"Illumina, Inc.",ILMN,Health Care
2009-05-05,37.92,38.0,36.47,36.87,"Illumina, Inc.",ILMN,Health Care
2009-05-06,36.99,37.32,35.15,36.04,"Illumina, Inc.",ILMN,Health Care
2009-05-07,36.05,37.38,36.05,36.43,"Illumina, Inc.",ILMN,Health Care
2009-05-08,36.51,37.34,35.64,36.29,"Illumina, Inc.",ILMN,Health Care
2009-05-11,35.97,37.14,35.61,37.09,"Illumina, Inc.",ILMN,Health Care
2009-05-12,37.28,37.29,35.95,36.52,"Illumina, Inc.",ILMN,Health Care
2009-05-13,35.95,36.46,35.12,35.27,"Illumina, Inc.",ILMN,Health Care
2009-05-14,35.19,35.66,34.4386,35.45,"Illumina, Inc.",ILMN,Health Care
2009-05-15,35.14,35.75,34.73,35.64,"Illumina, Inc.",ILMN,Health Care
2009-05-18,35.48,36.88,35.09,36.75,"Illumina, Inc.",ILMN,Health Care
2009-05-19,36.71,37.3,36.05,37.23,"Illumina, Inc.",ILMN,Health Care
2009-05-20,37.11,37.25,36.4,36.55,"Illumina, Inc.",ILMN,Health Care
2009-05-21,36.26,36.7,35.32,35.64,"Illumina, Inc.",ILMN,Health Care
2009-05-22,36.86,36.86,35.38,35.63,"Illumina, Inc.",ILMN,Health Care
2009-05-26,35.08,36.185,35.05,35.91,"Illumina, Inc.",ILMN,Health Care
2009-05-27,35.76,36.87,35.25,35.65,"Illumina, Inc.",ILMN,Health Care
2009-05-28,35.65,35.93,35.19,35.83,"Illumina, Inc.",ILMN,Health Care
2009-05-29,35.55,36.77,35.29,36.71,"Illumina, Inc.",ILMN,Health Care
2009-06-01,37.53,38.07,37.16,37.89,"Illumina, Inc.",ILMN,Health Care
2009-06-02,37.59,38.53,37.55,38.05,"Illumina, Inc.",ILMN,Health Care
2009-06-03,37.5,39.67,37.5,38.75,"Illumina, Inc.",ILMN,Health Care
2009-06-04,38.75,39.1,38.53,38.84,"Illumina, Inc.",ILMN,Health Care
2009-06-05,38.93,38.99,38.11,38.72,"Illumina, Inc.",ILMN,Health Care
2009-06-08,38.31,38.59,37.62,37.93,"Illumina, Inc.",ILMN,Health Care
2009-06-09,38.38,38.7,38.12,38.32,"Illumina, Inc.",ILMN,Health Care
2009-06-10,38.92,38.97,37.08,37.85,"Illumina, Inc.",ILMN,Health Care
2009-06-11,38.0,39.92,37.76,39.53,"Illumina, Inc.",ILMN,Health Care
