DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,9.3613,9.7181,9.2211,9.6863,Intel,INTC,Information Technology
2009-01-05,9.6034,9.7436,9.4377,9.5015,Intel,INTC,Information Technology
2009-01-06,9.6162,9.8838,9.6098,9.7946,Intel,INTC,Information Technology
2009-01-07,9.425,9.5971,9.1382,9.202,Intel,INTC,Information Technology
2009-01-08,9.2083,9.2848,9.0809,9.2721,Intel,INTC,Information Technology
2009-01-09,9.2975,9.3039,8.9343,9.0172,Intel,INTC,Information Technology
2009-01-12,9.0235,9.1127,8.6794,8.7877,Intel,INTC,Information Technology
2009-01-13,8.6603,9.0363,8.5711,8.7113,Intel,INTC,Information Technology
2009-01-14,8.5774,8.6858,8.2652,8.3353,Intel,INTC,Information Technology
2009-01-15,8.2907,8.5711,8.0995,8.4691,Intel,INTC,Information Technology
2009-01-16,8.8451,8.8961,8.4564,8.7559,Intel,INTC,Information Technology
2009-01-20,8.6412,8.7559,8.1632,8.1951,Intel,INTC,Information Technology
2009-01-21,8.2843,8.45,7.9657,8.45,Intel,INTC,Information Technology
2009-01-22,8.176,8.3289,7.9975,8.1696,Intel,INTC,Information Technology
2009-01-23,8.0422,8.5328,8.0167,8.3608,Intel,INTC,Information Technology
2009-01-26,8.3544,8.6539,8.3034,8.5265,Intel,INTC,Information Technology
2009-01-27,8.6221,8.8897,8.6029,8.8005,Intel,INTC,Information Technology
2009-01-28,9.0044,9.0936,8.7877,8.9279,Intel,INTC,Information Technology
2009-01-29,8.826,8.826,8.4819,8.5201,Intel,INTC,Information Technology
2009-01-30,8.5711,8.6029,8.2206,8.2206,Intel,INTC,Information Technology
2009-02-02,8.1696,8.7368,8.125,8.6858,Intel,INTC,Information Technology
2009-02-03,8.7113,8.7877,8.4691,8.7495,Intel,INTC,Information Technology
2009-02-04,8.8699,9.372,8.8249,8.9343,Intel,INTC,Information Technology
2009-02-05,8.7863,9.269,8.709,9.1725,Intel,INTC,Information Technology
2009-02-06,9.2883,9.578,9.1467,9.4814,Intel,INTC,Information Technology
2009-02-09,9.4203,9.6874,9.3591,9.5973,Intel,INTC,Information Technology
2009-02-10,9.5136,9.7518,9.0373,9.063,Intel,INTC,Information Technology
2009-02-11,9.1725,9.2175,8.8378,9.063,Intel,INTC,Information Technology
2009-02-12,8.8893,9.0116,8.6833,9.0116,Intel,INTC,Information Technology
2009-02-13,8.9536,9.1789,8.915,8.9343,Intel,INTC,Information Technology
2009-02-17,8.7283,8.8378,8.503,8.503,Intel,INTC,Information Technology
2009-02-18,8.5674,8.8184,8.4258,8.5996,Intel,INTC,Information Technology
2009-02-19,8.5803,8.6125,8.1566,8.1619,Intel,INTC,Information Technology
2009-02-20,8.0718,8.3807,8.0653,8.2263,Intel,INTC,Information Technology
2009-02-23,8.2971,8.3099,7.7564,7.7757,Intel,INTC,Information Technology
2009-02-24,7.8207,8.2456,7.7821,8.1941,Intel,INTC,Information Technology
2009-02-25,8.2005,8.6768,8.0975,8.3872,Intel,INTC,Information Technology
2009-02-26,8.5674,8.7541,8.149,8.1812,Intel,INTC,Information Technology
2009-02-27,8.0525,8.458,8.0396,8.2005,Intel,INTC,Information Technology
2009-03-02,8.0718,8.3807,7.9237,7.9237,Intel,INTC,Information Technology
2009-03-03,8.0332,8.1297,7.8143,7.9044,Intel,INTC,Information Technology
2009-03-04,8.1748,8.4001,7.9559,8.2134,Intel,INTC,Information Technology
2009-03-05,8.0782,8.2778,7.9173,7.9237,Intel,INTC,Information Technology
2009-03-06,8.001,8.3164,7.7692,7.9881,Intel,INTC,Information Technology
2009-03-09,7.9366,8.3679,7.9173,8.0782,Intel,INTC,Information Technology
2009-03-10,8.2391,8.9794,8.2069,8.9601,Intel,INTC,Information Technology
2009-03-11,9.0405,9.0759,8.7798,8.9858,Intel,INTC,Information Technology
2009-03-12,9.1532,9.3978,8.9343,9.3463,Intel,INTC,Information Technology
2009-03-13,9.372,9.4621,9.1467,9.4621,Intel,INTC,Information Technology
2009-03-16,9.5265,9.5587,9.1017,9.1725,Intel,INTC,Information Technology
2009-03-17,9.1982,9.5909,9.1725,9.5909,Intel,INTC,Information Technology
2009-03-18,9.5909,9.9191,9.475,9.8097,Intel,INTC,Information Technology
2009-03-19,9.9063,9.9063,9.475,9.7518,Intel,INTC,Information Technology
2009-03-20,9.7775,9.9127,9.2368,9.4299,Intel,INTC,Information Technology
2009-03-23,9.6681,10.0028,9.6166,9.9899,Intel,INTC,Information Technology
2009-03-24,9.8226,9.9208,9.6552,9.6939,Intel,INTC,Information Technology
2009-03-25,9.7067,10.1122,9.4686,9.6166,Intel,INTC,Information Technology
2009-03-26,9.8033,10.2281,9.7726,10.1831,Intel,INTC,Information Technology
2009-03-27,9.9706,10.0801,9.8226,9.9256,Intel,INTC,Information Technology
2009-03-30,9.7132,9.7196,9.3205,9.475,Intel,INTC,Information Technology
2009-03-31,9.5973,9.8934,9.5909,9.6745,Intel,INTC,Information Technology
2009-04-01,9.5072,9.8612,9.4106,9.6745,Intel,INTC,Information Technology
2009-04-02,9.8998,10.2989,9.8226,10.1058,Intel,INTC,Information Technology
2009-04-03,10.0608,10.2732,9.8805,10.2667,Intel,INTC,Information Technology
2009-04-06,10.0736,10.2152,9.9449,10.2088,Intel,INTC,Information Technology
2009-04-07,10.0414,10.1573,9.8226,9.9449,Intel,INTC,Information Technology
2009-04-08,9.8805,10.1251,9.7518,9.829,Intel,INTC,Information Technology
2009-04-09,10.0543,10.344,10.0414,10.286,Intel,INTC,Information Technology
2009-04-13,10.1766,10.3568,10.0157,10.286,Intel,INTC,Information Technology
2009-04-14,10.286,10.55,10.1702,10.3054,Intel,INTC,Information Technology
2009-04-15,9.887,10.0929,9.726,10.0543,Intel,INTC,Information Technology
2009-04-16,10.1959,10.2539,9.9127,10.2281,Intel,INTC,Information Technology
2009-04-17,10.2217,10.2281,9.9449,10.0414,Intel,INTC,Information Technology
2009-04-20,9.887,9.8934,9.6552,9.6552,Intel,INTC,Information Technology
2009-04-21,9.6424,9.9899,9.6295,9.887,Intel,INTC,Information Technology
2009-04-22,9.7775,10.3697,9.7067,10.0865,Intel,INTC,Information Technology
2009-04-23,10.0929,10.1637,9.7196,9.9964,Intel,INTC,Information Technology
2009-04-24,10.0479,10.1316,9.8483,10.0543,Intel,INTC,Information Technology
2009-04-27,9.8548,10.0608,9.7904,9.8355,Intel,INTC,Information Technology
2009-04-28,9.7325,9.9191,9.681,9.6874,Intel,INTC,Information Technology
2009-04-29,9.784,10.0093,9.7003,9.8805,Intel,INTC,Information Technology
2009-04-30,10.0479,10.4019,9.9771,10.1573,Intel,INTC,Information Technology
2009-05-01,10.1444,10.2024,9.9642,10.1766,Intel,INTC,Information Technology
2009-05-04,10.4856,10.7752,10.389,10.7237,Intel,INTC,Information Technology
2009-05-05,10.7322,10.7322,10.3427,10.492,Intel,INTC,Information Technology
2009-05-06,10.6673,10.6738,10.3687,10.466,Intel,INTC,Information Technology
2009-05-07,10.5894,10.6284,10.0505,10.2388,Intel,INTC,Information Technology
2009-05-08,10.3037,10.3427,9.8687,9.9272,Intel,INTC,Information Technology
2009-05-11,9.7973,10.1495,9.7389,9.9791,Intel,INTC,Information Technology
2009-05-12,10.057,10.083,9.7389,9.8752,Intel,INTC,Information Technology
2009-05-13,9.9726,10.044,9.7973,9.8233,Intel,INTC,Information Technology
2009-05-14,9.8428,10.1836,9.8363,10.0895,Intel,INTC,Information Technology
2009-05-15,10.0895,10.1349,9.8363,9.8622,Intel,INTC,Information Technology
2009-05-18,9.9466,10.096,9.8557,10.0765,Intel,INTC,Information Technology
2009-05-19,10.044,10.3297,9.9115,10.1609,Intel,INTC,Information Technology
2009-05-20,10.2615,10.4206,10.057,10.1154,Intel,INTC,Information Technology
2009-05-21,9.9726,10.0181,9.7713,9.8557,Intel,INTC,Information Technology
2009-05-22,9.8882,9.9077,9.7454,9.7713,Intel,INTC,Information Technology
2009-05-26,9.7454,10.07,9.7389,10.0505,Intel,INTC,Information Technology
2009-05-27,10.0635,10.2972,9.9596,10.0375,Intel,INTC,Information Technology
2009-05-28,10.1025,10.2084,9.8363,10.2063,Intel,INTC,Information Technology
2009-05-29,10.2258,10.2518,9.8954,10.2063,Intel,INTC,Information Technology
2009-06-01,10.4076,10.7712,10.3687,10.7128,Intel,INTC,Information Technology
2009-06-02,10.5505,10.7387,10.4206,10.5115,Intel,INTC,Information Technology
2009-06-03,10.3687,10.4141,10.207,10.3492,Intel,INTC,Information Technology
2009-06-04,10.3752,10.5505,10.3109,10.4725,Intel,INTC,Information Technology
2009-06-05,10.5829,10.6803,10.2518,10.3362,Intel,INTC,Information Technology
2009-06-08,10.2972,10.4531,10.1349,10.3362,Intel,INTC,Information Technology
2009-06-09,10.5245,10.7842,10.4725,10.6608,Intel,INTC,Information Technology
2009-06-10,10.7647,10.7842,10.4855,10.6868,Intel,INTC,Information Technology
2009-06-11,10.7063,10.8426,10.5829,10.6154,Intel,INTC,Information Technology
2009-06-12,10.544,10.5894,10.4011,10.5894,Intel,INTC,Information Technology
2009-06-15,10.4206,10.4985,10.2063,10.3752,Intel,INTC,Information Technology
2009-06-16,10.4206,10.5115,10.2583,10.2972,Intel,INTC,Information Technology
2009-06-17,10.2778,10.5764,10.2648,10.479,Intel,INTC,Information Technology
2009-06-18,10.492,10.531,10.2843,10.3037,Intel,INTC,Information Technology
2009-06-19,10.4206,10.505,10.2907,10.3946,Intel,INTC,Information Technology
2009-06-22,10.3232,10.4985,10.1479,10.1804,Intel,INTC,Information Technology
2009-06-23,10.3102,10.3816,10.1349,10.2648,Intel,INTC,Information Technology
2009-06-24,10.4141,10.5928,10.3816,10.4531,Intel,INTC,Information Technology
2009-06-25,10.4206,10.6154,10.3297,10.5894,Intel,INTC,Information Technology
2009-06-26,10.505,10.6673,10.479,10.5764,Intel,INTC,Information Technology
2009-06-29,10.6803,10.8166,10.5634,10.6349,Intel,INTC,Information Technology
2009-06-30,10.6349,10.8037,10.544,10.7452,Intel,INTC,Information Technology
2009-07-01,10.8231,11.2387,10.8231,11.0634,Intel,INTC,Information Technology
2009-07-02,10.953,11.0049,10.8296,10.8556,Intel,INTC,Information Technology
2009-07-06,10.7842,10.9335,10.6284,10.7387,Intel,INTC,Information Technology
2009-07-07,10.927,10.9919,10.518,10.5505,Intel,INTC,Information Technology
2009-07-08,10.5894,10.6219,10.2453,10.3492,Intel,INTC,Information Technology
2009-07-09,10.4466,10.5699,10.3622,10.4011,Intel,INTC,Information Technology
2009-07-10,10.3752,10.531,10.2972,10.4141,Intel,INTC,Information Technology
2009-07-13,10.4855,10.7387,10.3232,10.7063,Intel,INTC,Information Technology
2009-07-14,10.7128,10.966,10.6868,10.927,Intel,INTC,Information Technology
2009-07-15,11.6802,11.81,11.5049,11.7191,Intel,INTC,Information Technology
2009-07-16,11.6477,12.0697,11.6477,12.0113,Intel,INTC,Information Technology
2009-07-17,12.0113,12.2126,11.849,12.1996,Intel,INTC,Information Technology
2009-07-20,12.245,12.2905,12.0243,12.271,Intel,INTC,Information Technology
2009-07-21,12.271,12.284,12.0178,12.271,Intel,INTC,Information Technology
2009-07-22,12.2515,12.5177,12.232,12.4268,Intel,INTC,Information Technology
2009-07-23,12.3943,12.7125,12.3294,12.6476,Intel,INTC,Information Technology
2009-07-24,12.4203,12.5956,12.3424,12.5696,Intel,INTC,Information Technology
2009-07-27,12.5242,12.6541,12.4333,12.6411,Intel,INTC,Information Technology
2009-07-28,12.5242,12.6346,12.3684,12.5761,Intel,INTC,Information Technology
2009-07-29,12.5242,12.6216,12.4073,12.5956,Intel,INTC,Information Technology
2009-07-30,12.706,12.8553,12.5307,12.5502,Intel,INTC,Information Technology
2009-07-31,12.5567,12.6995,12.4982,12.4982,Intel,INTC,Information Technology
2009-08-03,12.6476,12.6995,12.4528,12.5761,Intel,INTC,Information Technology
2009-08-04,12.4723,12.5826,12.4333,12.5437,Intel,INTC,Information Technology
2009-08-05,12.6041,12.6237,12.3359,12.3359,Intel,INTC,Information Technology
2009-08-06,12.3817,12.5452,12.1397,12.2313,Intel,INTC,Information Technology
2009-08-07,12.3686,12.4275,12.1004,12.1004,Intel,INTC,Information Technology
2009-08-10,12.1659,12.313,12.1397,12.2705,Intel,INTC,Information Technology
2009-08-11,12.2313,12.3948,12.1789,12.192,Intel,INTC,Information Technology
2009-08-12,12.2247,12.4864,12.2051,12.3032,Intel,INTC,Information Technology
2009-08-13,12.4079,12.4798,12.2836,12.4602,Intel,INTC,Information Technology
2009-08-14,12.4079,12.4275,12.1528,12.277,Intel,INTC,Information Technology
2009-08-17,12.0547,12.1528,12.0416,12.0677,Intel,INTC,Information Technology
2009-08-18,12.1004,12.3425,12.0743,12.2784,Intel,INTC,Information Technology
2009-08-19,12.1332,12.3555,12.107,12.2967,Intel,INTC,Information Technology
2009-08-20,12.2509,12.3032,12.1398,12.2378,Intel,INTC,Information Technology
2009-08-21,12.3555,12.3752,12.1332,12.3556,Intel,INTC,Information Technology
2009-08-24,12.4079,12.4275,12.2051,12.2705,Intel,INTC,Information Technology
2009-08-25,12.2705,12.591,12.2574,12.4929,Intel,INTC,Information Technology
2009-08-26,12.5648,12.748,12.5125,12.7087,Intel,INTC,Information Technology
2009-08-27,12.6564,12.7741,12.5321,12.7349,Intel,INTC,Information Technology
2009-08-28,13.2516,13.5067,13.1928,13.2451,Intel,INTC,Information Technology
2009-08-31,13.1404,13.3301,13.0619,13.2909,Intel,INTC,Information Technology
2009-09-01,13.2255,13.4609,12.8592,12.8984,Intel,INTC,Information Technology
2009-09-02,12.8821,12.9704,12.7349,12.7349,Intel,INTC,Information Technology
2009-09-03,12.8265,12.8396,12.5779,12.7022,Intel,INTC,Information Technology
2009-09-04,12.7087,12.8788,12.6106,12.8461,Intel,INTC,Information Technology
2009-09-08,13.0031,13.075,12.7872,12.9507,Intel,INTC,Information Technology
2009-09-09,12.9507,13.1797,12.8265,13.0358,Intel,INTC,Information Technology
2009-09-10,13.0031,13.1339,12.8526,12.9246,Intel,INTC,Information Technology
2009-09-11,13.0162,13.0423,12.6695,12.7611,Intel,INTC,Information Technology
2009-09-14,12.6302,12.748,12.6106,12.663,Intel,INTC,Information Technology
2009-09-15,12.7807,12.8886,12.663,12.7872,Intel,INTC,Information Technology
2009-09-16,12.8853,12.918,12.7153,12.8526,Intel,INTC,Information Technology
2009-09-17,12.8396,13.0096,12.5714,12.6957,Intel,INTC,Information Technology
2009-09-18,12.7676,12.8853,12.6695,12.7938,Intel,INTC,Information Technology
2009-09-21,12.7349,12.9213,12.7022,12.7807,Intel,INTC,Information Technology
2009-09-22,12.8396,12.905,12.7218,12.7741,Intel,INTC,Information Technology
2009-09-23,12.8396,13.2385,12.8199,13.0031,Intel,INTC,Information Technology
2009-09-24,13.0162,13.0816,12.7218,12.7807,Intel,INTC,Information Technology
2009-09-25,12.7218,12.8134,12.6237,12.6695,Intel,INTC,Information Technology
2009-09-28,12.6957,13.0358,12.6891,12.9115,Intel,INTC,Information Technology
2009-09-29,12.8657,12.9377,12.7153,12.7414,Intel,INTC,Information Technology
2009-09-30,12.8265,12.9442,12.591,12.8003,Intel,INTC,Information Technology
2009-10-01,12.748,12.7741,12.3555,12.3621,Intel,INTC,Information Technology
2009-10-02,12.3948,12.5714,12.3948,12.4079,Intel,INTC,Information Technology
2009-10-05,12.506,12.6041,12.3948,12.4929,Intel,INTC,Information Technology
2009-10-06,12.6237,12.9377,12.6106,12.8396,Intel,INTC,Information Technology
2009-10-07,12.8396,12.9965,12.7349,12.918,Intel,INTC,Information Technology
2009-10-08,12.9115,13.0685,12.7545,13.0031,Intel,INTC,Information Technology
2009-10-09,12.9769,13.2909,12.9573,13.1928,Intel,INTC,Information Technology
2009-10-12,13.3301,13.5067,13.2385,13.3432,Intel,INTC,Information Technology
2009-10-13,13.4151,13.5329,13.3105,13.4021,Intel,INTC,Information Technology
2009-10-14,13.9057,13.9122,13.5917,13.6251,Intel,INTC,Information Technology
2009-10-15,13.6114,13.6899,13.4348,13.5198,Intel,INTC,Information Technology
2009-10-16,13.389,13.4544,13.0946,13.1993,Intel,INTC,Information Technology
2009-10-19,13.2712,13.3955,13.111,13.3497,Intel,INTC,Information Technology
2009-10-20,13.389,13.4609,13.1535,13.1993,Intel,INTC,Information Technology
2009-10-21,13.1928,13.3563,12.8592,12.9893,Intel,INTC,Information Technology
2009-10-22,12.9965,13.1993,12.833,13.1601,Intel,INTC,Information Technology
2009-10-23,13.3432,13.3432,12.8265,12.9377,Intel,INTC,Information Technology
2009-10-26,12.9377,13.1077,12.7938,12.9704,Intel,INTC,Information Technology
2009-10-27,13.0881,13.1666,12.8657,12.9115,Intel,INTC,Information Technology
2009-10-28,12.8199,12.918,12.4406,12.4471,Intel,INTC,Information Technology
2009-10-29,12.5387,12.6957,12.4929,12.5714,Intel,INTC,Information Technology
2009-10-30,12.6302,12.6499,12.2598,12.4994,Intel,INTC,Information Technology
2009-11-02,12.4602,12.5256,12.264,12.434,Intel,INTC,Information Technology
2009-11-03,12.1855,12.1986,11.9762,12.1004,Intel,INTC,Information Technology
2009-11-04,12.2641,12.409,12.1916,12.2509,Intel,INTC,Information Technology
2009-11-05,12.3366,12.5903,12.2707,12.4486,Intel,INTC,Information Technology
2009-11-06,12.3959,12.5936,12.3497,12.4749,Intel,INTC,Information Technology
2009-11-09,12.6199,12.8242,12.6002,12.8242,Intel,INTC,Information Technology
2009-11-10,12.8044,12.9758,12.7979,12.8506,Intel,INTC,Information Technology
2009-11-11,12.9494,13.1142,12.9428,13.0746,Intel,INTC,Information Technology
2009-11-12,13.0351,13.5096,12.9362,12.9692,Intel,INTC,Information Technology
2009-11-13,12.9956,13.1471,12.9033,13.0615,Intel,INTC,Information Technology
2009-11-16,13.2526,13.391,13.1867,13.3317,Intel,INTC,Information Technology
2009-11-17,13.246,13.4107,13.1801,13.391,Intel,INTC,Information Technology
2009-11-18,13.3382,13.3646,13.1801,13.2592,Intel,INTC,Information Technology
2009-11-19,12.7847,12.7847,12.4881,12.7188,Intel,INTC,Information Technology
2009-11-20,12.6265,12.7254,12.5738,12.6792,Intel,INTC,Information Technology
2009-11-23,12.8374,12.8506,12.732,12.7847,Intel,INTC,Information Technology
2009-11-24,12.811,12.8506,12.6858,12.7781,Intel,INTC,Information Technology
2009-11-25,12.844,12.8506,12.7056,12.7451,Intel,INTC,Information Technology
2009-11-27,12.4618,12.6858,12.4025,12.5936,Intel,INTC,Information Technology
2009-11-30,12.5936,12.6924,12.5211,12.6529,Intel,INTC,Information Technology
2009-12-01,12.8242,12.9758,12.8176,12.956,Intel,INTC,Information Technology
2009-12-02,12.9824,13.0746,12.8835,12.9956,Intel,INTC,Information Technology
2009-12-03,13.0219,13.2328,12.9824,13.0944,Intel,INTC,Information Technology
2009-12-04,13.3053,13.5689,13.2789,13.4832,Intel,INTC,Information Technology
2009-12-07,13.3185,13.5162,13.3053,13.4239,Intel,INTC,Information Technology
2009-12-08,13.3448,13.3646,13.0483,13.1735,Intel,INTC,Information Technology
2009-12-09,13.1735,13.2328,12.989,13.1867,Intel,INTC,Information Technology
2009-12-10,13.2855,13.9284,13.1999,13.2789,Intel,INTC,Information Technology
2009-12-11,13.3119,13.3317,13.0549,13.1142,Intel,INTC,Information Technology
2009-12-14,13.1933,13.2526,13.1142,13.1669,Intel,INTC,Information Technology
2009-12-15,13.0746,13.2196,12.9692,13.0483,Intel,INTC,Information Technology
2009-12-16,12.8506,13.0483,12.7056,12.7715,Intel,INTC,Information Technology
2009-12-17,12.6792,12.7122,12.5672,12.5672,Intel,INTC,Information Technology
2009-12-18,12.6595,12.989,12.587,12.9362,Intel,INTC,Information Technology
2009-12-21,13.1669,13.3976,12.5211,13.2394,Intel,INTC,Information Technology
2009-12-22,13.2789,13.3778,13.1471,13.2064,Intel,INTC,Information Technology
2009-12-23,13.2196,13.3382,13.1999,13.246,Intel,INTC,Information Technology
2009-12-24,13.3119,13.4107,13.2987,13.3976,Intel,INTC,Information Technology
2009-12-28,13.4503,13.5096,13.2855,13.3778,Intel,INTC,Information Technology
2009-12-29,13.4503,13.4931,13.3317,13.445,Intel,INTC,Information Technology
2009-12-30,13.3448,13.5755,13.3448,13.5689,Intel,INTC,Information Technology
2009-12-31,13.5755,13.6546,13.4437,13.4437,Intel,INTC,Information Technology
2010-01-04,13.7007,13.8589,13.6612,13.76,Intel,INTC,Information Technology
2010-01-05,13.7995,13.8325,13.5755,13.7534,Intel,INTC,Information Technology
2010-01-06,13.7139,13.793,13.6216,13.7073,Intel,INTC,Information Technology
2010-01-07,13.6612,13.6809,13.4041,13.5755,Intel,INTC,Information Technology
2010-01-08,13.5359,13.7666,13.4437,13.7271,Intel,INTC,Information Technology
2010-01-11,13.9116,13.9379,13.7205,13.8061,Intel,INTC,Information Technology
2010-01-12,13.7534,13.7732,13.4305,13.5808,Intel,INTC,Information Technology
2010-01-13,13.6546,13.8918,13.47,13.8127,Intel,INTC,Information Technology
2010-01-14,13.9116,14.2015,13.872,14.1554,Intel,INTC,Information Technology
2010-01-15,14.0961,14.1027,13.6875,13.7073,Intel,INTC,Information Technology
2010-01-19,13.7732,13.9511,13.7402,13.872,Intel,INTC,Information Technology
2010-01-20,13.8325,13.9313,13.7402,13.8918,Intel,INTC,Information Technology
2010-01-21,13.9379,14.0434,13.6282,13.7336,Intel,INTC,Information Technology
2010-01-22,13.6875,13.7007,13.0549,13.1208,Intel,INTC,Information Technology
2010-01-25,13.3382,13.5603,13.2723,13.391,Intel,INTC,Information Technology
2010-01-26,13.2987,13.4305,13.1471,13.1801,Intel,INTC,Information Technology
2010-01-27,13.1801,13.3976,13.0615,13.3382,Intel,INTC,Information Technology
2010-01-28,13.3778,13.4371,12.9692,13.1274,Intel,INTC,Information Technology
2010-01-29,13.2658,13.3321,12.7188,12.7847,Intel,INTC,Information Technology
2010-02-01,12.8308,13.0153,12.811,12.9231,Intel,INTC,Information Technology
2010-02-02,12.9692,13.2064,12.8901,13.1208,Intel,INTC,Information Technology
2010-02-03,13.1394,13.2058,12.9335,13.073,Intel,INTC,Information Technology
2010-02-04,12.9999,13.0066,12.5881,12.6346,Intel,INTC,Information Technology
2010-02-05,12.6877,13.0066,12.6213,12.9335,Intel,INTC,Information Technology
2010-02-08,12.9401,13.1461,12.8206,12.8538,Intel,INTC,Information Technology
2010-02-09,13.0464,13.2125,12.9136,13.0531,Intel,INTC,Information Technology
2010-02-10,13.0132,13.1992,12.9202,13.0796,Intel,INTC,Information Technology
2010-02-11,13.0398,13.4184,12.9866,13.3254,Intel,INTC,Information Technology
2010-02-12,13.259,13.7339,13.1427,13.5712,Intel,INTC,Information Technology
2010-02-16,13.6974,13.8502,13.6509,13.7638,Intel,INTC,Information Technology
2010-02-17,13.8568,13.8568,13.6376,13.724,Intel,INTC,Information Technology
2010-02-18,13.7107,13.8502,13.6476,13.8436,Intel,INTC,Information Technology
2010-02-19,13.7638,13.9299,13.6708,13.8303,Intel,INTC,Information Technology
2010-02-22,13.9166,13.9233,13.7173,13.8635,Intel,INTC,Information Technology
2010-02-23,13.8436,13.9166,13.4782,13.5433,Intel,INTC,Information Technology
2010-02-24,13.631,13.8236,13.6177,13.7506,Intel,INTC,Information Technology
2010-02-25,13.5313,13.724,13.4317,13.7041,Intel,INTC,Information Technology
2010-02-26,13.6841,13.7373,13.5712,13.6376,Intel,INTC,Information Technology
2010-03-01,13.7373,13.91,13.6974,13.8635,Intel,INTC,Information Technology
2010-03-02,13.9432,14.0096,13.6708,13.7489,Intel,INTC,Information Technology
2010-03-03,13.7904,13.8303,13.5778,13.631,Intel,INTC,Information Technology
2010-03-04,13.6841,13.6908,13.4583,13.6376,Intel,INTC,Information Technology
2010-03-05,13.724,13.8436,13.5845,13.8103,Intel,INTC,Information Technology
2010-03-08,13.8236,13.8701,13.7506,13.7971,Intel,INTC,Information Technology
2010-03-09,13.7373,14.0827,13.724,13.91,Intel,INTC,Information Technology
2010-03-10,13.9166,14.1425,13.8901,14.0761,Intel,INTC,Information Technology
2010-03-11,14.0428,14.1292,13.9432,14.1159,Intel,INTC,Information Technology
2010-03-12,14.1558,14.1956,14.0694,14.1292,Intel,INTC,Information Technology
2010-03-15,14.0561,14.1624,13.9831,14.0628,Intel,INTC,Information Technology
2010-03-16,14.1026,14.6407,14.0827,14.6208,Intel,INTC,Information Technology
2010-03-17,14.654,14.8466,14.5543,14.7752,Intel,INTC,Information Technology
2010-03-18,14.7403,14.8466,14.6208,14.747,Intel,INTC,Information Technology
2010-03-19,14.7802,14.8732,14.4879,14.6091,Intel,INTC,Information Technology
2010-03-22,14.5278,14.8134,14.5078,14.7735,Intel,INTC,Information Technology
