,DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
0,2015-07-06,49.9948,52.3115,49.9948,51.3749,Kraft Heinz,KHC,Consumer Staples
1,2015-07-07,51.9171,52.6072,51.3749,52.5509,Kraft Heinz,KHC,Consumer Staples
2,2015-07-08,52.3185,53.1635,52.1354,53.0931,Kraft Heinz,KHC,Consumer Staples
3,2015-07-09,53.8465,54.2662,52.4593,52.6706,Kraft Heinz,KHC,Consumer Staples
4,2015-07-10,52.8466,54.783,52.8114,54.438,Kraft Heinz,KHC,Consumer Staples
5,2015-07-13,55.9801,56.1209,54.8605,55.5083,Kraft Heinz,KHC,Consumer Staples
6,2015-07-14,55.9449,55.9801,54.6774,54.9239,Kraft Heinz,KHC,Consumer Staples
7,2015-07-15,54.6774,55.0436,53.7972,54.0155,Kraft Heinz,KHC,Consumer Staples
8,2015-07-16,54.1986,55.5154,54.1846,55.452,Kraft Heinz,KHC,Consumer Staples
9,2015-07-17,55.9308,56.1139,54.4028,56.0716,Kraft Heinz,KHC,Consumer Staples
10,2015-07-20,56.297,57.1772,55.7196,56.4096,Kraft Heinz,KHC,Consumer Staples
11,2015-07-21,56.3111,56.811,55.9097,56.4871,Kraft Heinz,KHC,Consumer Staples
12,2015-07-22,56.9166,56.9659,55.3323,55.3745,Kraft Heinz,KHC,Consumer Staples
13,2015-07-23,55.6154,55.7218,54.353,54.4239,Kraft Heinz,KHC,Consumer Staples
14,2015-07-24,54.5516,54.9133,53.8637,54.1899,Kraft Heinz,KHC,Consumer Staples
15,2015-07-27,54.3459,55.3033,54.1048,54.8778,Kraft Heinz,KHC,Consumer Staples
16,2015-07-28,55.6296,55.7785,54.9629,55.5445,Kraft Heinz,KHC,Consumer Staples
17,2015-07-29,55.5019,55.5302,54.6083,55.2537,Kraft Heinz,KHC,Consumer Staples
18,2015-07-30,55.4664,56.5161,55.0338,56.1756,Kraft Heinz,KHC,Consumer Staples
19,2015-07-31,56.6934,56.6934,55.931,56.36,Kraft Heinz,KHC,Consumer Staples
20,2015-08-03,56.7359,57.4664,56.6721,56.9983,Kraft Heinz,KHC,Consumer Staples
21,2015-08-04,57.1402,57.4451,56.5019,56.6012,Kraft Heinz,KHC,Consumer Staples
22,2015-08-05,56.743,57.4451,56.6295,57.0763,Kraft Heinz,KHC,Consumer Staples
