DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,12.1188,12.7273,11.8878,12.6653,KLA Corporation,KLAC,Information Technology
2009-01-05,12.456,12.7949,12.3216,12.6202,KLA Corporation,KLAC,Information Technology
2009-01-06,12.7836,13.7245,12.634,13.5836,KLA Corporation,KLAC,Information Technology
2009-01-07,13.2174,13.2681,12.5188,12.6709,KLA Corporation,KLAC,Information Technology
2009-01-08,12.4963,12.8146,12.2879,12.778,KLA Corporation,KLAC,Information Technology
2009-01-09,12.8287,12.8287,12.3103,12.423,KLA Corporation,KLAC,Information Technology
2009-01-12,12.4828,12.5075,12.0061,12.0906,KLA Corporation,KLAC,Information Technology
2009-01-13,11.7864,12.4794,11.685,11.9892,KLA Corporation,KLAC,Information Technology
2009-01-14,11.6962,11.9047,11.3638,11.4258,KLA Corporation,KLAC,Information Technology
2009-01-15,11.5103,11.7469,10.9751,11.5892,KLA Corporation,KLAC,Information Technology
2009-01-16,11.8427,12.2033,11.4878,12.0174,KLA Corporation,KLAC,Information Technology
2009-01-20,11.9272,12.0568,11.0033,11.0089,KLA Corporation,KLAC,Information Technology
2009-01-21,11.2117,11.2512,10.5413,11.0145,KLA Corporation,KLAC,Information Technology
2009-01-22,10.868,10.9695,10.1243,10.3948,KLA Corporation,KLAC,Information Technology
2009-01-23,10.2089,11.1441,10.1807,10.8624,KLA Corporation,KLAC,Information Technology
2009-01-26,10.9244,11.0765,10.5582,10.7892,KLA Corporation,KLAC,Information Technology
2009-01-27,10.7103,11.1779,10.7103,11.099,KLA Corporation,KLAC,Information Technology
2009-01-28,11.2399,11.5498,11.2173,11.4765,KLA Corporation,KLAC,Information Technology
2009-01-29,11.2173,11.3751,10.5863,10.7216,KLA Corporation,KLAC,Information Technology
2009-01-30,11.1272,11.9554,11.0709,11.2906,KLA Corporation,KLAC,Information Technology
2009-02-02,11.0765,11.5272,10.8906,11.1328,KLA Corporation,KLAC,Information Technology
2009-02-03,11.1328,11.2343,10.7328,10.93,KLA Corporation,KLAC,Information Technology
2009-02-04,10.8286,11.4314,10.7734,10.8568,KLA Corporation,KLAC,Information Technology
2009-02-05,10.637,11.3582,10.5525,11.161,KLA Corporation,KLAC,Information Technology
2009-02-06,11.1441,11.685,11.1047,11.5554,KLA Corporation,KLAC,Information Technology
2009-02-09,11.5723,11.8427,11.285,11.6737,KLA Corporation,KLAC,Information Technology
2009-02-10,11.6624,12.0399,11.0314,11.0821,KLA Corporation,KLAC,Information Technology
2009-02-11,11.0878,11.2061,10.7272,10.9413,KLA Corporation,KLAC,Information Technology
2009-02-12,10.7554,11.2173,10.5976,11.0709,KLA Corporation,KLAC,Information Technology
2009-02-13,11.0596,11.3526,11.0314,11.099,KLA Corporation,KLAC,Information Technology
2009-02-17,10.7159,10.8173,10.1694,10.1807,KLA Corporation,KLAC,Information Technology
2009-02-18,10.3159,10.468,9.9215,10.1525,KLA Corporation,KLAC,Information Technology
2009-02-19,10.2089,10.2539,9.5271,9.5497,KLA Corporation,KLAC,Information Technology
2009-02-20,9.4652,9.8934,9.2849,9.775,KLA Corporation,KLAC,Information Technology
2009-02-23,9.7919,9.837,9.2961,9.3581,KLA Corporation,KLAC,Information Technology
2009-02-24,9.4032,9.8257,9.3638,9.7638,KLA Corporation,KLAC,Information Technology
2009-02-25,9.8201,10.4117,9.4877,10.1131,KLA Corporation,KLAC,Information Technology
2009-02-26,10.2165,10.5398,9.9438,9.9779,KLA Corporation,KLAC,Information Technology
2009-02-27,9.8074,10.0972,9.7278,9.8017,KLA Corporation,KLAC,Information Technology
2009-03-02,9.6256,9.7676,9.2221,9.2505,KLA Corporation,KLAC,Information Technology
2009-03-03,9.296,9.4267,9.0289,9.1255,KLA Corporation,KLAC,Information Technology
2009-03-04,9.2392,9.6767,9.1824,9.529,KLA Corporation,KLAC,Information Technology
2009-03-05,9.3244,9.6483,9.2221,9.2562,KLA Corporation,KLAC,Information Technology
2009-03-06,9.4835,9.4835,8.6795,8.8812,KLA Corporation,KLAC,Information Technology
2009-03-09,8.7676,9.2846,8.7278,8.8301,KLA Corporation,KLAC,Information Technology
2009-03-10,9.0801,9.4676,8.8983,9.4551,KLA Corporation,KLAC,Information Technology
2009-03-11,9.5574,9.7563,9.3471,9.7051,KLA Corporation,KLAC,Information Technology
2009-03-12,9.654,10.1426,9.529,10.1086,KLA Corporation,KLAC,Information Technology
2009-03-13,10.1086,10.6313,9.9608,10.5233,KLA Corporation,KLAC,Information Technology
2009-03-16,10.6199,10.9041,10.4381,10.5859,KLA Corporation,KLAC,Information Technology
2009-03-17,10.5915,11.2223,10.4552,11.2223,KLA Corporation,KLAC,Information Technology
2009-03-18,11.1825,11.7962,10.9097,11.6484,KLA Corporation,KLAC,Information Technology
2009-03-19,11.8189,12.1314,11.6825,11.7109,KLA Corporation,KLAC,Information Technology
2009-03-20,11.8132,11.8757,10.9609,11.0859,KLA Corporation,KLAC,Information Technology
2009-03-23,11.262,11.8927,11.262,11.8416,KLA Corporation,KLAC,Information Technology
2009-03-24,11.728,11.728,11.4211,11.4268,KLA Corporation,KLAC,Information Technology
2009-03-25,11.5348,12.2962,11.4723,11.853,KLA Corporation,KLAC,Information Technology
2009-03-26,12.0291,12.5917,11.9212,12.5803,KLA Corporation,KLAC,Information Technology
2009-03-27,12.228,12.5405,12.1087,12.2053,KLA Corporation,KLAC,Information Technology
2009-03-30,11.9155,12.0234,11.2734,11.4154,KLA Corporation,KLAC,Information Technology
2009-03-31,11.4268,11.603,11.2393,11.3643,KLA Corporation,KLAC,Information Technology
2009-04-01,11.1598,11.6825,11.0518,11.5575,KLA Corporation,KLAC,Information Technology
2009-04-02,11.7791,12.4155,11.7791,12.2621,KLA Corporation,KLAC,Information Technology
2009-04-03,12.2166,13.2906,12.1314,13.1258,KLA Corporation,KLAC,Information Technology
2009-04-06,12.8871,13.0462,12.4439,12.7337,KLA Corporation,KLAC,Information Technology
2009-04-07,12.478,12.5405,12.0689,12.1598,KLA Corporation,KLAC,Information Technology
2009-04-08,12.2962,12.5973,12.1698,12.5973,KLA Corporation,KLAC,Information Technology
2009-04-09,12.836,13.5235,12.7621,13.461,KLA Corporation,KLAC,Information Technology
2009-04-13,13.4099,13.5519,13.069,13.444,KLA Corporation,KLAC,Information Technology
2009-04-14,13.4951,14.0463,13.3247,13.586,KLA Corporation,KLAC,Information Technology
2009-04-15,13.2962,13.3872,13.069,13.3531,KLA Corporation,KLAC,Information Technology
2009-04-16,13.5747,13.9838,13.319,13.9156,KLA Corporation,KLAC,Information Technology
2009-04-17,13.927,14.2054,13.6429,14.1258,KLA Corporation,KLAC,Information Technology
2009-04-20,13.836,13.8645,13.2678,13.3247,KLA Corporation,KLAC,Information Technology
2009-04-21,13.2621,13.7735,13.0405,13.4781,KLA Corporation,KLAC,Information Technology
2009-04-22,13.3644,14.9725,13.1996,14.6486,KLA Corporation,KLAC,Information Technology
2009-04-23,14.66,14.6997,13.9099,14.6031,KLA Corporation,KLAC,Information Technology
2009-04-24,14.3304,14.7566,14.0236,14.677,KLA Corporation,KLAC,Information Technology
2009-04-27,14.4668,14.9384,14.3077,14.785,KLA Corporation,KLAC,Information Technology
2009-04-28,14.7679,15.0804,14.3758,14.927,KLA Corporation,KLAC,Information Technology
2009-04-29,15.0918,15.4612,14.7221,15.2736,KLA Corporation,KLAC,Information Technology
2009-04-30,15.41,16.143,15.2566,15.7623,KLA Corporation,KLAC,Information Technology
2009-05-01,15.768,15.818,15.2793,15.5123,KLA Corporation,KLAC,Information Technology
2009-05-04,15.4441,16.5464,15.427,16.5237,KLA Corporation,KLAC,Information Technology
2009-05-05,16.5692,16.5692,15.8873,16.16,KLA Corporation,KLAC,Information Technology
2009-05-06,16.16,16.4271,15.91,16.2737,KLA Corporation,KLAC,Information Technology
