DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,3.975,4.045,3.75,3.895,Lululemon,LULU,Consumer Discretionary
2009-01-05,3.925,4.24,3.795,4.13,Lululemon,LULU,Consumer Discretionary
2009-01-06,4.215,4.245,3.96,4.13,Lululemon,LULU,Consumer Discretionary
2009-01-07,4.09,4.15,3.895,4.085,Lululemon,LULU,Consumer Discretionary
2009-01-08,3.93,4.045,3.84,3.995,Lululemon,LULU,Consumer Discretionary
2009-01-09,4.08,4.15,3.685,3.795,Lululemon,LULU,Consumer Discretionary
2009-01-12,3.775,3.87,3.53,3.54,Lululemon,LULU,Consumer Discretionary
2009-01-13,3.5,3.565,3.325,3.365,Lululemon,LULU,Consumer Discretionary
2009-01-14,3.275,3.36,3.035,3.11,Lululemon,LULU,Consumer Discretionary
2009-01-15,3.12,3.64,2.955,3.515,Lululemon,LULU,Consumer Discretionary
2009-01-16,3.57,3.615,3.28,3.45,Lululemon,LULU,Consumer Discretionary
2009-01-20,3.53,3.535,3.265,3.315,Lululemon,LULU,Consumer Discretionary
2009-01-21,3.41,3.455,3.175,3.395,Lululemon,LULU,Consumer Discretionary
2009-01-22,3.295,3.685,3.23,3.605,Lululemon,LULU,Consumer Discretionary
2009-01-23,3.515,3.71,3.51,3.61,Lululemon,LULU,Consumer Discretionary
2009-01-26,3.575,3.705,3.47,3.49,Lululemon,LULU,Consumer Discretionary
2009-01-27,3.515,3.6,3.485,3.515,Lululemon,LULU,Consumer Discretionary
2009-01-28,3.55,3.71,3.54,3.68,Lululemon,LULU,Consumer Discretionary
2009-01-29,3.615,3.615,3.375,3.38,Lululemon,LULU,Consumer Discretionary
2009-01-30,3.5,3.57,3.285,3.4,Lululemon,LULU,Consumer Discretionary
2009-02-02,3.41,3.425,3.235,3.32,Lululemon,LULU,Consumer Discretionary
2009-02-03,3.345,3.57,3.3,3.555,Lululemon,LULU,Consumer Discretionary
2009-02-04,3.565,3.77,3.455,3.675,Lululemon,LULU,Consumer Discretionary
2009-02-05,3.65,3.77,3.605,3.755,Lululemon,LULU,Consumer Discretionary
2009-02-06,3.735,3.98,3.69,3.91,Lululemon,LULU,Consumer Discretionary
2009-02-09,3.88,4.0,3.765,3.835,Lululemon,LULU,Consumer Discretionary
2009-02-10,3.815,3.951,3.525,3.525,Lululemon,LULU,Consumer Discretionary
2009-02-11,3.545,3.6648,3.365,3.45,Lululemon,LULU,Consumer Discretionary
2009-02-12,3.375,3.4101,3.2025,3.29,Lululemon,LULU,Consumer Discretionary
2009-02-13,3.285,3.365,3.175,3.23,Lululemon,LULU,Consumer Discretionary
2009-02-17,3.165,3.245,2.98,2.995,Lululemon,LULU,Consumer Discretionary
2009-02-18,3.05,3.1603,2.985,3.13,Lululemon,LULU,Consumer Discretionary
2009-02-19,3.17,3.19,3.0,3.0,Lululemon,LULU,Consumer Discretionary
2009-02-20,2.985,3.065,2.6475,2.73,Lululemon,LULU,Consumer Discretionary
2009-02-23,2.78,2.81,2.67,2.794,Lululemon,LULU,Consumer Discretionary
2009-02-24,2.83,2.905,2.73,2.895,Lululemon,LULU,Consumer Discretionary
2009-02-25,2.88,2.9,2.675,2.78,Lululemon,LULU,Consumer Discretionary
2009-02-26,2.82,2.92,2.695,2.745,Lululemon,LULU,Consumer Discretionary
2009-02-27,2.685,2.88,2.645,2.86,Lululemon,LULU,Consumer Discretionary
2009-03-02,2.81,2.81,2.585,2.595,Lululemon,LULU,Consumer Discretionary
2009-03-03,2.625,2.695,2.395,2.425,Lululemon,LULU,Consumer Discretionary
2009-03-04,2.5,2.66,2.43,2.62,Lululemon,LULU,Consumer Discretionary
2009-03-05,2.56,2.705,2.43,2.465,Lululemon,LULU,Consumer Discretionary
2009-03-06,2.495,2.56,2.165,2.25,Lululemon,LULU,Consumer Discretionary
2009-03-09,2.285,2.35,2.2,2.245,Lululemon,LULU,Consumer Discretionary
2009-03-10,2.31,2.565,2.29,2.515,Lululemon,LULU,Consumer Discretionary
2009-03-11,2.535,2.825,2.47,2.685,Lululemon,LULU,Consumer Discretionary
2009-03-12,2.725,3.195,2.61,3.1,Lululemon,LULU,Consumer Discretionary
2009-03-13,3.14,3.25,3.035,3.18,Lululemon,LULU,Consumer Discretionary
2009-03-16,3.23,3.26,2.995,3.005,Lululemon,LULU,Consumer Discretionary
2009-03-17,3.01,3.09,2.9,2.975,Lululemon,LULU,Consumer Discretionary
2009-03-18,3.035,3.275,2.975,3.24,Lululemon,LULU,Consumer Discretionary
2009-03-19,3.25,3.44,3.25,3.38,Lululemon,LULU,Consumer Discretionary
2009-03-20,3.42,3.435,3.0651,3.21,Lululemon,LULU,Consumer Discretionary
2009-03-23,3.275,3.315,3.075,3.185,Lululemon,LULU,Consumer Discretionary
2009-03-24,3.13,3.315,3.065,3.27,Lululemon,LULU,Consumer Discretionary
2009-03-25,3.34,3.375,3.2,3.33,Lululemon,LULU,Consumer Discretionary
2009-03-26,3.45,3.865,3.45,3.835,Lululemon,LULU,Consumer Discretionary
2009-03-27,3.95,4.4394,3.875,4.185,Lululemon,LULU,Consumer Discretionary
2009-03-30,4.125,4.3,3.98,4.14,Lululemon,LULU,Consumer Discretionary
2009-03-31,4.295,4.605,4.125,4.33,Lululemon,LULU,Consumer Discretionary
2009-04-01,4.44,4.75,4.44,4.665,Lululemon,LULU,Consumer Discretionary
2009-04-02,4.835,5.04,4.705,5.015,Lululemon,LULU,Consumer Discretionary
2009-04-03,4.775,5.225,4.775,5.1,Lululemon,LULU,Consumer Discretionary
2009-04-06,5.06,5.06,4.86,4.935,Lululemon,LULU,Consumer Discretionary
2009-04-07,4.83,4.875,4.495,4.555,Lululemon,LULU,Consumer Discretionary
2009-04-08,4.54,5.2398,4.495,4.865,Lululemon,LULU,Consumer Discretionary
2009-04-09,5.0,5.57,4.9901,5.42,Lululemon,LULU,Consumer Discretionary
2009-04-13,5.81,6.005,5.65,5.895,Lululemon,LULU,Consumer Discretionary
2009-04-14,5.87,6.375,5.64,6.2,Lululemon,LULU,Consumer Discretionary
2009-04-15,6.09,6.39,5.99,6.165,Lululemon,LULU,Consumer Discretionary
2009-04-16,6.195,6.665,6.1751,6.59,Lululemon,LULU,Consumer Discretionary
2009-04-17,6.6,7.135,6.485,7.13,Lululemon,LULU,Consumer Discretionary
2009-04-20,7.03,7.04,6.1,6.24,Lululemon,LULU,Consumer Discretionary
2009-04-21,6.195,6.845,6.135,6.795,Lululemon,LULU,Consumer Discretionary
2009-04-22,6.675,7.275,6.625,6.765,Lululemon,LULU,Consumer Discretionary
2009-04-23,6.82,6.94,6.575,6.845,Lululemon,LULU,Consumer Discretionary
2009-04-24,6.895,7.4,6.76,7.175,Lululemon,LULU,Consumer Discretionary
2009-04-27,6.98,7.18,6.82,7.125,Lululemon,LULU,Consumer Discretionary
2009-04-28,6.985,7.395,6.955,7.225,Lululemon,LULU,Consumer Discretionary
2009-04-29,7.275,7.485,7.14,7.235,Lululemon,LULU,Consumer Discretionary
2009-04-30,7.295,7.47,6.965,6.975,Lululemon,LULU,Consumer Discretionary
2009-05-01,7.005,7.135,6.875,7.025,Lululemon,LULU,Consumer Discretionary
2009-05-04,7.05,7.475,7.015,7.465,Lululemon,LULU,Consumer Discretionary
2009-05-05,7.4,7.605,7.335,7.5,Lululemon,LULU,Consumer Discretionary
2009-05-06,7.565,7.685,7.3018,7.585,Lululemon,LULU,Consumer Discretionary
2009-05-07,7.63,7.82,7.125,7.175,Lululemon,LULU,Consumer Discretionary
2009-05-08,7.28,7.46,7.2,7.4,Lululemon,LULU,Consumer Discretionary
2009-05-11,7.225,7.237,6.84,6.86,Lululemon,LULU,Consumer Discretionary
