DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,6.4049,6.4476,6.28,6.4312,Microchip Technology,MCHP,Information Technology
2009-01-05,6.3786,6.4673,6.2964,6.3589,Microchip Technology,MCHP,Information Technology
2009-01-06,6.4148,6.5988,6.3622,6.5758,Microchip Technology,MCHP,Information Technology
2009-01-07,6.3293,6.4082,6.027,6.0796,Microchip Technology,MCHP,Information Technology
2009-01-08,6.0565,6.0796,5.8955,6.0565,Microchip Technology,MCHP,Information Technology
2009-01-09,6.1157,6.1321,5.8232,5.8922,Microchip Technology,MCHP,Information Technology
2009-01-12,5.9054,5.9317,5.6228,5.6852,Microchip Technology,MCHP,Information Technology
2009-01-13,5.7049,5.9218,5.6721,5.7608,Microchip Technology,MCHP,Information Technology
2009-01-14,5.6786,5.7444,5.5472,5.6096,Microchip Technology,MCHP,Information Technology
2009-01-15,5.6096,5.7411,5.4552,5.6688,Microchip Technology,MCHP,Information Technology
2009-01-16,5.7608,5.8462,5.6096,5.8199,Microchip Technology,MCHP,Information Technology
2009-01-20,5.8199,5.8199,5.4486,5.4519,Microchip Technology,MCHP,Information Technology
2009-01-21,5.4782,5.6359,5.3714,5.6261,Microchip Technology,MCHP,Information Technology
2009-01-22,5.4617,5.5702,5.3336,5.4716,Microchip Technology,MCHP,Information Technology
2009-01-23,5.3533,5.7214,5.3533,5.6556,Microchip Technology,MCHP,Information Technology
2009-01-26,5.6852,5.8857,5.6228,5.7608,Microchip Technology,MCHP,Information Technology
2009-01-27,5.8824,6.0335,5.7214,6.0007,Microchip Technology,MCHP,Information Technology
2009-01-28,6.2307,6.372,6.1223,6.2734,Microchip Technology,MCHP,Information Technology
2009-01-29,6.2406,6.2669,6.0073,6.0434,Microchip Technology,MCHP,Information Technology
2009-01-30,6.1256,6.4016,6.0763,6.234,Microchip Technology,MCHP,Information Technology
2009-02-02,6.1584,6.3359,6.0598,6.2899,Microchip Technology,MCHP,Information Technology
2009-02-03,6.2143,6.3819,6.1387,6.372,Microchip Technology,MCHP,Information Technology
2009-02-04,6.28,6.6382,6.2669,6.3753,Microchip Technology,MCHP,Information Technology
2009-02-05,6.2504,6.6678,6.2504,6.5791,Microchip Technology,MCHP,Information Technology
2009-02-06,6.6054,6.8337,6.5429,6.7795,Microchip Technology,MCHP,Information Technology
2009-02-09,6.8025,6.819,6.6382,6.7697,Microchip Technology,MCHP,Information Technology
2009-02-10,6.6908,6.8551,6.3326,6.3885,Microchip Technology,MCHP,Information Technology
2009-02-11,6.4675,6.5109,6.3538,6.4407,Microchip Technology,MCHP,Information Technology
