,DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
0,2017-10-19,33.0,34.0,29.1,32.07,MongoDB Inc.,MDB,Information Technology
1,2017-10-20,33.37,33.37,30.1,30.68,MongoDB Inc.,MDB,Information Technology
2,2017-10-23,30.51,31.33,30.19,30.5,MongoDB Inc.,MDB,Information Technology
3,2017-10-24,30.46,30.92,30.4391,30.57,MongoDB Inc.,MDB,Information Technology
4,2017-10-25,30.5,31.1,29.88,31.0,MongoDB Inc.,MDB,Information Technology
5,2017-10-26,31.68,31.73,30.7293,31.1,MongoDB Inc.,MDB,Information Technology
6,2017-10-27,31.01,31.29,30.0,30.89,MongoDB Inc.,MDB,Information Technology
7,2017-10-30,30.69,30.69,29.5901,29.85,MongoDB Inc.,MDB,Information Technology
8,2017-10-31,29.8,30.68,29.8,30.48,MongoDB Inc.,MDB,Information Technology
9,2017-11-01,30.37,30.57,29.7018,29.8,MongoDB Inc.,MDB,Information Technology
10,2017-11-02,29.72,30.46,29.661,29.95,MongoDB Inc.,MDB,Information Technology
11,2017-11-03,29.89,30.17,29.35,29.63,MongoDB Inc.,MDB,Information Technology
12,2017-11-06,29.63,30.72,29.36,30.61,MongoDB Inc.,MDB,Information Technology
13,2017-11-07,30.61,30.89,29.71,29.81,MongoDB Inc.,MDB,Information Technology
14,2017-11-08,29.69,29.99,29.41,29.88,MongoDB Inc.,MDB,Information Technology
15,2017-11-09,29.7,29.9,29.01,29.22,MongoDB Inc.,MDB,Information Technology
16,2017-11-10,29.16,30.26,29.16,30.2,MongoDB Inc.,MDB,Information Technology
17,2017-11-13,29.65,31.11,29.297,30.68,MongoDB Inc.,MDB,Information Technology
18,2017-11-14,30.68,30.7,29.6954,29.88,MongoDB Inc.,MDB,Information Technology
19,2017-11-15,29.76,30.106,29.57,29.63,MongoDB Inc.,MDB,Information Technology
20,2017-11-16,29.69,30.3201,29.69,29.87,MongoDB Inc.,MDB,Information Technology
21,2017-11-17,29.98,30.13,29.59,29.83,MongoDB Inc.,MDB,Information Technology
22,2017-11-20,29.87,29.9305,29.075,29.26,MongoDB Inc.,MDB,Information Technology
23,2017-11-21,29.25,29.49,29.01,29.21,MongoDB Inc.,MDB,Information Technology
24,2017-11-22,29.39,29.56,29.2,29.28,MongoDB Inc.,MDB,Information Technology
25,2017-11-24,29.31,29.99,29.25,29.92,MongoDB Inc.,MDB,Information Technology
26,2017-11-27,29.95,29.95,29.07,29.69,MongoDB Inc.,MDB,Information Technology
27,2017-11-28,29.81,30.0,29.51,29.55,MongoDB Inc.,MDB,Information Technology
28,2017-11-29,29.39,29.57,28.5,28.71,MongoDB Inc.,MDB,Information Technology
29,2017-11-30,28.8,29.03,28.41,28.53,MongoDB Inc.,MDB,Information Technology
30,2017-12-01,28.53,28.6,27.52,27.8,MongoDB Inc.,MDB,Information Technology
31,2017-12-04,28.12,28.2524,27.26,27.36,MongoDB Inc.,MDB,Information Technology
32,2017-12-05,27.31,27.31,25.86,26.15,MongoDB Inc.,MDB,Information Technology
33,2017-12-06,26.0,27.1,25.69,26.87,MongoDB Inc.,MDB,Information Technology
34,2017-12-07,26.89,27.49,26.53,26.62,MongoDB Inc.,MDB,Information Technology
35,2017-12-08,26.77,26.905,25.62,25.76,MongoDB Inc.,MDB,Information Technology
36,2017-12-11,25.77,27.0,24.62,26.86,MongoDB Inc.,MDB,Information Technology
37,2017-12-12,27.15,29.1,26.57,29.0,MongoDB Inc.,MDB,Information Technology
38,2017-12-13,27.49,28.89,26.36,27.35,MongoDB Inc.,MDB,Information Technology
39,2017-12-14,27.53,28.6,27.15,28.13,MongoDB Inc.,MDB,Information Technology
40,2017-12-15,28.28,29.69,27.05,29.42,MongoDB Inc.,MDB,Information Technology
41,2017-12-18,29.5,29.5,28.11,28.3,MongoDB Inc.,MDB,Information Technology
42,2017-12-19,28.26,28.49,27.53,28.05,MongoDB Inc.,MDB,Information Technology
43,2017-12-20,28.29,29.98,27.935,29.5,MongoDB Inc.,MDB,Information Technology
44,2017-12-21,29.61,29.61,28.5,28.68,MongoDB Inc.,MDB,Information Technology
45,2017-12-22,28.56,29.29,28.03,28.45,MongoDB Inc.,MDB,Information Technology
46,2017-12-26,28.42,29.062,28.42,28.8,MongoDB Inc.,MDB,Information Technology
47,2017-12-27,28.86,29.46,28.76,29.1,MongoDB Inc.,MDB,Information Technology
48,2017-12-28,28.97,30.49,28.5301,30.24,MongoDB Inc.,MDB,Information Technology
49,2017-12-29,30.35,30.39,29.52,29.68,MongoDB Inc.,MDB,Information Technology
50,2018-01-02,29.93,30.08,28.855,29.25,MongoDB Inc.,MDB,Information Technology
51,2018-01-03,29.31,29.42,28.94,29.15,MongoDB Inc.,MDB,Information Technology
52,2018-01-04,29.29,29.49,28.9,29.05,MongoDB Inc.,MDB,Information Technology
53,2018-01-05,29.09,29.135,28.59,29.05,MongoDB Inc.,MDB,Information Technology
54,2018-01-08,29.09,29.09,28.21,28.81,MongoDB Inc.,MDB,Information Technology
55,2018-01-09,28.87,28.92,28.54,28.79,MongoDB Inc.,MDB,Information Technology
