,DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
0,2012-05-18,42.05,45.0,38.0,38.2318,Meta Platforms,META,Communication Services
1,2012-05-21,36.53,36.66,33.0,34.03,Meta Platforms,META,Communication Services
2,2012-05-22,32.61,33.59,30.94,31.0,Meta Platforms,META,Communication Services
3,2012-05-23,31.37,32.5,31.36,32.0,Meta Platforms,META,Communication Services
4,2012-05-24,32.95,33.21,31.77,33.03,Meta Platforms,META,Communication Services
5,2012-05-25,32.9,32.95,31.11,31.91,Meta Platforms,META,Communication Services
6,2012-05-29,31.48,31.69,28.65,28.84,Meta Platforms,META,Communication Services
7,2012-05-30,28.695,29.55,27.86,28.19,Meta Platforms,META,Communication Services
8,2012-05-31,28.545,29.67,26.83,29.6,Meta Platforms,META,Communication Services
9,2012-06-01,28.892,29.15,27.39,27.72,Meta Platforms,META,Communication Services
10,2012-06-04,27.2,27.65,26.44,26.9,Meta Platforms,META,Communication Services
11,2012-06-05,26.7,27.76,25.75,25.869,Meta Platforms,META,Communication Services
12,2012-06-06,26.07,27.17,25.52,26.81,Meta Platforms,META,Communication Services
13,2012-06-07,27.0,27.35,26.15,26.31,Meta Platforms,META,Communication Services
14,2012-06-08,26.55,27.76,26.44,27.1,Meta Platforms,META,Communication Services
15,2012-06-11,27.18,28.07,26.835,27.005,Meta Platforms,META,Communication Services
16,2012-06-12,27.48,27.77,26.96,27.4,Meta Platforms,META,Communication Services
17,2012-06-13,27.66,28.1,27.1,27.27,Meta Platforms,META,Communication Services
18,2012-06-14,27.65,28.32,27.38,28.29,Meta Platforms,META,Communication Services
19,2012-06-15,28.505,30.1,28.35,30.014,Meta Platforms,META,Communication Services
20,2012-06-18,29.955,32.08,29.41,31.41,Meta Platforms,META,Communication Services
21,2012-06-19,31.535,32.18,30.7,31.911,Meta Platforms,META,Communication Services
22,2012-06-20,31.92,31.9288,31.15,31.6,Meta Platforms,META,Communication Services
23,2012-06-21,31.67,32.5,31.51,31.84,Meta Platforms,META,Communication Services
24,2012-06-22,32.41,33.45,32.06,33.05,Meta Platforms,META,Communication Services
25,2012-06-25,32.86,33.02,31.55,32.06,Meta Platforms,META,Communication Services
26,2012-06-26,32.69,33.44,32.5,33.1,Meta Platforms,META,Communication Services
27,2012-06-27,32.46,32.9,31.9,32.23,Meta Platforms,META,Communication Services
28,2012-06-28,31.96,32.19,30.9,31.36,Meta Platforms,META,Communication Services
29,2012-06-29,31.92,31.99,30.76,31.095,Meta Platforms,META,Communication Services
30,2012-07-02,31.25,31.73,30.55,30.771,Meta Platforms,META,Communication Services
31,2012-07-03,30.91,31.44,30.8,31.2,Meta Platforms,META,Communication Services
32,2012-07-05,31.32,31.625,31.02,31.47,Meta Platforms,META,Communication Services
33,2012-07-06,31.44,31.9,31.26,31.73,Meta Platforms,META,Communication Services
34,2012-07-09,32.1,32.88,31.99,32.17,Meta Platforms,META,Communication Services
35,2012-07-10,32.43,32.48,31.1599,31.47,Meta Platforms,META,Communication Services
36,2012-07-11,31.48,31.56,30.55,30.97,Meta Platforms,META,Communication Services
37,2012-07-12,30.7,31.4,30.6,30.81,Meta Platforms,META,Communication Services
38,2012-07-13,31.04,31.07,30.56,30.72,Meta Platforms,META,Communication Services
39,2012-07-16,30.5,30.5,28.21,28.245,Meta Platforms,META,Communication Services
40,2012-07-17,28.48,28.59,27.15,28.09,Meta Platforms,META,Communication Services
41,2012-07-18,28.31,29.29,28.15,29.11,Meta Platforms,META,Communication Services
42,2012-07-19,29.41,29.5,28.63,29.0,Meta Platforms,META,Communication Services
43,2012-07-20,29.0,29.47,28.72,28.76,Meta Platforms,META,Communication Services
44,2012-07-23,28.12,29.0,28.01,28.75,Meta Platforms,META,Communication Services
45,2012-07-24,28.82,29.45,28.1,28.45,Meta Platforms,META,Communication Services
46,2012-07-25,28.39,29.49,28.08,29.34,Meta Platforms,META,Communication Services
