DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,2.7517,2.9167,2.7517,2.9008,Monster Beverage,MNST,Consumer Staples
2009-01-05,2.88,2.95,2.8458,2.8792,Monster Beverage,MNST,Consumer Staples
2009-01-06,2.8881,2.9533,2.8067,2.83,Monster Beverage,MNST,Consumer Staples
2009-01-07,2.8102,2.8575,2.7233,2.7492,Monster Beverage,MNST,Consumer Staples
2009-01-08,2.7567,2.7833,2.6767,2.7225,Monster Beverage,MNST,Consumer Staples
2009-01-09,2.725,2.725,2.625,2.6675,Monster Beverage,MNST,Consumer Staples
2009-01-12,2.7358,2.7358,2.5742,2.5958,Monster Beverage,MNST,Consumer Staples
2009-01-13,2.5958,2.6633,2.5625,2.6533,Monster Beverage,MNST,Consumer Staples
2009-01-14,2.61,2.6442,2.5308,2.565,Monster Beverage,MNST,Consumer Staples
2009-01-15,2.5758,2.7033,2.5308,2.6792,Monster Beverage,MNST,Consumer Staples
2009-01-16,2.7125,2.8275,2.7017,2.805,Monster Beverage,MNST,Consumer Staples
2009-01-20,2.8392,2.8667,2.7142,2.7333,Monster Beverage,MNST,Consumer Staples
2009-01-21,2.7408,2.8142,2.6742,2.7775,Monster Beverage,MNST,Consumer Staples
2009-01-22,2.7358,2.7908,2.6775,2.7567,Monster Beverage,MNST,Consumer Staples
2009-01-23,2.7158,2.7917,2.6858,2.7467,Monster Beverage,MNST,Consumer Staples
2009-01-26,2.76,2.8425,2.7592,2.8217,Monster Beverage,MNST,Consumer Staples
2009-01-27,2.8517,2.8933,2.8092,2.8825,Monster Beverage,MNST,Consumer Staples
2009-01-28,2.9067,2.9425,2.8917,2.93,Monster Beverage,MNST,Consumer Staples
2009-01-29,2.905,2.9883,2.8729,2.915,Monster Beverage,MNST,Consumer Staples
2009-01-30,2.9567,2.9583,2.7725,2.7917,Monster Beverage,MNST,Consumer Staples
2009-02-02,2.7508,2.83,2.675,2.8058,Monster Beverage,MNST,Consumer Staples
2009-02-03,2.8233,2.9133,2.7833,2.8833,Monster Beverage,MNST,Consumer Staples
2009-02-04,2.88,2.9458,2.84,2.88,Monster Beverage,MNST,Consumer Staples
2009-02-05,2.8258,2.9292,2.8058,2.9225,Monster Beverage,MNST,Consumer Staples
2009-02-06,2.945,3.0167,2.9258,3.015,Monster Beverage,MNST,Consumer Staples
2009-02-09,3.0208,3.0208,2.9167,2.955,Monster Beverage,MNST,Consumer Staples
2009-02-10,2.9208,2.98,2.8683,2.8783,Monster Beverage,MNST,Consumer Staples
2009-02-11,2.8867,2.9267,2.8342,2.9017,Monster Beverage,MNST,Consumer Staples
2009-02-12,2.8433,2.8858,2.8133,2.8792,Monster Beverage,MNST,Consumer Staples
2009-02-13,2.8833,2.99,2.8667,2.9408,Monster Beverage,MNST,Consumer Staples
2009-02-17,2.9,2.9042,2.8192,2.8533,Monster Beverage,MNST,Consumer Staples
2009-02-18,2.8633,2.9375,2.8183,2.9358,Monster Beverage,MNST,Consumer Staples
2009-02-19,2.9583,2.9775,2.8675,2.8725,Monster Beverage,MNST,Consumer Staples
2009-02-20,2.8533,2.8533,2.7517,2.83,Monster Beverage,MNST,Consumer Staples
2009-02-23,2.8442,2.8717,2.6667,2.6725,Monster Beverage,MNST,Consumer Staples
2009-02-24,2.7025,2.8033,2.6667,2.7867,Monster Beverage,MNST,Consumer Staples
2009-02-25,2.7867,2.7908,2.6917,2.705,Monster Beverage,MNST,Consumer Staples
2009-02-26,2.75,2.75,2.5833,2.5842,Monster Beverage,MNST,Consumer Staples
2009-02-27,2.6242,2.9367,2.6225,2.7733,Monster Beverage,MNST,Consumer Staples
2009-03-02,2.7375,2.8017,2.715,2.7533,Monster Beverage,MNST,Consumer Staples
2009-03-03,2.7708,2.86,2.7567,2.8275,Monster Beverage,MNST,Consumer Staples
2009-03-04,2.85,2.995,2.8333,2.9308,Monster Beverage,MNST,Consumer Staples
