,DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
0,2018-12-07,22.0,22.75,18.51,18.6,Moderna,MRNA,Health Care
1,2018-12-10,18.9,19.4388,18.0,18.8,Moderna,MRNA,Health Care
2,2018-12-11,20.55,20.66,17.99,18.01,Moderna,MRNA,Health Care
3,2018-12-12,18.55,19.48,18.02,18.68,Moderna,MRNA,Health Care
4,2018-12-13,19.25,19.29,18.68,18.76,Moderna,MRNA,Health Care
5,2018-12-14,18.75,18.8806,18.25,18.32,Moderna,MRNA,Health Care
6,2018-12-17,18.33,18.47,16.9,17.0,Moderna,MRNA,Health Care
7,2018-12-18,17.1,17.25,16.25,17.0,Moderna,MRNA,Health Care
8,2018-12-19,16.86,17.37,16.0,16.18,Moderna,MRNA,Health Care
9,2018-12-20,16.0,16.14,14.75,15.5,Moderna,MRNA,Health Care
10,2018-12-21,15.4,15.5,13.95,14.47,Moderna,MRNA,Health Care
11,2018-12-24,14.32,14.32,13.75,14.03,Moderna,MRNA,Health Care
12,2018-12-26,14.15,14.31,13.03,13.52,Moderna,MRNA,Health Care
13,2018-12-27,13.49,14.95,13.27,14.65,Moderna,MRNA,Health Care
14,2018-12-28,14.72,14.85,13.8184,14.15,Moderna,MRNA,Health Care
15,2018-12-31,14.24,15.3,14.2129,15.27,Moderna,MRNA,Health Care
