DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,5.762,6.2631,5.6584,6.1421,Marvell Technology,MRVL,Information Technology
2009-01-05,6.0471,6.3063,6.0212,6.0644,Marvell Technology,MRVL,Information Technology
2009-01-06,6.0644,6.6777,6.0644,6.6,Marvell Technology,MRVL,Information Technology
2009-01-07,6.3495,6.4611,6.0471,6.3149,Marvell Technology,MRVL,Information Technology
2009-01-08,6.2458,6.3495,6.0817,6.289,Marvell Technology,MRVL,Information Technology
2009-01-09,6.289,6.3495,5.8786,5.9262,Marvell Technology,MRVL,Information Technology
2009-01-12,5.8484,5.9002,5.5029,5.6324,Marvell Technology,MRVL,Information Technology
2009-01-13,5.5633,5.883,5.3128,5.5115,Marvell Technology,MRVL,Information Technology
2009-01-14,5.4424,5.5288,5.2955,5.451,Marvell Technology,MRVL,Information Technology
2009-01-15,5.451,5.7447,5.3646,5.6152,Marvell Technology,MRVL,Information Technology
2009-01-16,5.7275,5.9348,5.3733,5.451,Marvell Technology,MRVL,Information Technology
2009-01-20,5.3992,5.4338,4.8895,5.0105,Marvell Technology,MRVL,Information Technology
2009-01-21,5.0796,5.3301,5.0536,5.3214,Marvell Technology,MRVL,Information Technology
2009-01-22,5.166,5.4597,5.0191,5.3646,Marvell Technology,MRVL,Information Technology
2009-01-23,5.261,5.9262,5.1832,5.8311,Marvell Technology,MRVL,Information Technology
2009-01-26,5.8398,6.1162,5.6843,5.9089,Marvell Technology,MRVL,Information Technology
2009-01-27,5.9953,6.3149,5.9866,6.2199,Marvell Technology,MRVL,Information Technology
2009-01-28,6.3408,6.5309,6.2544,6.4963,Marvell Technology,MRVL,Information Technology
2009-01-29,6.2717,6.4186,6.1681,6.2458,Marvell Technology,MRVL,Information Technology
2009-01-30,6.2199,6.4186,6.1335,6.2976,Marvell Technology,MRVL,Information Technology
2009-02-02,6.1767,6.4445,6.1335,6.3408,Marvell Technology,MRVL,Information Technology
2009-02-03,6.3408,6.505,6.194,6.4704,Marvell Technology,MRVL,Information Technology
2009-02-04,6.4618,6.8678,6.2976,6.6345,Marvell Technology,MRVL,Information Technology
2009-02-05,6.8505,7.0924,6.7382,6.9801,Marvell Technology,MRVL,Information Technology
2009-02-06,6.9801,7.2911,6.9455,7.1529,Marvell Technology,MRVL,Information Technology
2009-02-09,7.2306,7.2565,6.9714,7.0492,Marvell Technology,MRVL,Information Technology
2009-02-10,7.0492,7.1529,6.6432,6.7728,Marvell Technology,MRVL,Information Technology
2009-02-11,6.8851,6.9542,6.6173,6.7641,Marvell Technology,MRVL,Information Technology
2009-02-12,6.7209,6.8591,6.4963,6.8505,Marvell Technology,MRVL,Information Technology
