DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,2.6085,2.8546,2.5888,2.7955,Micron Technology,MU,Information Technology
2009-01-05,2.894,3.3862,2.7955,3.268,Micron Technology,MU,Information Technology
2009-01-06,3.3468,3.6126,3.3074,3.4157,Micron Technology,MU,Information Technology
2009-01-07,3.4255,3.4255,3.081,3.2287,Micron Technology,MU,Information Technology
2009-01-08,3.1499,3.3862,3.1499,3.3566,Micron Technology,MU,Information Technology
2009-01-09,3.3172,3.4551,3.1794,3.2385,Micron Technology,MU,Information Technology
2009-01-12,3.2779,3.2877,2.953,3.1105,Micron Technology,MU,Information Technology
2009-01-13,3.0416,3.2287,2.8251,3.1007,Micron Technology,MU,Information Technology
2009-01-14,2.8251,3.0023,2.8251,2.8841,Micron Technology,MU,Information Technology
2009-01-15,2.8644,3.1401,2.7759,2.9432,Micron Technology,MU,Information Technology
2009-01-16,3.0712,3.396,3.0219,3.3468,Micron Technology,MU,Information Technology
2009-01-20,3.3468,3.4452,3.0023,3.0318,Micron Technology,MU,Information Technology
2009-01-21,3.1499,3.4354,3.0121,3.3862,Micron Technology,MU,Information Technology
2009-01-22,3.2877,3.2976,3.081,3.1991,Micron Technology,MU,Information Technology
2009-01-23,3.1401,3.5436,3.081,3.5043,Micron Technology,MU,Information Technology
2009-01-26,3.4944,3.6421,3.268,3.3468,Micron Technology,MU,Information Technology
2009-01-27,3.396,3.5043,3.3271,3.4354,Micron Technology,MU,Information Technology
2009-01-28,3.5436,3.7996,3.5436,3.7011,Micron Technology,MU,Information Technology
2009-01-29,3.6421,3.6618,3.3763,3.5141,Micron Technology,MU,Information Technology
2009-01-30,3.5338,3.711,3.396,3.6618,Micron Technology,MU,Information Technology
2009-02-02,3.7011,3.9374,3.4452,3.5436,Micron Technology,MU,Information Technology
2009-02-03,3.5436,3.7405,3.4058,3.7011,Micron Technology,MU,Information Technology
2009-02-04,3.7799,4.0949,3.6421,3.839,Micron Technology,MU,Information Technology
2009-02-05,3.7602,4.0752,3.6126,4.0063,Micron Technology,MU,Information Technology
2009-02-06,4.0161,4.1835,3.898,4.0161,Micron Technology,MU,Information Technology
2009-02-09,4.0358,4.3311,3.9866,4.2524,Micron Technology,MU,Information Technology
2009-02-10,4.2032,4.2524,3.8791,3.9571,Micron Technology,MU,Information Technology
2009-02-11,3.9866,3.9866,3.5043,3.8193,Micron Technology,MU,Information Technology
2009-02-12,3.7799,3.9177,3.6322,3.8783,Micron Technology,MU,Information Technology
2009-02-13,3.8882,3.898,3.6421,3.6716,Micron Technology,MU,Information Technology
2009-02-17,3.4944,3.4944,2.9924,3.2483,Micron Technology,MU,Information Technology
2009-02-18,3.2877,3.3369,3.0908,3.1499,Micron Technology,MU,Information Technology
2009-02-19,3.2483,3.396,2.9235,2.953,Micron Technology,MU,Information Technology
2009-02-20,2.8743,2.8743,2.6479,2.766,Micron Technology,MU,Information Technology
2009-02-23,2.8054,2.9137,2.7168,2.766,Micron Technology,MU,Information Technology
2009-02-24,2.7562,3.2287,2.7562,3.1696,Micron Technology,MU,Information Technology
2009-02-25,3.1499,3.2483,3.0121,3.1696,Micron Technology,MU,Information Technology
2009-02-26,3.2287,3.396,3.1598,3.2385,Micron Technology,MU,Information Technology
2009-02-27,3.1499,3.3271,3.0219,3.1696,Micron Technology,MU,Information Technology
2009-03-02,3.081,3.1991,2.9235,2.9629,Micron Technology,MU,Information Technology
2009-03-03,3.0121,3.1991,3.0121,3.0416,Micron Technology,MU,Information Technology
2009-03-04,3.1401,3.2582,3.0515,3.1499,Micron Technology,MU,Information Technology
2009-03-05,3.081,3.1401,3.0219,3.1007,Micron Technology,MU,Information Technology
2009-03-06,3.1401,3.1794,2.6676,2.8644,Micron Technology,MU,Information Technology
2009-03-09,2.8251,2.8743,2.5101,2.5396,Micron Technology,MU,Information Technology
2009-03-10,2.6085,2.8546,2.6085,2.8349,Micron Technology,MU,Information Technology
2009-03-11,2.8743,3.2237,2.8644,3.1499,Micron Technology,MU,Information Technology
2009-03-12,3.1302,3.524,3.081,3.4452,Micron Technology,MU,Information Technology
2009-03-13,3.4747,3.5929,3.4452,3.583,Micron Technology,MU,Information Technology
2009-03-16,3.77,3.7799,3.5436,3.5929,Micron Technology,MU,Information Technology
2009-03-17,3.6027,3.6421,3.4354,3.6224,Micron Technology,MU,Information Technology
2009-03-18,3.5929,3.8291,3.5141,3.711,Micron Technology,MU,Information Technology
2009-03-19,3.6519,3.77,3.5535,3.6126,Micron Technology,MU,Information Technology
2009-03-20,3.6224,3.6815,3.3763,3.3763,Micron Technology,MU,Information Technology
2009-03-23,3.5043,3.7799,3.4551,3.7504,Micron Technology,MU,Information Technology
2009-03-24,3.7011,3.7504,3.4747,3.5929,Micron Technology,MU,Information Technology
2009-03-25,3.6913,3.898,3.4944,3.6519,Micron Technology,MU,Information Technology
2009-03-26,3.8488,4.213,3.7996,4.1539,Micron Technology,MU,Information Technology
2009-03-27,4.1244,4.2819,4.0358,4.1047,Micron Technology,MU,Information Technology
2009-03-30,4.026,4.026,3.7799,3.8193,Micron Technology,MU,Information Technology
2009-03-31,3.9275,4.1146,3.8783,3.9964,Micron Technology,MU,Information Technology
2009-04-01,3.8783,4.1146,3.7208,4.1146,Micron Technology,MU,Information Technology
2009-04-02,4.2425,4.5575,4.1835,4.5575,Micron Technology,MU,Information Technology
2009-04-03,4.3607,4.5871,4.2327,4.4296,Micron Technology,MU,Information Technology
2009-04-06,4.341,4.4985,4.1835,4.4492,Micron Technology,MU,Information Technology
2009-04-07,4.2425,4.4296,4.1047,4.2425,Micron Technology,MU,Information Technology
2009-04-08,4.1343,4.213,3.9472,4.213,Micron Technology,MU,Information Technology
2009-04-09,4.3607,4.5772,4.2819,4.3803,Micron Technology,MU,Information Technology
2009-04-13,4.2918,4.3705,4.1343,4.3213,Micron Technology,MU,Information Technology
2009-04-14,4.3311,4.4788,4.0752,4.2327,Micron Technology,MU,Information Technology
2009-04-15,4.1638,4.4301,4.1096,4.4296,Micron Technology,MU,Information Technology
2009-04-16,4.5772,5.0005,4.5772,4.902,Micron Technology,MU,Information Technology
2009-04-17,5.0005,5.0202,4.7347,4.9217,Micron Technology,MU,Information Technology
2009-04-20,4.843,4.8922,4.4788,4.5182,Micron Technology,MU,Information Technology
2009-04-21,4.4985,4.7642,4.4197,4.6264,Micron Technology,MU,Information Technology
2009-04-22,4.715,5.1974,4.715,4.9513,Micron Technology,MU,Information Technology
2009-04-23,5.0497,5.1186,4.7249,4.843,Micron Technology,MU,Information Technology
2009-04-24,4.8627,4.9119,4.5575,4.7839,Micron Technology,MU,Information Technology
2009-04-27,4.6264,4.8725,4.4788,4.5871,Micron Technology,MU,Information Technology
2009-04-28,4.4886,4.6166,4.4,4.4886,Micron Technology,MU,Information Technology
2009-04-29,4.5969,4.8627,4.5477,4.7642,Micron Technology,MU,Information Technology
2009-04-30,4.8331,5.0103,4.7839,4.8036,Micron Technology,MU,Information Technology
2009-05-01,4.6264,4.8627,4.6264,4.8135,Micron Technology,MU,Information Technology
2009-05-04,5.0005,5.1974,4.8233,5.1875,Micron Technology,MU,Information Technology
2009-05-05,5.158,5.3647,5.0399,5.3548,Micron Technology,MU,Information Technology
2009-05-06,5.3155,5.5517,5.2072,5.3046,Micron Technology,MU,Information Technology
2009-05-07,5.0989,5.2466,4.715,4.843,Micron Technology,MU,Information Technology
2009-05-08,4.9906,5.0005,4.528,4.7741,Micron Technology,MU,Information Technology
2009-05-11,4.4985,4.715,4.4492,4.5871,Micron Technology,MU,Information Technology
2009-05-12,4.6166,4.6855,4.2032,4.3508,Micron Technology,MU,Information Technology
2009-05-13,4.2622,4.3508,4.1146,4.2524,Micron Technology,MU,Information Technology
2009-05-14,4.2327,4.5575,4.1835,4.4788,Micron Technology,MU,Information Technology
2009-05-15,4.4788,4.5772,4.1736,4.1736,Micron Technology,MU,Information Technology
2009-05-18,4.2819,4.656,4.2819,4.6067,Micron Technology,MU,Information Technology
2009-05-19,4.5083,4.8922,4.5083,4.7741,Micron Technology,MU,Information Technology
2009-05-20,4.8233,5.1481,4.7249,4.7249,Micron Technology,MU,Information Technology
2009-05-21,4.6756,4.6855,4.3508,4.5083,Micron Technology,MU,Information Technology
2009-05-22,4.5674,4.5969,4.3902,4.4394,Micron Technology,MU,Information Technology
2009-05-26,4.4,4.7052,4.3902,4.5772,Micron Technology,MU,Information Technology
2009-05-27,4.5871,4.8578,4.5674,4.6953,Micron Technology,MU,Information Technology
2009-05-28,4.8135,4.8381,4.4689,4.7839,Micron Technology,MU,Information Technology
2009-05-29,4.8233,5.0103,4.715,4.9808,Micron Technology,MU,Information Technology
2009-06-01,5.1481,5.3253,4.9513,5.2367,Micron Technology,MU,Information Technology
2009-06-02,5.1284,5.2269,4.9414,4.9906,Micron Technology,MU,Information Technology
2009-06-03,4.8528,5.1678,4.8233,4.8922,Micron Technology,MU,Information Technology
2009-06-04,4.9808,5.4139,4.971,5.4139,Micron Technology,MU,Information Technology
2009-06-05,5.4434,5.5517,5.158,5.217,Micron Technology,MU,Information Technology
2009-06-08,5.217,5.2859,5.0399,5.217,Micron Technology,MU,Information Technology
2009-06-09,5.2761,5.5616,5.217,5.4927,Micron Technology,MU,Information Technology
2009-06-10,5.6206,5.8372,5.4533,5.7683,Micron Technology,MU,Information Technology
2009-06-11,5.8175,5.8175,5.345,5.5025,Micron Technology,MU,Information Technology
2009-06-12,5.532,5.532,5.1088,5.3844,Micron Technology,MU,Information Technology
2009-06-15,5.3352,5.345,5.1088,5.2367,Micron Technology,MU,Information Technology
2009-06-16,5.2859,5.3056,5.0694,5.1186,Micron Technology,MU,Information Technology
2009-06-17,5.0497,5.3647,5.0202,5.217,Micron Technology,MU,Information Technology
2009-06-18,5.2269,5.3548,5.0692,5.1777,Micron Technology,MU,Information Technology
2009-06-19,5.2663,5.4139,5.1875,5.2466,Micron Technology,MU,Information Technology
2009-06-22,5.2367,5.4336,4.9316,4.9414,Micron Technology,MU,Information Technology
2009-06-23,4.9906,5.0202,4.6756,4.7741,Micron Technology,MU,Information Technology
2009-06-24,4.9217,5.1481,4.8725,5.0595,Micron Technology,MU,Information Technology
2009-06-25,5.0497,5.2761,4.9611,5.217,Micron Technology,MU,Information Technology
2009-06-26,4.971,5.2958,4.971,5.0202,Micron Technology,MU,Information Technology
2009-06-29,5.0005,5.0743,4.9513,5.03,Micron Technology,MU,Information Technology
2009-06-30,5.03,5.1481,4.8725,4.9808,Micron Technology,MU,Information Technology
2009-07-01,5.0497,5.1678,5.0005,5.0989,Micron Technology,MU,Information Technology
2009-07-02,5.03,5.1088,4.8824,4.9217,Micron Technology,MU,Information Technology
2009-07-06,4.9217,4.9906,4.7741,4.8135,Micron Technology,MU,Information Technology
2009-07-07,4.843,4.971,4.5969,4.6264,Micron Technology,MU,Information Technology
