DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,4.2171,4.3571,4.2,4.2671,Netflix,NFLX,Communication Services
2009-01-05,4.3271,4.5629,4.3029,4.5629,Netflix,NFLX,Communication Services
2009-01-06,4.5914,4.75,4.59,4.7057,Netflix,NFLX,Communication Services
2009-01-07,4.7157,4.7343,4.5714,4.6729,Netflix,NFLX,Communication Services
2009-01-08,4.6186,4.797,4.4858,4.7357,Netflix,NFLX,Communication Services
2009-01-09,4.77,4.77,4.5943,4.6086,Netflix,NFLX,Communication Services
2009-01-12,4.6014,4.6457,4.4286,4.4586,Netflix,NFLX,Communication Services
2009-01-13,4.4329,4.53,4.3214,4.42,Netflix,NFLX,Communication Services
2009-01-14,4.3629,4.4186,4.1114,4.22,Netflix,NFLX,Communication Services
2009-01-15,4.1357,4.6186,4.1243,4.5171,Netflix,NFLX,Communication Services
2009-01-16,4.5614,4.5614,4.3214,4.4657,Netflix,NFLX,Communication Services
2009-01-20,4.4286,4.4871,4.2371,4.2614,Netflix,NFLX,Communication Services
2009-01-21,4.3257,4.4129,4.1886,4.3843,Netflix,NFLX,Communication Services
2009-01-22,4.2643,4.4714,4.2086,4.4057,Netflix,NFLX,Communication Services
2009-01-23,4.3314,4.4257,4.2957,4.3486,Netflix,NFLX,Communication Services
2009-01-26,4.3429,4.4571,4.1586,4.3071,Netflix,NFLX,Communication Services
2009-01-27,4.72,5.05,4.7029,4.9743,Netflix,NFLX,Communication Services
2009-01-28,4.9986,5.1741,4.9871,5.1657,Netflix,NFLX,Communication Services
2009-01-29,5.0571,5.4143,5.0372,5.2686,Netflix,NFLX,Communication Services
2009-01-30,5.1357,5.2529,5.0457,5.1629,Netflix,NFLX,Communication Services
2009-02-02,5.08,5.3714,5.08,5.2786,Netflix,NFLX,Communication Services
2009-02-03,5.27,5.3186,5.1429,5.2486,Netflix,NFLX,Communication Services
2009-02-04,5.2857,5.4214,5.1729,5.2643,Netflix,NFLX,Communication Services
2009-02-05,5.0857,5.3586,5.0857,5.3529,Netflix,NFLX,Communication Services
2009-02-06,5.26,5.3014,5.1029,5.2857,Netflix,NFLX,Communication Services
2009-02-09,5.2629,5.2857,5.1315,5.2771,Netflix,NFLX,Communication Services
2009-02-10,5.23,5.3571,5.15,5.1671,Netflix,NFLX,Communication Services
2009-02-11,5.1443,5.2114,4.9729,5.1671,Netflix,NFLX,Communication Services
2009-02-12,5.2429,5.4286,5.2271,5.4186,Netflix,NFLX,Communication Services
2009-02-13,5.4286,5.5471,5.3786,5.5057,Netflix,NFLX,Communication Services
2009-02-17,5.43,5.4914,5.2814,5.3171,Netflix,NFLX,Communication Services
2009-02-18,5.3414,5.3757,5.1857,5.2857,Netflix,NFLX,Communication Services
2009-02-19,5.2371,5.48,5.2371,5.2986,Netflix,NFLX,Communication Services
2009-02-20,5.2329,5.3957,5.2229,5.2571,Netflix,NFLX,Communication Services
2009-02-23,5.2657,5.2743,5.0546,5.0829,Netflix,NFLX,Communication Services
2009-02-24,5.0886,5.19,5.0571,5.1514,Netflix,NFLX,Communication Services
2009-02-25,5.2271,5.3071,5.0543,5.1129,Netflix,NFLX,Communication Services
2009-02-26,5.0729,5.25,4.9857,5.1114,Netflix,NFLX,Communication Services
2009-02-27,5.1114,5.2571,5.0357,5.1771,Netflix,NFLX,Communication Services
2009-03-02,5.0571,5.1414,4.8586,4.9071,Netflix,NFLX,Communication Services
2009-03-03,4.8986,5.5886,4.8729,5.1943,Netflix,NFLX,Communication Services
2009-03-04,5.2971,5.4586,5.1557,5.3871,Netflix,NFLX,Communication Services
2009-03-05,5.2457,5.52,5.24,5.4143,Netflix,NFLX,Communication Services
2009-03-06,5.4971,5.5429,5.2729,5.4543,Netflix,NFLX,Communication Services
2009-03-09,5.4586,5.6957,5.4343,5.5,Netflix,NFLX,Communication Services
2009-03-10,5.6014,5.6843,5.4571,5.5,Netflix,NFLX,Communication Services
2009-03-11,5.5129,5.55,5.2857,5.3557,Netflix,NFLX,Communication Services
2009-03-12,5.2586,5.7143,5.2143,5.7086,Netflix,NFLX,Communication Services
2009-03-13,5.7057,5.7143,5.54,5.6243,Netflix,NFLX,Communication Services
2009-03-16,5.6686,5.7643,5.5111,5.5229,Netflix,NFLX,Communication Services
2009-03-17,5.5357,5.8271,5.4443,5.8271,Netflix,NFLX,Communication Services
2009-03-18,5.8143,6.0643,5.7357,5.9457,Netflix,NFLX,Communication Services
2009-03-19,6.0643,6.0643,5.8914,5.93,Netflix,NFLX,Communication Services
2009-03-20,5.9729,6.0371,5.82,5.95,Netflix,NFLX,Communication Services
2009-03-23,5.95,6.2,5.8,6.2,Netflix,NFLX,Communication Services
2009-03-24,6.1457,6.3457,6.1357,6.2057,Netflix,NFLX,Communication Services
2009-03-25,6.1757,6.2571,5.7714,5.9371,Netflix,NFLX,Communication Services
2009-03-26,5.9586,6.0546,5.9129,5.9643,Netflix,NFLX,Communication Services
2009-03-27,5.8914,5.8914,5.63,5.6686,Netflix,NFLX,Communication Services
2009-03-30,5.6443,6.0486,5.5786,6.0043,Netflix,NFLX,Communication Services
2009-03-31,6.03,6.2814,5.9529,6.1314,Netflix,NFLX,Communication Services
2009-04-01,6.1114,6.2829,6.0171,6.1243,Netflix,NFLX,Communication Services
2009-04-02,6.2529,6.2757,6.1414,6.1614,Netflix,NFLX,Communication Services
2009-04-03,6.1529,6.2643,6.0814,6.1529,Netflix,NFLX,Communication Services
2009-04-06,6.1414,6.3771,6.1,6.3571,Netflix,NFLX,Communication Services
2009-04-07,6.35,6.4143,6.2271,6.2429,Netflix,NFLX,Communication Services
2009-04-08,6.3014,6.3814,6.2743,6.3257,Netflix,NFLX,Communication Services
2009-04-09,6.3629,6.7129,6.3143,6.7071,Netflix,NFLX,Communication Services
2009-04-13,6.7071,7.1771,6.6286,7.06,Netflix,NFLX,Communication Services
2009-04-14,6.9471,6.9714,6.78,6.8286,Netflix,NFLX,Communication Services
2009-04-15,6.7571,6.8086,6.5171,6.6557,Netflix,NFLX,Communication Services
2009-04-16,6.6786,6.9486,6.6129,6.8957,Netflix,NFLX,Communication Services
2009-04-17,6.8714,7.0157,6.7871,6.9757,Netflix,NFLX,Communication Services
2009-04-20,6.9686,7.1014,6.8457,7.0871,Netflix,NFLX,Communication Services
2009-04-21,7.0629,7.07,6.3971,6.6571,Netflix,NFLX,Communication Services
2009-04-22,6.5829,6.8314,6.4757,6.5543,Netflix,NFLX,Communication Services
2009-04-23,6.54,6.5686,6.2157,6.4743,Netflix,NFLX,Communication Services
2009-04-24,6.2186,6.2629,6.0114,6.1043,Netflix,NFLX,Communication Services
2009-04-27,6.2771,6.6857,6.2314,6.6243,Netflix,NFLX,Communication Services
2009-04-28,6.5371,6.8043,6.4286,6.5971,Netflix,NFLX,Communication Services
2009-04-29,6.5,6.5714,6.4214,6.4614,Netflix,NFLX,Communication Services
2009-04-30,6.4743,6.7071,6.4514,6.4729,Netflix,NFLX,Communication Services
2009-05-01,6.4643,6.4857,6.3186,6.3543,Netflix,NFLX,Communication Services
2009-05-04,6.36,6.5464,6.3071,6.42,Netflix,NFLX,Communication Services
2009-05-05,6.4186,6.4986,6.3571,6.4443,Netflix,NFLX,Communication Services
2009-05-06,6.4486,6.4951,5.9643,6.1414,Netflix,NFLX,Communication Services
2009-05-07,6.0771,6.1857,5.5257,5.71,Netflix,NFLX,Communication Services
2009-05-08,5.7171,5.8,5.3986,5.7457,Netflix,NFLX,Communication Services
2009-05-11,5.6486,5.7143,5.4543,5.6571,Netflix,NFLX,Communication Services
2009-05-12,5.6643,5.8057,5.5429,5.7614,Netflix,NFLX,Communication Services
2009-05-13,5.7143,5.7143,5.2629,5.3786,Netflix,NFLX,Communication Services
2009-05-14,5.3457,5.3629,5.1786,5.2971,Netflix,NFLX,Communication Services
2009-05-15,5.3786,5.6257,5.2186,5.5,Netflix,NFLX,Communication Services
2009-05-18,5.57,5.6286,5.43,5.5386,Netflix,NFLX,Communication Services
2009-05-19,5.5886,5.7557,5.5493,5.6614,Netflix,NFLX,Communication Services
2009-05-20,5.7443,5.9714,5.7143,5.75,Netflix,NFLX,Communication Services
2009-05-21,5.7143,5.8057,5.5057,5.5871,Netflix,NFLX,Communication Services
2009-05-22,5.65,5.6937,5.5143,5.5429,Netflix,NFLX,Communication Services
2009-05-26,5.5143,5.7729,5.5,5.7271,Netflix,NFLX,Communication Services
2009-05-27,5.7214,5.7714,5.5514,5.5614,Netflix,NFLX,Communication Services
2009-05-28,5.5314,5.61,5.3829,5.5057,Netflix,NFLX,Communication Services
2009-05-29,5.54,5.6557,5.4357,5.6314,Netflix,NFLX,Communication Services
2009-06-01,5.7129,5.8857,5.6757,5.8486,Netflix,NFLX,Communication Services
2009-06-02,5.8343,5.9857,5.73,5.8814,Netflix,NFLX,Communication Services
2009-06-03,5.84,5.89,5.6914,5.7857,Netflix,NFLX,Communication Services
2009-06-04,5.7643,5.8486,5.6429,5.8157,Netflix,NFLX,Communication Services
2009-06-05,5.7571,5.7614,5.5214,5.5986,Netflix,NFLX,Communication Services
2009-06-08,5.55,5.6,5.4329,5.5443,Netflix,NFLX,Communication Services
2009-06-09,5.61,5.6614,5.56,5.5729,Netflix,NFLX,Communication Services
2009-06-10,5.6529,5.6557,5.3729,5.4086,Netflix,NFLX,Communication Services
2009-06-11,5.4,5.55,5.3486,5.3914,Netflix,NFLX,Communication Services
2009-06-12,5.3614,5.4243,5.2929,5.4057,Netflix,NFLX,Communication Services
2009-06-15,5.3514,5.5057,5.2929,5.4514,Netflix,NFLX,Communication Services
2009-06-16,5.4743,5.5043,5.3586,5.4043,Netflix,NFLX,Communication Services
2009-06-17,5.6429,5.87,5.5886,5.7714,Netflix,NFLX,Communication Services
2009-06-18,5.8571,5.94,5.7429,5.9014,Netflix,NFLX,Communication Services
2009-06-19,5.9186,6.1157,5.9171,5.9414,Netflix,NFLX,Communication Services
2009-06-22,5.9071,5.9071,5.65,5.7929,Netflix,NFLX,Communication Services
2009-06-23,5.7143,5.7429,5.5743,5.6529,Netflix,NFLX,Communication Services
2009-06-24,5.6829,5.7457,5.62,5.6557,Netflix,NFLX,Communication Services
2009-06-25,5.6271,5.8829,5.5914,5.8729,Netflix,NFLX,Communication Services
2009-06-26,5.9029,6.0971,5.7648,5.7671,Netflix,NFLX,Communication Services
2009-06-29,5.7971,5.97,5.7429,5.8857,Netflix,NFLX,Communication Services
2009-06-30,5.9271,5.9686,5.7016,5.9057,Netflix,NFLX,Communication Services
2009-07-01,5.94,6.0671,5.7793,5.8029,Netflix,NFLX,Communication Services
2009-07-02,5.8457,5.8566,5.6729,5.7029,Netflix,NFLX,Communication Services
2009-07-06,5.6414,5.7671,5.5943,5.6829,Netflix,NFLX,Communication Services
2009-07-07,5.6786,5.75,5.5257,5.5429,Netflix,NFLX,Communication Services
2009-07-08,5.5214,5.5529,5.4186,5.5286,Netflix,NFLX,Communication Services
2009-07-09,5.6157,5.7343,5.5886,5.7071,Netflix,NFLX,Communication Services
2009-07-10,5.6257,5.7671,5.6257,5.7243,Netflix,NFLX,Communication Services
2009-07-13,5.7143,6.1529,5.6943,6.0271,Netflix,NFLX,Communication Services
2009-07-14,6.0614,6.2214,5.9714,6.1857,Netflix,NFLX,Communication Services
2009-07-15,6.2586,6.3457,6.1871,6.3443,Netflix,NFLX,Communication Services
2009-07-16,6.2571,6.3243,6.1614,6.3043,Netflix,NFLX,Communication Services
2009-07-17,6.3029,6.3757,6.2491,6.3057,Netflix,NFLX,Communication Services
2009-07-20,6.3586,6.4257,6.2329,6.4029,Netflix,NFLX,Communication Services
2009-07-21,6.4043,6.4271,6.1914,6.3971,Netflix,NFLX,Communication Services
2009-07-22,6.3786,6.5471,6.3586,6.4686,Netflix,NFLX,Communication Services
2009-07-23,6.5471,6.8129,6.5071,6.6371,Netflix,NFLX,Communication Services
2009-07-24,6.3214,6.3671,5.9843,6.0286,Netflix,NFLX,Communication Services
2009-07-27,6.0157,6.04,5.8457,5.9571,Netflix,NFLX,Communication Services
2009-07-28,5.8414,6.0671,5.8214,6.0486,Netflix,NFLX,Communication Services
2009-07-29,6.0143,6.1743,6.0,6.1,Netflix,NFLX,Communication Services
2009-07-30,6.0814,6.3043,6.0771,6.23,Netflix,NFLX,Communication Services
2009-07-31,6.1943,6.3486,6.1929,6.2771,Netflix,NFLX,Communication Services
2009-08-03,6.3357,6.4243,6.2586,6.4243,Netflix,NFLX,Communication Services
2009-08-04,6.4,6.4143,6.2357,6.3114,Netflix,NFLX,Communication Services
2009-08-05,6.3386,6.3571,6.2461,6.33,Netflix,NFLX,Communication Services
2009-08-06,6.2857,6.3557,6.2,6.2143,Netflix,NFLX,Communication Services
2009-08-07,6.3286,6.4571,6.2586,6.4286,Netflix,NFLX,Communication Services
2009-08-10,6.4114,6.5614,6.3657,6.5429,Netflix,NFLX,Communication Services
2009-08-11,6.55,6.6171,6.5143,6.5843,Netflix,NFLX,Communication Services
2009-08-12,6.5857,6.6571,6.4843,6.6114,Netflix,NFLX,Communication Services
2009-08-13,6.5743,6.6671,6.4457,6.6114,Netflix,NFLX,Communication Services
2009-08-14,6.5843,6.5943,6.3114,6.3557,Netflix,NFLX,Communication Services
2009-08-17,6.2557,6.2557,6.0729,6.1586,Netflix,NFLX,Communication Services
2009-08-18,6.1543,6.2343,6.1243,6.2214,Netflix,NFLX,Communication Services
2009-08-19,6.2571,6.5357,6.2457,6.41,Netflix,NFLX,Communication Services
2009-08-20,6.3814,6.5143,6.3729,6.4257,Netflix,NFLX,Communication Services
2009-08-21,6.4871,6.5143,6.4214,6.4429,Netflix,NFLX,Communication Services
2009-08-24,6.4743,6.55,6.3286,6.3314,Netflix,NFLX,Communication Services
2009-08-25,6.4029,6.4143,6.32,6.3514,Netflix,NFLX,Communication Services
2009-08-26,6.3314,6.3936,6.2543,6.2814,Netflix,NFLX,Communication Services
2009-08-27,6.2414,6.2929,6.1243,6.25,Netflix,NFLX,Communication Services
2009-08-28,6.3614,6.4129,6.2914,6.3171,Netflix,NFLX,Communication Services
2009-08-31,6.3057,6.3757,6.1743,6.2329,Netflix,NFLX,Communication Services
2009-09-01,6.17,6.3414,5.9529,6.0214,Netflix,NFLX,Communication Services
2009-09-02,5.9557,6.06,5.9486,5.9686,Netflix,NFLX,Communication Services
2009-09-03,5.9014,5.9286,5.61,5.7557,Netflix,NFLX,Communication Services
2009-09-04,5.7257,5.8771,5.7143,5.85,Netflix,NFLX,Communication Services
2009-09-08,5.9,5.9757,5.8286,5.9257,Netflix,NFLX,Communication Services
2009-09-09,5.9143,6.2814,5.9143,6.1757,Netflix,NFLX,Communication Services
2009-09-10,6.1443,6.3929,6.1443,6.2143,Netflix,NFLX,Communication Services
2009-09-11,6.2514,6.2643,6.0657,6.0943,Netflix,NFLX,Communication Services
2009-09-14,6.0786,6.1929,5.9829,6.1829,Netflix,NFLX,Communication Services
2009-09-15,6.28,6.4286,6.1714,6.4243,Netflix,NFLX,Communication Services
2009-09-16,6.47,6.7143,6.4643,6.6857,Netflix,NFLX,Communication Services
2009-09-17,6.6157,6.7214,6.5803,6.6343,Netflix,NFLX,Communication Services
2009-09-18,6.5857,6.78,6.5343,6.7714,Netflix,NFLX,Communication Services
2009-09-21,6.6671,6.8408,6.6543,6.7857,Netflix,NFLX,Communication Services
2009-09-22,6.8429,6.8857,6.76,6.8186,Netflix,NFLX,Communication Services
2009-09-23,6.85,6.8557,6.6857,6.6929,Netflix,NFLX,Communication Services
2009-09-24,6.7357,6.7357,6.5971,6.66,Netflix,NFLX,Communication Services
2009-09-25,6.6143,6.7057,6.5714,6.6086,Netflix,NFLX,Communication Services
2009-09-28,6.5914,6.6986,6.5029,6.5671,Netflix,NFLX,Communication Services
2009-09-29,6.5743,6.7443,6.5286,6.6086,Netflix,NFLX,Communication Services
2009-09-30,6.6871,6.7314,6.4986,6.5957,Netflix,NFLX,Communication Services
2009-10-01,6.5357,6.5614,6.3316,6.3743,Netflix,NFLX,Communication Services
2009-10-02,6.3629,6.5471,6.3286,6.3886,Netflix,NFLX,Communication Services
2009-10-05,6.4286,6.5343,6.3948,6.4886,Netflix,NFLX,Communication Services
2009-10-06,6.4957,6.6071,6.4943,6.5957,Netflix,NFLX,Communication Services
2009-10-07,6.5743,6.66,6.5514,6.6071,Netflix,NFLX,Communication Services
2009-10-08,6.59,6.7029,6.55,6.5771,Netflix,NFLX,Communication Services
2009-10-09,6.62,6.7029,6.5886,6.7014,Netflix,NFLX,Communication Services
2009-10-12,6.7114,6.8257,6.5657,6.58,Netflix,NFLX,Communication Services
2009-10-13,6.58,6.7086,6.5629,6.6414,Netflix,NFLX,Communication Services
2009-10-14,6.7029,6.87,6.6514,6.8671,Netflix,NFLX,Communication Services
2009-10-15,6.7543,7.2757,6.7543,7.1929,Netflix,NFLX,Communication Services
2009-10-16,7.08,7.1214,6.8614,6.9986,Netflix,NFLX,Communication Services
2009-10-19,7.1214,7.2043,7.01,7.1143,Netflix,NFLX,Communication Services
2009-10-20,7.2271,7.2486,6.97,6.9943,Netflix,NFLX,Communication Services
2009-10-21,7.0057,7.07,6.8257,6.8357,Netflix,NFLX,Communication Services
2009-10-22,6.8671,7.1029,6.7943,7.09,Netflix,NFLX,Communication Services
2009-10-23,7.1164,8.2143,7.1043,7.8414,Netflix,NFLX,Communication Services
2009-10-26,7.9657,8.1071,7.86,7.8814,Netflix,NFLX,Communication Services
2009-10-27,7.89,7.9186,7.7287,7.7486,Netflix,NFLX,Communication Services
2009-10-28,7.8271,7.9057,7.5743,7.6486,Netflix,NFLX,Communication Services
2009-10-29,7.67,7.9071,7.5714,7.9029,Netflix,NFLX,Communication Services
2009-10-30,7.8586,7.9984,7.62,7.6357,Netflix,NFLX,Communication Services
2009-11-02,7.5971,7.7686,7.5143,7.6857,Netflix,NFLX,Communication Services
2009-11-03,7.5957,7.7571,7.5157,7.6786,Netflix,NFLX,Communication Services
2009-11-04,7.7271,7.8571,7.7143,7.7371,Netflix,NFLX,Communication Services
2009-11-05,7.7057,8.1186,7.6557,8.0557,Netflix,NFLX,Communication Services
2009-11-06,7.8514,8.0029,7.7143,7.98,Netflix,NFLX,Communication Services
2009-11-09,7.9486,8.21,7.9286,8.1714,Netflix,NFLX,Communication Services
2009-11-10,8.13,8.4829,8.11,8.3429,Netflix,NFLX,Communication Services
2009-11-11,8.4443,8.5557,8.3486,8.4914,Netflix,NFLX,Communication Services
2009-11-12,8.4929,8.548,8.2929,8.3129,Netflix,NFLX,Communication Services
2009-11-13,8.3214,8.4857,8.2186,8.4757,Netflix,NFLX,Communication Services
2009-11-16,8.5086,8.6256,8.46,8.4943,Netflix,NFLX,Communication Services
2009-11-17,8.5186,8.7129,8.43,8.6786,Netflix,NFLX,Communication Services
2009-11-18,8.6871,8.8071,8.6057,8.7329,Netflix,NFLX,Communication Services
2009-11-19,8.6714,8.71,8.5629,8.6086,Netflix,NFLX,Communication Services
2009-11-20,8.5186,8.5843,8.3314,8.5671,Netflix,NFLX,Communication Services
2009-11-23,8.6429,8.7113,8.58,8.6257,Netflix,NFLX,Communication Services
2009-11-24,8.3457,8.6257,8.3,8.5243,Netflix,NFLX,Communication Services
2009-11-25,8.5243,8.5514,8.4,8.46,Netflix,NFLX,Communication Services
2009-11-27,8.1871,8.36,7.8157,8.2643,Netflix,NFLX,Communication Services
2009-11-30,8.2786,8.4029,8.13,8.3757,Netflix,NFLX,Communication Services
2009-12-01,8.2157,8.3957,8.1014,8.3186,Netflix,NFLX,Communication Services
2009-12-02,8.3371,8.5429,8.2943,8.4286,Netflix,NFLX,Communication Services
2009-12-03,8.44,8.4986,8.2471,8.2843,Netflix,NFLX,Communication Services
2009-12-04,8.2943,8.3486,7.8714,8.0329,Netflix,NFLX,Communication Services
2009-12-07,8.14,8.14,7.9286,7.9871,Netflix,NFLX,Communication Services
2009-12-08,7.9243,8.0171,7.8229,7.9886,Netflix,NFLX,Communication Services
2009-12-09,8.01,8.0343,7.8443,7.9943,Netflix,NFLX,Communication Services
2009-12-10,7.9514,8.1643,7.9514,8.1057,Netflix,NFLX,Communication Services
2009-12-11,8.1186,8.1429,7.9143,7.9571,Netflix,NFLX,Communication Services
2009-12-14,8.0557,8.0743,7.93,8.0586,Netflix,NFLX,Communication Services
2009-12-15,8.0229,8.2143,7.9857,8.1314,Netflix,NFLX,Communication Services
2009-12-16,8.1014,8.1314,7.8129,7.8686,Netflix,NFLX,Communication Services
2009-12-17,7.7943,7.8312,7.6714,7.6757,Netflix,NFLX,Communication Services
2009-12-18,7.7014,7.7114,7.5714,7.61,Netflix,NFLX,Communication Services
2009-12-21,7.6043,7.7471,7.5786,7.7086,Netflix,NFLX,Communication Services
2009-12-22,7.7143,7.8857,7.63,7.6586,Netflix,NFLX,Communication Services
2009-12-23,7.7357,8.1329,7.7314,8.1214,Netflix,NFLX,Communication Services
2009-12-24,8.1357,8.2414,8.0757,8.1271,Netflix,NFLX,Communication Services
2009-12-28,8.1029,8.2857,8.1029,8.1914,Netflix,NFLX,Communication Services
2009-12-29,8.26,8.2843,8.1343,8.14,Netflix,NFLX,Communication Services
2009-12-30,8.1443,8.1443,7.8929,7.9474,Netflix,NFLX,Communication Services
2009-12-31,7.9471,8.0114,7.8643,7.87,Netflix,NFLX,Communication Services
2010-01-04,7.9314,7.9614,7.5657,7.64,Netflix,NFLX,Communication Services
2010-01-05,7.6529,7.6571,7.2586,7.3586,Netflix,NFLX,Communication Services
2010-01-06,7.3614,7.6729,7.1971,7.6171,Netflix,NFLX,Communication Services
2010-01-07,7.7314,7.7571,7.4629,7.4857,Netflix,NFLX,Communication Services
2010-01-08,7.4986,7.7429,7.4657,7.6143,Netflix,NFLX,Communication Services
2010-01-11,7.66,7.7043,7.5286,7.6043,Netflix,NFLX,Communication Services
2010-01-12,7.5286,7.5829,7.4514,7.4814,Netflix,NFLX,Communication Services
2010-01-13,7.6129,7.7543,7.5586,7.7086,Netflix,NFLX,Communication Services
2010-01-14,7.5186,7.5757,7.27,7.2843,Netflix,NFLX,Communication Services
2010-01-15,7.2457,7.4071,7.2329,7.2786,Netflix,NFLX,Communication Services
2010-01-19,7.25,7.3829,7.2429,7.3143,Netflix,NFLX,Communication Services
2010-01-20,7.2657,7.4929,7.2214,7.32,Netflix,NFLX,Communication Services
2010-01-21,7.2171,7.4543,7.2143,7.3129,Netflix,NFLX,Communication Services
2010-01-22,7.2971,7.4843,7.2143,7.27,Netflix,NFLX,Communication Services
2010-01-25,7.2929,7.3569,6.9314,7.0186,Netflix,NFLX,Communication Services
2010-01-26,6.96,7.1786,6.9371,7.1357,Netflix,NFLX,Communication Services
2010-01-27,7.1429,7.3114,6.9929,7.2814,Netflix,NFLX,Communication Services
2010-01-28,8.8129,9.1214,8.6757,9.0057,Netflix,NFLX,Communication Services
2010-01-29,8.9629,9.2243,8.7929,8.8929,Netflix,NFLX,Communication Services
2010-02-01,8.83,8.9814,8.5329,8.7186,Netflix,NFLX,Communication Services
