,DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
0,2010-08-06,12.0314,13.0309,12.0221,12.9568,NXP Semiconductors,NXPI,Information Technology
1,2010-08-09,12.9568,12.9568,12.6792,12.9568,NXP Semiconductors,NXPI,Information Technology
2,2010-08-10,12.744,12.8088,12.5681,12.5866,NXP Semiconductors,NXPI,Information Technology
3,2010-08-11,12.2627,12.383,11.5223,11.8,NXP Semiconductors,NXPI,Information Technology
4,2010-08-12,11.3465,11.5779,11.1984,11.4668,NXP Semiconductors,NXPI,Information Technology
5,2010-08-13,11.3372,11.5964,10.967,11.1059,NXP Semiconductors,NXPI,Information Technology
6,2010-08-16,10.9115,11.3187,10.819,10.9023,NXP Semiconductors,NXPI,Information Technology
7,2010-08-17,10.9763,11.3835,10.8745,11.3095,NXP Semiconductors,NXPI,Information Technology
8,2010-08-18,11.1799,11.6612,11.1059,11.1059,NXP Semiconductors,NXPI,Information Technology
9,2010-08-19,11.0596,11.1984,10.4676,10.6894,NXP Semiconductors,NXPI,Information Technology
10,2010-08-20,10.5968,10.6431,10.2081,10.3192,NXP Semiconductors,NXPI,Information Technology
11,2010-08-23,10.4395,10.6431,9.6806,10.1619,NXP Semiconductors,NXPI,Information Technology
12,2010-08-24,9.9583,10.458,9.7176,9.8842,NXP Semiconductors,NXPI,Information Technology
13,2010-08-25,9.7176,10.3007,9.4678,9.949,NXP Semiconductors,NXPI,Information Technology
14,2010-08-26,10.1248,10.3192,9.9953,10.1804,NXP Semiconductors,NXPI,Information Technology
15,2010-08-27,10.3192,10.6339,10.1711,10.2822,NXP Semiconductors,NXPI,Information Technology
16,2010-08-30,10.1896,10.4303,10.1896,10.2683,NXP Semiconductors,NXPI,Information Technology
17,2010-08-31,10.1896,10.3932,10.0601,10.2498,NXP Semiconductors,NXPI,Information Technology
18,2010-09-01,10.2544,11.0596,9.9583,10.856,NXP Semiconductors,NXPI,Information Technology
19,2010-09-02,10.2544,11.0226,10.2544,10.9856,NXP Semiconductors,NXPI,Information Technology
20,2010-09-03,11.0133,11.402,10.7172,11.0041,NXP Semiconductors,NXPI,Information Technology
21,2010-09-07,11.1059,11.439,10.9023,11.1336,NXP Semiconductors,NXPI,Information Technology
22,2010-09-08,10.6339,11.2725,10.5691,11.2539,NXP Semiconductors,NXPI,Information Technology
23,2010-09-09,11.3002,11.6843,10.6524,11.0133,NXP Semiconductors,NXPI,Information Technology
24,2010-09-10,11.0874,11.2216,10.93,11.0874,NXP Semiconductors,NXPI,Information Technology
25,2010-09-13,11.1892,11.328,10.9579,11.0503,NXP Semiconductors,NXPI,Information Technology
26,2010-09-14,10.967,11.3372,10.967,11.328,NXP Semiconductors,NXPI,Information Technology
27,2010-09-15,11.5871,11.9573,11.4299,11.5408,NXP Semiconductors,NXPI,Information Technology
28,2010-09-16,11.5316,11.6982,11.1151,11.1244,NXP Semiconductors,NXPI,Information Technology
29,2010-09-17,11.1151,11.3372,10.9393,11.1799,NXP Semiconductors,NXPI,Information Technology
30,2010-09-20,11.3002,12.0036,11.1984,11.7445,NXP Semiconductors,NXPI,Information Technology
31,2010-09-21,11.6704,11.8925,11.439,11.5779,NXP Semiconductors,NXPI,Information Technology
32,2010-09-22,11.4761,11.6612,11.1151,11.2725,NXP Semiconductors,NXPI,Information Technology
33,2010-09-23,11.1059,11.5594,11.0041,11.1059,NXP Semiconductors,NXPI,Information Technology
34,2010-09-24,11.1984,11.4483,10.9393,11.3095,NXP Semiconductors,NXPI,Information Technology
35,2010-09-27,11.2632,11.4668,11.1244,11.3372,NXP Semiconductors,NXPI,Information Technology
36,2010-09-28,11.3002,11.6797,11.2077,11.6704,NXP Semiconductors,NXPI,Information Technology
37,2010-09-29,11.6889,11.9203,11.5594,11.6149,NXP Semiconductors,NXPI,Information Technology
38,2010-09-30,11.6797,11.9851,11.3465,11.4668,NXP Semiconductors,NXPI,Information Technology
39,2010-10-01,11.5408,11.8185,11.3465,11.439,NXP Semiconductors,NXPI,Information Technology
40,2010-10-04,11.4576,11.7629,11.3372,11.4298,NXP Semiconductors,NXPI,Information Technology
41,2010-10-05,11.5038,11.7445,11.3095,11.4298,NXP Semiconductors,NXPI,Information Technology
42,2010-10-06,11.402,11.5594,11.2262,11.5408,NXP Semiconductors,NXPI,Information Technology
43,2010-10-07,11.5686,11.5686,10.7449,10.967,NXP Semiconductors,NXPI,Information Technology
44,2010-10-08,10.9208,11.2077,10.8467,11.0874,NXP Semiconductors,NXPI,Information Technology
45,2010-10-11,11.0596,11.2447,11.0226,11.1521,NXP Semiconductors,NXPI,Information Technology
