DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,3.43,3.88,3.38,3.83,Onsemi,ON,Information Technology
2009-01-05,3.76,4.16,3.67,3.91,Onsemi,ON,Information Technology
2009-01-06,3.9,4.28,3.87,4.24,Onsemi,ON,Information Technology
2009-01-07,4.15,4.28,4.01,4.04,Onsemi,ON,Information Technology
2009-01-08,4.0,4.56,3.96,4.52,Onsemi,ON,Information Technology
2009-01-09,4.46,4.77,4.33,4.59,Onsemi,ON,Information Technology
2009-01-12,4.52,4.6,4.1,4.19,Onsemi,ON,Information Technology
2009-01-13,4.19,4.44,4.03,4.14,Onsemi,ON,Information Technology
2009-01-14,4.06,4.19,3.97,4.02,Onsemi,ON,Information Technology
2009-01-15,4.01,4.09,3.68,4.08,Onsemi,ON,Information Technology
2009-01-16,4.19,4.4,4.15,4.4,Onsemi,ON,Information Technology
2009-01-20,4.44,4.5,4.11,4.2,Onsemi,ON,Information Technology
2009-01-21,4.21,4.35,3.945,4.11,Onsemi,ON,Information Technology
2009-01-22,4.09,4.1125,3.81,3.99,Onsemi,ON,Information Technology
2009-01-23,3.85,4.2399,3.85,4.17,Onsemi,ON,Information Technology
2009-01-26,4.12,4.29,4.06,4.15,Onsemi,ON,Information Technology
2009-01-27,4.18,4.33,4.05,4.26,Onsemi,ON,Information Technology
2009-01-28,4.37,4.83,4.35,4.7,Onsemi,ON,Information Technology
2009-01-29,4.57,4.58,4.33,4.35,Onsemi,ON,Information Technology
2009-01-30,4.45,4.49,4.1,4.17,Onsemi,ON,Information Technology
2009-02-02,4.14,4.17,3.98,4.08,Onsemi,ON,Information Technology
2009-02-03,4.26,4.26,3.9,4.05,Onsemi,ON,Information Technology
2009-02-04,4.04,4.43,3.97,4.27,Onsemi,ON,Information Technology
2009-02-05,4.39,4.88,4.31,4.74,Onsemi,ON,Information Technology
2009-02-06,4.73,5.1,4.71,4.97,Onsemi,ON,Information Technology
2009-02-09,4.99,5.0,4.59,4.66,Onsemi,ON,Information Technology
2009-02-10,4.6,4.74,4.33,4.41,Onsemi,ON,Information Technology
2009-02-11,4.41,4.5199,4.18,4.37,Onsemi,ON,Information Technology
2009-02-12,4.3,4.44,4.09,4.3,Onsemi,ON,Information Technology
2009-02-13,4.34,4.39,4.17,4.35,Onsemi,ON,Information Technology
2009-02-17,4.16,4.1801,3.69,3.73,Onsemi,ON,Information Technology
2009-02-18,3.75,3.83,3.55,3.57,Onsemi,ON,Information Technology
