,DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
0,2012-07-20,18.3833,20.69,17.7,17.71,Palo Alto Networks,PANW,Information Technology
1,2012-07-23,17.5333,18.0,17.0333,17.17,Palo Alto Networks,PANW,Information Technology
2,2012-07-24,17.3333,18.6667,17.1733,18.5,Palo Alto Networks,PANW,Information Technology
3,2012-07-25,18.8333,19.6667,18.4333,19.65,Palo Alto Networks,PANW,Information Technology
4,2012-07-26,19.9267,20.6167,19.36,19.96,Palo Alto Networks,PANW,Information Technology
5,2012-07-27,20.2933,20.2933,19.0,19.0,Palo Alto Networks,PANW,Information Technology
6,2012-07-30,18.9533,18.9533,17.9733,18.3333,Palo Alto Networks,PANW,Information Technology
7,2012-07-31,18.3333,19.0467,17.4033,19.0467,Palo Alto Networks,PANW,Information Technology
8,2012-08-01,19.5733,19.5733,18.38,18.7267,Palo Alto Networks,PANW,Information Technology
9,2012-08-02,18.56,20.0,17.7567,18.3667,Palo Alto Networks,PANW,Information Technology
10,2012-08-03,18.8833,18.9667,18.0833,18.2633,Palo Alto Networks,PANW,Information Technology
11,2012-08-06,18.5667,18.64,17.8933,18.26,Palo Alto Networks,PANW,Information Technology
12,2012-08-07,18.3333,19.1467,18.1733,18.9333,Palo Alto Networks,PANW,Information Technology
13,2012-08-08,18.7333,20.3333,18.6233,20.31,Palo Alto Networks,PANW,Information Technology
14,2012-08-09,20.3333,20.82,19.9533,20.4433,Palo Alto Networks,PANW,Information Technology
15,2012-08-10,20.3333,21.3233,20.1633,20.44,Palo Alto Networks,PANW,Information Technology
16,2012-08-13,20.3667,21.0267,20.0,20.9067,Palo Alto Networks,PANW,Information Technology
17,2012-08-14,21.3767,21.4533,19.7767,19.9333,Palo Alto Networks,PANW,Information Technology
18,2012-08-15,19.8667,20.9667,19.2333,20.91,Palo Alto Networks,PANW,Information Technology
19,2012-08-16,21.1667,22.3033,20.6233,22.1667,Palo Alto Networks,PANW,Information Technology
20,2012-08-17,22.3667,22.8333,21.6133,22.43,Palo Alto Networks,PANW,Information Technology
21,2012-08-20,22.26,22.3833,21.6567,21.8233,Palo Alto Networks,PANW,Information Technology
22,2012-08-21,21.8267,22.1433,21.0933,21.44,Palo Alto Networks,PANW,Information Technology
23,2012-08-22,21.6867,21.7233,21.04,21.0833,Palo Alto Networks,PANW,Information Technology
24,2012-08-23,21.0667,21.6267,20.8333,21.38,Palo Alto Networks,PANW,Information Technology
25,2012-08-24,21.15,21.9233,21.0833,21.59,Palo Alto Networks,PANW,Information Technology
26,2012-08-27,21.6833,21.9467,20.8733,21.23,Palo Alto Networks,PANW,Information Technology
27,2012-08-28,21.2333,21.47,20.97,21.3,Palo Alto Networks,PANW,Information Technology
28,2012-08-29,21.4067,21.7,21.0333,21.5767,Palo Alto Networks,PANW,Information Technology
29,2012-08-30,21.57,22.2233,21.09,21.1433,Palo Alto Networks,PANW,Information Technology
30,2012-08-31,21.4933,21.5267,21.0333,21.46,Palo Alto Networks,PANW,Information Technology
31,2012-09-04,21.7667,23.4267,21.3,23.4033,Palo Alto Networks,PANW,Information Technology
32,2012-09-05,24.2033,24.2033,23.04,23.3333,Palo Alto Networks,PANW,Information Technology
33,2012-09-06,23.57,24.0,23.46,23.8033,Palo Alto Networks,PANW,Information Technology
34,2012-09-07,24.0533,24.0733,23.12,23.58,Palo Alto Networks,PANW,Information Technology
35,2012-09-10,23.8367,24.2,23.71,23.9167,Palo Alto Networks,PANW,Information Technology
36,2012-09-11,22.25,23.2467,21.4433,22.2,Palo Alto Networks,PANW,Information Technology
37,2012-09-12,22.56,22.75,21.5833,21.62,Palo Alto Networks,PANW,Information Technology
38,2012-09-13,21.5833,22.7433,21.5833,22.66,Palo Alto Networks,PANW,Information Technology
39,2012-09-14,22.8633,22.99,22.2933,22.33,Palo Alto Networks,PANW,Information Technology
