,DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
0,2018-07-26,26.5,27.45,25.0,26.7,PDD Holdings,PDD,Consumer Discretionary
1,2018-07-27,27.54,27.54,23.21,24.6,PDD Holdings,PDD,Consumer Discretionary
2,2018-07-30,23.31,23.9,21.88,22.5,PDD Holdings,PDD,Consumer Discretionary
3,2018-07-31,22.2,22.71,19.62,22.59,PDD Holdings,PDD,Consumer Discretionary
4,2018-08-01,19.38,21.4,18.62,20.31,PDD Holdings,PDD,Consumer Discretionary
5,2018-08-02,19.27,20.18,19.03,19.66,PDD Holdings,PDD,Consumer Discretionary
6,2018-08-03,20.0,20.2665,18.91,19.07,PDD Holdings,PDD,Consumer Discretionary
7,2018-08-06,19.22,21.09,18.92,20.16,PDD Holdings,PDD,Consumer Discretionary
8,2018-08-07,21.08,21.9,20.67,20.89,PDD Holdings,PDD,Consumer Discretionary
9,2018-08-08,21.42,21.46,19.86,20.27,PDD Holdings,PDD,Consumer Discretionary
10,2018-08-09,20.39,20.56,19.46,20.0,PDD Holdings,PDD,Consumer Discretionary
11,2018-08-10,19.85,20.0312,19.49,19.51,PDD Holdings,PDD,Consumer Discretionary
12,2018-08-13,19.21,20.1,19.2,19.44,PDD Holdings,PDD,Consumer Discretionary
13,2018-08-14,19.46,19.52,18.88,19.0,PDD Holdings,PDD,Consumer Discretionary
14,2018-08-15,17.9,18.5,17.58,17.7,PDD Holdings,PDD,Consumer Discretionary
15,2018-08-16,18.27,19.1,18.16,19.04,PDD Holdings,PDD,Consumer Discretionary
16,2018-08-17,18.65,19.03,18.38,19.0,PDD Holdings,PDD,Consumer Discretionary
17,2018-08-20,18.82,19.335,18.795,18.95,PDD Holdings,PDD,Consumer Discretionary
18,2018-08-21,19.14,19.5,18.45,18.75,PDD Holdings,PDD,Consumer Discretionary
19,2018-08-22,18.67,18.9488,18.01,18.4,PDD Holdings,PDD,Consumer Discretionary
20,2018-08-23,18.38,18.8,18.12,18.31,PDD Holdings,PDD,Consumer Discretionary
21,2018-08-24,18.25,18.4999,17.2,17.22,PDD Holdings,PDD,Consumer Discretionary
22,2018-08-27,17.7,19.21,17.5,19.17,PDD Holdings,PDD,Consumer Discretionary
23,2018-08-28,19.49,19.96,18.82,19.54,PDD Holdings,PDD,Consumer Discretionary
24,2018-08-29,19.54,21.24,18.91,21.15,PDD Holdings,PDD,Consumer Discretionary
25,2018-08-30,20.68,20.846,17.88,17.99,PDD Holdings,PDD,Consumer Discretionary
26,2018-08-31,18.87,19.67,17.55,19.35,PDD Holdings,PDD,Consumer Discretionary
27,2018-09-04,18.66,21.18,18.6,20.75,PDD Holdings,PDD,Consumer Discretionary
28,2018-09-05,20.44,20.45,18.8,18.8,PDD Holdings,PDD,Consumer Discretionary
29,2018-09-06,19.28,19.78,18.91,19.11,PDD Holdings,PDD,Consumer Discretionary
30,2018-09-07,19.03,20.25,19.0,19.57,PDD Holdings,PDD,Consumer Discretionary
31,2018-09-10,19.68,20.05,19.48,19.74,PDD Holdings,PDD,Consumer Discretionary
32,2018-09-11,19.55,23.77,19.31,23.57,PDD Holdings,PDD,Consumer Discretionary
33,2018-09-12,22.77,23.75,22.02,23.04,PDD Holdings,PDD,Consumer Discretionary
34,2018-09-13,24.5,30.48,24.42,29.96,PDD Holdings,PDD,Consumer Discretionary
35,2018-09-14,28.89,30.0,26.28,26.34,PDD Holdings,PDD,Consumer Discretionary
36,2018-09-17,25.98,27.88,24.2,24.36,PDD Holdings,PDD,Consumer Discretionary
37,2018-09-18,24.66,25.66,22.31,22.64,PDD Holdings,PDD,Consumer Discretionary
38,2018-09-19,23.28,24.36,22.48,23.0,PDD Holdings,PDD,Consumer Discretionary
39,2018-09-20,23.36,25.25,23.06,24.65,PDD Holdings,PDD,Consumer Discretionary
40,2018-09-21,25.51,26.59,24.431,25.6,PDD Holdings,PDD,Consumer Discretionary
41,2018-09-24,24.76,27.13,24.22,26.49,PDD Holdings,PDD,Consumer Discretionary
42,2018-09-25,26.15,27.8,26.1,26.94,PDD Holdings,PDD,Consumer Discretionary
43,2018-09-26,26.98,27.11,25.5,26.06,PDD Holdings,PDD,Consumer Discretionary
44,2018-09-27,26.36,26.59,25.34,26.33,PDD Holdings,PDD,Consumer Discretionary
45,2018-09-28,26.0,26.3,25.52,26.29,PDD Holdings,PDD,Consumer Discretionary
46,2018-10-01,26.23,28.18,26.06,27.69,PDD Holdings,PDD,Consumer Discretionary
47,2018-10-02,27.3,27.39,25.45,25.66,PDD Holdings,PDD,Consumer Discretionary
48,2018-10-03,26.3,26.9725,25.86,26.28,PDD Holdings,PDD,Consumer Discretionary
49,2018-10-04,25.73,25.85,22.551,22.7,PDD Holdings,PDD,Consumer Discretionary
50,2018-10-05,23.08,23.79,20.5,21.78,PDD Holdings,PDD,Consumer Discretionary
51,2018-10-08,20.61,21.94,20.33,21.19,PDD Holdings,PDD,Consumer Discretionary
52,2018-10-09,20.97,22.62,20.89,22.34,PDD Holdings,PDD,Consumer Discretionary
53,2018-10-10,22.78,22.88,20.2,20.33,PDD Holdings,PDD,Consumer Discretionary
54,2018-10-11,20.24,21.49,20.03,20.82,PDD Holdings,PDD,Consumer Discretionary
55,2018-10-12,22.1012,22.48,21.02,21.62,PDD Holdings,PDD,Consumer Discretionary
56,2018-10-15,21.28,21.88,21.0,21.11,PDD Holdings,PDD,Consumer Discretionary
57,2018-10-16,21.23,21.49,20.48,20.81,PDD Holdings,PDD,Consumer Discretionary
58,2018-10-17,20.85,21.0,19.6,19.99,PDD Holdings,PDD,Consumer Discretionary
59,2018-10-18,19.67,19.87,18.8,18.8,PDD Holdings,PDD,Consumer Discretionary
60,2018-10-19,19.58,19.681,18.21,18.68,PDD Holdings,PDD,Consumer Discretionary
61,2018-10-22,19.7,20.09,18.91,19.95,PDD Holdings,PDD,Consumer Discretionary
62,2018-10-23,19.0,19.09,17.93,18.51,PDD Holdings,PDD,Consumer Discretionary
63,2018-10-24,18.71,18.71,17.25,17.32,PDD Holdings,PDD,Consumer Discretionary
64,2018-10-25,17.97,18.74,17.55,18.56,PDD Holdings,PDD,Consumer Discretionary
65,2018-10-26,17.77,20.0,17.72,18.2,PDD Holdings,PDD,Consumer Discretionary
66,2018-10-29,18.62,18.93,17.07,17.37,PDD Holdings,PDD,Consumer Discretionary
67,2018-10-30,17.5,18.045,17.0,17.2,PDD Holdings,PDD,Consumer Discretionary
68,2018-10-31,17.88,18.0,17.2,17.65,PDD Holdings,PDD,Consumer Discretionary
69,2018-11-01,17.86,20.74,17.86,20.34,PDD Holdings,PDD,Consumer Discretionary
70,2018-11-02,21.15,21.78,19.88,20.37,PDD Holdings,PDD,Consumer Discretionary
71,2018-11-05,20.19,20.21,19.19,20.05,PDD Holdings,PDD,Consumer Discretionary
72,2018-11-06,20.0,21.39,19.32,19.64,PDD Holdings,PDD,Consumer Discretionary
73,2018-11-07,20.22,20.98,19.8,20.72,PDD Holdings,PDD,Consumer Discretionary
74,2018-11-08,20.21,20.5999,19.11,19.28,PDD Holdings,PDD,Consumer Discretionary
75,2018-11-09,18.95,19.1806,18.01,18.31,PDD Holdings,PDD,Consumer Discretionary
76,2018-11-12,18.34,18.57,17.15,17.22,PDD Holdings,PDD,Consumer Discretionary
77,2018-11-13,17.68,18.17,17.11,17.15,PDD Holdings,PDD,Consumer Discretionary
78,2018-11-14,17.2,19.39,16.53,19.15,PDD Holdings,PDD,Consumer Discretionary
79,2018-11-15,18.7,20.49,18.5,20.38,PDD Holdings,PDD,Consumer Discretionary
80,2018-11-16,20.0,20.96,19.8139,20.83,PDD Holdings,PDD,Consumer Discretionary
81,2018-11-19,20.43,21.58,19.66,19.84,PDD Holdings,PDD,Consumer Discretionary
82,2018-11-20,20.85,23.98,18.61,23.14,PDD Holdings,PDD,Consumer Discretionary
83,2018-11-21,23.5,24.59,23.05,23.66,PDD Holdings,PDD,Consumer Discretionary
84,2018-11-23,23.65,24.2,22.26,22.5,PDD Holdings,PDD,Consumer Discretionary
