DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,24.6173,25.6393,24.4102,25.5841,Qualcomm,QCOM,Information Technology
2009-01-05,25.2733,25.4805,24.8935,25.1697,Qualcomm,QCOM,Information Technology
2009-01-06,25.4805,26.0398,25.1007,25.6531,Qualcomm,QCOM,Information Technology
2009-01-07,25.2043,25.3286,24.2513,24.5483,Qualcomm,QCOM,Information Technology
2009-01-08,24.424,24.5759,23.8163,24.3618,Qualcomm,QCOM,Information Technology
2009-01-09,24.5483,24.7969,23.1396,24.1685,Qualcomm,QCOM,Information Technology
2009-01-12,24.1616,24.5276,23.7058,24.0718,Qualcomm,QCOM,Information Technology
2009-01-13,24.1409,24.7209,23.8301,24.2652,Qualcomm,QCOM,Information Technology
2009-01-14,23.6713,24.0787,23.1948,23.3122,Qualcomm,QCOM,Information Technology
2009-01-15,23.1534,24.2928,22.9877,24.0304,Qualcomm,QCOM,Information Technology
2009-01-16,24.4101,25.1214,24.1063,24.8728,Qualcomm,QCOM,Information Technology
2009-01-20,24.6173,24.9281,23.5401,23.5746,Qualcomm,QCOM,Information Technology
2009-01-21,24.058,24.7692,23.9406,24.7692,Qualcomm,QCOM,Information Technology
2009-01-22,23.8923,25.3976,23.8923,24.9004,Qualcomm,QCOM,Information Technology
2009-01-23,24.5137,25.6945,24.4723,25.2526,Qualcomm,QCOM,Information Technology
2009-01-26,25.0524,25.5633,24.7623,25.2595,Qualcomm,QCOM,Information Technology
2009-01-27,25.3286,25.4252,24.3273,24.6035,Qualcomm,QCOM,Information Technology
2009-01-28,24.9142,25.5979,24.859,25.4252,Qualcomm,QCOM,Information Technology
2009-01-29,23.7542,24.2928,23.3191,24.2582,Qualcomm,QCOM,Information Technology
2009-01-30,23.9958,24.2099,23.7058,23.8577,Qualcomm,QCOM,Information Technology
2009-02-02,23.5263,24.5759,23.3537,24.3687,Qualcomm,QCOM,Information Technology
2009-02-03,23.9613,24.2099,23.0429,23.6299,Qualcomm,QCOM,Information Technology
2009-02-04,23.6851,24.134,23.257,23.3606,Qualcomm,QCOM,Information Technology
2009-02-05,23.181,24.4654,22.8289,24.1961,Qualcomm,QCOM,Information Technology
2009-02-06,24.3204,25.294,23.9061,25.08,Qualcomm,QCOM,Information Technology
2009-02-09,25.0247,25.4805,24.859,25.3079,Qualcomm,QCOM,Information Technology
2009-02-10,25.0385,25.3079,23.9544,24.1823,Qualcomm,QCOM,Information Technology
2009-02-11,24.0235,24.5552,23.4227,23.8992,Qualcomm,QCOM,Information Technology
2009-02-12,23.6506,24.7209,23.5677,24.5414,Qualcomm,QCOM,Information Technology
2009-02-13,24.4999,25.1145,24.4102,24.638,Qualcomm,QCOM,Information Technology
2009-02-17,24.3066,24.5414,23.547,23.9751,Qualcomm,QCOM,Information Technology
2009-02-18,24.1685,24.2928,23.478,23.6989,Qualcomm,QCOM,Information Technology
2009-02-19,23.9544,24.2306,23.326,23.3675,Qualcomm,QCOM,Information Technology
2009-02-20,23.1396,23.8646,23.0844,23.5263,Qualcomm,QCOM,Information Technology
2009-02-23,23.3606,23.6506,22.5596,22.6355,Qualcomm,QCOM,Information Technology
2009-02-24,22.9048,23.9682,22.8289,23.8163,Qualcomm,QCOM,Information Technology
2009-02-25,23.6511,24.0951,22.9712,23.5401,Qualcomm,QCOM,Information Technology
2009-02-26,23.769,24.5391,23.2903,23.3528,Qualcomm,QCOM,Information Technology
2009-02-27,23.1724,23.7344,23.1169,23.1932,Qualcomm,QCOM,Information Technology
2009-03-02,22.8741,23.436,22.6451,22.7492,Qualcomm,QCOM,Information Technology
2009-03-03,23.2279,23.6789,22.8394,23.2071,Qualcomm,QCOM,Information Technology
2009-03-04,23.6442,24.4628,23.5054,24.1021,Qualcomm,QCOM,Information Technology
2009-03-05,23.9702,24.5947,23.9356,24.0257,Qualcomm,QCOM,Information Technology
2009-03-06,24.0986,24.331,22.6659,23.332,Qualcomm,QCOM,Information Technology
2009-03-09,23.1585,23.9911,22.7735,22.8949,Qualcomm,QCOM,Information Technology
2009-03-10,23.2418,24.553,23.1516,24.5322,Qualcomm,QCOM,Information Technology
2009-03-11,24.6155,24.7958,23.9702,24.5253,Qualcomm,QCOM,Information Technology
2009-03-12,24.6085,25.6492,24.5114,25.5243,Qualcomm,QCOM,Information Technology
2009-03-13,25.3925,25.5521,24.9207,25.4966,Qualcomm,QCOM,Information Technology
2009-03-16,25.5798,25.6423,24.7958,24.8652,Qualcomm,QCOM,Information Technology
2009-03-17,25.1913,25.9198,24.9693,25.8851,Qualcomm,QCOM,Information Technology
2009-03-18,25.4966,26.7801,25.4827,26.3291,Qualcomm,QCOM,Information Technology
2009-03-19,26.4956,26.5581,25.9545,26.114,Qualcomm,QCOM,Information Technology
2009-03-20,26.121,26.3985,25.4272,25.7116,Qualcomm,QCOM,Information Technology
2009-03-23,26.2528,27.0784,26.0169,26.9327,Qualcomm,QCOM,Information Technology
2009-03-24,26.6691,26.7662,26.1973,26.4471,Qualcomm,QCOM,Information Technology
