DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,6.4245,6.6684,6.377,6.649,Ross Stores,ROST,Consumer Discretionary
2009-01-05,6.5842,6.6295,6.4461,6.5324,Ross Stores,ROST,Consumer Discretionary
2009-01-06,6.5799,6.6036,6.3878,6.4785,Ross Stores,ROST,Consumer Discretionary
2009-01-07,6.3727,6.6058,6.3123,6.5648,Ross Stores,ROST,Consumer Discretionary
2009-01-08,6.7051,6.8907,6.4612,6.8151,Ross Stores,ROST,Consumer Discretionary
2009-01-09,6.8367,6.8842,6.4202,6.4742,Ross Stores,ROST,Consumer Discretionary
2009-01-12,6.4375,6.5259,6.3166,6.3684,Ross Stores,ROST,Consumer Discretionary
2009-01-13,6.3662,6.5108,6.3123,6.3986,Ross Stores,ROST,Consumer Discretionary
2009-01-14,6.3921,6.4461,6.2648,6.3145,Ross Stores,ROST,Consumer Discretionary
2009-01-15,6.2864,6.7223,6.2627,6.5799,Ross Stores,ROST,Consumer Discretionary
2009-01-16,6.6662,6.718,6.4806,6.6554,Ross Stores,ROST,Consumer Discretionary
2009-01-20,6.6252,6.6403,6.349,6.3727,Ross Stores,ROST,Consumer Discretionary
2009-01-21,6.4742,6.718,6.39,6.6964,Ross Stores,ROST,Consumer Discretionary
2009-01-22,6.5928,6.8648,6.5238,6.7525,Ross Stores,ROST,Consumer Discretionary
2009-01-23,6.6425,6.8345,6.6166,6.7353,Ross Stores,ROST,Consumer Discretionary
2009-01-26,6.7482,6.8928,6.6986,6.8281,Ross Stores,ROST,Consumer Discretionary
2009-01-27,6.8561,6.8885,6.6727,6.6835,Ross Stores,ROST,Consumer Discretionary
2009-01-28,6.7892,6.8475,6.6123,6.6921,Ross Stores,ROST,Consumer Discretionary
2009-01-29,6.6576,6.6878,6.459,6.5,Ross Stores,ROST,Consumer Discretionary
2009-01-30,6.5518,6.5518,6.2627,6.349,Ross Stores,ROST,Consumer Discretionary
2009-02-02,6.3339,6.4785,6.172,6.308,Ross Stores,ROST,Consumer Discretionary
2009-02-03,6.3145,6.4288,6.2324,6.3641,Ross Stores,ROST,Consumer Discretionary
2009-02-04,6.2847,6.4103,6.0598,6.0965,Ross Stores,ROST,Consumer Discretionary
2009-02-05,6.1504,6.6619,6.1504,6.6101,Ross Stores,ROST,Consumer Discretionary
2009-02-06,6.5928,7.0935,6.5411,7.0309,Ross Stores,ROST,Consumer Discretionary
2009-02-09,7.0396,7.0719,6.8626,6.9683,Ross Stores,ROST,Consumer Discretionary
2009-02-10,6.8907,7.0504,6.7612,6.7935,Ross Stores,ROST,Consumer Discretionary
2009-02-11,6.8432,6.8583,6.6252,6.7353,Ross Stores,ROST,Consumer Discretionary
2009-02-12,6.6338,6.8497,6.5842,6.8497,Ross Stores,ROST,Consumer Discretionary
2009-02-13,6.8367,6.9122,6.6252,6.6252,Ross Stores,ROST,Consumer Discretionary
2009-02-17,6.5,6.649,6.4008,6.5389,Ross Stores,ROST,Consumer Discretionary
2009-02-18,6.6364,6.6472,6.4523,6.5324,Ross Stores,ROST,Consumer Discretionary
2009-02-19,6.5692,6.7144,6.5324,6.5866,Ross Stores,ROST,Consumer Discretionary
2009-02-20,6.5324,6.7663,6.4978,6.6689,Ross Stores,ROST,Consumer Discretionary
2009-02-23,6.6602,6.7144,6.3981,6.4241,Ross Stores,ROST,Consumer Discretionary
2009-02-24,6.4393,6.6321,6.4393,6.6017,Ross Stores,ROST,Consumer Discretionary
2009-02-25,6.5541,6.7014,6.4523,6.5606,Ross Stores,ROST,Consumer Discretionary
2009-02-26,6.5996,6.6017,6.2855,6.3028,Ross Stores,ROST,Consumer Discretionary
2009-02-27,6.2032,6.5606,6.1729,6.3938,Ross Stores,ROST,Consumer Discretionary
2009-03-02,6.2898,6.5801,6.2823,6.3093,Ross Stores,ROST,Consumer Discretionary
2009-03-03,6.3591,6.4053,6.2075,6.2703,Ross Stores,ROST,Consumer Discretionary
2009-03-04,6.2487,6.6667,6.2487,6.5714,Ross Stores,ROST,Consumer Discretionary
2009-03-05,6.6061,6.84,6.5389,6.5671,Ross Stores,ROST,Consumer Discretionary
2009-03-06,6.6212,6.6689,6.227,6.3786,Ross Stores,ROST,Consumer Discretionary
2009-03-09,6.3267,6.5368,6.3007,6.3483,Ross Stores,ROST,Consumer Discretionary
2009-03-10,6.5129,6.827,6.4947,6.7772,Ross Stores,ROST,Consumer Discretionary
2009-03-11,6.801,6.9504,6.7144,6.8963,Ross Stores,ROST,Consumer Discretionary
2009-03-12,6.853,7.1779,6.8053,7.1605,Ross Stores,ROST,Consumer Discretionary
2009-03-13,7.1432,7.1995,6.9873,7.1497,Ross Stores,ROST,Consumer Discretionary
2009-03-16,7.1519,7.193,6.9808,6.9808,Ross Stores,ROST,Consumer Discretionary
2009-03-17,7.0219,7.2558,6.9894,7.2277,Ross Stores,ROST,Consumer Discretionary
2009-03-18,7.2125,7.4443,7.0912,7.3858,Ross Stores,ROST,Consumer Discretionary
2009-03-19,7.6219,7.6804,7.219,7.3316,Ross Stores,ROST,Consumer Discretionary
2009-03-20,7.3641,7.5114,7.2407,7.349,Ross Stores,ROST,Consumer Discretionary
2009-03-23,7.3555,7.6479,7.3555,7.6479,Ross Stores,ROST,Consumer Discretionary
2009-03-24,7.5829,7.7973,7.5309,7.5916,Ross Stores,ROST,Consumer Discretionary
2009-03-25,7.5396,7.7713,7.3143,7.5547,Ross Stores,ROST,Consumer Discretionary
2009-03-26,7.5807,7.9576,7.5417,7.9489,Ross Stores,ROST,Consumer Discretionary
2009-03-27,7.8341,7.9793,7.7388,7.9446,Ross Stores,ROST,Consumer Discretionary
2009-03-30,7.8991,7.8991,7.7009,7.884,Ross Stores,ROST,Consumer Discretionary
2009-03-31,8.0096,8.0096,7.6089,7.7713,Ross Stores,ROST,Consumer Discretionary
2009-04-01,7.6565,7.8666,7.5526,7.858,Ross Stores,ROST,Consumer Discretionary
2009-04-02,7.9858,8.2153,7.9598,8.0139,Ross Stores,ROST,Consumer Discretionary
2009-04-03,8.146,8.146,7.8861,8.0031,Ross Stores,ROST,Consumer Discretionary
2009-04-06,7.9424,8.1569,7.8731,8.1525,Ross Stores,ROST,Consumer Discretionary
2009-04-07,8.0356,8.0551,7.7757,7.9078,Ross Stores,ROST,Consumer Discretionary
2009-04-08,7.9706,8.2023,7.9576,8.2023,Ross Stores,ROST,Consumer Discretionary
2009-04-09,8.4688,8.7828,8.4688,8.5944,Ross Stores,ROST,Consumer Discretionary
2009-04-13,8.642,8.6442,8.3756,8.4514,Ross Stores,ROST,Consumer Discretionary
2009-04-14,8.4319,8.5272,8.2652,8.4536,Ross Stores,ROST,Consumer Discretionary
2009-04-15,8.3756,8.54,8.2348,8.4103,Ross Stores,ROST,Consumer Discretionary
2009-04-16,8.4752,8.5597,8.3193,8.5207,Ross Stores,ROST,Consumer Discretionary
2009-04-17,8.5012,8.5619,8.407,8.4796,Ross Stores,ROST,Consumer Discretionary
2009-04-20,8.3626,8.4254,8.224,8.3583,Ross Stores,ROST,Consumer Discretionary
2009-04-21,8.2717,8.6377,8.2717,8.5922,Ross Stores,ROST,Consumer Discretionary
2009-04-22,8.5207,8.8868,8.4904,8.6334,Ross Stores,ROST,Consumer Discretionary
