DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,3.7372,3.9159,3.7054,3.908,Starbucks,SBUX,Consumer Discretionary
2009-01-05,3.9239,3.9954,3.8127,3.9398,Starbucks,SBUX,Consumer Discretionary
2009-01-06,3.9914,4.1145,3.9517,4.0589,Starbucks,SBUX,Consumer Discretionary
2009-01-07,3.9874,4.0073,3.8921,3.9676,Starbucks,SBUX,Consumer Discretionary
2009-01-08,3.912,4.047,3.8405,4.0271,Starbucks,SBUX,Consumer Discretionary
2009-01-09,4.0192,4.0311,3.8166,3.8802,Starbucks,SBUX,Consumer Discretionary
2009-01-12,3.8961,3.9517,3.769,3.8087,Starbucks,SBUX,Consumer Discretionary
2009-01-13,3.7769,3.8842,3.6697,3.7213,Starbucks,SBUX,Consumer Discretionary
2009-01-14,3.6657,3.6776,3.5069,3.5903,Starbucks,SBUX,Consumer Discretionary
2009-01-15,3.5982,3.7538,3.5267,3.6856,Starbucks,SBUX,Consumer Discretionary
2009-01-16,3.7531,3.7928,3.6181,3.7571,Starbucks,SBUX,Consumer Discretionary
2009-01-20,3.7571,3.7809,3.5148,3.5307,Starbucks,SBUX,Consumer Discretionary
2009-01-21,3.3758,3.5942,3.3758,3.5942,Starbucks,SBUX,Consumer Discretionary
2009-01-22,3.5664,3.7054,3.487,3.622,Starbucks,SBUX,Consumer Discretionary
2009-01-23,3.5267,3.6617,3.5148,3.6061,Starbucks,SBUX,Consumer Discretionary
2009-01-26,3.5744,3.6856,3.491,3.5744,Starbucks,SBUX,Consumer Discretionary
2009-01-27,3.5664,3.6697,3.5267,3.6339,Starbucks,SBUX,Consumer Discretionary
2009-01-28,3.7213,3.8921,3.6657,3.8325,Starbucks,SBUX,Consumer Discretionary
2009-01-29,3.6737,3.9318,3.6737,3.8325,Starbucks,SBUX,Consumer Discretionary
2009-01-30,3.8603,3.8762,3.7372,3.7491,Starbucks,SBUX,Consumer Discretionary
2009-02-02,3.6776,3.8325,3.6697,3.7491,Starbucks,SBUX,Consumer Discretionary
