DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,18.31,18.98,18.17,18.93,Synopsys,SNPS,Information Technology
2009-01-05,18.9,19.115,18.62,18.84,Synopsys,SNPS,Information Technology
2009-01-06,18.9,19.35,18.74,19.18,Synopsys,SNPS,Information Technology
2009-01-07,18.98,19.26,18.8,19.22,Synopsys,SNPS,Information Technology
2009-01-08,19.19,19.68,19.07,19.54,Synopsys,SNPS,Information Technology
2009-01-09,19.65,19.66,19.2,19.32,Synopsys,SNPS,Information Technology
2009-01-12,19.38,19.4,19.15,19.37,Synopsys,SNPS,Information Technology
2009-01-13,19.32,19.52,19.25,19.43,Synopsys,SNPS,Information Technology
2009-01-14,19.25,19.29,18.53,18.71,Synopsys,SNPS,Information Technology
2009-01-15,18.68,18.82,18.14,18.52,Synopsys,SNPS,Information Technology
2009-01-16,18.82,19.1,18.43,18.89,Synopsys,SNPS,Information Technology
2009-01-20,18.8,18.91,18.48,18.5,Synopsys,SNPS,Information Technology
2009-01-21,18.59,18.84,18.33,18.74,Synopsys,SNPS,Information Technology
2009-01-22,18.55,18.58,17.99,18.44,Synopsys,SNPS,Information Technology
2009-01-23,18.28,18.81,18.03,18.69,Synopsys,SNPS,Information Technology
2009-01-26,18.72,19.1,18.48,18.76,Synopsys,SNPS,Information Technology
2009-01-27,18.79,19.07,18.72,18.92,Synopsys,SNPS,Information Technology
2009-01-28,19.11,19.42,19.075,19.39,Synopsys,SNPS,Information Technology
2009-01-29,19.24,19.38,18.7,18.92,Synopsys,SNPS,Information Technology
2009-01-30,19.0,19.17,18.42,18.5,Synopsys,SNPS,Information Technology
2009-02-02,18.35,18.79,18.01,18.7,Synopsys,SNPS,Information Technology
2009-02-03,18.86,19.18,18.4,19.08,Synopsys,SNPS,Information Technology
2009-02-04,19.08,19.56,18.99,19.33,Synopsys,SNPS,Information Technology
2009-02-05,19.14,19.84,18.95,19.72,Synopsys,SNPS,Information Technology
2009-02-06,19.83,20.1,19.72,20.1,Synopsys,SNPS,Information Technology
2009-02-09,20.0,20.03,19.695,19.95,Synopsys,SNPS,Information Technology
2009-02-10,19.76,19.98,19.1,19.16,Synopsys,SNPS,Information Technology
2009-02-11,19.31,19.52,19.19,19.34,Synopsys,SNPS,Information Technology
2009-02-12,19.26,19.61,18.98,19.56,Synopsys,SNPS,Information Technology
2009-02-13,19.52,19.81,19.29,19.49,Synopsys,SNPS,Information Technology
2009-02-17,19.12,19.12,18.46,18.54,Synopsys,SNPS,Information Technology
2009-02-18,18.73,18.8,18.24,18.4,Synopsys,SNPS,Information Technology
2009-02-19,19.49,20.14,19.05,19.77,Synopsys,SNPS,Information Technology
2009-02-20,19.47,19.75,19.19,19.48,Synopsys,SNPS,Information Technology
2009-02-23,19.51,19.59,18.92,18.96,Synopsys,SNPS,Information Technology
2009-02-24,19.05,19.28,18.69,19.22,Synopsys,SNPS,Information Technology
2009-02-25,19.07,19.28,18.64,19.03,Synopsys,SNPS,Information Technology
2009-02-26,19.11,19.18,18.33,18.43,Synopsys,SNPS,Information Technology
2009-02-27,18.32,18.88,18.25,18.63,Synopsys,SNPS,Information Technology
2009-03-02,17.34,18.17,17.3,17.94,Synopsys,SNPS,Information Technology
2009-03-03,17.75,18.27,17.75,18.03,Synopsys,SNPS,Information Technology
2009-03-04,18.18,18.31,17.88,18.11,Synopsys,SNPS,Information Technology
2009-03-05,17.85,18.24,17.75,17.79,Synopsys,SNPS,Information Technology
2009-03-06,17.87,17.95,17.22,17.53,Synopsys,SNPS,Information Technology
2009-03-09,17.35,17.83,17.29,17.37,Synopsys,SNPS,Information Technology
2009-03-10,17.52,18.28,17.47,18.28,Synopsys,SNPS,Information Technology
2009-03-11,18.29,18.5,18.04,18.47,Synopsys,SNPS,Information Technology
2009-03-12,18.39,19.06,18.27,19.01,Synopsys,SNPS,Information Technology
2009-03-13,19.03,19.11,18.81,19.09,Synopsys,SNPS,Information Technology
2009-03-16,18.46,19.0,18.45,18.53,Synopsys,SNPS,Information Technology
2009-03-17,18.57,19.12,18.4,19.12,Synopsys,SNPS,Information Technology
2009-03-18,19.01,19.46,18.97,19.35,Synopsys,SNPS,Information Technology
2009-03-19,19.49,19.49,19.08,19.17,Synopsys,SNPS,Information Technology
2009-03-20,19.29,19.6,19.28,19.44,Synopsys,SNPS,Information Technology
2009-03-23,19.64,20.51,19.51,20.51,Synopsys,SNPS,Information Technology
2009-03-24,20.3,20.46,20.13,20.18,Synopsys,SNPS,Information Technology
2009-03-25,20.23,20.7,20.0,20.44,Synopsys,SNPS,Information Technology
2009-03-26,20.58,21.21,20.56,21.21,Synopsys,SNPS,Information Technology
2009-03-27,21.05,21.18,20.65,20.67,Synopsys,SNPS,Information Technology
2009-03-30,20.81,20.81,20.15,20.65,Synopsys,SNPS,Information Technology
2009-03-31,20.76,21.01,20.565,20.73,Synopsys,SNPS,Information Technology
2009-04-01,20.84,21.16,20.47,21.05,Synopsys,SNPS,Information Technology
2009-04-02,21.39,21.68,21.25,21.3,Synopsys,SNPS,Information Technology
2009-04-03,21.36,21.44,21.11,21.33,Synopsys,SNPS,Information Technology
2009-04-06,21.17,21.34,20.97,21.31,Synopsys,SNPS,Information Technology
2009-04-07,21.25,21.25,20.8,20.91,Synopsys,SNPS,Information Technology
2009-04-08,21.08,21.45,20.92,21.34,Synopsys,SNPS,Information Technology
2009-04-09,21.5,22.04,21.44,21.83,Synopsys,SNPS,Information Technology
2009-04-13,21.63,21.65,21.12,21.35,Synopsys,SNPS,Information Technology
2009-04-14,21.31,21.37,20.89,20.97,Synopsys,SNPS,Information Technology
2009-04-15,20.87,20.91,20.51,20.74,Synopsys,SNPS,Information Technology
2009-04-16,21.01,21.44,20.9,21.4,Synopsys,SNPS,Information Technology
2009-04-17,21.4,21.43,20.74,21.09,Synopsys,SNPS,Information Technology
2009-04-20,20.94,20.99,20.44,20.53,Synopsys,SNPS,Information Technology
2009-04-21,20.52,20.94,20.52,20.9,Synopsys,SNPS,Information Technology
2009-04-22,20.75,21.2,20.58,20.86,Synopsys,SNPS,Information Technology
2009-04-23,20.76,21.5,20.5,20.92,Synopsys,SNPS,Information Technology
2009-04-24,21.06,21.34,20.79,21.22,Synopsys,SNPS,Information Technology
2009-04-27,20.99,21.69,20.97,21.49,Synopsys,SNPS,Information Technology
2009-04-28,21.37,21.465,21.15,21.19,Synopsys,SNPS,Information Technology
2009-04-29,21.54,21.94,21.12,21.81,Synopsys,SNPS,Information Technology
2009-04-30,21.89,22.01,21.62,21.78,Synopsys,SNPS,Information Technology
2009-05-01,21.95,21.95,21.47,21.88,Synopsys,SNPS,Information Technology
2009-05-04,22.09,22.29,21.84,21.93,Synopsys,SNPS,Information Technology
2009-05-05,21.92,21.98,21.31,21.56,Synopsys,SNPS,Information Technology
2009-05-06,21.82,21.93,21.25,21.6,Synopsys,SNPS,Information Technology
2009-05-07,21.7,21.7,20.74,20.88,Synopsys,SNPS,Information Technology
2009-05-08,21.05,21.53,20.66,20.82,Synopsys,SNPS,Information Technology
2009-05-11,20.56,20.9,20.51,20.81,Synopsys,SNPS,Information Technology
2009-05-12,21.07,21.07,20.55,20.72,Synopsys,SNPS,Information Technology
2009-05-13,20.55,20.57,20.05,20.24,Synopsys,SNPS,Information Technology
2009-05-14,20.31,20.69,20.15,20.56,Synopsys,SNPS,Information Technology
2009-05-15,20.63,20.865,20.51,20.63,Synopsys,SNPS,Information Technology
2009-05-18,20.76,21.26,20.76,21.26,Synopsys,SNPS,Information Technology
2009-05-19,21.01,21.5,20.81,21.37,Synopsys,SNPS,Information Technology
2009-05-20,21.44,21.96,21.38,21.62,Synopsys,SNPS,Information Technology
2009-05-21,20.4,20.4,18.85,19.41,Synopsys,SNPS,Information Technology
2009-05-22,19.41,19.58,19.05,19.28,Synopsys,SNPS,Information Technology
2009-05-26,19.15,19.96,18.95,19.79,Synopsys,SNPS,Information Technology
2009-05-27,19.8,19.88,19.38,19.4,Synopsys,SNPS,Information Technology
2009-05-28,19.4,19.59,19.09,19.39,Synopsys,SNPS,Information Technology
2009-05-29,19.33,19.52,19.1,19.48,Synopsys,SNPS,Information Technology
2009-06-01,19.46,20.01,19.46,19.86,Synopsys,SNPS,Information Technology
2009-06-02,19.57,19.97,19.54,19.85,Synopsys,SNPS,Information Technology
2009-06-03,19.49,19.67,19.3,19.33,Synopsys,SNPS,Information Technology
2009-06-04,19.52,19.63,19.27,19.38,Synopsys,SNPS,Information Technology
2009-06-05,19.64,19.69,19.28,19.43,Synopsys,SNPS,Information Technology
2009-06-08,18.97,19.5,18.95,19.41,Synopsys,SNPS,Information Technology
2009-06-09,19.33,20.11,19.33,19.97,Synopsys,SNPS,Information Technology
2009-06-10,19.96,20.07,19.62,19.83,Synopsys,SNPS,Information Technology
2009-06-11,19.78,20.17,19.63,19.83,Synopsys,SNPS,Information Technology
2009-06-12,19.82,19.97,19.365,19.72,Synopsys,SNPS,Information Technology
2009-06-15,19.57,19.66,19.0,19.37,Synopsys,SNPS,Information Technology
2009-06-16,19.43,19.5,18.92,18.95,Synopsys,SNPS,Information Technology
2009-06-17,19.04,19.36,19.03,19.21,Synopsys,SNPS,Information Technology
2009-06-18,19.25,19.45,19.14,19.36,Synopsys,SNPS,Information Technology
2009-06-19,19.49,19.59,19.115,19.16,Synopsys,SNPS,Information Technology
2009-06-22,18.95,19.105,18.72,18.75,Synopsys,SNPS,Information Technology
2009-06-23,18.87,19.01,18.6701,18.88,Synopsys,SNPS,Information Technology
2009-06-24,18.97,19.13,18.83,18.92,Synopsys,SNPS,Information Technology
2009-06-25,18.92,18.97,18.68,18.88,Synopsys,SNPS,Information Technology
2009-06-26,19.0,19.05,18.61,18.78,Synopsys,SNPS,Information Technology
2009-06-29,18.93,19.45,18.74,19.4,Synopsys,SNPS,Information Technology
2009-06-30,19.4,19.56,19.11,19.51,Synopsys,SNPS,Information Technology
2009-07-01,19.53,19.69,19.29,19.66,Synopsys,SNPS,Information Technology
2009-07-02,19.46,19.46,18.81,19.04,Synopsys,SNPS,Information Technology
2009-07-06,18.88,18.995,18.62,18.77,Synopsys,SNPS,Information Technology
2009-07-07,18.7,18.75,18.2,18.2,Synopsys,SNPS,Information Technology
2009-07-08,18.27,18.31,17.83,18.24,Synopsys,SNPS,Information Technology
2009-07-09,18.27,18.575,18.26,18.52,Synopsys,SNPS,Information Technology
2009-07-10,18.47,18.695,18.34,18.53,Synopsys,SNPS,Information Technology
2009-07-13,18.51,18.7,18.21,18.66,Synopsys,SNPS,Information Technology
2009-07-14,18.67,18.7801,18.49,18.75,Synopsys,SNPS,Information Technology
2009-07-15,19.12,19.49,19.02,19.46,Synopsys,SNPS,Information Technology
2009-07-16,19.38,19.64,19.33,19.61,Synopsys,SNPS,Information Technology
2009-07-17,19.65,19.65,19.32,19.53,Synopsys,SNPS,Information Technology
2009-07-20,19.61,19.68,19.37,19.44,Synopsys,SNPS,Information Technology
2009-07-21,19.5,19.75,19.3,19.59,Synopsys,SNPS,Information Technology
2009-07-22,19.46,19.84,19.42,19.72,Synopsys,SNPS,Information Technology
2009-07-23,19.76,20.07,19.56,19.84,Synopsys,SNPS,Information Technology
2009-07-24,20.07,20.65,19.51,19.66,Synopsys,SNPS,Information Technology
2009-07-27,19.73,19.73,19.38,19.62,Synopsys,SNPS,Information Technology
2009-07-28,19.48,19.85,19.44,19.84,Synopsys,SNPS,Information Technology
2009-07-29,19.73,19.88,19.66,19.85,Synopsys,SNPS,Information Technology
2009-07-30,20.04,20.28,19.94,19.94,Synopsys,SNPS,Information Technology
2009-07-31,20.0,20.15,19.9,19.98,Synopsys,SNPS,Information Technology
2009-08-03,19.92,20.09,19.53,20.07,Synopsys,SNPS,Information Technology
2009-08-04,19.93,20.3,19.93,20.22,Synopsys,SNPS,Information Technology
2009-08-05,20.16,20.21,19.59,19.7,Synopsys,SNPS,Information Technology
2009-08-06,19.81,19.83,19.49,19.65,Synopsys,SNPS,Information Technology
2009-08-07,19.83,20.09,19.71,20.07,Synopsys,SNPS,Information Technology
2009-08-10,19.88,20.08,19.77,19.93,Synopsys,SNPS,Information Technology
2009-08-11,19.9,20.0,19.71,19.8,Synopsys,SNPS,Information Technology
2009-08-12,19.86,20.48,19.71,20.26,Synopsys,SNPS,Information Technology
2009-08-13,20.28,20.48,20.15,20.38,Synopsys,SNPS,Information Technology
2009-08-14,20.16,20.34,19.96,20.1,Synopsys,SNPS,Information Technology
2009-08-17,19.83,20.0,19.7,19.7,Synopsys,SNPS,Information Technology
2009-08-18,19.74,20.01,19.73,19.97,Synopsys,SNPS,Information Technology
2009-08-19,19.78,20.58,19.7,20.52,Synopsys,SNPS,Information Technology
2009-08-20,19.94,20.83,19.91,20.81,Synopsys,SNPS,Information Technology
2009-08-21,20.83,21.36,20.81,21.24,Synopsys,SNPS,Information Technology
2009-08-24,21.22,21.56,21.14,21.16,Synopsys,SNPS,Information Technology
2009-08-25,21.2,21.5999,21.2,21.48,Synopsys,SNPS,Information Technology
2009-08-26,21.48,21.56,21.35,21.49,Synopsys,SNPS,Information Technology
2009-08-27,21.6,21.6,21.2,21.52,Synopsys,SNPS,Information Technology
2009-08-28,21.69,21.78,21.36,21.48,Synopsys,SNPS,Information Technology
2009-08-31,21.41,21.48,21.04,21.23,Synopsys,SNPS,Information Technology
2009-09-01,20.81,21.28,20.63,20.8,Synopsys,SNPS,Information Technology
2009-09-02,20.71,20.89,20.65,20.76,Synopsys,SNPS,Information Technology
2009-09-03,20.8,21.06,20.56,20.94,Synopsys,SNPS,Information Technology
2009-09-04,20.99,21.49,20.88,21.48,Synopsys,SNPS,Information Technology
2009-09-08,21.42,21.75,21.37,21.74,Synopsys,SNPS,Information Technology
2009-09-09,21.67,22.05,21.63,22.05,Synopsys,SNPS,Information Technology
2009-09-10,22.0175,22.34,21.925,22.32,Synopsys,SNPS,Information Technology
2009-09-11,22.3,22.45,22.15,22.38,Synopsys,SNPS,Information Technology
2009-09-14,22.17,22.48,22.1,22.39,Synopsys,SNPS,Information Technology
2009-09-15,22.4,22.49,22.13,22.39,Synopsys,SNPS,Information Technology
2009-09-16,22.33,22.65,22.25,22.64,Synopsys,SNPS,Information Technology
2009-09-17,22.6,22.72,22.31,22.63,Synopsys,SNPS,Information Technology
2009-09-18,22.65,22.65,22.45,22.47,Synopsys,SNPS,Information Technology
2009-09-21,22.3,22.67,22.18,22.61,Synopsys,SNPS,Information Technology
2009-09-22,22.6,22.85,22.49,22.82,Synopsys,SNPS,Information Technology
2009-09-23,22.86,22.94,22.61,22.61,Synopsys,SNPS,Information Technology
2009-09-24,22.6,22.77,22.39,22.49,Synopsys,SNPS,Information Technology
2009-09-25,22.48,22.685,22.39,22.57,Synopsys,SNPS,Information Technology
2009-09-28,22.68,23.0,22.54,22.79,Synopsys,SNPS,Information Technology
2009-09-29,22.98,23.0,22.71,22.97,Synopsys,SNPS,Information Technology
2009-09-30,22.89,22.95,22.275,22.42,Synopsys,SNPS,Information Technology
