,DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
0,2015-12-10,27.67,28.5,26.5,27.78,Atlassian,TEAM,Information Technology
1,2015-12-11,27.85,28.5,27.48,27.5,Atlassian,TEAM,Information Technology
2,2015-12-14,27.5,27.86,26.11,26.26,Atlassian,TEAM,Information Technology
3,2015-12-15,26.39,26.949,26.3,26.5,Atlassian,TEAM,Information Technology
4,2015-12-16,26.75,26.95,26.47,26.54,Atlassian,TEAM,Information Technology
5,2015-12-17,26.94,28.18,26.65,28.01,Atlassian,TEAM,Information Technology
6,2015-12-18,27.9,28.24,27.66,28.22,Atlassian,TEAM,Information Technology
7,2015-12-21,28.84,29.86,28.75,29.35,Atlassian,TEAM,Information Technology
8,2015-12-22,30.16,30.74,29.56,30.1,Atlassian,TEAM,Information Technology
9,2015-12-23,30.57,30.57,28.35,28.49,Atlassian,TEAM,Information Technology
10,2015-12-24,28.33,28.89,27.51,28.21,Atlassian,TEAM,Information Technology
11,2015-12-28,28.28,28.93,28.0,28.9,Atlassian,TEAM,Information Technology
12,2015-12-29,29.21,31.31,29.21,31.1,Atlassian,TEAM,Information Technology
13,2015-12-30,31.46,31.46,30.0,30.21,Atlassian,TEAM,Information Technology
14,2015-12-31,30.22,31.0,29.99,30.08,Atlassian,TEAM,Information Technology
15,2016-01-04,28.94,29.03,27.2,27.41,Atlassian,TEAM,Information Technology
16,2016-01-05,27.91,28.0,26.27,26.77,Atlassian,TEAM,Information Technology
17,2016-01-06,26.46,27.23,26.02,27.05,Atlassian,TEAM,Information Technology
18,2016-01-07,26.55,27.3194,26.46,26.97,Atlassian,TEAM,Information Technology
19,2016-01-08,27.06,27.76,26.93,27.17,Atlassian,TEAM,Information Technology
20,2016-01-11,27.1,27.5,26.95,27.12,Atlassian,TEAM,Information Technology
21,2016-01-12,27.2,27.427,26.64,26.82,Atlassian,TEAM,Information Technology
22,2016-01-13,27.0,27.2,26.0,26.73,Atlassian,TEAM,Information Technology
23,2016-01-14,26.68,27.14,25.7501,26.84,Atlassian,TEAM,Information Technology
24,2016-01-15,26.04,26.315,24.52,25.19,Atlassian,TEAM,Information Technology
25,2016-01-19,25.3,25.71,23.02,24.02,Atlassian,TEAM,Information Technology
26,2016-01-20,23.21,23.66,21.62,22.63,Atlassian,TEAM,Information Technology
27,2016-01-21,22.72,25.08,22.03,24.24,Atlassian,TEAM,Information Technology
28,2016-01-22,25.11,25.325,24.27,24.61,Atlassian,TEAM,Information Technology
29,2016-01-25,24.5,24.6358,23.45,23.67,Atlassian,TEAM,Information Technology
30,2016-01-26,23.68,24.1999,22.58,24.01,Atlassian,TEAM,Information Technology
31,2016-01-27,24.02,24.665,22.13,22.28,Atlassian,TEAM,Information Technology
32,2016-01-28,22.72,22.966,20.17,20.39,Atlassian,TEAM,Information Technology
33,2016-01-29,20.99,21.75,20.52,20.77,Atlassian,TEAM,Information Technology
34,2016-02-01,20.69,21.22,20.065,21.17,Atlassian,TEAM,Information Technology
35,2016-02-02,21.04,21.82,20.67,21.34,Atlassian,TEAM,Information Technology
36,2016-02-03,21.93,24.5,21.12,23.77,Atlassian,TEAM,Information Technology
37,2016-02-04,24.0,24.88,23.35,24.0,Atlassian,TEAM,Information Technology
38,2016-02-05,24.0,24.06,17.55,20.19,Atlassian,TEAM,Information Technology
39,2016-02-08,19.88,19.98,16.92,17.92,Atlassian,TEAM,Information Technology
40,2016-02-09,17.85,19.46,17.62,18.92,Atlassian,TEAM,Information Technology
41,2016-02-10,19.04,21.17,19.04,20.06,Atlassian,TEAM,Information Technology
42,2016-02-11,19.41,20.38,19.2,20.35,Atlassian,TEAM,Information Technology
43,2016-02-12,20.48,20.9,19.69,20.1,Atlassian,TEAM,Information Technology
44,2016-02-16,20.4,23.77,20.4,22.18,Atlassian,TEAM,Information Technology
45,2016-02-17,22.33,23.68,22.32,23.35,Atlassian,TEAM,Information Technology
46,2016-02-18,23.24,23.93,21.89,22.0,Atlassian,TEAM,Information Technology
47,2016-02-19,21.59,22.68,20.92,22.13,Atlassian,TEAM,Information Technology
48,2016-02-22,22.1,22.99,21.9,22.11,Atlassian,TEAM,Information Technology
49,2016-02-23,21.88,22.6,21.88,22.51,Atlassian,TEAM,Information Technology
50,2016-02-24,22.34,22.67,21.69,22.56,Atlassian,TEAM,Information Technology
51,2016-02-25,23.01,23.555,22.37,23.535,Atlassian,TEAM,Information Technology
52,2016-02-26,23.47,23.67,22.81,23.3,Atlassian,TEAM,Information Technology
53,2016-02-29,23.13,23.99,23.1,23.77,Atlassian,TEAM,Information Technology
54,2016-03-01,23.86,24.25,23.16,23.6,Atlassian,TEAM,Information Technology
55,2016-03-02,23.45,24.19,23.2324,24.16,Atlassian,TEAM,Information Technology
56,2016-03-03,24.04,24.49,22.85,23.0,Atlassian,TEAM,Information Technology
57,2016-03-04,23.24,23.3994,22.45,23.02,Atlassian,TEAM,Information Technology
58,2016-03-07,22.98,23.87,22.49,23.03,Atlassian,TEAM,Information Technology
59,2016-03-08,22.85,23.01,22.29,22.36,Atlassian,TEAM,Information Technology
60,2016-03-09,22.55,23.7699,21.58,21.77,Atlassian,TEAM,Information Technology
61,2016-03-10,21.8,22.74,21.24,22.22,Atlassian,TEAM,Information Technology
62,2016-03-11,22.36,23.57,22.21,22.97,Atlassian,TEAM,Information Technology
63,2016-03-14,22.97,23.2,22.5006,22.73,Atlassian,TEAM,Information Technology
64,2016-03-15,22.51,23.59,22.3001,23.5,Atlassian,TEAM,Information Technology
65,2016-03-16,23.63,24.37,23.41,24.19,Atlassian,TEAM,Information Technology
66,2016-03-17,23.98,24.67,23.735,24.42,Atlassian,TEAM,Information Technology
67,2016-03-18,24.33,24.65,23.2,23.24,Atlassian,TEAM,Information Technology
68,2016-03-21,23.4,24.27,23.07,23.92,Atlassian,TEAM,Information Technology
69,2016-03-22,23.77,25.02,23.675,24.69,Atlassian,TEAM,Information Technology
70,2016-03-23,24.75,25.07,24.195,24.63,Atlassian,TEAM,Information Technology
71,2016-03-24,24.57,24.6,23.28,23.82,Atlassian,TEAM,Information Technology
72,2016-03-28,24.0,24.42,23.69,24.01,Atlassian,TEAM,Information Technology
73,2016-03-29,23.83,24.238,23.71,24.11,Atlassian,TEAM,Information Technology
