,DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
0,2010-06-29,1.2667,1.6667,1.1693,1.5927,"Tesla, Inc.",TSLA,Consumer Discretionary
1,2010-06-30,1.7193,2.0279,1.5533,1.5887,"Tesla, Inc.",TSLA,Consumer Discretionary
2,2010-07-01,1.6667,1.728,1.3513,1.464,"Tesla, Inc.",TSLA,Consumer Discretionary
3,2010-07-02,1.5333,1.54,1.2473,1.28,"Tesla, Inc.",TSLA,Consumer Discretionary
4,2010-07-06,1.3333,1.3333,1.0553,1.074,"Tesla, Inc.",TSLA,Consumer Discretionary
5,2010-07-07,1.0933,1.1087,0.9987,1.0533,"Tesla, Inc.",TSLA,Consumer Discretionary
6,2010-07-08,1.076,1.168,1.038,1.164,"Tesla, Inc.",TSLA,Consumer Discretionary
7,2010-07-09,1.172,1.1933,1.1033,1.16,"Tesla, Inc.",TSLA,Consumer Discretionary
8,2010-07-12,1.1967,1.2047,1.1333,1.1367,"Tesla, Inc.",TSLA,Consumer Discretionary
9,2010-07-13,1.1596,1.2427,1.1267,1.2093,"Tesla, Inc.",TSLA,Consumer Discretionary
10,2010-07-14,1.196,1.3433,1.184,1.3227,"Tesla, Inc.",TSLA,Consumer Discretionary
11,2010-07-15,1.3293,1.4333,1.2667,1.326,"Tesla, Inc.",TSLA,Consumer Discretionary
12,2010-07-16,1.38,1.42,1.3367,1.376,"Tesla, Inc.",TSLA,Consumer Discretionary
13,2010-07-19,1.4247,1.4833,1.3947,1.4607,"Tesla, Inc.",TSLA,Consumer Discretionary
14,2010-07-20,1.4567,1.4567,1.3367,1.3533,"Tesla, Inc.",TSLA,Consumer Discretionary
15,2010-07-21,1.3773,1.3933,1.3,1.348,"Tesla, Inc.",TSLA,Consumer Discretionary
16,2010-07-22,1.3667,1.4167,1.358,1.4,"Tesla, Inc.",TSLA,Consumer Discretionary
17,2010-07-23,1.4127,1.4373,1.404,1.4193,"Tesla, Inc.",TSLA,Consumer Discretionary
18,2010-07-26,1.4333,1.4333,1.3533,1.3967,"Tesla, Inc.",TSLA,Consumer Discretionary
19,2010-07-27,1.394,1.412,1.3507,1.37,"Tesla, Inc.",TSLA,Consumer Discretionary
20,2010-07-28,1.37,1.3933,1.3673,1.3813,"Tesla, Inc.",TSLA,Consumer Discretionary
21,2010-07-29,1.3847,1.392,1.3333,1.3567,"Tesla, Inc.",TSLA,Consumer Discretionary
22,2010-07-30,1.3467,1.3627,1.3033,1.3293,"Tesla, Inc.",TSLA,Consumer Discretionary
23,2010-08-02,1.3667,1.398,1.3555,1.3947,"Tesla, Inc.",TSLA,Consumer Discretionary
24,2010-08-03,1.4,1.4633,1.388,1.4633,"Tesla, Inc.",TSLA,Consumer Discretionary
25,2010-08-04,1.4633,1.4787,1.39,1.4173,"Tesla, Inc.",TSLA,Consumer Discretionary
26,2010-08-05,1.436,1.4367,1.3367,1.3633,"Tesla, Inc.",TSLA,Consumer Discretionary
27,2010-08-06,1.34,1.344,1.3013,1.306,"Tesla, Inc.",TSLA,Consumer Discretionary
28,2010-08-09,1.3267,1.332,1.2967,1.3067,"Tesla, Inc.",TSLA,Consumer Discretionary
29,2010-08-10,1.31,1.31,1.2547,1.2687,"Tesla, Inc.",TSLA,Consumer Discretionary
