,DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
0,2016-09-21,2.875,3.04,2.78,3.01,The Trade Desk,TTD,Communication Services
1,2016-09-22,3.1,3.17,2.841,2.89,The Trade Desk,TTD,Communication Services
2,2016-09-23,2.885,2.89,2.684,2.766,The Trade Desk,TTD,Communication Services
3,2016-09-26,2.71,2.842,2.7,2.777,The Trade Desk,TTD,Communication Services
4,2016-09-27,2.833,3.0848,2.734,2.998,The Trade Desk,TTD,Communication Services
5,2016-09-28,3.073,3.34,3.002,3.339,The Trade Desk,TTD,Communication Services
6,2016-09-29,3.26,3.3195,2.88,2.899,The Trade Desk,TTD,Communication Services
7,2016-09-30,2.935,3.095,2.919,2.921,The Trade Desk,TTD,Communication Services
8,2016-10-03,2.912,2.9317,2.619,2.638,The Trade Desk,TTD,Communication Services
9,2016-10-04,2.639,2.725,2.363,2.383,The Trade Desk,TTD,Communication Services
10,2016-10-05,2.442,2.52,2.35,2.478,The Trade Desk,TTD,Communication Services
11,2016-10-06,2.512,2.694,2.4613,2.608,The Trade Desk,TTD,Communication Services
12,2016-10-07,2.528,2.649,2.502,2.626,The Trade Desk,TTD,Communication Services
13,2016-10-10,2.577,2.637,2.5101,2.528,The Trade Desk,TTD,Communication Services
14,2016-10-11,2.506,2.5925,2.35,2.552,The Trade Desk,TTD,Communication Services
15,2016-10-12,2.532,2.696,2.532,2.69,The Trade Desk,TTD,Communication Services
16,2016-10-13,2.64,2.673,2.55,2.597,The Trade Desk,TTD,Communication Services
17,2016-10-14,2.611,2.724,2.605,2.636,The Trade Desk,TTD,Communication Services
18,2016-10-17,2.702,2.725,2.614,2.627,The Trade Desk,TTD,Communication Services
19,2016-10-18,2.627,2.6508,2.581,2.588,The Trade Desk,TTD,Communication Services
20,2016-10-19,2.575,2.622,2.5251,2.546,The Trade Desk,TTD,Communication Services
21,2016-10-20,2.51,2.666,2.505,2.649,The Trade Desk,TTD,Communication Services
22,2016-10-21,2.651,2.75,2.624,2.748,The Trade Desk,TTD,Communication Services
23,2016-10-24,2.738,2.87,2.705,2.852,The Trade Desk,TTD,Communication Services
24,2016-10-25,2.861,2.947,2.8568,2.88,The Trade Desk,TTD,Communication Services
25,2016-10-26,2.895,2.909,2.789,2.818,The Trade Desk,TTD,Communication Services
26,2016-10-27,2.816,2.8597,2.544,2.552,The Trade Desk,TTD,Communication Services
27,2016-10-28,2.575,2.6755,2.55,2.561,The Trade Desk,TTD,Communication Services
