DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,7.59,8.04,7.54,7.95,Take-Two Interactive,TTWO,Communication Services
2009-01-05,7.91,8.23,7.88,8.14,Take-Two Interactive,TTWO,Communication Services
2009-01-06,8.24,8.25,7.88,7.89,Take-Two Interactive,TTWO,Communication Services
2009-01-07,7.75,7.89,7.66,7.73,Take-Two Interactive,TTWO,Communication Services
2009-01-08,7.63,8.17,7.62,8.09,Take-Two Interactive,TTWO,Communication Services
2009-01-09,8.11,8.17,7.82,7.86,Take-Two Interactive,TTWO,Communication Services
2009-01-12,7.87,7.92,7.42,7.5,Take-Two Interactive,TTWO,Communication Services
2009-01-13,7.55,7.73,7.04,7.1,Take-Two Interactive,TTWO,Communication Services
2009-01-14,7.05,7.17,6.84,7.11,Take-Two Interactive,TTWO,Communication Services
2009-01-15,7.09,7.21,6.91,7.09,Take-Two Interactive,TTWO,Communication Services
2009-01-16,7.14,7.6,7.03,7.6,Take-Two Interactive,TTWO,Communication Services
2009-01-20,7.58,7.63,7.29,7.31,Take-Two Interactive,TTWO,Communication Services
2009-01-21,7.4,7.45,6.9999,7.36,Take-Two Interactive,TTWO,Communication Services
2009-01-22,7.24,7.24,6.9,7.06,Take-Two Interactive,TTWO,Communication Services
2009-01-23,6.85,7.72,6.85,7.46,Take-Two Interactive,TTWO,Communication Services
2009-01-26,7.4,7.69,7.2899,7.44,Take-Two Interactive,TTWO,Communication Services
2009-01-27,7.5,7.55,7.31,7.39,Take-Two Interactive,TTWO,Communication Services
2009-01-28,7.52,7.59,7.36,7.44,Take-Two Interactive,TTWO,Communication Services
2009-01-29,7.35,7.47,7.16,7.19,Take-Two Interactive,TTWO,Communication Services
2009-01-30,7.26,7.28,6.995,7.02,Take-Two Interactive,TTWO,Communication Services
2009-02-02,6.97,7.18,6.7,7.03,Take-Two Interactive,TTWO,Communication Services
2009-02-03,6.99,7.0,6.709,6.79,Take-Two Interactive,TTWO,Communication Services
2009-02-04,6.81,6.99,6.73,6.91,Take-Two Interactive,TTWO,Communication Services
2009-02-05,6.85,7.49,6.8,7.29,Take-Two Interactive,TTWO,Communication Services
2009-02-06,7.28,7.82,7.22,7.78,Take-Two Interactive,TTWO,Communication Services
2009-02-09,7.76,7.98,7.755,7.98,Take-Two Interactive,TTWO,Communication Services
2009-02-10,7.99,8.3,7.48,7.49,Take-Two Interactive,TTWO,Communication Services
2009-02-11,7.54,7.73,7.21,7.33,Take-Two Interactive,TTWO,Communication Services
2009-02-12,7.25,7.47,7.03,7.43,Take-Two Interactive,TTWO,Communication Services
2009-02-13,7.41,7.89,7.33,7.78,Take-Two Interactive,TTWO,Communication Services
2009-02-17,7.63,7.63,7.05,7.05,Take-Two Interactive,TTWO,Communication Services
2009-02-18,7.17,7.34,7.05,7.18,Take-Two Interactive,TTWO,Communication Services
2009-02-19,7.28,7.3,6.929,7.01,Take-Two Interactive,TTWO,Communication Services
2009-02-20,6.93,6.93,6.44,6.7,Take-Two Interactive,TTWO,Communication Services
2009-02-23,6.7,6.71,6.42,6.48,Take-Two Interactive,TTWO,Communication Services
2009-02-24,6.54,6.9,6.51,6.9,Take-Two Interactive,TTWO,Communication Services
2009-02-25,6.82,6.86,6.47,6.51,Take-Two Interactive,TTWO,Communication Services
2009-02-26,6.54,6.58,6.32,6.32,Take-Two Interactive,TTWO,Communication Services
2009-02-27,6.28,6.46,6.18,6.19,Take-Two Interactive,TTWO,Communication Services
2009-03-02,6.11,6.18,5.57,5.65,Take-Two Interactive,TTWO,Communication Services
2009-03-03,5.75,5.76,5.56,5.62,Take-Two Interactive,TTWO,Communication Services
2009-03-04,5.73,6.09,5.73,6.08,Take-Two Interactive,TTWO,Communication Services
2009-03-05,6.04,6.1,5.63,5.68,Take-Two Interactive,TTWO,Communication Services
2009-03-06,6.2,6.24,5.83,6.21,Take-Two Interactive,TTWO,Communication Services
2009-03-09,6.15,6.27,5.87,6.01,Take-Two Interactive,TTWO,Communication Services
2009-03-10,6.17,6.87,5.9,6.85,Take-Two Interactive,TTWO,Communication Services
2009-03-11,6.42,6.67,6.05,6.41,Take-Two Interactive,TTWO,Communication Services
2009-03-12,6.4,7.35,6.31,7.1,Take-Two Interactive,TTWO,Communication Services
2009-03-13,7.13,7.43,6.92,7.36,Take-Two Interactive,TTWO,Communication Services
2009-03-16,7.4,7.47,7.07,7.13,Take-Two Interactive,TTWO,Communication Services
2009-03-17,7.1,7.51,7.1,7.51,Take-Two Interactive,TTWO,Communication Services
2009-03-18,7.49,7.99,7.39,7.94,Take-Two Interactive,TTWO,Communication Services
2009-03-19,8.03,8.25,7.96,8.15,Take-Two Interactive,TTWO,Communication Services
2009-03-20,8.2,8.65,8.12,8.57,Take-Two Interactive,TTWO,Communication Services
2009-03-23,8.62,8.84,8.2801,8.61,Take-Two Interactive,TTWO,Communication Services
2009-03-24,8.51,8.69,8.4,8.46,Take-Two Interactive,TTWO,Communication Services
2009-03-25,8.47,8.77,8.01,8.25,Take-Two Interactive,TTWO,Communication Services
2009-03-26,8.36,9.09,8.36,8.91,Take-Two Interactive,TTWO,Communication Services
2009-03-27,8.91,9.0,8.4,8.43,Take-Two Interactive,TTWO,Communication Services
2009-03-30,8.6,8.6,7.87,8.22,Take-Two Interactive,TTWO,Communication Services
2009-03-31,8.25,8.66,8.155,8.35,Take-Two Interactive,TTWO,Communication Services
2009-04-01,8.2,8.55,8.0,8.47,Take-Two Interactive,TTWO,Communication Services
2009-04-02,8.66,8.8,8.33,8.44,Take-Two Interactive,TTWO,Communication Services
2009-04-03,8.395,8.556,8.21,8.3,Take-Two Interactive,TTWO,Communication Services
2009-04-06,8.21,8.29,7.91,7.97,Take-Two Interactive,TTWO,Communication Services
2009-04-07,7.9,7.96,7.61,7.73,Take-Two Interactive,TTWO,Communication Services
2009-04-08,7.76,8.02,7.76,7.98,Take-Two Interactive,TTWO,Communication Services
2009-04-09,8.16,8.57,8.06,8.4,Take-Two Interactive,TTWO,Communication Services
2009-04-13,8.91,9.58,8.82,9.45,Take-Two Interactive,TTWO,Communication Services
2009-04-14,9.37,9.71,9.13,9.37,Take-Two Interactive,TTWO,Communication Services
2009-04-15,9.31,9.49,9.1688,9.41,Take-Two Interactive,TTWO,Communication Services
2009-04-16,9.46,9.94,9.31,9.86,Take-Two Interactive,TTWO,Communication Services
2009-04-17,9.62,9.62,8.96,9.38,Take-Two Interactive,TTWO,Communication Services
