DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,16.3242,16.9997,16.2977,16.9202,Walgreens Boots Alliance,WBA,Consumer Staples
2009-01-05,16.8407,17.8606,16.8407,17.7745,Walgreens Boots Alliance,WBA,Consumer Staples
2009-01-06,17.7215,18.0791,17.4963,17.6884,Walgreens Boots Alliance,WBA,Consumer Staples
2009-01-07,17.5162,18.3043,17.4367,17.9003,Walgreens Boots Alliance,WBA,Consumer Staples
2009-01-08,17.8341,17.8804,17.4566,17.7745,Walgreens Boots Alliance,WBA,Consumer Staples
2009-01-09,17.5295,17.5626,16.9533,17.3175,Walgreens Boots Alliance,WBA,Consumer Staples
2009-01-12,17.2579,17.4301,17.0659,17.152,Walgreens Boots Alliance,WBA,Consumer Staples
2009-01-13,17.152,17.3175,17.0593,17.2646,Walgreens Boots Alliance,WBA,Consumer Staples
2009-01-14,17.099,17.3838,16.801,17.3109,Walgreens Boots Alliance,WBA,Consumer Staples
2009-01-15,17.2182,17.9996,17.1586,17.8142,Walgreens Boots Alliance,WBA,Consumer Staples
2009-01-16,18.046,18.1255,17.4897,17.8208,Walgreens Boots Alliance,WBA,Consumer Staples
2009-01-20,17.7612,17.8937,17.0858,17.1785,Walgreens Boots Alliance,WBA,Consumer Staples
2009-01-21,17.4036,17.4798,17.0063,17.4367,Walgreens Boots Alliance,WBA,Consumer Staples
2009-01-22,17.1983,18.1122,17.1851,17.748,Walgreens Boots Alliance,WBA,Consumer Staples
2009-01-23,17.4367,17.8804,17.2248,17.8341,Walgreens Boots Alliance,WBA,Consumer Staples
2009-01-26,17.8871,18.2116,17.6354,17.748,Walgreens Boots Alliance,WBA,Consumer Staples
2009-01-27,17.8804,17.9864,17.4963,17.8804,Walgreens Boots Alliance,WBA,Consumer Staples
2009-01-28,18.1453,18.7414,17.9665,18.4698,Walgreens Boots Alliance,WBA,Consumer Staples
2009-01-29,18.152,18.589,18.152,18.4698,Walgreens Boots Alliance,WBA,Consumer Staples
2009-01-30,18.5957,18.7016,18.0394,18.152,Walgreens Boots Alliance,WBA,Consumer Staples
2009-02-02,17.9798,18.0659,17.6089,17.8937,Walgreens Boots Alliance,WBA,Consumer Staples
2009-02-03,18.2645,18.4847,17.3043,18.3771,Walgreens Boots Alliance,WBA,Consumer Staples
2009-02-04,18.4367,18.5692,17.7679,17.8804,Walgreens Boots Alliance,WBA,Consumer Staples
2009-02-05,17.3507,18.344,17.3507,18.2579,Walgreens Boots Alliance,WBA,Consumer Staples
2009-02-06,18.3043,18.801,18.152,18.6486,Walgreens Boots Alliance,WBA,Consumer Staples
2009-02-09,18.6089,18.748,18.1453,18.5427,Walgreens Boots Alliance,WBA,Consumer Staples
2009-02-10,18.397,18.5957,17.7877,17.9069,Walgreens Boots Alliance,WBA,Consumer Staples
2009-02-11,18.0659,18.0659,17.5096,17.8076,Walgreens Boots Alliance,WBA,Consumer Staples
2009-02-12,17.4831,17.9202,17.3308,17.8738,Walgreens Boots Alliance,WBA,Consumer Staples
2009-02-13,18.0971,18.1902,17.3522,17.3788,Walgreens Boots Alliance,WBA,Consumer Staples
2009-02-17,17.1128,17.1926,16.727,16.9332,Walgreens Boots Alliance,WBA,Consumer Staples
2009-02-18,17.013,17.2258,16.6805,17.0529,Walgreens Boots Alliance,WBA,Consumer Staples
2009-02-19,17.3921,18.1237,17.1527,17.1793,Walgreens Boots Alliance,WBA,Consumer Staples
2009-02-20,17.0795,17.1926,16.6206,16.6805,Walgreens Boots Alliance,WBA,Consumer Staples
2009-02-23,16.7935,16.7935,15.8025,16.0553,Walgreens Boots Alliance,WBA,Consumer Staples
