DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,7.065,7.39,7.035,7.325,Warner Bros. Discovery,WBD,Communication Services
2009-01-05,7.27,7.55,7.18,7.4,Warner Bros. Discovery,WBD,Communication Services
2009-01-06,7.445,7.555,7.29,7.495,Warner Bros. Discovery,WBD,Communication Services
2009-01-07,7.21,7.485,7.15,7.28,Warner Bros. Discovery,WBD,Communication Services
2009-01-08,7.135,7.555,7.01,7.54,Warner Bros. Discovery,WBD,Communication Services
2009-01-09,7.475,7.595,7.255,7.38,Warner Bros. Discovery,WBD,Communication Services
2009-01-12,7.335,7.45,7.23,7.295,Warner Bros. Discovery,WBD,Communication Services
2009-01-13,7.355,7.625,7.355,7.5,Warner Bros. Discovery,WBD,Communication Services
2009-01-14,7.385,7.5,7.175,7.375,Warner Bros. Discovery,WBD,Communication Services
2009-01-15,7.27,7.525,7.02,7.36,Warner Bros. Discovery,WBD,Communication Services
2009-01-16,7.5,7.695,7.105,7.38,Warner Bros. Discovery,WBD,Communication Services
2009-01-20,7.35,7.35,6.82,6.835,Warner Bros. Discovery,WBD,Communication Services
2009-01-21,7.0,7.295,7.0,7.195,Warner Bros. Discovery,WBD,Communication Services
2009-01-22,7.13,7.465,7.1,7.305,Warner Bros. Discovery,WBD,Communication Services
2009-01-23,7.18,7.44,7.18,7.35,Warner Bros. Discovery,WBD,Communication Services
2009-01-26,7.43,7.455,7.14,7.285,Warner Bros. Discovery,WBD,Communication Services
2009-01-27,7.375,7.495,7.2175,7.435,Warner Bros. Discovery,WBD,Communication Services
2009-01-28,7.39,7.56,7.39,7.48,Warner Bros. Discovery,WBD,Communication Services
2009-01-29,7.43,7.445,7.165,7.2,Warner Bros. Discovery,WBD,Communication Services
2009-01-30,7.43,7.525,7.09,7.25,Warner Bros. Discovery,WBD,Communication Services
2009-02-02,7.16,7.355,6.98,7.275,Warner Bros. Discovery,WBD,Communication Services
2009-02-03,7.295,7.375,7.08,7.32,Warner Bros. Discovery,WBD,Communication Services
2009-02-04,7.35,7.445,6.8425,6.875,Warner Bros. Discovery,WBD,Communication Services
2009-02-05,6.79,6.87,6.64,6.765,Warner Bros. Discovery,WBD,Communication Services
2009-02-06,6.79,7.055,6.74,6.97,Warner Bros. Discovery,WBD,Communication Services
2009-02-09,6.92,7.065,6.85,7.025,Warner Bros. Discovery,WBD,Communication Services
2009-02-10,6.935,7.0249,6.765,6.83,Warner Bros. Discovery,WBD,Communication Services
2009-02-11,6.85,7.02,6.82,6.9,Warner Bros. Discovery,WBD,Communication Services
2009-02-12,6.81,7.075,6.78,6.97,Warner Bros. Discovery,WBD,Communication Services
2009-02-13,7.005,7.07,6.965,6.99,Warner Bros. Discovery,WBD,Communication Services
2009-02-17,6.775,6.935,6.605,6.745,Warner Bros. Discovery,WBD,Communication Services
2009-02-18,6.78,6.85,6.515,6.535,Warner Bros. Discovery,WBD,Communication Services
2009-02-19,6.64,6.695,6.53,6.56,Warner Bros. Discovery,WBD,Communication Services
2009-02-20,6.49,6.505,6.23,6.34,Warner Bros. Discovery,WBD,Communication Services
