,DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
0,2012-10-12,48.05,51.37,45.05,48.69,"Workday, Inc.",WDAY,Information Technology
1,2012-10-15,48.74,53.0,48.6,51.94,"Workday, Inc.",WDAY,Information Technology
2,2012-10-16,53.49,53.5,51.91,52.16,"Workday, Inc.",WDAY,Information Technology
3,2012-10-17,52.02,57.21,52.0,55.41,"Workday, Inc.",WDAY,Information Technology
4,2012-10-18,55.08,55.1,50.87,53.42,"Workday, Inc.",WDAY,Information Technology
5,2012-10-19,52.33,55.58,51.53,55.25,"Workday, Inc.",WDAY,Information Technology
6,2012-10-22,55.58,56.22,54.11,55.4,"Workday, Inc.",WDAY,Information Technology
7,2012-10-23,55.37,55.51,54.14,54.38,"Workday, Inc.",WDAY,Information Technology
8,2012-10-24,54.01,54.25,51.86,52.12,"Workday, Inc.",WDAY,Information Technology
9,2012-10-25,53.33,53.33,48.6,49.24,"Workday, Inc.",WDAY,Information Technology
10,2012-10-26,49.65,50.5,48.2,50.0,"Workday, Inc.",WDAY,Information Technology
11,2012-10-31,51.0,51.03,48.09,48.5,"Workday, Inc.",WDAY,Information Technology
12,2012-11-01,49.1,49.66,48.18,48.92,"Workday, Inc.",WDAY,Information Technology
13,2012-11-02,50.74,50.74,48.3,48.52,"Workday, Inc.",WDAY,Information Technology
14,2012-11-05,49.98,50.0,48.74,49.88,"Workday, Inc.",WDAY,Information Technology
15,2012-11-06,48.53,50.33,48.25,48.54,"Workday, Inc.",WDAY,Information Technology
16,2012-11-07,48.43,48.71,46.82,48.07,"Workday, Inc.",WDAY,Information Technology
17,2012-11-08,49.25,49.68,47.69,49.05,"Workday, Inc.",WDAY,Information Technology
18,2012-11-09,49.6,49.6,47.6,48.0,"Workday, Inc.",WDAY,Information Technology
19,2012-11-12,47.47,47.68,46.38,46.99,"Workday, Inc.",WDAY,Information Technology
20,2012-11-13,46.21,47.27,46.0,46.99,"Workday, Inc.",WDAY,Information Technology
21,2012-11-14,46.77,48.5,46.75,47.38,"Workday, Inc.",WDAY,Information Technology
22,2012-11-15,48.11,48.62,47.07,47.94,"Workday, Inc.",WDAY,Information Technology
23,2012-11-16,47.5,48.95,47.4,48.85,"Workday, Inc.",WDAY,Information Technology
24,2012-11-19,49.95,49.95,48.92,49.61,"Workday, Inc.",WDAY,Information Technology
25,2012-11-20,49.86,51.0,49.62,50.71,"Workday, Inc.",WDAY,Information Technology
26,2012-11-21,51.05,52.1,51.05,51.95,"Workday, Inc.",WDAY,Information Technology
27,2012-11-23,52.46,52.46,50.43,50.79,"Workday, Inc.",WDAY,Information Technology
28,2012-11-26,50.8,51.75,50.0,50.82,"Workday, Inc.",WDAY,Information Technology
29,2012-11-27,51.0,53.19,50.73,51.85,"Workday, Inc.",WDAY,Information Technology
30,2012-11-28,51.05,53.22,49.02,53.19,"Workday, Inc.",WDAY,Information Technology
31,2012-11-29,53.14,53.68,49.62,51.7,"Workday, Inc.",WDAY,Information Technology
32,2012-11-30,51.97,51.99,49.6,50.1,"Workday, Inc.",WDAY,Information Technology
33,2012-12-03,50.1,51.33,49.26,50.1,"Workday, Inc.",WDAY,Information Technology
34,2012-12-04,49.59,49.89,48.7,49.7,"Workday, Inc.",WDAY,Information Technology
35,2012-12-05,49.75,49.9,48.24,48.3,"Workday, Inc.",WDAY,Information Technology
36,2012-12-06,48.99,48.99,47.74,48.4,"Workday, Inc.",WDAY,Information Technology
37,2012-12-07,48.85,51.33,48.5,51.2,"Workday, Inc.",WDAY,Information Technology
38,2012-12-10,51.88,52.5,49.78,51.5,"Workday, Inc.",WDAY,Information Technology
39,2012-12-11,51.78,52.84,50.4,51.69,"Workday, Inc.",WDAY,Information Technology
40,2012-12-12,52.0,53.02,51.34,51.4,"Workday, Inc.",WDAY,Information Technology
41,2012-12-13,51.6,51.6,50.2,50.27,"Workday, Inc.",WDAY,Information Technology
42,2012-12-14,50.0,50.97,49.94,50.48,"Workday, Inc.",WDAY,Information Technology
43,2012-12-17,50.39,51.05,50.1,50.94,"Workday, Inc.",WDAY,Information Technology
44,2012-12-18,51.12,53.41,50.02,53.39,"Workday, Inc.",WDAY,Information Technology
45,2012-12-19,53.5,57.1,52.65,55.13,"Workday, Inc.",WDAY,Information Technology
46,2012-12-20,55.0,56.9,52.74,56.16,"Workday, Inc.",WDAY,Information Technology
47,2012-12-21,54.94,56.26,54.0,55.95,"Workday, Inc.",WDAY,Information Technology
48,2012-12-24,55.69,56.25,54.13,56.17,"Workday, Inc.",WDAY,Information Technology
49,2012-12-26,55.96,56.5,54.17,54.53,"Workday, Inc.",WDAY,Information Technology
50,2012-12-27,54.8,55.1,53.05,54.0,"Workday, Inc.",WDAY,Information Technology
51,2012-12-28,53.9,54.1,53.08,53.54,"Workday, Inc.",WDAY,Information Technology
52,2012-12-31,53.23,54.98,52.99,54.5,"Workday, Inc.",WDAY,Information Technology
53,2013-01-02,54.98,56.47,52.51,52.91,"Workday, Inc.",WDAY,Information Technology
54,2013-01-03,52.74,53.61,52.02,52.3,"Workday, Inc.",WDAY,Information Technology
55,2013-01-04,52.25,53.11,51.8,52.19,"Workday, Inc.",WDAY,Information Technology
56,2013-01-07,51.95,52.35,51.61,52.17,"Workday, Inc.",WDAY,Information Technology
57,2013-01-08,52.09,52.19,51.23,51.87,"Workday, Inc.",WDAY,Information Technology
58,2013-01-09,52.06,53.44,51.5,52.75,"Workday, Inc.",WDAY,Information Technology
59,2013-01-10,53.29,53.4,51.79,53.2,"Workday, Inc.",WDAY,Information Technology
60,2013-01-11,53.18,53.31,52.07,52.79,"Workday, Inc.",WDAY,Information Technology
61,2013-01-14,52.57,52.86,50.79,51.26,"Workday, Inc.",WDAY,Information Technology
62,2013-01-15,51.2,51.48,50.53,51.04,"Workday, Inc.",WDAY,Information Technology
63,2013-01-16,50.98,51.94,50.78,51.55,"Workday, Inc.",WDAY,Information Technology
64,2013-01-17,51.91,52.12,50.94,50.95,"Workday, Inc.",WDAY,Information Technology
65,2013-01-18,50.74,51.34,50.33,50.39,"Workday, Inc.",WDAY,Information Technology
66,2013-01-22,50.38,51.49,50.04,50.63,"Workday, Inc.",WDAY,Information Technology
67,2013-01-23,50.19,52.14,50.19,51.93,"Workday, Inc.",WDAY,Information Technology
68,2013-01-24,52.0,54.13,51.69,53.16,"Workday, Inc.",WDAY,Information Technology
69,2013-01-25,53.03,54.44,52.39,54.39,"Workday, Inc.",WDAY,Information Technology
70,2013-01-28,54.39,56.9,53.73,56.5,"Workday, Inc.",WDAY,Information Technology
71,2013-01-29,54.6,56.45,54.01,55.93,"Workday, Inc.",WDAY,Information Technology
72,2013-01-30,55.03,55.88,53.16,53.24,"Workday, Inc.",WDAY,Information Technology
73,2013-01-31,53.84,54.22,52.32,53.42,"Workday, Inc.",WDAY,Information Technology
74,2013-02-01,53.99,54.88,53.04,53.52,"Workday, Inc.",WDAY,Information Technology
75,2013-02-04,52.72,53.3,52.14,52.61,"Workday, Inc.",WDAY,Information Technology
76,2013-02-05,52.24,52.93,51.87,52.01,"Workday, Inc.",WDAY,Information Technology
77,2013-02-06,52.01,52.19,51.71,51.99,"Workday, Inc.",WDAY,Information Technology
78,2013-02-07,51.87,51.99,51.08,51.08,"Workday, Inc.",WDAY,Information Technology
79,2013-02-08,51.25,51.66,50.84,50.87,"Workday, Inc.",WDAY,Information Technology
80,2013-02-11,51.0,51.34,50.84,50.88,"Workday, Inc.",WDAY,Information Technology
81,2013-02-12,50.86,52.45,50.56,51.55,"Workday, Inc.",WDAY,Information Technology
82,2013-02-13,51.71,52.2,51.53,51.54,"Workday, Inc.",WDAY,Information Technology
83,2013-02-14,51.86,51.87,50.69,51.0,"Workday, Inc.",WDAY,Information Technology
84,2013-02-15,51.22,51.42,50.26,50.44,"Workday, Inc.",WDAY,Information Technology
85,2013-02-19,50.67,51.54,50.41,51.37,"Workday, Inc.",WDAY,Information Technology
86,2013-02-20,51.45,55.68,51.45,54.31,"Workday, Inc.",WDAY,Information Technology
87,2013-02-21,54.59,55.47,54.06,55.14,"Workday, Inc.",WDAY,Information Technology
88,2013-02-22,55.14,55.93,54.55,55.25,"Workday, Inc.",WDAY,Information Technology
89,2013-02-25,55.27,56.35,55.07,55.99,"Workday, Inc.",WDAY,Information Technology
90,2013-02-26,55.73,56.18,55.4,55.66,"Workday, Inc.",WDAY,Information Technology
91,2013-02-27,55.54,56.9,55.54,55.9,"Workday, Inc.",WDAY,Information Technology
92,2013-02-28,55.67,56.08,54.19,55.29,"Workday, Inc.",WDAY,Information Technology
93,2013-03-01,55.3,57.94,54.76,57.62,"Workday, Inc.",WDAY,Information Technology
94,2013-03-04,57.7,62.14,57.5,61.72,"Workday, Inc.",WDAY,Information Technology
95,2013-03-05,62.29,64.08,62.05,63.93,"Workday, Inc.",WDAY,Information Technology
96,2013-03-06,63.95,64.9,63.01,64.54,"Workday, Inc.",WDAY,Information Technology
97,2013-03-07,64.53,65.0,60.65,61.63,"Workday, Inc.",WDAY,Information Technology
98,2013-03-08,60.25,64.73,59.62,62.5,"Workday, Inc.",WDAY,Information Technology
99,2013-03-11,62.88,62.89,61.83,61.93,"Workday, Inc.",WDAY,Information Technology
100,2013-03-12,62.29,62.64,61.59,62.3,"Workday, Inc.",WDAY,Information Technology
101,2013-03-13,62.58,63.12,62.2,62.78,"Workday, Inc.",WDAY,Information Technology
102,2013-03-14,63.07,63.52,62.82,63.26,"Workday, Inc.",WDAY,Information Technology
103,2013-03-15,63.26,63.4,62.89,63.16,"Workday, Inc.",WDAY,Information Technology
104,2013-03-18,62.84,62.84,62.04,62.49,"Workday, Inc.",WDAY,Information Technology
105,2013-03-19,62.36,62.68,59.71,60.37,"Workday, Inc.",WDAY,Information Technology
106,2013-03-20,60.24,61.03,60.0,60.32,"Workday, Inc.",WDAY,Information Technology
107,2013-03-21,59.9,61.81,59.81,61.11,"Workday, Inc.",WDAY,Information Technology
108,2013-03-22,61.5,63.3,61.06,62.49,"Workday, Inc.",WDAY,Information Technology
109,2013-03-25,62.69,63.0,61.65,62.43,"Workday, Inc.",WDAY,Information Technology
110,2013-03-26,62.27,62.28,60.82,61.25,"Workday, Inc.",WDAY,Information Technology
111,2013-03-27,61.3,62.11,60.91,61.61,"Workday, Inc.",WDAY,Information Technology
112,2013-03-28,62.08,62.37,60.87,61.63,"Workday, Inc.",WDAY,Information Technology
113,2013-04-01,61.56,61.6,60.81,61.27,"Workday, Inc.",WDAY,Information Technology
114,2013-04-02,60.93,62.48,60.93,61.59,"Workday, Inc.",WDAY,Information Technology
115,2013-04-03,61.46,61.46,58.77,59.06,"Workday, Inc.",WDAY,Information Technology
116,2013-04-04,58.93,58.93,57.31,58.59,"Workday, Inc.",WDAY,Information Technology
117,2013-04-05,58.0,59.98,57.01,58.05,"Workday, Inc.",WDAY,Information Technology
118,2013-04-08,57.76,60.06,57.76,59.68,"Workday, Inc.",WDAY,Information Technology
119,2013-04-09,59.45,59.53,58.01,58.55,"Workday, Inc.",WDAY,Information Technology
120,2013-04-10,56.22,59.1,55.25,58.83,"Workday, Inc.",WDAY,Information Technology
121,2013-04-11,58.22,60.17,58.09,60.06,"Workday, Inc.",WDAY,Information Technology
122,2013-04-12,60.0,61.99,59.5,61.3,"Workday, Inc.",WDAY,Information Technology
123,2013-04-15,60.44,60.75,59.13,59.45,"Workday, Inc.",WDAY,Information Technology
124,2013-04-16,59.29,60.2,59.25,60.0,"Workday, Inc.",WDAY,Information Technology
