DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
2009-01-02,11.0427,11.2566,10.9833,11.1912,Xcel Energy,XEL,Utilities
2009-01-05,11.1793,11.2684,10.9536,11.0843,Xcel Energy,XEL,Utilities
2009-01-06,11.1318,11.2863,10.8823,10.9417,Xcel Energy,XEL,Utilities
2009-01-07,10.8705,10.9299,10.7576,10.8289,Xcel Energy,XEL,Utilities
2009-01-08,10.7873,10.9714,10.7873,10.9714,Xcel Energy,XEL,Utilities
2009-01-09,10.9893,11.013,10.7932,10.8348,Xcel Energy,XEL,Utilities
2009-01-12,10.8586,10.9299,10.7814,10.9061,Xcel Energy,XEL,Utilities
2009-01-13,10.9239,10.9299,10.6744,10.7398,Xcel Energy,XEL,Utilities
2009-01-14,10.7101,10.7635,10.52,10.6744,Xcel Energy,XEL,Utilities
2009-01-15,10.6447,10.7517,10.5438,10.7457,Xcel Energy,XEL,Utilities
2009-01-16,10.8467,10.9828,10.7576,10.8586,Xcel Energy,XEL,Utilities
2009-01-20,10.8942,10.9952,10.6507,10.6804,Xcel Energy,XEL,Utilities
2009-01-21,10.8289,10.9061,10.6863,10.8764,Xcel Energy,XEL,Utilities
2009-01-22,10.817,11.0308,10.6566,10.9536,Xcel Energy,XEL,Utilities
2009-01-23,10.7814,10.9477,10.7041,10.918,Xcel Energy,XEL,Utilities
2009-01-26,10.9596,11.1496,10.9239,11.0665,Xcel Energy,XEL,Utilities
2009-01-27,11.1021,11.1437,10.9417,11.0962,Xcel Energy,XEL,Utilities
2009-01-28,11.2506,11.2506,10.9893,11.1021,Xcel Energy,XEL,Utilities
2009-01-29,11.2803,11.3279,10.9893,11.1318,Xcel Energy,XEL,Utilities
2009-01-30,11.1437,11.1912,10.8942,10.9655,Xcel Energy,XEL,Utilities
2009-02-02,10.8526,10.9596,10.6923,10.9061,Xcel Energy,XEL,Utilities
2009-02-03,10.9002,11.0427,10.8051,10.9655,Xcel Energy,XEL,Utilities
2009-02-04,11.0487,11.1972,11.013,11.114,Xcel Energy,XEL,Utilities
2009-02-05,11.1021,11.2803,11.0011,11.215,Xcel Energy,XEL,Utilities
2009-02-06,11.2209,11.3635,11.0899,11.3041,Xcel Energy,XEL,Utilities
2009-02-09,11.2981,11.3041,11.0784,11.1734,Xcel Energy,XEL,Utilities
2009-02-10,11.0784,11.209,10.7992,10.8408,Xcel Energy,XEL,Utilities
2009-02-11,10.918,10.9417,10.6744,10.7695,Xcel Energy,XEL,Utilities
2009-02-12,10.6329,10.7814,10.5141,10.7754,Xcel Energy,XEL,Utilities
2009-02-13,10.8408,10.918,10.6923,10.7101,Xcel Energy,XEL,Utilities
2009-02-17,10.5497,10.7041,10.3061,10.4012,Xcel Energy,XEL,Utilities
2009-02-18,10.4487,10.5972,10.3061,10.5141,Xcel Energy,XEL,Utilities
2009-02-19,10.5913,10.716,10.4903,10.6626,Xcel Energy,XEL,Utilities
2009-02-20,10.5378,10.6566,10.4428,10.5319,Xcel Energy,XEL,Utilities
2009-02-23,10.621,10.6804,10.3774,10.4368,Xcel Energy,XEL,Utilities
2009-02-24,10.4962,10.7517,10.4368,10.716,Xcel Energy,XEL,Utilities
2009-02-25,10.6863,10.7101,10.4368,10.4962,Xcel Energy,XEL,Utilities
2009-02-26,10.5853,10.6804,10.3596,10.3952,Xcel Energy,XEL,Utilities
2009-02-27,10.3358,10.6744,10.1873,10.5378,Xcel Energy,XEL,Utilities
2009-03-02,10.3715,10.5141,10.1755,10.1873,Xcel Energy,XEL,Utilities
