,DATE,OPEN,HIGH,LOW,CLOSE,NAME,TICKER,SECTOR
0,2018-03-16,27.5,33.47,26.06,33.0,Zscaler,ZS,Information Technology
1,2018-03-19,31.45,31.5,26.75,27.9,Zscaler,ZS,Information Technology
2,2018-03-20,28.41,30.904,28.07,30.38,Zscaler,ZS,Information Technology
3,2018-03-21,30.79,34.83,29.29,31.08,Zscaler,ZS,Information Technology
4,2018-03-22,30.0,31.88,28.56,29.83,Zscaler,ZS,Information Technology
5,2018-03-23,30.31,30.45,28.6,29.43,Zscaler,ZS,Information Technology
6,2018-03-26,30.63,30.9378,27.3,27.83,Zscaler,ZS,Information Technology
7,2018-03-27,28.0,28.599,26.6,27.75,Zscaler,ZS,Information Technology
8,2018-03-28,27.35,28.19,27.0,27.53,Zscaler,ZS,Information Technology
9,2018-03-29,27.75,28.455,26.8,28.07,Zscaler,ZS,Information Technology
10,2018-04-02,27.9,28.66,26.807,27.06,Zscaler,ZS,Information Technology
11,2018-04-03,27.13,27.19,26.5,26.8,Zscaler,ZS,Information Technology
12,2018-04-04,26.35,28.95,26.32,27.97,Zscaler,ZS,Information Technology
13,2018-04-05,28.61,29.15,27.97,28.53,Zscaler,ZS,Information Technology
14,2018-04-06,28.32,29.6632,28.05,28.22,Zscaler,ZS,Information Technology
15,2018-04-09,28.47,28.7,26.5,26.54,Zscaler,ZS,Information Technology
16,2018-04-10,27.06,28.5,26.84,28.07,Zscaler,ZS,Information Technology
17,2018-04-11,28.03,29.46,27.4,27.71,Zscaler,ZS,Information Technology
18,2018-04-12,27.81,28.59,27.775,27.96,Zscaler,ZS,Information Technology
19,2018-04-13,28.7,28.7,27.03,27.48,Zscaler,ZS,Information Technology
20,2018-04-16,27.89,29.0,27.565,28.99,Zscaler,ZS,Information Technology
21,2018-04-17,29.31,29.9729,28.63,28.75,Zscaler,ZS,Information Technology
22,2018-04-18,28.96,29.0,28.0,28.65,Zscaler,ZS,Information Technology
23,2018-04-19,28.65,28.945,27.75,28.03,Zscaler,ZS,Information Technology
24,2018-04-20,28.05,28.23,27.03,27.22,Zscaler,ZS,Information Technology
25,2018-04-23,27.2,27.58,26.5,26.86,Zscaler,ZS,Information Technology
26,2018-04-24,27.0,27.97,27.0,27.14,Zscaler,ZS,Information Technology
27,2018-04-25,27.09,28.45,26.85,28.11,Zscaler,ZS,Information Technology
28,2018-04-26,28.4,28.81,28.1705,28.65,Zscaler,ZS,Information Technology
29,2018-04-27,28.86,28.93,28.411,28.71,Zscaler,ZS,Information Technology
